Date,High,Low,Open,Close,Adj Close,Volume
2018-01-05,39.6,36.5,39.0,39.6,11.742,32205910.0
2018-01-08,40.0,39.6,40.0,39.7,11.771,3321420.0
2018-01-09,39.8,38.9,39.7,39.75,11.786,4537340.0
2018-01-10,40.3,39.1,39.2,40.3,11.949,8726070.0
2018-01-11,42.5,40.3,40.4,42.5,12.601,9874500.0
2018-01-12,45.45,42.6,42.6,45.45,13.476,18714750.0
2018-01-15,45.7,44.0,45.5,45.5,13.491,6559820.0
2018-01-16,45.2,44.45,44.6,44.95,13.328,6271100.0
2018-01-17,44.95,42.7,44.9,42.7,12.661,5794700.0
2018-01-18,44.0,41.7,42.6,44.0,13.046,5371340.0
2018-01-19,46.1,44.5,44.5,45.2,13.402,6728810.0
2018-01-22,45.4,44.3,44.8,45.3,13.432,4402360.0
2018-01-25,48.3,45.0,45.5,47.8,14.173,10284390.0
2018-01-26,48.1,46.3,47.8,47.0,13.936,5637470.0
2018-01-29,47.5,46.3,47.1,47.05,13.95,6592140.0
2018-01-30,47.05,45.7,47.05,47.0,13.936,6121930.0
2018-01-31,46.9,46.0,46.9,46.6,13.817,5581950.0
2018-02-01,46.7,45.8,46.6,46.0,13.639,3428660.0
2018-02-02,46.0,45.3,46.0,46.0,13.639,4567580.0
2018-02-05,45.6,42.8,45.2,43.0,12.75,3353170.0
2018-02-06,41.3,40.0,40.0,41.0,12.157,3906020.0
2018-02-07,43.85,42.3,42.4,43.85,13.002,4238270.0
2018-02-08,45.85,43.5,43.85,44.9,13.313,4667920.0
2018-02-09,44.7,42.1,43.8,44.6,13.224,3454800.0
2018-02-12,47.0,44.65,44.7,46.5,13.787,3436010.0
2018-02-13,46.95,45.5,46.95,46.6,13.817,5066980.0
2018-02-21,47.1,45.5,46.9,46.7,13.847,3263200.0
2018-02-22,46.2,45.0,46.2,45.0,13.343,2243860.0
2018-02-23,46.5,44.35,45.0,44.55,13.209,2175420.0
2018-02-26,46.0,43.65,44.55,44.0,13.046,2378080.0
2018-02-27,44.6,42.8,44.5,44.5,13.194,1579540.0
2018-02-28,44.5,43.0,44.0,44.4,13.165,2241390.0
2018-03-01,44.0,43.2,43.3,43.95,13.031,2739770.0
2018-03-02,43.55,43.2,43.5,43.55,12.913,1808640.0
2018-03-05,43.7,42.9,43.6,43.0,12.75,2578830.0
2018-03-06,43.55,42.8,43.0,43.2,12.809,2479350.0
2018-03-07,43.9,42.2,43.2,42.5,12.601,1357460.0
2018-03-08,43.5,41.8,43.0,42.5,12.601,2182740.0
2018-03-09,43.4,41.9,42.1,42.5,12.601,1018640.0
2018-03-12,42.9,42.2,42.5,42.5,12.601,1427550.0
2018-03-13,42.5,42.05,42.5,42.3,12.542,1687940.0
2018-03-14,44.25,42.4,42.5,44.0,13.046,5974370.0
2018-03-15,44.6,44.0,44.0,44.5,13.194,4347760.0
2018-03-16,44.8,44.5,44.7,44.8,13.283,2863300.0
