Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-03,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-04,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-05,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-08,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-09,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-10,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-11,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-12,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-15,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-16,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-17,16.1,16.1,16.1,16.1,15.192,0.0
2018-01-18,15.0,15.0,15.0,15.0,14.154,900.0
2018-01-19,15.0,15.0,15.0,15.0,14.154,1000.0
2018-01-22,15.0,15.0,15.0,15.0,14.154,0.0
2018-01-23,15.0,15.0,15.0,15.0,14.154,35.0
2018-01-24,15.5,15.5,15.5,15.5,14.626,1930.0
2018-01-25,15.5,15.5,15.5,15.5,14.626,0.0
2018-01-26,15.5,15.5,15.5,15.5,14.626,0.0
2018-01-29,15.5,15.5,15.5,15.5,14.626,0.0
2018-01-30,15.5,15.5,15.5,15.5,14.626,0.0
2018-01-31,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-01,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-02,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-05,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-06,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-07,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-08,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-09,15.5,15.5,15.5,15.5,14.626,0.0
2018-02-12,13.2,13.2,13.2,13.2,12.455,100.0
2018-02-13,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-21,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-22,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-23,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-26,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-27,13.2,13.2,13.2,13.2,12.455,0.0
2018-02-28,13.2,13.2,13.2,13.2,12.455,0.0
