Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-03,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-04,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-05,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-08,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-09,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-10,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-11,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-12,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-15,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-16,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-17,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-18,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-19,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-22,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-23,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-24,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-25,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-26,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-29,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-30,15.3,15.3,15.3,15.3,13.729,0.0
2018-01-31,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-01,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-02,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-05,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-06,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-07,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-08,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-09,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-12,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-13,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-21,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-22,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-23,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-26,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-27,15.3,15.3,15.3,15.3,13.729,0.0
2018-02-28,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-01,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-02,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-05,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-06,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-07,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-08,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-09,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-12,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-13,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-14,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-15,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-16,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-19,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-20,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-21,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-22,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-23,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-26,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-27,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-28,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-29,15.3,15.3,15.3,15.3,13.729,0.0
2018-03-30,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-02,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-03,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-04,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-05,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-06,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-09,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-10,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-11,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-12,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-13,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-16,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-17,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-18,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-19,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-20,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-23,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-24,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-26,15.3,15.3,15.3,15.3,13.729,0.0
2018-04-27,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-02,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-03,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-04,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-07,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-08,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-09,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-10,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-11,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-14,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-15,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-16,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-17,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-18,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-21,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-22,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-23,15.3,15.3,15.3,15.3,13.729,0.0
2018-05-24,15.1,15.1,15.1,15.1,13.729,0.0
2018-05-25,15.1,15.1,15.1,15.1,13.729,0.0
2018-05-28,15.1,15.1,15.1,15.1,13.729,0.0
2018-05-29,15.1,15.1,15.1,15.1,13.729,0.0
2018-05-30,15.1,15.1,15.1,15.1,13.729,0.0
2018-05-31,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-01,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-04,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-05,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-06,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-07,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-08,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-11,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-12,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-13,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-14,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-15,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-18,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-19,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-20,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-21,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-22,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-25,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-26,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-27,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-28,15.1,15.1,15.1,15.1,13.729,0.0
2018-06-29,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-02,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-03,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-04,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-05,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-06,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-09,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-10,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-11,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-12,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-13,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-16,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-17,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-18,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-19,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-20,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-23,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-24,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-25,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-26,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-27,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-30,15.1,15.1,15.1,15.1,13.729,0.0
2018-07-31,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-01,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-02,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-03,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-06,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-07,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-08,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-09,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-10,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-13,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-14,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-15,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-16,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-17,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-20,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-21,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-22,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-23,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-24,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-27,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-28,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-29,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-30,15.1,15.1,15.1,15.1,13.729,0.0
2018-08-31,15.1,15.1,15.1,15.1,13.729,0.0
2018-09-04,15.1,15.1,15.1,15.1,13.729,0.0
2018-09-05,9.1,9.1,9.1,9.1,8.274,1500.0
2018-09-06,9.1,9.1,9.1,9.1,8.274,1000.0
2018-09-07,9.5,9.5,9.5,9.5,8.638,500.0
2018-09-10,9.3,9.1,9.1,9.3,8.456,5000.0
2018-09-11,9.2,9.2,9.2,9.2,8.365,0.0
2018-09-12,9.4,9.3,9.3,9.4,8.547,5000.0
2018-09-13,9.8,9.7,9.7,9.8,8.911,5000.0
2018-09-14,9.8,9.8,9.8,9.8,8.911,6000.0
2018-09-17,10.3,10.2,10.2,10.3,9.365,3000.0
2018-09-18,10.2,10.2,10.2,10.2,9.274,0.0
2018-09-19,10.3,10.3,10.3,10.3,9.365,8000.0
2018-09-20,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-21,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-24,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-25,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-26,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-27,10.3,10.3,10.3,10.3,9.365,0.0
2018-09-28,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-01,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-02,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-03,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-04,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-05,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-08,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-09,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-10,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-11,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-12,10.3,10.3,10.3,10.3,9.365,0.0
2018-10-15,9.0,9.0,9.0,9.0,8.183,500.0
2018-10-16,9.0,9.0,9.0,9.0,8.183,100.0
2018-10-17,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-18,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-19,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-22,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-23,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-24,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-25,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-26,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-29,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-30,9.0,9.0,9.0,9.0,8.183,0.0
2018-10-31,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-01,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-02,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-05,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-06,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-07,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-08,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-09,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-12,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-13,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-14,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-15,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-16,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-19,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-20,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-21,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-22,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-23,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-26,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-27,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-28,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-29,9.0,9.0,9.0,9.0,8.183,0.0
2018-11-30,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-03,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-04,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-05,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-06,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-07,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-10,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-11,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-12,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-13,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-14,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-17,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-18,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-19,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-20,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-21,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-24,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-25,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-26,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-27,9.0,9.0,9.0,9.0,8.183,0.0
2018-12-28,9.0,9.0,9.0,9.0,8.183,0.0
2019-01-02,9.0,9.0,9.0,9.0,8.183,0.0
2019-01-03,9.0,9.0,9.0,9.0,8.183,0.0
2019-01-04,9.0,9.0,9.0,9.0,8.183,0.0
2019-01-07,9.0,9.0,9.0,9.0,8.183,0.0
