Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,21.0,21.0,21.0,21.0,13.271,100.0
2018-01-03,22.6,20.9,22.6,22.6,14.282,800.0
2018-01-04,22.3,22.3,22.3,22.3,14.092,1300.0
2018-01-05,22.4,22.0,22.4,22.3,14.092,17160.0
2018-01-08,20.9,20.9,20.9,20.9,13.208,100.0
2018-01-09,22.2,20.7,22.2,20.7,13.081,2500.0
2018-01-10,22.6,22.0,22.0,22.6,14.282,6000.0
2018-01-11,21.2,21.2,21.2,21.2,13.397,100.0
2018-01-12,21.2,21.2,21.2,21.2,13.397,0.0
2018-01-15,23.3,23.3,23.3,23.3,14.724,1100.0
2018-01-16,23.3,23.3,23.3,23.3,14.724,4001.0
2018-01-17,23.3,23.3,23.3,23.3,14.724,18500.0
2018-01-18,24.8,23.3,23.3,24.8,15.672,8500.0
2018-01-19,25.1,23.1,24.8,25.1,15.862,2400.0
2018-01-22,23.5,23.0,23.5,23.0,14.535,2400.0
2018-01-23,22.5,22.5,22.5,22.5,14.219,100.0
2018-01-24,22.5,22.5,22.5,22.5,14.219,0.0
2018-01-25,24.7,22.3,24.7,22.3,14.092,2000.0
2018-01-26,22.4,21.0,21.1,22.4,14.156,29760.0
2018-01-29,22.4,22.4,22.4,22.4,14.156,2000.0
2018-01-30,24.0,22.5,24.0,22.5,14.219,300.0
2018-01-31,24.5,22.5,24.4,24.5,15.483,11700.0
2018-02-01,26.3,22.5,22.5,26.3,16.62,41100.0
2018-02-02,26.7,23.8,23.8,26.7,16.873,2200.0
2018-02-05,24.1,24.1,24.1,24.1,15.23,100.0
2018-02-06,22.5,22.5,22.5,22.5,14.219,27500.0
2018-02-07,22.5,22.5,22.5,22.5,14.219,5000.0
2018-02-08,22.5,22.5,22.5,22.5,14.219,148.0
2018-02-09,22.5,22.5,22.5,22.5,14.219,5100.0
2018-02-12,24.7,22.5,22.5,24.7,15.609,7400.0
2018-02-13,27.0,22.7,27.0,23.0,14.535,3900.0
2018-02-21,24.5,22.7,24.5,23.0,14.535,4559.0
2018-02-22,23.5,23.5,23.5,23.5,14.851,300.0
2018-02-23,23.5,23.5,23.5,23.5,14.851,10000.0
2018-02-26,23.5,23.0,23.0,23.5,14.851,3100.0
2018-02-27,23.5,23.1,23.5,23.1,14.598,1000.0
2018-02-28,23.5,22.7,22.7,23.1,14.598,400.0
2018-03-01,23.5,22.7,23.5,22.7,14.345,21200.0
2018-03-02,22.7,22.7,22.7,22.7,14.345,0.0
2018-03-05,22.7,22.7,22.7,22.7,14.345,0.0
2018-03-06,23.5,23.1,23.1,23.1,14.598,1732.0
2018-03-07,22.5,22.2,22.2,22.5,14.219,964.0
2018-03-08,22.5,22.5,22.5,22.5,14.219,0.0
2018-03-09,22.3,22.3,22.3,22.3,14.092,100.0
2018-03-12,22.3,22.3,22.3,22.3,14.092,0.0
2018-03-13,22.3,22.3,22.3,22.3,14.092,0.0
2018-03-14,22.3,22.3,22.3,22.3,14.092,0.0
