Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.4,10.4,10.4,10.4,9.542,70.0
2018-01-03,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-04,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-05,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-08,10.4,10.0,10.4,10.3,9.45,2400.0
2018-01-09,10.5,10.3,10.4,10.5,9.633,500.0
2018-01-10,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-11,10.4,10.4,10.4,10.4,9.542,10.0
2018-01-12,10.5,10.4,10.5,10.4,9.542,2500.0
2018-01-15,10.7,10.4,10.5,10.7,9.817,1100.0
2018-01-16,10.6,10.5,10.5,10.6,9.725,2990.0
2018-01-17,10.5,10.3,10.5,10.5,9.633,4010.0
2018-01-18,10.5,10.3,10.5,10.5,9.633,1300.0
2018-01-19,10.3,10.1,10.3,10.1,9.266,1440.0
2018-01-22,10.4,10.4,10.4,10.4,9.542,100.0
2018-01-23,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-24,10.4,10.4,10.4,10.4,9.542,0.0
2018-01-25,10.6,10.6,10.6,10.6,9.725,600.0
2018-01-26,10.7,10.6,10.7,10.6,9.725,5500.0
2018-01-29,10.6,10.6,10.6,10.6,9.725,0.0
2018-01-30,10.6,10.6,10.6,10.6,9.725,0.0
2018-01-31,10.6,10.6,10.6,10.6,9.725,2200.0
2018-02-01,10.6,10.6,10.6,10.6,9.725,0.0
2018-02-02,10.5,10.4,10.4,10.5,9.633,8300.0
2018-02-05,11.0,10.3,11.0,10.3,9.45,1200.0
2018-02-06,11.0,10.1,10.1,11.0,10.092,1800.0
2018-02-07,10.2,10.2,10.2,10.2,9.358,2000.0
2018-02-08,10.2,10.2,10.2,10.2,9.358,0.0
2018-02-09,10.2,10.2,10.2,10.2,9.358,0.0
2018-02-12,10.2,10.2,10.2,10.2,9.358,0.0
2018-02-13,10.0,10.0,10.0,10.0,9.175,800.0
2018-02-21,10.0,10.0,10.0,10.0,9.175,0.0
2018-02-22,10.0,10.0,10.0,10.0,9.175,0.0
2018-02-23,10.0,10.0,10.0,10.0,9.175,0.0
2018-02-26,10.0,10.0,10.0,10.0,9.175,370.0
2018-02-27,11.0,10.8,10.8,11.0,10.092,270.0
2018-02-28,10.2,10.0,10.0,10.2,9.358,2000.0
2018-03-01,10.1,9.9,10.0,10.1,9.266,2460.0
2018-03-02,10.0,10.0,10.0,10.0,9.175,110.0
2018-03-05,10.0,10.0,10.0,10.0,9.175,1620.0
2018-03-06,10.1,10.1,10.1,10.1,9.266,770.0
2018-03-07,10.1,10.1,10.1,10.1,9.266,0.0
2018-03-08,10.1,10.1,10.1,10.1,9.266,0.0
2018-03-09,10.3,10.3,10.3,10.3,9.45,1000.0
2018-03-12,10.3,10.3,10.3,10.3,9.45,1824.0
2018-03-13,10.3,10.3,10.3,10.3,9.45,0.0
2018-03-14,10.0,10.0,10.0,10.0,9.175,2600.0
2018-03-15,9.9,9.9,9.9,9.9,9.083,1000.0
2018-03-16,9.7,9.7,9.7,9.7,8.899,1000.0
2018-03-19,9.7,9.7,9.7,9.7,8.899,0.0
2018-03-20,9.7,9.7,9.7,9.7,8.899,0.0
2018-03-21,10.1,9.9,9.9,10.1,9.266,6404.0
2018-03-22,10.2,10.2,10.2,10.2,9.358,1200.0
2018-03-23,10.9,10.5,10.5,10.5,9.633,2400.0
2018-03-26,10.5,10.3,10.3,10.5,9.633,2080.0
2018-03-27,11.0,10.5,10.5,11.0,10.092,1660.0
2018-03-28,11.0,11.0,11.0,11.0,10.092,700.0
2018-03-29,11.0,11.0,11.0,11.0,10.092,700.0
2018-03-30,11.1,11.0,11.1,11.0,10.092,200.0
2018-04-02,11.1,11.1,11.1,11.1,10.184,0.0
2018-04-03,10.5,10.5,10.5,10.5,9.633,400.0
2018-04-04,11.0,11.0,11.0,11.0,10.092,5600.0
2018-04-05,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-06,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-09,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-10,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-11,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-12,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-13,10.0,10.0,10.0,10.0,9.175,100.0
2018-04-16,10.0,10.0,10.0,10.0,9.175,0.0
2018-04-17,10.0,10.0,10.0,10.0,9.175,1000.0
2018-04-18,10.0,10.0,10.0,10.0,9.175,0.0
2018-04-19,11.0,11.0,11.0,11.0,10.092,700.0
2018-04-20,11.0,11.0,11.0,11.0,10.092,1000.0
2018-04-23,11.0,11.0,11.0,11.0,10.092,0.0
2018-04-24,11.0,11.0,11.0,11.0,10.092,1000.0
2018-04-26,11.0,11.0,11.0,11.0,10.092,2000.0
2018-04-27,11.0,11.0,11.0,11.0,10.092,0.0
