Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.7,11.7,11.7,11.7,5.631,0.0
2018-01-03,11.7,11.7,11.7,11.7,5.631,0.0
2018-01-04,13.4,13.4,13.4,13.4,6.449,100.0
2018-01-05,13.4,13.4,13.4,13.4,6.449,0.0
2018-01-08,15.4,15.3,15.3,15.4,7.412,3600.0
2018-01-09,15.3,15.3,15.3,15.3,7.364,2600.0
2018-01-10,15.0,15.0,15.0,15.0,7.22,500.0
2018-01-11,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-12,15.0,15.0,15.0,15.0,7.22,1000.0
2018-01-15,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-16,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-17,15.0,15.0,15.0,15.0,7.22,1900.0
2018-01-18,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-19,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-22,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-23,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-24,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-25,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-26,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-29,15.0,15.0,15.0,15.0,7.22,500.0
2018-01-30,15.0,15.0,15.0,15.0,7.22,0.0
2018-01-31,15.0,15.0,15.0,15.0,7.22,0.0
2018-02-01,15.0,15.0,15.0,15.0,7.22,0.0
2018-02-02,15.0,15.0,15.0,15.0,7.22,0.0
2018-02-05,15.0,15.0,15.0,15.0,7.22,0.0
2018-02-06,14.2,14.2,14.2,14.2,6.835,500.0
2018-02-07,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-08,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-09,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-12,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-13,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-21,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-22,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-23,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-26,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-27,14.2,14.2,14.2,14.2,6.835,0.0
2018-02-28,14.2,14.2,14.2,14.2,6.835,0.0
2018-03-01,16.3,16.3,16.3,16.3,7.845,1900.0
2018-03-02,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-05,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-06,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-07,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-08,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-09,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-12,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-13,16.3,16.3,16.3,16.3,7.845,0.0
2018-03-14,18.7,18.7,18.7,18.7,9.0,100.0
2018-03-15,20.0,20.0,20.0,20.0,9.626,100.0
2018-03-16,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-19,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-20,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-21,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-22,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-23,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-26,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-27,20.0,20.0,20.0,20.0,9.626,0.0
2018-03-28,17.0,17.0,17.0,17.0,8.182,500.0
2018-03-29,15.0,15.0,15.0,15.0,7.22,1000.0
2018-03-30,15.0,15.0,15.0,15.0,7.22,0.0
2018-04-02,15.2,15.2,15.2,15.2,7.316,100.0
2018-04-03,15.2,15.2,15.2,15.2,7.316,0.0
2018-04-04,16.0,15.5,15.5,16.0,7.701,2400.0
2018-04-05,15.6,15.6,15.6,15.6,7.508,0.0
2018-04-06,15.6,15.6,15.6,15.6,7.508,0.0
2018-04-09,15.6,15.6,15.6,15.6,7.508,0.0
2018-04-10,14.5,14.5,14.5,14.5,6.979,200.0
2018-04-11,15.5,15.1,15.5,15.3,7.364,1400.0
2018-04-12,16.0,16.0,16.0,16.0,7.701,500.0
2018-04-13,16.0,16.0,16.0,16.0,7.701,0.0
2018-04-16,16.0,16.0,16.0,16.0,7.701,0.0
2018-04-17,18.3,17.0,18.3,17.0,8.182,2000.0
2018-04-18,18.0,18.0,18.0,18.0,8.663,0.0
2018-04-19,18.0,18.0,18.0,18.0,8.663,0.0
2018-04-20,18.0,18.0,18.0,18.0,8.663,0.0
