Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,47.75,46.45,46.9,47.7,10.845,4105100.0
2018-01-03,48.5,47.3,48.0,47.6,10.823,4828220.0
2018-01-04,48.4,47.6,47.8,48.2,10.959,4640280.0
2018-01-05,48.45,47.65,48.1,48.0,10.914,3660450.0
2018-01-08,49.5,47.5,47.7,49.5,11.255,3702750.0
2018-01-09,52.9,49.7,49.8,52.9,12.028,5702180.0
2018-01-10,54.0,50.6,53.5,51.7,11.755,6231980.0
2018-01-11,51.9,50.4,51.5,51.7,11.755,5284530.0
2018-01-12,52.9,51.2,52.0,52.1,11.846,5393440.0
2018-01-15,54.6,51.6,51.9,54.6,12.414,3408260.0
2018-01-16,56.0,53.6,54.3,56.0,12.732,4328790.0
2018-01-17,56.2,53.6,55.4,53.6,12.187,5028580.0
2018-01-18,56.0,52.8,53.4,56.0,12.732,5542350.0
2018-01-19,59.9,55.6,56.0,59.7,13.574,7233090.0
2018-01-22,63.8,59.5,59.5,63.6,14.46,6662390.0
2018-01-25,65.0,61.0,64.9,61.5,13.983,13773130.0
2018-01-26,64.5,61.0,62.0,63.9,14.529,4998360.0
2018-01-29,65.0,61.5,64.5,61.5,13.983,5100130.0
2018-01-30,61.5,58.5,60.5,61.3,13.938,10291630.0
2018-01-31,63.8,61.0,61.3,62.3,14.165,5541660.0
2018-02-01,63.0,60.5,62.3,61.0,13.869,2813090.0
2018-02-02,61.4,59.7,61.0,61.1,13.892,3673050.0
2018-02-05,60.4,57.0,59.9,57.0,12.96,7317220.0
2018-02-06,59.4,53.1,53.1,58.0,13.187,14973300.0
2018-02-07,61.5,59.1,60.5,59.5,13.528,5682060.0
2018-02-08,60.8,58.8,59.5,59.7,13.574,4633450.0
2018-02-09,59.4,56.8,56.8,58.3,13.255,9028840.0
2018-02-12,59.7,57.9,58.3,58.8,13.369,6576890.0
2018-02-13,61.1,59.0,59.0,60.6,13.778,5281840.0
2018-02-21,61.8,59.7,61.5,60.0,13.642,8779720.0
2018-02-22,59.6,58.7,59.5,58.9,13.392,4928900.0
2018-02-23,62.0,58.8,59.0,61.6,14.006,10695740.0
2018-02-26,64.6,62.2,62.9,64.4,14.642,8761510.0
2018-02-27,64.9,63.4,64.9,64.1,14.574,7780430.0
2018-02-28,66.0,62.9,63.5,66.0,15.006,11050630.0
2018-03-01,67.8,65.0,65.9,66.7,15.165,6516250.0
2018-03-02,66.7,64.7,65.1,66.3,15.074,7746200.0
2018-03-05,66.3,61.7,66.2,61.7,14.028,18962710.0
2018-03-06,64.1,59.2,62.0,63.9,14.529,8543250.0
2018-03-07,63.9,60.5,61.5,61.1,13.892,6712590.0
2018-03-08,62.6,60.1,60.9,61.8,14.051,4777230.0
2018-03-09,62.4,61.2,62.0,61.5,13.983,4792550.0
2018-03-12,62.4,61.4,61.5,62.0,14.097,2965770.0
2018-03-13,62.0,61.2,61.9,61.5,13.983,2925900.0
2018-03-14,62.3,61.7,61.9,61.8,14.051,2654570.0
2018-03-15,61.5,60.4,61.5,60.6,13.778,4149230.0
2018-03-16,60.9,59.6,60.3,60.2,13.687,9631780.0
2018-03-19,63.9,61.0,61.0,63.1,14.347,5218860.0
2018-03-20,62.9,61.5,62.8,61.5,13.983,3422270.0
2018-03-21,63.4,61.6,61.6,63.0,14.324,4866590.0
2018-03-22,64.3,62.5,63.0,62.8,14.279,6581870.0
2018-03-23,62.0,60.5,60.5,61.4,13.96,5420930.0
2018-03-26,61.3,58.5,60.7,58.9,13.392,11065710.0
2018-03-27,59.9,58.6,58.6,59.4,13.506,5798310.0
2018-03-28,60.2,58.8,59.4,59.9,13.619,2410560.0
2018-03-29,61.2,59.8,60.0,60.8,13.824,3683450.0
2018-03-30,61.3,60.1,61.2,60.4,13.733,2577560.0
2018-04-02,60.6,59.0,60.5,59.0,13.415,6093790.0
2018-04-03,59.5,57.5,59.0,58.5,13.301,6349810.0
2018-04-04,59.3,58.5,59.0,59.0,13.415,2908600.0
2018-04-05,59.4,58.6,59.3,58.8,13.369,2089950.0
2018-04-06,60.4,58.5,58.7,60.4,13.733,4899110.0
2018-04-09,61.2,60.0,60.6,60.8,13.824,4479210.0
2018-04-10,61.1,60.1,60.8,60.8,13.824,4651830.0
2018-04-11,62.0,60.4,61.0,60.5,13.756,7191440.0
2018-04-12,61.9,59.9,60.2,61.7,14.028,4513010.0
2018-04-13,62.1,60.9,62.0,61.2,13.915,3273780.0
2018-04-16,61.0,60.1,60.5,60.1,13.665,2178130.0
2018-04-17,60.4,59.0,60.4,59.7,13.574,3369400.0
2018-04-18,60.2,59.0,59.9,59.0,13.415,2757790.0
2018-04-19,59.1,57.0,58.6,57.0,12.96,5118490.0
2018-04-20,58.8,56.2,57.0,58.8,13.369,3297740.0
2018-04-23,58.9,55.5,58.9,55.6,12.642,2822400.0
2018-04-24,56.9,55.0,55.5,56.0,12.732,3808590.0
2018-04-26,56.8,53.1,56.0,53.5,12.164,4650560.0
2018-04-27,54.0,51.8,53.5,53.8,12.232,5135100.0
2018-05-02,55.4,53.3,54.4,54.4,12.369,4197690.0
2018-05-03,54.5,53.4,54.3,54.3,12.346,5325700.0
2018-05-04,55.3,53.9,54.8,54.0,12.278,2599490.0
2018-05-07,56.0,53.9,54.4,56.0,12.732,3773870.0
2018-05-08,57.9,55.2,55.9,57.0,12.96,4689060.0
2018-05-09,57.5,56.1,56.8,57.0,12.96,2016460.0
2018-05-10,56.9,55.0,56.7,55.2,12.551,2628190.0
2018-05-11,55.8,54.5,54.6,55.7,12.664,2728770.0
2018-05-14,56.3,55.0,56.1,55.8,12.687,2798580.0
2018-05-15,56.2,55.2,55.9,55.4,12.596,2482800.0
2018-05-16,56.2,53.9,55.1,54.0,12.278,3144190.0
2018-05-17,54.2,52.8,54.0,53.0,12.05,4117510.0
2018-05-18,53.9,52.5,53.2,53.9,12.255,3743020.0
2018-05-21,54.6,53.2,54.5,53.2,12.096,2366300.0
2018-05-22,53.0,50.5,52.9,50.5,11.482,6301030.0
2018-05-23,52.0,50.3,50.3,51.7,11.755,3291430.0
2018-05-24,52.4,51.6,52.0,52.4,11.914,3650040.0
2018-05-25,53.3,51.8,52.4,52.1,11.846,5347460.0
2018-05-28,52.0,48.7,50.6,48.7,11.073,5307490.0
2018-05-29,52.1,48.7,48.7,52.0,11.823,4982880.0
2018-05-30,53.4,50.9,52.1,52.8,12.005,6303310.0
2018-05-31,56.1,52.8,52.9,56.1,12.755,9232180.0
2018-06-01,57.4,56.1,56.5,57.0,12.96,6643770.0
2018-06-04,60.0,57.3,57.9,60.0,13.642,5646190.0
2018-06-05,60.2,58.5,60.0,59.0,13.415,6122250.0
2018-06-06,61.0,58.5,59.2,60.8,13.824,6063330.0
2018-06-07,62.4,60.8,61.0,61.9,14.074,5446810.0
2018-06-08,62.0,61.2,62.0,61.3,13.938,3600330.0
2018-06-11,61.7,60.5,61.0,60.6,13.778,8041000.0
2018-06-12,44.3,41.7,44.3,42.5,13.528,10591380.0
2018-06-13,43.6,42.3,42.4,43.4,13.814,3666430.0
2018-06-14,44.45,42.55,43.8,42.6,13.56,6574380.0
2018-06-15,43.0,41.8,42.5,43.0,13.687,4820810.0
2018-06-18,42.7,40.2,42.7,40.2,12.796,7388100.0
2018-06-19,39.5,37.5,38.8,38.35,12.207,13163240.0
2018-06-20,40.0,37.8,39.0,40.0,12.732,5767930.0
2018-06-21,39.95,39.0,39.95,39.25,12.493,3879280.0
2018-06-22,40.95,38.8,39.0,40.95,13.035,7178290.0
2018-06-25,42.15,41.05,42.0,41.5,13.21,3464240.0
2018-06-26,41.15,40.0,40.6,41.1,13.082,2672780.0
2018-06-27,41.15,39.5,40.9,39.5,12.573,3374170.0
2018-06-28,39.8,38.6,38.8,38.85,12.366,4260340.0
2018-06-29,39.2,37.95,38.8,38.4,12.223,5171070.0
2018-07-02,38.5,37.0,38.0,38.4,12.223,6223040.0
2018-07-03,38.8,36.3,38.4,36.3,11.554,5823250.0
2018-07-04,37.45,36.2,36.8,37.1,11.809,3769000.0
2018-07-05,37.5,35.8,37.1,36.1,11.491,4246120.0
2018-07-06,37.8,35.2,36.05,36.8,11.714,5279160.0
2018-07-09,37.5,35.4,37.5,35.7,11.364,3847250.0
2018-07-10,36.1,35.5,35.5,35.5,11.3,3023470.0
2018-07-11,35.4,33.8,34.9,34.4,10.95,7028880.0
2018-07-12,34.15,33.2,33.3,33.75,10.743,3327390.0
2018-07-13,35.65,34.05,34.2,35.6,11.332,4729750.0
2018-07-16,36.25,35.35,36.1,35.5,11.3,3329260.0
2018-07-17,36.15,35.0,35.0,36.1,11.491,3378710.0
2018-07-18,37.35,36.1,36.3,37.2,11.841,6330670.0
2018-07-19,37.75,37.1,37.45,37.2,11.841,3514150.0
2018-07-20,37.0,36.25,36.8,36.7,11.682,4976130.0
2018-07-23,37.6,36.6,37.1,36.95,11.761,5595420.0
2018-07-24,36.95,35.1,36.9,35.4,11.268,12245700.0
2018-07-25,35.8,35.2,35.4,35.5,11.3,5722050.0
2018-07-26,36.5,35.4,35.5,36.5,11.618,8216850.0
2018-07-27,37.35,36.35,36.75,37.3,11.873,4810640.0
2018-07-30,37.8,36.9,37.6,37.05,11.793,6039970.0
2018-07-31,37.65,36.55,36.9,37.35,11.889,5772660.0
2018-08-01,38.15,37.3,37.4,37.6,11.968,6858830.0
2018-08-02,37.5,36.5,37.5,37.25,11.857,6073010.0
2018-08-03,37.55,36.3,37.5,36.3,11.554,5949600.0
2018-08-06,36.35,35.6,36.35,36.15,11.507,4646830.0
2018-08-07,36.15,35.8,36.15,36.15,11.507,4866190.0
2018-08-08,36.85,36.1,36.2,36.7,11.682,3433350.0
2018-08-09,37.2,36.5,36.9,36.55,11.634,4586550.0
2018-08-10,37.1,36.45,36.45,37.0,11.777,4206330.0
2018-08-13,38.35,36.7,36.9,38.3,12.191,11400140.0
2018-08-14,38.9,38.25,38.5,38.5,12.255,5313160.0
2018-08-15,38.75,37.3,38.5,37.5,11.936,4685310.0
2018-08-16,37.7,36.95,37.0,37.5,11.936,6993170.0
2018-08-17,38.2,37.45,37.9,37.7,12.0,3745240.0
2018-08-20,37.7,37.15,37.7,37.25,11.857,3542590.0
2018-08-21,37.5,37.05,37.1,37.5,11.936,3423060.0
2018-08-22,38.4,37.45,37.6,38.0,12.096,6056930.0
2018-08-23,38.35,37.9,37.9,38.1,12.127,3848180.0
2018-08-24,38.4,37.8,38.0,38.35,12.207,5677060.0
2018-08-27,39.3,38.5,38.6,38.95,12.398,5469600.0
2018-08-28,40.2,39.0,39.0,39.9,12.7,11013110.0
2018-08-29,40.65,39.6,40.0,39.6,12.605,6878210.0
2018-08-30,39.8,39.15,39.6,39.65,12.621,6445830.0
2018-08-31,40.35,39.6,39.8,39.95,12.716,6134410.0
2018-09-04,39.9,39.0,39.7,39.0,12.414,4474530.0
2018-09-05,39.25,38.5,38.8,38.6,12.287,4632970.0
2018-09-06,39.2,38.5,38.6,38.65,12.303,4485480.0
2018-09-07,39.8,38.6,38.6,39.7,12.637,5407420.0
2018-09-10,39.8,39.2,39.65,39.2,12.478,2575640.0
2018-09-11,40.2,39.05,39.05,40.0,12.732,6918510.0
2018-09-12,40.25,39.5,40.1,39.5,12.573,5608340.0
2018-09-13,40.25,39.5,39.7,39.75,12.653,4751230.0
2018-09-14,40.05,39.5,39.8,39.5,12.573,4652530.0
2018-09-17,39.65,39.15,39.3,39.45,12.557,2372700.0
2018-09-18,39.45,38.8,39.2,39.45,12.557,7281960.0
2018-09-19,39.9,39.6,39.8,39.65,12.621,4490210.0
2018-09-20,40.9,39.7,39.9,40.9,13.019,9974190.0
2018-09-21,41.4,40.65,41.0,41.3,13.146,14273500.0
2018-09-24,41.7,41.1,41.7,41.3,13.146,4430010.0
2018-09-25,41.4,40.85,41.0,41.25,13.13,4476220.0
2018-09-26,41.45,41.0,41.25,41.0,13.051,5014340.0
2018-09-27,41.6,41.1,41.2,41.55,13.226,5592570.0
2018-09-28,42.35,41.5,41.6,42.3,13.464,9618060.0
2018-10-01,42.95,42.05,42.3,42.4,13.496,6816120.0
2018-10-02,42.05,41.15,41.75,41.3,13.146,10602070.0
2018-10-03,41.6,41.0,41.0,41.3,13.146,4992960.0
2018-10-04,41.4,40.9,41.2,41.4,13.178,11906470.0
2018-10-05,41.9,41.2,41.4,41.45,13.194,6048270.0
2018-10-08,41.45,41.05,41.2,41.2,13.114,3740940.0
2018-10-09,41.5,41.0,41.5,41.0,13.051,3708340.0
2018-10-10,41.75,40.95,41.1,41.4,13.178,6742900.0
2018-10-11,40.6,39.3,40.1,39.9,12.7,15991110.0
2018-10-12,40.8,39.4,39.4,40.8,12.987,6596990.0
2018-10-15,40.7,40.2,40.7,40.35,12.844,4218380.0
2018-10-16,40.75,40.35,40.35,40.75,12.971,2908510.0
2018-10-17,41.25,40.85,41.2,41.0,13.051,5125430.0
2018-10-18,41.15,40.7,41.0,41.0,13.051,4084530.0
2018-10-19,41.05,40.4,40.7,40.75,12.971,4992750.0
2018-10-22,40.95,40.1,40.8,40.1,12.764,2565350.0
2018-10-23,39.95,38.9,39.95,39.5,12.573,10012340.0
2018-10-24,39.9,39.2,39.2,39.2,12.478,5213790.0
2018-10-25,39.15,37.85,38.0,39.0,12.414,7241940.0
2018-10-26,39.6,38.9,39.3,38.9,12.382,5147210.0
2018-10-29,38.9,38.6,38.65,38.85,12.366,4460930.0
2018-10-30,39.35,38.6,38.6,38.7,12.318,2685010.0
2018-10-31,40.25,39.05,39.1,40.25,12.812,4239400.0
2018-11-01,39.95,39.4,39.9,39.6,12.605,2241010.0
2018-11-02,40.15,39.8,40.0,40.0,12.732,3595700.0
2018-11-05,40.0,39.5,39.6,40.0,12.732,2233570.0
2018-11-06,40.15,39.6,40.1,39.6,12.605,1700170.0
2018-11-07,39.8,39.15,39.6,39.15,12.462,2813620.0
2018-11-08,39.85,38.9,39.85,38.9,12.382,2801350.0
2018-11-09,38.85,37.6,38.6,37.6,11.968,5710610.0
2018-11-12,37.75,37.15,37.6,37.55,11.952,2803560.0
2018-11-13,37.3,36.8,37.0,36.9,11.745,5403540.0
2018-11-14,36.85,35.25,36.85,35.8,11.395,8274360.0
2018-11-15,35.95,34.75,35.5,35.0,11.141,6829060.0
2018-11-16,35.7,35.05,35.5,35.2,11.204,2321900.0
2018-11-19,35.8,35.15,35.5,35.45,11.284,1664620.0
2018-11-20,36.65,35.4,35.6,36.5,11.618,5710000.0
2018-11-21,36.8,36.0,36.05,36.5,11.618,3805730.0
2018-11-22,36.75,35.8,36.6,35.8,11.395,2743490.0
2018-11-23,36.0,35.5,35.8,35.55,11.316,2056060.0
2018-11-26,36.2,35.55,35.6,35.6,11.332,2477200.0
2018-11-27,36.2,35.6,35.8,35.6,11.332,1896260.0
