Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.7,11.7,11.7,11.7,8.07,200.0
2018-01-03,11.7,11.7,11.7,11.7,8.07,0.0
2018-01-04,10.2,10.2,10.2,10.2,7.036,100.0
2018-01-05,11.7,11.7,11.7,11.7,8.07,500.0
2018-01-08,10.1,10.1,10.1,10.1,6.967,500.0
2018-01-09,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-10,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-11,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-12,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-15,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-16,10.1,10.1,10.1,10.1,6.967,0.0
2018-01-17,11.6,11.6,11.6,11.6,8.001,100.0
2018-01-18,13.1,11.3,13.1,11.3,7.794,14000.0
2018-01-19,11.5,11.5,11.5,11.5,7.932,400.0
2018-01-22,11.5,11.5,11.5,11.5,7.932,0.0
2018-01-23,11.5,11.5,11.5,11.5,7.932,0.0
2018-01-24,11.5,11.5,11.5,11.5,7.932,0.0
2018-01-25,11.5,11.5,11.5,11.5,7.932,0.0
2018-01-26,11.5,11.5,11.5,11.5,7.932,0.0
2018-01-29,12.9,10.3,12.9,10.3,7.104,400.0
2018-01-30,10.9,10.9,10.9,10.9,7.518,500.0
2018-01-31,10.9,10.9,10.9,10.9,7.518,0.0
2018-02-01,10.9,10.9,10.9,10.9,7.518,0.0
2018-02-02,10.9,10.9,10.9,10.9,7.518,0.0
2018-02-05,10.9,10.9,10.9,10.9,7.518,0.0
2018-02-06,10.9,10.9,10.9,10.9,7.518,0.0
2018-02-07,12.5,10.5,12.5,10.5,7.242,1100.0
2018-02-08,12.3,12.3,12.3,12.3,8.484,0.0
2018-02-09,12.3,12.3,12.3,12.3,8.484,0.0
2018-02-12,12.3,12.3,12.3,12.3,8.484,0.0
2018-02-13,12.3,12.3,12.3,12.3,8.484,0.0
2018-02-21,12.0,12.0,12.0,12.0,8.277,100.0
2018-02-22,10.6,10.6,10.6,10.6,7.311,500.0
2018-02-23,12.1,12.1,12.1,12.1,8.346,1000.0
2018-02-26,10.3,10.3,10.3,10.3,7.104,500.0
2018-02-27,11.8,11.8,11.8,11.8,8.139,1000.0
2018-02-28,13.5,13.5,13.5,13.5,9.312,9000.0
2018-03-01,11.6,11.6,11.6,11.6,8.001,500.0
2018-03-02,10.5,10.5,10.5,10.5,7.242,100.0
2018-03-05,12.0,12.0,12.0,12.0,8.277,100.0
2018-03-06,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-07,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-08,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-09,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-12,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-13,12.0,12.0,12.0,12.0,8.277,0.0
2018-03-14,13.8,10.6,13.8,10.6,7.311,700.0
2018-03-15,15.2,15.2,15.2,15.2,10.484,500.0
2018-03-16,13.1,13.1,13.1,13.1,9.036,300.0
2018-03-19,11.4,11.4,11.4,11.4,7.863,200.0
2018-03-20,11.4,11.4,11.4,11.4,7.863,0.0
2018-03-21,11.4,11.4,11.4,11.4,7.863,0.0
2018-03-22,11.4,11.4,11.4,11.4,7.863,0.0
2018-03-23,11.4,11.4,11.4,11.4,7.863,0.0
2018-03-26,11.0,11.0,11.0,11.0,7.587,4700.0
2018-03-27,11.0,11.0,11.0,11.0,7.587,0.0
2018-03-28,11.0,11.0,11.0,11.0,7.587,0.0
2018-03-29,12.6,12.5,12.5,12.6,8.691,1100.0
2018-03-30,11.0,11.0,11.0,11.0,7.587,300.0
2018-04-02,11.0,11.0,11.0,11.0,7.587,0.0
2018-04-03,11.0,11.0,11.0,11.0,7.587,0.0
2018-04-04,12.6,12.6,12.6,12.6,8.691,100.0
2018-04-05,12.6,12.6,12.6,12.6,8.691,0.0
2018-04-06,12.6,12.6,12.6,12.6,8.691,0.0
2018-04-09,12.6,12.6,12.6,12.6,8.691,0.0
