Date,High,Low,Open,Close,Adj Close,Volume
2018-07-24,28.6,26.8,26.8,28.6,14.104,1437600.0
2018-07-25,28.8,28.0,28.6,28.7,14.153,543400.0
2018-07-26,28.8,27.0,28.7,27.0,13.315,408020.0
2018-07-27,27.45,27.0,27.0,27.45,13.537,542040.0
2018-07-30,27.8,27.45,27.5,27.5,13.562,610110.0
2018-07-31,27.6,27.2,27.2,27.35,13.487,337200.0
2018-08-01,27.5,27.0,27.0,27.15,13.389,534390.0
2018-08-02,27.4,27.0,27.3,27.15,13.389,508410.0
2018-08-03,27.2,26.9,27.1,26.9,13.265,506080.0
2018-08-06,27.1,26.8,26.9,27.0,13.315,622430.0
2018-08-07,27.2,26.9,26.95,27.2,13.413,351390.0
2018-08-08,27.4,27.0,27.0,27.3,13.463,247830.0
2018-08-09,27.4,27.0,27.3,27.1,13.364,465370.0
2018-08-10,27.15,26.95,27.1,27.05,13.339,278970.0
2018-08-13,27.3,27.05,27.05,27.2,13.413,375260.0
2018-08-14,27.5,27.1,27.2,27.5,13.562,696230.0
2018-08-15,27.6,27.3,27.5,27.3,13.463,572800.0
2018-08-16,27.4,27.2,27.3,27.3,13.463,340040.0
2018-08-17,27.4,27.2,27.2,27.3,13.463,226490.0
2018-08-20,27.4,27.1,27.2,27.1,13.364,331940.0
2018-08-21,27.2,27.0,27.2,27.1,13.364,402040.0
2018-08-22,27.2,27.0,27.1,27.1,13.364,335780.0
2018-08-23,27.3,27.05,27.1,27.1,13.364,204460.0
2018-08-24,27.3,27.1,27.1,27.2,13.413,192410.0
2018-08-27,27.25,27.1,27.15,27.2,13.413,163580.0
2018-08-28,27.3,27.0,27.2,27.1,13.364,234190.0
2018-08-29,27.2,27.05,27.1,27.05,13.339,253550.0
2018-08-30,27.15,27.05,27.05,27.15,13.389,200170.0
2018-08-31,27.3,27.0,27.15,27.25,13.437,243880.0
2018-09-04,27.5,27.2,27.25,27.4,13.511,308090.0
2018-09-05,27.45,27.2,27.25,27.2,13.413,306240.0
2018-09-06,27.25,27.0,27.2,27.2,13.413,212110.0
2018-09-07,27.35,27.2,27.2,27.25,13.437,205740.0
2018-09-10,27.35,27.2,27.2,27.3,13.463,201510.0
2018-09-11,27.35,27.0,27.3,27.25,13.437,134470.0
2018-09-12,27.3,27.0,27.2,27.25,13.437,186410.0
2018-09-13,27.25,27.0,27.2,27.25,13.437,303640.0
2018-09-14,27.35,27.2,27.25,27.25,13.437,340800.0
2018-09-17,27.3,27.0,27.2,27.0,13.315,411830.0
2018-09-18,27.2,27.0,27.0,27.1,13.364,336020.0
2018-09-19,27.15,27.0,27.1,27.15,13.389,205190.0
2018-09-20,27.15,26.8,27.15,27.0,13.315,55450.0
2018-09-21,27.2,26.9,27.0,27.0,13.315,23220.0
2018-09-24,27.15,26.95,27.0,27.1,13.364,38560.0
2018-09-25,27.1,26.95,27.1,27.0,13.315,24210.0
2018-09-26,27.0,26.9,27.0,27.0,13.315,35330.0
2018-09-27,27.0,26.95,27.0,27.0,13.315,20790.0
2018-09-28,27.05,26.95,27.0,27.0,13.315,11570.0
2018-10-01,27.1,27.0,27.0,27.05,13.339,35980.0
2018-10-02,27.1,26.9,27.05,26.9,13.265,35660.0
2018-10-03,27.0,26.9,26.9,27.0,13.315,35020.0
2018-10-04,27.05,26.95,27.0,27.0,13.315,36460.0
2018-10-05,27.0,26.9,27.0,26.95,13.29,21470.0
2018-10-08,27.0,26.9,26.95,26.9,13.265,15870.0
2018-10-09,26.95,26.9,26.9,26.9,13.265,12220.0
2018-10-10,27.0,26.8,26.9,27.0,13.315,35970.0
2018-10-11,27.15,26.7,26.95,27.05,13.339,121360.0
2018-10-12,27.05,26.85,26.9,27.05,13.339,75760.0
2018-10-15,27.1,26.95,27.05,27.0,13.315,82410.0
