Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,27.0,27.0,27.0,27.0,15.153,0.0
2018-01-03,27.0,27.0,27.0,27.0,15.153,0.0
2018-01-04,27.0,27.0,27.0,27.0,15.153,0.0
2018-01-05,23.0,23.0,23.0,23.0,12.908,100.0
2018-01-08,23.0,23.0,23.0,23.0,12.908,0.0
2018-01-09,23.0,23.0,23.0,23.0,12.908,0.0
2018-01-10,19.6,19.6,19.6,19.6,11.0,100.0
2018-01-11,22.5,22.5,22.5,22.5,12.628,100.0
2018-01-12,22.5,22.5,22.5,22.5,12.628,0.0
2018-01-15,22.1,22.1,22.1,22.1,12.403,100.0
2018-01-16,22.1,22.1,22.1,22.1,12.403,0.0
2018-01-17,22.1,22.1,22.1,22.1,12.403,0.0
2018-01-18,22.1,22.1,22.1,22.1,12.403,0.0
2018-01-19,22.6,22.6,22.6,22.6,12.684,100.0
2018-01-22,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-23,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-24,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-25,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-26,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-29,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-30,22.6,22.6,22.6,22.6,12.684,0.0
2018-01-31,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-01,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-02,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-05,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-06,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-07,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-08,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-09,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-12,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-13,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-21,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-22,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-23,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-26,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-27,22.6,22.6,22.6,22.6,12.684,0.0
2018-02-28,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-01,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-02,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-05,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-06,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-07,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-08,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-09,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-12,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-13,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-14,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-15,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-16,22.6,22.6,22.6,22.6,12.684,0.0
2018-03-19,13.6,13.6,13.6,13.6,7.633,100.0
2018-03-20,13.6,13.6,13.6,13.6,7.633,0.0
2018-03-21,15.6,15.6,15.6,15.6,8.755,100.0
2018-03-22,17.9,17.9,17.9,17.9,10.046,100.0
2018-03-23,17.9,17.9,17.9,17.9,10.046,0.0
2018-03-26,20.5,20.5,20.5,20.5,11.505,100.0
2018-03-27,23.5,23.5,23.5,23.5,13.189,100.0
2018-03-28,23.6,23.6,23.6,23.6,13.245,100.0
2018-03-29,24.1,24.1,24.1,24.1,13.526,100.0
2018-03-30,24.1,24.1,24.1,24.1,13.526,0.0
2018-04-02,20.5,20.5,20.5,20.5,11.505,100.0
2018-04-03,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-04,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-05,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-06,23.5,17.5,17.5,23.5,13.189,200.0
2018-04-09,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-10,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-11,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-12,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-13,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-16,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-17,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-18,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-19,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-20,20.5,20.5,20.5,20.5,11.505,0.0
2018-04-23,23.5,23.5,23.5,23.5,13.189,100.0
2018-04-24,23.5,23.5,23.5,23.5,13.189,0.0
2018-04-26,23.5,23.5,23.5,23.5,13.189,0.0
2018-04-27,27.0,27.0,27.0,27.0,15.153,500.0
2018-05-02,30.0,30.0,30.0,30.0,16.837,500.0
2018-05-03,30.0,30.0,30.0,30.0,16.837,0.0
2018-05-04,30.0,30.0,30.0,30.0,16.837,0.0
2018-05-07,34.0,34.0,34.0,34.0,19.082,100.0
2018-05-08,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-09,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-10,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-11,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-14,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-15,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-16,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-17,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-18,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-21,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-22,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-23,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-24,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-25,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-28,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-29,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-30,34.0,34.0,34.0,34.0,19.082,0.0
2018-05-31,34.0,34.0,34.0,34.0,19.082,0.0
2018-06-01,34.0,34.0,34.0,34.0,19.082,0.0
2018-06-04,34.0,34.0,34.0,34.0,19.082,0.0
2018-06-05,28.9,28.9,28.9,28.9,16.22,100.0
2018-06-06,28.9,28.9,28.9,28.9,16.22,0.0
2018-06-07,28.9,28.9,28.9,28.9,16.22,0.0
2018-06-08,28.9,28.9,28.9,28.9,16.22,0.0
2018-06-11,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-12,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-13,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-14,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-15,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-18,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-19,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-20,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-21,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-22,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-25,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-26,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-27,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-28,26.4,26.4,26.4,26.4,16.22,0.0
2018-06-29,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-02,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-03,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-04,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-05,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-06,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-09,26.4,26.4,26.4,26.4,16.22,0.0
2018-07-10,22.5,22.5,22.5,22.5,13.823,100.0
2018-07-11,19.2,19.2,19.2,19.2,11.796,100.0
2018-07-12,19.2,19.2,19.2,19.2,11.796,0.0
2018-07-13,22.0,22.0,22.0,22.0,13.516,100.0
2018-07-16,22.0,22.0,22.0,22.0,13.516,0.0
2018-07-17,25.3,25.3,25.3,25.3,15.544,100.0
2018-07-18,29.0,29.0,29.0,29.0,17.817,100.0
2018-07-19,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-20,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-23,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-24,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-25,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-26,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-27,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-30,29.0,29.0,29.0,29.0,17.817,0.0
2018-07-31,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-01,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-02,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-03,29.0,29.0,29.0,29.0,17.817,200.0
2018-08-06,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-07,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-08,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-09,29.0,29.0,29.0,29.0,17.817,0.0
2018-08-10,29.0,29.0,29.0,29.0,17.817,0.0
