Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,24.9,24.55,24.8,24.65,13.144,1886420.0
2018-01-03,25.45,24.75,24.8,25.3,13.49,4963100.0
2018-01-04,25.85,25.3,25.5,25.75,13.73,3760710.0
2018-01-05,25.8,25.0,25.75,25.2,13.437,3887470.0
2018-01-08,25.4,24.5,24.9,25.3,13.49,3480500.0
2018-01-09,27.05,25.25,25.25,27.05,14.424,10399640.0
2018-01-10,28.3,27.05,27.6,27.55,14.69,8334180.0
2018-01-11,27.9,26.8,27.5,27.55,14.69,5405710.0
2018-01-12,28.2,27.0,27.4,27.4,14.61,6179350.0
2018-01-15,28.75,27.0,27.3,28.65,15.277,7274990.0
2018-01-16,28.65,27.4,28.5,27.4,14.61,6895370.0
2018-01-17,27.2,25.5,27.0,25.5,13.597,10745770.0
2018-01-18,25.5,24.3,24.65,25.5,13.597,6730670.0
2018-01-19,26.1,25.45,25.7,25.55,13.624,4030390.0
2018-01-22,26.2,25.2,25.7,26.05,13.89,4869060.0
2018-01-25,26.1,25.15,25.95,25.2,13.437,6892610.0
2018-01-26,25.8,25.2,25.3,25.45,13.57,2991920.0
2018-01-29,26.3,25.5,25.5,26.2,13.97,4198060.0
2018-01-30,26.3,25.5,26.2,26.0,13.864,3706960.0
2018-01-31,26.7,25.2,25.9,26.1,13.917,5734090.0
2018-02-01,26.3,25.6,26.3,25.65,13.677,2051130.0
2018-02-02,26.0,25.45,25.85,25.8,13.757,1102880.0
2018-02-05,25.5,24.0,25.35,24.0,12.797,3586950.0
2018-02-06,24.0,22.35,22.45,23.5,12.531,5970250.0
2018-02-07,24.9,24.0,24.1,24.25,12.931,1702630.0
2018-02-08,24.2,22.95,24.2,22.95,12.237,2743420.0
2018-02-09,22.7,21.9,22.35,22.6,12.051,2236990.0
2018-02-12,23.45,22.75,23.0,23.0,12.264,1445180.0
2018-02-13,23.9,23.35,23.45,23.7,12.637,1833090.0
2018-02-21,24.4,23.6,24.0,24.2,12.904,2421280.0
2018-02-22,25.1,23.75,23.95,24.55,13.091,5358140.0
2018-02-23,26.0,24.95,24.95,25.85,13.784,4652300.0
2018-02-26,26.3,24.9,25.9,24.9,13.277,3523380.0
2018-02-27,25.1,24.25,24.8,24.75,13.197,2058010.0
2018-02-28,24.6,24.15,24.3,24.3,12.957,2848460.0
2018-03-01,25.3,24.05,24.3,24.9,13.277,2109950.0
2018-03-02,24.9,24.45,24.5,24.6,13.117,1748460.0
2018-03-05,24.5,23.35,24.5,23.4,12.477,4759030.0
2018-03-06,24.6,23.0,23.6,24.6,13.117,2667010.0
2018-03-07,25.5,24.3,24.4,24.9,13.277,2924300.0
2018-03-08,25.45,24.5,24.85,24.5,13.064,1730190.0
2018-03-09,24.7,24.2,24.65,24.3,12.957,2264000.0
2018-03-12,24.3,23.5,24.2,23.55,12.557,3216990.0
2018-03-13,24.4,23.2,23.5,24.25,12.931,3393420.0
2018-03-14,24.5,23.75,24.1,23.9,12.744,1813010.0
2018-03-15,24.0,23.35,23.8,24.0,12.797,2603250.0
2018-03-16,23.95,23.45,23.95,23.45,12.504,2980420.0
2018-03-19,23.9,23.35,23.75,23.4,12.477,1377800.0
2018-03-20,23.7,23.3,23.3,23.4,12.477,1283160.0
2018-03-21,23.7,23.3,23.5,23.6,12.584,1434570.0
2018-03-22,23.9,23.5,23.6,23.8,12.691,1291230.0
2018-03-23,23.7,23.1,23.3,23.7,12.637,1856540.0
2018-03-26,23.7,22.7,23.7,22.7,12.104,2749450.0
2018-03-27,23.1,22.8,22.8,22.9,12.211,1752730.0
2018-03-28,22.9,22.6,22.8,22.9,12.211,869290.0
2018-03-29,22.95,22.65,22.65,22.9,12.211,854510.0
2018-03-30,22.8,22.45,22.55,22.8,12.428,916230.0
2018-04-02,23.0,22.65,22.9,22.8,12.428,936690.0
2018-04-03,22.7,22.05,22.6,22.25,12.129,1697120.0
2018-04-04,22.7,22.2,22.2,22.7,12.374,1705620.0
2018-04-05,22.7,22.4,22.7,22.6,12.319,1503610.0
2018-04-06,22.6,22.25,22.5,22.4,12.21,1589230.0
2018-04-09,22.8,22.3,22.3,22.8,12.428,2306000.0
2018-04-10,23.15,22.6,22.9,22.6,12.319,1398050.0
2018-04-11,22.7,21.5,22.6,21.85,11.911,2148370.0
2018-04-12,22.0,20.85,21.8,21.0,11.447,3343250.0
2018-04-13,21.0,19.75,21.0,19.75,10.766,4366250.0
2018-04-16,19.6,18.75,19.55,19.0,10.357,3015070.0
2018-04-17,19.9,18.95,19.0,19.9,10.848,1579220.0
2018-04-18,19.9,19.45,19.55,19.65,10.711,2323650.0
2018-04-19,19.45,18.6,19.45,18.6,10.139,2656800.0
2018-04-20,19.0,18.1,18.7,18.55,10.112,1754900.0
2018-04-23,18.55,17.3,18.55,17.3,9.43,3939760.0
2018-04-24,17.3,16.65,16.8,16.75,9.13,1858360.0
2018-04-26,17.0,16.25,16.5,16.35,8.912,1835570.0
2018-04-27,17.0,16.3,16.3,16.75,9.13,1947980.0
2018-05-02,16.0,15.6,15.6,15.6,8.504,4527520.0
2018-05-03,15.1,14.55,14.7,14.55,7.931,8392320.0
2018-05-04,14.95,14.25,14.55,14.3,7.795,2290820.0
2018-05-07,14.7,14.3,14.4,14.7,8.013,2505440.0
2018-05-08,14.8,14.2,14.75,14.2,7.74,2436590.0
2018-05-09,15.15,14.15,14.15,15.15,8.258,3990970.0
2018-05-10,15.6,14.7,15.4,14.9,8.122,2921110.0
2018-05-11,14.7,14.3,14.4,14.5,8.179,2003950.0
2018-05-14,14.75,14.35,14.75,14.45,8.151,1444660.0
2018-05-15,14.8,14.35,14.4,14.5,8.179,2157990.0
2018-05-16,14.7,14.3,14.5,14.3,8.066,1725370.0
2018-05-17,14.5,14.0,14.3,14.2,8.01,2152170.0
2018-05-18,14.3,13.9,14.15,14.0,7.897,1503390.0
2018-05-21,13.95,13.1,13.85,13.1,7.389,4675610.0
2018-05-22,13.2,12.2,13.1,12.2,6.881,4421720.0
