Date,High,Low,Open,Close,Adj Close,Volume
2021-04-27,14.7,14.7,14.7,14.7,11.211,100.0
2021-04-28,16.9,16.9,16.9,16.9,12.888,300.0
2021-04-29,19.4,19.4,19.4,19.4,14.795,1600.0
2021-05-04,22.3,22.3,22.3,22.3,17.006,2000.0
2021-05-05,25.6,25.6,25.6,25.6,19.523,800.0
2021-05-06,29.4,29.0,29.4,29.4,22.421,421600.0
2021-05-07,33.8,33.0,33.8,33.8,25.776,155000.0
2021-05-10,38.7,38.4,38.7,38.6,29.437,152800.0
2021-05-11,39.9,32.9,39.9,32.9,25.09,41000.0
2021-05-12,28.9,28.9,28.9,28.9,22.04,9400.0
2021-05-13,28.9,24.6,24.6,25.0,19.066,265300.0
2021-05-14,25.0,21.1,25.0,21.7,16.549,22300.0
2021-05-17,22.5,19.4,22.0,22.5,17.159,96100.0
2021-05-18,23.6,20.5,21.0,23.6,17.998,125100.0
2021-05-19,24.3,23.6,23.6,24.3,18.531,31000.0
2021-05-20,27.6,22.3,27.0,24.8,18.913,131700.0
2021-05-21,24.0,21.2,24.0,21.8,16.625,66400.0
2021-05-24,22.9,21.0,21.8,21.7,16.549,43300.0
2021-05-25,24.4,19.5,21.5,23.4,17.845,91400.0
2021-05-26,22.3,22.2,22.3,22.3,17.006,84100.0
2021-05-27,22.4,22.3,22.4,22.4,17.082,95600.0
2021-05-28,22.8,20.1,22.1,21.0,16.015,46700.0
2021-05-31,23.5,19.9,22.5,22.5,17.159,99520.0
2021-06-01,25.0,22.3,22.3,23.0,17.54,203100.0
2021-06-02,23.0,22.0,23.0,22.9,17.464,92600.0
2021-06-03,22.9,22.5,22.8,22.8,17.388,156100.0
2021-06-04,22.8,22.0,22.8,22.2,16.93,98301.0
2021-06-07,22.6,22.0,22.5,22.4,17.082,83600.0
2021-06-08,22.5,22.0,22.4,22.3,17.006,51401.0
2021-06-09,22.5,22.1,22.5,22.1,16.854,19900.0
2021-06-10,22.5,22.0,22.5,22.1,16.854,71200.0
2021-06-11,22.3,21.9,22.3,21.9,16.701,64900.0
2021-06-14,22.3,20.6,22.3,21.1,16.091,77600.0
2021-06-15,22.2,19.0,22.2,21.0,16.015,197100.0
2021-06-16,22.0,21.0,21.0,21.0,16.015,70700.0
2021-06-17,23.0,21.1,22.0,22.0,16.778,105200.0
2021-06-18,22.0,21.0,22.0,21.0,16.015,16980.0
2021-06-21,24.3,20.0,24.3,21.5,16.396,71600.0
2021-06-22,23.5,19.6,23.0,19.7,15.023,219600.0
2021-06-23,20.9,19.0,20.9,19.8,15.1,151200.0
2021-06-24,22.5,18.7,22.4,19.6,14.947,99900.0
2021-06-25,21.3,19.2,21.3,19.6,14.947,53544.0
2021-06-28,21.2,18.9,19.6,19.5,14.871,24200.0
2021-06-29,21.5,18.9,20.4,18.9,14.413,98200.0
2021-06-30,21.0,18.5,21.0,19.2,14.642,138000.0
2021-07-01,19.8,18.6,19.2,19.0,14.49,104100.0
2021-07-02,20.3,18.4,19.8,18.6,14.184,241700.0
2021-07-05,20.5,18.0,20.5,18.6,14.184,109200.0
2021-07-06,20.5,18.0,19.7,18.1,13.803,64000.0
2021-07-07,19.6,18.0,19.6,18.1,13.803,53000.0
2021-07-08,18.2,17.5,18.2,18.0,13.727,40600.0
2021-07-09,18.1,17.0,18.0,17.0,12.964,39400.0
2021-07-12,18.5,15.2,18.5,16.0,12.202,56400.0
2021-07-13,18.2,16.2,18.2,17.6,13.422,34900.0
2021-07-14,18.0,16.5,18.0,16.9,12.888,25500.0
2021-07-15,17.0,16.5,17.0,17.0,12.964,38556.0
2021-07-16,17.0,16.0,16.9,17.0,12.964,50100.0
2021-07-19,17.0,16.1,16.5,17.0,12.964,13900.0
2021-07-20,17.0,16.2,17.0,16.9,12.888,13956.0
2021-07-21,18.9,17.0,17.0,17.0,12.964,12300.0
2021-07-22,17.0,16.1,17.0,17.0,12.964,16800.0
2021-07-23,17.0,16.6,17.0,16.6,12.66,8000.0
2021-07-26,17.6,16.3,17.6,16.8,12.812,1300.0
2021-07-27,17.0,16.4,17.0,16.7,12.735,67600.0
2021-07-28,17.1,16.4,17.0,16.5,12.583,59300.0
2021-07-29,16.9,16.2,16.9,16.9,12.888,54100.0
2021-07-30,16.9,16.2,16.9,16.2,12.354,47300.0
2021-08-02,18.0,16.3,16.9,17.3,13.193,104200.0
2021-08-03,17.8,16.9,17.0,17.5,13.346,101100.0
2021-08-04,17.3,17.2,17.3,17.3,13.193,105400.0
2021-08-05,17.5,17.0,17.2,17.3,13.193,93300.0
2021-08-06,17.6,16.7,17.2,17.0,12.964,100200.0
2021-08-09,17.6,16.7,17.6,17.1,13.041,126400.0
2021-08-10,17.6,16.6,17.6,16.9,12.888,121700.0
2021-08-11,17.5,16.7,17.5,17.3,13.193,161500.0
2021-08-12,17.0,16.4,17.0,16.5,12.583,20600.0
