Date,High,Low,Open,Close,Adj Close,Volume
2018-11-12,27.95,27.95,27.95,27.95,7.451,147670.0
2018-11-13,29.9,29.9,29.9,29.9,7.969,256400.0
2018-11-14,31.5,28.7,30.0,30.2,8.05,332170.0
2018-11-15,30.6,28.6,28.6,30.4,8.104,214090.0
2018-11-16,31.0,29.5,29.5,30.4,8.104,274160.0
2018-11-19,30.5,29.3,30.2,30.5,8.131,241150.0
2018-11-20,30.5,29.5,30.5,29.5,7.863,130070.0
2018-11-21,29.6,29.0,29.5,29.0,7.73,119290.0
2018-11-22,29.7,28.1,29.7,29.5,7.863,192500.0
2018-11-23,29.8,29.0,29.5,29.1,7.757,152850.0
2018-11-26,30.2,29.5,29.85,30.0,7.997,209270.0
2018-11-27,30.2,29.7,30.0,30.2,8.05,265630.0
2018-11-28,30.35,29.7,30.0,30.2,8.05,457020.0
2018-11-29,30.3,29.75,30.0,30.2,8.05,322000.0
2018-11-30,26.5,25.1,26.5,25.1,8.096,116870.0
2018-12-03,25.65,25.1,25.1,25.3,8.161,193120.0
2018-12-04,24.75,24.0,24.5,24.3,7.838,177060.0
2018-12-05,24.2,23.5,24.0,23.8,7.677,230920.0
2018-12-06,24.5,23.5,23.5,24.5,7.903,238730.0
2018-12-07,24.6,23.5,23.8,24.2,7.806,137610.0
2018-12-10,24.25,23.4,23.75,23.7,7.645,96290.0
2018-12-11,23.9,23.3,23.7,23.7,7.645,87890.0
2018-12-12,23.85,23.4,23.65,23.75,7.661,100300.0
2018-12-13,23.8,23.3,23.6,23.5,7.58,82280.0
2018-12-14,23.45,23.0,23.45,23.0,7.419,34080.0
2018-12-17,23.1,22.65,23.0,22.9,7.387,12810.0
2018-12-18,22.85,21.4,21.4,21.4,6.903,17080.0
2018-12-19,22.0,21.0,22.0,21.4,6.903,13640.0
2018-12-20,21.9,20.2,21.9,21.5,6.936,9800.0
2018-12-21,23.0,20.7,21.7,23.0,7.419,199450.0
2018-12-24,24.5,23.0,24.5,23.9,7.709,34740.0
2018-12-25,23.9,23.0,23.9,23.65,7.629,23060.0
2018-12-26,24.0,23.0,23.0,23.3,7.516,16140.0
2018-12-27,23.7,23.35,23.7,23.35,7.532,128010.0
2018-12-28,24.0,23.0,23.5,23.0,7.419,22110.0
2019-01-02,23.5,22.8,23.5,23.1,7.451,19450.0
2019-01-03,23.25,21.6,23.2,23.0,7.419,196230.0
2019-01-04,23.0,22.9,23.0,22.9,7.387,350.0
2019-01-07,23.15,22.1,23.15,22.9,7.387,12580.0
2019-01-08,22.9,22.15,22.9,22.15,7.145,2180.0
2019-01-09,22.9,22.15,22.15,22.3,7.193,18260.0
2019-01-10,22.5,22.0,22.5,22.0,7.096,14950.0
2019-01-11,22.45,22.0,22.4,22.4,7.226,26220.0
2019-01-14,23.0,22.0,22.0,22.2,7.161,9800.0
2019-01-15,22.9,21.85,22.3,21.85,7.048,73360.0
2019-01-16,22.6,21.85,22.25,22.5,7.258,10840.0
2019-01-17,22.8,21.9,22.4,22.55,7.274,7410.0
2019-01-18,22.7,21.75,22.55,22.7,7.322,19880.0
2019-01-21,22.8,22.0,22.5,22.7,7.322,23410.0
2019-01-22,22.75,22.3,22.6,22.6,7.29,2490.0
2019-01-23,22.75,22.5,22.65,22.7,7.322,15780.0
2019-01-24,22.8,22.5,22.8,22.5,7.258,10060.0
2019-01-25,24.0,22.5,22.5,22.7,7.322,55230.0
2019-01-28,24.0,22.9,24.0,23.15,7.467,68180.0
2019-01-29,23.5,22.15,23.5,22.15,7.145,30440.0
2019-01-30,22.8,22.2,22.8,22.6,7.29,12610.0
2019-01-31,23.0,22.15,22.6,22.6,7.29,18090.0
2019-02-01,23.0,22.6,22.6,23.0,7.419,21900.0
2019-02-11,23.15,22.5,23.0,23.15,7.467,49560.0
2019-02-12,23.2,22.5,23.1,22.7,7.322,42290.0
2019-02-13,22.7,22.4,22.7,22.65,7.306,13320.0
2019-02-14,22.75,22.0,22.6,22.75,7.338,50050.0
2019-02-15,22.7,22.3,22.65,22.5,7.258,15270.0
2019-02-18,22.55,21.9,22.5,22.5,7.258,82190.0
2019-02-19,22.5,22.0,22.0,22.5,7.258,29950.0
2019-02-20,22.4,22.05,22.05,22.1,7.128,44280.0
2019-02-21,22.1,21.5,22.1,22.0,7.096,20220.0
