Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-03,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-04,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-05,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-08,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-09,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-10,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-11,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-12,6.7,6.7,6.7,6.7,3.889,0.0
2018-01-15,4.1,4.1,4.1,4.1,2.38,100.0
2018-01-16,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-17,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-18,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-19,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-22,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-23,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-24,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-25,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-26,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-29,4.1,4.1,4.1,4.1,2.38,0.0
2018-01-30,4.7,4.7,4.7,4.7,2.729,200.0
2018-01-31,4.7,4.7,4.7,4.7,2.729,0.0
2018-02-01,4.7,4.7,4.7,4.7,2.729,0.0
2018-02-02,5.4,5.4,5.4,5.4,3.136,6700.0
2018-02-05,6.2,5.5,6.2,5.5,3.194,1200.0
2018-02-06,5.6,5.6,5.6,5.6,3.251,0.0
2018-02-07,5.5,5.5,5.5,5.5,3.194,6550.0
2018-02-08,6.3,6.3,6.3,6.3,3.657,200.0
2018-02-09,5.6,5.6,5.6,5.6,3.251,100.0
2018-02-12,6.4,5.7,6.4,5.7,3.31,11150.0
2018-02-13,6.6,6.6,6.6,6.6,3.832,100.0
2018-02-21,7.5,5.8,5.8,7.5,4.354,1100.0
2018-02-22,6.3,6.3,6.3,6.3,3.657,2800.0
2018-02-23,6.3,6.3,6.3,6.3,3.657,0.0
2018-02-26,5.9,5.5,5.5,5.9,3.426,1750.0
2018-02-27,6.0,6.0,6.0,6.0,3.483,100.0
2018-02-28,5.8,5.8,5.8,5.8,3.368,100.0
2018-03-01,5.8,5.8,5.8,5.8,3.368,0.0
2018-03-02,6.6,6.6,6.6,6.6,3.832,100.0
2018-03-05,6.6,6.6,6.6,6.6,3.832,0.0
2018-03-06,5.8,5.8,5.8,5.8,3.368,100.0
2018-03-07,5.8,5.8,5.8,5.8,3.368,0.0
2018-03-08,6.5,5.0,5.0,6.5,3.773,200.0
2018-03-09,5.8,5.8,5.8,5.8,3.368,0.0
2018-03-12,6.6,5.1,5.1,6.6,3.832,200.0
2018-03-13,6.7,6.7,6.7,6.7,3.889,100.0
2018-03-14,7.6,5.8,5.8,7.6,4.413,200.0
2018-03-15,7.6,5.9,5.9,7.6,4.413,200.0
2018-03-16,7.6,5.9,5.9,7.6,4.413,600.0
2018-03-19,7.8,6.2,6.2,7.8,4.529,700.0
2018-03-20,8.0,6.3,6.3,8.0,4.644,1200.0
2018-03-21,8.6,6.8,6.8,8.5,4.936,25700.0
2018-03-22,8.5,7.4,7.4,8.5,4.936,600.0
2018-03-23,8.0,8.0,8.0,8.0,4.644,800.0
2018-03-26,8.1,8.1,8.1,8.1,4.704,500.0
2018-03-27,8.2,8.2,8.2,8.2,4.761,1400.0
2018-03-28,8.6,8.6,8.6,8.6,4.992,100.0
2018-03-29,8.6,8.6,8.6,8.6,4.992,1000.0
2018-03-30,8.6,8.6,8.6,8.6,4.992,400.0
2018-04-02,8.6,8.6,8.6,8.6,4.992,0.0
2018-04-03,9.0,8.8,8.8,9.0,5.225,6100.0
2018-04-04,9.0,9.0,9.0,9.0,5.225,0.0
2018-04-05,9.0,9.0,9.0,9.0,5.225,0.0
2018-04-06,9.0,7.7,7.7,9.0,5.225,600.0
2018-04-09,9.7,7.5,7.5,9.0,5.225,300.0
2018-04-10,9.7,7.5,7.5,9.7,5.631,600.0
2018-04-11,9.4,9.4,9.4,9.4,5.457,100.0
2018-04-12,9.0,8.0,8.0,9.0,5.225,400.0
2018-04-13,9.7,9.7,9.7,9.7,5.631,100.0
2018-04-16,9.0,8.3,8.3,9.0,5.225,300.0
2018-04-17,8.8,8.8,8.8,8.8,5.11,0.0
2018-04-18,8.8,7.6,7.6,8.8,5.11,400.0
2018-04-19,9.7,7.6,7.6,9.7,5.631,200.0
2018-04-20,8.7,7.6,7.6,8.7,5.05,400.0
2018-04-23,8.4,8.4,8.4,8.4,4.877,0.0
2018-04-24,8.4,8.4,8.4,8.4,4.877,0.0
2018-04-26,9.5,7.4,7.4,9.5,5.516,700.0
2018-04-27,9.4,7.8,7.8,9.4,5.457,300.0
2018-05-02,9.1,7.8,7.8,9.1,5.283,400.0
2018-05-03,7.6,7.5,7.6,7.5,4.354,3100.0
2018-05-04,8.5,8.5,8.5,8.5,4.936,100.0
2018-05-07,8.7,7.4,7.4,8.7,5.05,400.0
2018-05-08,8.7,8.7,8.7,8.7,5.05,100.0
2018-05-09,8.7,8.7,8.7,8.7,5.05,0.0
2018-05-10,8.9,7.5,7.5,8.9,5.167,300.0
2018-05-11,8.9,7.3,7.3,8.9,5.167,400.0
2018-05-14,7.5,7.4,7.4,7.5,4.354,300.0
2018-05-15,8.6,8.6,8.6,8.6,4.992,100.0
2018-05-16,9.0,9.0,9.0,9.0,5.225,100.0
2018-05-17,8.9,7.8,7.8,8.9,5.167,300.0
2018-05-18,8.9,7.4,7.4,8.9,5.167,300.0
2018-05-21,8.9,7.3,7.3,8.9,5.167,300.0
2018-05-22,8.0,8.0,8.0,8.0,4.644,5000.0
2018-05-23,8.8,8.8,8.8,8.8,5.11,100.0
2018-05-24,9.0,7.6,7.6,9.0,5.225,200.0
2018-05-25,8.5,8.5,8.5,8.5,4.936,3500.0
2018-05-28,8.5,8.5,8.5,8.5,4.936,0.0
