Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,28.5,28.0,28.0,28.0,18.952,77120.0
2018-01-03,28.3,27.8,28.3,27.9,18.885,51700.0
2018-01-04,27.9,27.6,27.9,27.8,18.817,5900.0
2018-01-05,27.8,27.5,27.8,27.8,18.817,2400.0
2018-01-08,29.0,27.8,29.0,27.8,18.817,63600.0
2018-01-09,27.8,27.3,27.8,27.3,18.479,15800.0
2018-01-10,27.5,27.2,27.2,27.5,18.614,2800.0
2018-01-11,27.5,27.1,27.5,27.3,18.479,14600.0
2018-01-12,27.5,27.1,27.5,27.1,18.343,22700.0
2018-01-15,27.4,26.9,27.1,27.4,18.546,34800.0
2018-01-16,27.5,26.8,27.0,26.8,18.14,43500.0
2018-01-17,27.0,25.9,26.8,25.9,17.531,136120.0
2018-01-18,26.0,25.1,26.0,25.3,17.125,64510.0
2018-01-19,25.5,25.0,25.5,25.0,16.922,64900.0
2018-01-22,25.6,24.9,25.3,25.0,16.922,176800.0
2018-01-23,28.0,24.5,28.0,24.5,16.583,185400.0
2018-01-24,25.0,24.5,24.6,24.7,16.719,241430.0
2018-01-25,25.5,24.5,25.0,25.0,16.922,432100.0
2018-01-26,26.9,25.0,25.0,26.3,17.802,113119.0
2018-01-29,25.6,25.1,25.6,25.2,17.057,153700.0
2018-01-30,25.3,24.9,25.1,25.0,16.922,137821.0
2018-01-31,25.1,24.8,25.1,24.8,16.786,94300.0
2018-02-01,24.9,23.8,24.7,24.0,16.245,283530.0
2018-02-02,24.0,23.3,23.5,24.0,16.245,18410.0
2018-02-05,24.0,23.3,24.0,23.3,15.771,225600.0
2018-02-06,23.0,22.0,23.0,23.0,15.568,101300.0
2018-02-07,23.1,22.8,23.0,22.8,15.433,291900.0
2018-02-08,23.0,22.8,22.8,22.8,15.433,367700.0
2018-02-09,22.5,21.0,22.5,22.2,15.027,207300.0
2018-02-12,24.0,22.0,22.2,24.0,16.245,61400.0
2018-02-13,24.0,23.0,23.0,24.0,16.245,52600.0
2018-02-21,24.5,24.0,24.0,24.0,16.245,28300.0
2018-02-22,24.3,24.0,24.0,24.0,16.245,61310.0
2018-02-23,24.1,23.3,23.3,23.6,15.974,41800.0
2018-02-26,25.0,23.5,23.5,24.9,16.854,88600.0
2018-02-27,26.0,24.4,24.4,25.6,17.328,66600.0
2018-02-28,25.4,24.5,25.3,24.9,16.854,57000.0
2018-03-01,25.0,24.7,25.0,25.0,16.922,18200.0
2018-03-02,24.8,23.8,23.8,24.8,16.786,10100.0
2018-03-05,24.2,23.7,23.7,23.8,16.11,35700.0
2018-03-06,24.7,23.8,23.8,24.2,16.38,20000.0
2018-03-07,24.5,23.8,24.5,24.0,16.245,39800.0
2018-03-08,24.5,24.0,24.4,24.5,16.583,36000.0
2018-03-09,26.5,24.6,25.0,25.8,17.463,30700.0
2018-03-12,25.3,24.9,24.9,25.2,17.057,20200.0
2018-03-13,25.0,23.7,25.0,23.7,16.042,600.0
2018-03-14,24.1,24.0,24.1,24.0,16.245,28900.0
2018-03-15,24.0,24.0,24.0,24.0,16.245,11500.0
2018-03-16,24.9,24.0,24.9,24.2,16.38,17300.0
2018-03-19,25.0,24.1,24.8,24.8,16.786,62900.0
2018-03-20,28.0,24.3,28.0,24.3,16.448,10700.0
2018-03-21,25.9,25.9,25.9,25.9,17.531,100.0
2018-03-22,25.4,24.1,24.1,24.4,16.516,12400.0
2018-03-23,25.0,23.8,23.8,24.9,16.854,87100.0
2018-03-26,24.6,24.5,24.5,24.5,16.583,1300.0
2018-03-27,24.6,24.5,24.5,24.6,16.651,6300.0
2018-03-28,25.0,24.6,24.8,25.0,16.922,35200.0
2018-03-29,24.9,24.4,24.4,24.9,16.854,2600.0
2018-03-30,25.3,24.9,25.0,25.0,16.922,26300.0
2018-04-02,25.0,24.4,25.0,24.5,16.583,70700.0
2018-04-03,24.5,24.0,24.5,24.4,16.516,255300.0
2018-04-04,24.2,23.9,24.1,23.9,16.177,142800.0
2018-04-05,24.0,22.2,24.0,23.0,15.568,163300.0
2018-04-06,25.1,22.2,24.0,22.6,15.297,317500.0
2018-04-09,26.4,22.9,22.9,23.0,15.568,508300.0
2018-04-10,23.8,22.5,22.5,22.7,15.365,79400.0
2018-04-11,22.8,22.5,22.5,22.8,15.433,47900.0
2018-04-12,22.6,22.3,22.3,22.5,15.23,40500.0
2018-04-13,23.0,22.6,22.6,22.8,15.433,124700.0
