Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,32.6,32.0,32.6,32.0,10.985,17000.0
2018-01-03,32.0,31.6,32.0,31.6,10.848,29700.0
2018-01-04,31.7,31.3,31.6,31.3,10.745,46136.0
2018-01-05,31.5,31.1,31.5,31.5,10.814,26916.0
2018-01-08,31.4,31.1,31.3,31.1,10.676,26790.0
2018-01-09,32.5,31.8,31.9,32.5,11.157,21900.0
2018-01-10,32.5,32.0,32.0,32.4,11.123,31750.0
2018-01-11,32.4,32.0,32.4,32.0,10.985,28986.0
2018-01-12,32.2,31.5,32.2,31.5,10.814,41221.0
2018-01-15,31.4,28.4,31.4,29.0,9.955,66396.0
2018-01-16,29.5,28.4,29.0,29.0,9.955,42275.0
2018-01-17,29.2,28.5,28.7,28.8,9.887,20100.0
2018-01-18,30.0,28.6,28.6,29.9,10.264,7200.0
2018-01-19,31.5,29.8,30.0,31.0,10.642,9101.0
2018-01-22,32.5,31.0,31.1,32.3,11.088,4896.0
2018-01-23,32.9,32.3,32.3,32.9,11.294,17315.0
2018-01-24,33.1,31.1,32.9,31.1,10.676,17500.0
2018-01-25,32.5,31.1,31.6,31.2,10.711,12509.0
2018-01-26,32.7,32.0,32.0,32.3,11.088,12100.0
2018-01-29,32.5,32.2,32.3,32.3,11.088,23300.0
2018-01-30,32.4,32.3,32.4,32.3,11.088,10350.0
2018-01-31,32.4,32.3,32.3,32.3,11.088,12300.0
2018-02-01,32.3,32.2,32.3,32.2,11.054,8900.0
2018-02-02,32.2,32.0,32.2,32.0,10.985,5550.0
2018-02-05,32.0,31.8,32.0,31.9,10.951,15118.0
2018-02-06,31.9,30.8,31.9,31.5,10.814,21058.0
2018-02-07,31.3,31.2,31.2,31.3,10.745,5501.0
2018-02-08,31.3,30.0,31.3,30.5,10.47,22513.0
2018-02-09,30.5,30.3,30.5,30.5,10.47,25884.0
2018-02-12,30.5,30.5,30.5,30.5,10.47,306.0
2018-02-13,30.5,30.3,30.5,30.4,10.436,13000.0
2018-02-21,30.4,30.2,30.4,30.3,10.402,10700.0
2018-02-22,30.2,30.0,30.2,30.0,10.299,6700.0
2018-02-23,30.0,30.0,30.0,30.0,10.299,14520.0
2018-02-26,30.0,29.6,30.0,29.6,10.161,30319.0
2018-02-27,30.6,29.7,29.7,30.6,10.505,5130.0
2018-02-28,30.6,30.1,30.6,30.6,10.505,4165.0
2018-03-01,30.7,30.3,30.7,30.3,10.402,8405.0
2018-03-02,30.7,30.4,30.4,30.7,10.539,10900.0
2018-03-05,31.0,30.4,30.4,30.4,10.436,10310.0
2018-03-06,31.0,30.6,31.0,30.6,10.505,4950.0
2018-03-07,31.0,30.8,30.8,31.0,10.642,2400.0
2018-03-08,31.1,31.0,31.0,31.0,10.642,2900.0
2018-03-09,32.5,31.0,31.0,31.5,10.814,13500.0
2018-03-12,32.5,31.9,31.9,32.5,11.157,3500.0
2018-03-13,32.8,32.5,32.5,32.7,11.226,11600.0
2018-03-14,32.9,32.7,32.7,32.8,11.26,21000.0
2018-03-15,32.8,32.3,32.8,32.3,11.088,15740.0
2018-03-16,32.4,32.3,32.3,32.4,11.123,16600.0
2018-03-19,32.5,32.4,32.4,32.5,11.157,10920.0
2018-03-20,32.6,32.5,32.6,32.5,11.157,2500.0
2018-03-21,32.5,30.5,32.5,30.5,10.47,51450.0
2018-03-22,32.2,32.2,32.2,32.2,11.054,100.0
2018-03-23,32.2,31.8,31.8,32.2,11.054,4200.0
2018-03-26,32.8,32.0,32.0,32.8,11.26,21100.0
2018-03-27,32.8,32.7,32.7,32.8,11.26,12730.0
2018-03-28,33.0,32.7,32.8,32.7,11.226,12200.0
2018-03-29,33.0,32.6,32.9,32.6,11.191,18500.0
2018-03-30,32.7,32.7,32.7,32.7,11.226,8100.0
2018-04-02,32.8,32.6,32.8,32.7,11.226,18760.0
2018-04-03,32.8,32.5,32.7,32.7,11.226,10200.0
2018-04-04,32.8,32.5,32.6,32.7,11.226,28700.0
2018-04-05,32.6,32.3,32.5,32.3,11.088,12900.0
2018-04-06,32.4,32.3,32.3,32.4,11.123,9300.0
2018-04-09,32.6,32.5,32.5,32.6,11.191,1500.0
2018-04-10,32.6,32.5,32.6,32.5,11.157,4200.0
2018-04-11,32.5,32.4,32.5,32.5,11.157,16000.0
2018-04-12,32.5,32.4,32.5,32.4,11.123,13300.0
2018-04-13,32.4,32.4,32.4,32.4,11.123,10600.0
2018-04-16,32.4,31.1,32.4,32.4,11.123,19900.0
2018-04-17,32.5,31.5,32.0,32.5,11.157,16400.0
2018-04-18,32.6,32.4,32.4,32.5,11.157,3100.0
2018-04-19,32.5,32.5,32.5,32.5,11.157,9200.0
2018-04-20,32.5,32.5,32.5,32.5,11.157,5650.0
2018-04-23,33.0,32.5,33.0,32.5,11.157,17343.0
2018-04-24,32.5,32.4,32.5,32.4,11.123,28400.0
2018-04-26,32.5,32.2,32.5,32.2,11.054,9300.0
2018-04-27,32.4,32.2,32.2,32.4,11.123,600.0
2018-05-02,32.2,32.2,32.2,32.2,11.054,6300.0
2018-05-03,32.4,32.3,32.3,32.4,11.123,8243.0
2018-05-04,32.4,32.2,32.4,32.2,11.054,18800.0
2018-05-07,32.4,32.2,32.4,32.2,11.054,2403.0
2018-05-08,32.2,32.1,32.2,32.1,11.02,7700.0
2018-05-09,32.4,32.3,32.4,32.3,11.088,320.0
2018-05-10,32.3,32.2,32.2,32.2,11.054,5200.0
2018-05-11,32.4,32.2,32.4,32.2,11.054,6400.0
2018-05-14,32.2,32.1,32.2,32.2,11.054,5300.0
2018-05-15,35.4,32.2,32.2,33.0,11.328,10166.0
2018-05-16,33.3,33.0,33.0,33.3,11.431,8608.0
2018-05-17,33.3,32.9,33.3,32.9,11.294,7620.0
2018-05-18,32.9,32.4,32.9,32.4,11.123,4000.0
2018-05-21,32.4,32.2,32.4,32.2,11.054,3100.0
2018-05-22,32.2,32.0,32.2,32.2,11.054,4800.0
2018-05-23,32.2,32.1,32.2,32.1,11.02,3500.0
2018-05-24,32.6,32.1,32.1,32.6,11.191,1700.0
2018-05-25,32.1,32.0,32.1,32.0,10.985,400.0
2018-05-28,31.9,28.8,30.5,31.9,10.951,500.0
2018-05-29,31.9,31.9,31.9,31.9,10.951,500.0
2018-05-30,31.9,31.9,31.9,31.9,10.951,0.0
2018-05-31,30.0,30.0,30.0,30.0,10.299,600.0
2018-06-01,32.9,32.7,32.7,32.9,11.294,300.0
2018-06-04,31.8,29.7,31.2,31.7,10.882,2500.0
2018-06-05,31.7,31.0,31.0,31.7,10.882,2400.0
2018-06-06,31.7,31.5,31.5,31.7,10.882,1100.0
2018-06-07,33.5,31.9,31.9,33.5,11.874,400.0
