Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.1,9.8,10.05,9.95,5.001,300980.0
2018-01-03,10.0,9.7,9.91,9.71,4.88,500650.0
2018-01-04,9.9,9.65,9.7,9.8,4.926,373390.0
2018-01-05,9.8,9.65,9.73,9.69,4.87,391330.0
2018-01-08,9.7,9.6,9.61,9.61,4.83,170960.0
2018-01-09,9.95,9.61,9.61,9.85,4.951,707790.0
2018-01-10,10.5,9.87,10.0,10.45,5.252,1537150.0
2018-01-11,10.9,10.35,10.45,10.8,5.428,1156150.0
2018-01-12,10.75,10.3,10.7,10.3,5.177,767410.0
2018-01-15,10.7,10.2,10.3,10.6,5.328,775590.0
2018-01-16,10.55,10.3,10.55,10.3,5.177,819900.0
2018-01-17,10.4,9.8,10.4,9.8,4.926,995410.0
2018-01-18,10.0,9.65,9.71,10.0,5.026,644650.0
2018-01-19,10.25,9.8,9.91,9.8,4.926,377720.0
2018-01-22,10.0,9.8,9.8,9.9,4.976,433220.0
2018-01-25,10.15,9.9,10.1,9.9,4.976,764250.0
2018-01-26,9.95,9.82,9.95,9.85,4.951,265970.0
2018-01-29,10.1,9.85,10.0,9.93,4.991,364070.0
2018-01-30,10.4,9.86,9.95,10.35,5.202,857360.0
2018-01-31,10.4,9.9,10.4,9.9,4.976,560370.0
2018-02-01,10.0,9.6,10.0,9.6,4.825,1011720.0
2018-02-02,9.8,9.5,9.55,9.6,4.825,850700.0
2018-02-05,9.58,9.1,9.4,9.13,4.589,764680.0
2018-02-06,8.8,8.5,8.6,8.74,4.393,1481150.0
2018-02-07,9.02,8.72,9.0,8.8,4.423,761610.0
2018-02-08,8.9,8.58,8.8,8.6,4.322,338840.0
2018-02-09,8.6,8.1,8.1,8.45,4.247,511580.0
2018-02-12,8.8,8.6,8.7,8.8,4.423,175940.0
2018-02-13,8.9,8.7,8.71,8.81,4.428,323030.0
2018-02-21,9.0,8.81,8.81,8.9,4.473,123120.0
2018-02-22,9.07,8.9,8.9,9.02,4.534,354750.0
2018-02-23,9.14,9.0,9.0,9.1,4.574,259640.0
2018-02-26,9.2,9.0,9.2,9.0,4.523,216960.0
2018-02-27,9.1,8.91,9.1,9.05,4.549,117560.0
2018-02-28,9.05,8.8,9.0,8.94,4.493,501590.0
2018-03-01,9.04,8.8,8.9,8.98,4.513,319300.0
2018-03-02,9.19,8.82,8.9,9.19,4.619,304680.0
2018-03-05,9.19,8.95,9.19,8.95,4.498,244230.0
2018-03-06,9.29,8.94,9.0,9.18,4.614,516970.0
2018-03-07,9.34,9.15,9.18,9.25,4.649,269870.0
2018-03-08,9.3,9.16,9.3,9.22,4.634,96300.0
2018-03-09,9.22,9.1,9.2,9.14,4.594,149460.0
2018-03-12,9.24,9.12,9.12,9.14,4.594,178490.0
2018-03-13,9.2,9.1,9.2,9.2,4.624,180480.0
2018-03-14,9.25,9.1,9.2,9.17,4.609,157170.0
2018-03-15,9.38,9.18,9.2,9.33,4.689,224010.0
2018-03-16,9.36,9.25,9.35,9.31,4.679,253800.0
2018-03-19,9.37,9.25,9.25,9.29,4.669,205270.0
2018-03-20,9.67,9.25,9.35,9.65,4.85,410970.0
2018-03-21,9.77,9.54,9.69,9.55,4.8,288060.0
2018-03-22,9.64,9.41,9.52,9.44,4.745,255420.0
2018-03-23,9.48,9.15,9.22,9.35,4.699,291750.0
2018-03-26,9.68,9.3,9.35,9.62,4.835,455200.0
2018-03-27,10.2,9.7,9.7,10.0,5.026,1189140.0
2018-03-28,10.35,9.99,10.1,10.1,5.076,704440.0
2018-03-29,10.5,9.9,10.15,10.4,5.227,942360.0
2018-03-30,10.8,10.25,10.4,10.5,5.277,1481900.0
2018-04-02,10.75,10.4,10.75,10.5,5.277,325110.0
2018-04-03,10.6,10.0,10.45,10.4,5.227,907210.0
2018-04-04,11.1,10.4,10.55,10.85,5.453,1619450.0
2018-04-05,11.0,10.6,10.8,10.9,5.478,619750.0
2018-04-06,11.1,10.75,10.9,10.9,5.478,704930.0
2018-04-09,10.9,10.3,10.9,10.4,5.227,928380.0
2018-04-10,10.5,9.95,10.45,10.0,5.026,1293440.0
2018-04-11,10.1,9.55,10.1,9.57,4.81,1069850.0
2018-04-12,9.76,9.45,9.52,9.63,4.84,831920.0
2018-04-13,9.82,9.63,9.82,9.65,4.85,616110.0
2018-04-16,9.9,9.63,9.7,9.85,4.951,388220.0
2018-04-17,10.05,9.8,9.9,9.86,4.956,275780.0
2018-04-18,10.05,9.85,9.86,9.86,4.956,313060.0
2018-04-19,9.89,9.67,9.81,9.7,4.875,260020.0
2018-04-20,9.9,9.69,9.7,9.87,4.961,110790.0
2018-04-23,9.88,9.6,9.88,9.6,4.825,237590.0
2018-04-24,9.7,9.5,9.6,9.6,4.825,209120.0
2018-04-26,9.64,9.3,9.56,9.31,4.679,416510.0
2018-04-27,9.51,9.2,9.3,9.51,4.78,389080.0
2018-05-02,10.15,9.78,9.79,9.86,4.956,615950.0
2018-05-03,9.95,9.75,9.86,9.92,4.986,224220.0
2018-05-04,9.98,9.75,9.98,9.85,4.951,209260.0
2018-05-07,9.81,9.6,9.77,9.81,4.931,205160.0
2018-05-08,9.85,9.75,9.79,9.85,4.951,173180.0
2018-05-09,9.9,9.78,9.9,9.78,4.916,177910.0
2018-05-10,9.83,9.5,9.83,9.54,4.795,299160.0
2018-05-11,9.69,9.47,9.69,9.63,4.84,240200.0
2018-05-14,9.98,9.66,9.7,9.9,4.976,205980.0
2018-05-15,9.91,9.71,9.9,9.89,4.971,181800.0
2018-05-16,9.88,9.71,9.88,9.72,4.885,50340.0
2018-05-17,9.79,9.68,9.79,9.7,4.875,83810.0
2018-05-18,9.78,9.53,9.67,9.75,4.9,286120.0
2018-05-21,10.4,9.79,9.79,10.2,5.127,1464440.0
2018-05-22,10.4,9.9,10.1,9.98,5.016,793590.0
2018-05-23,9.93,9.8,9.85,9.92,4.986,179340.0
2018-05-24,9.94,9.67,9.94,9.68,4.865,385130.0
2018-05-25,9.68,9.43,9.68,9.43,4.74,743310.0
2018-05-28,9.4,8.92,9.31,9.0,4.523,653950.0
2018-05-29,9.55,9.0,9.0,9.49,4.77,190540.0
2018-05-30,9.49,9.3,9.45,9.32,4.684,147200.0
2018-05-31,9.5,9.4,9.42,9.46,4.755,265240.0
2018-06-01,9.52,9.35,9.42,9.42,4.735,210410.0
2018-06-04,9.74,9.37,9.47,9.74,4.895,483880.0
2018-06-05,9.8,9.55,9.8,9.55,4.8,72530.0
2018-06-06,9.95,9.51,9.55,9.8,4.926,316400.0
2018-06-07,9.95,9.7,9.8,9.78,4.916,218280.0
2018-06-08,9.8,9.6,9.8,9.7,4.875,99320.0
2018-06-11,9.64,9.5,9.6,9.64,4.845,200830.0
2018-06-12,9.6,9.35,9.55,9.48,4.765,233520.0
2018-06-13,9.5,9.4,9.5,9.46,4.755,110790.0
2018-06-14,9.6,9.46,9.6,9.46,4.755,71060.0
2018-06-15,9.59,9.45,9.59,9.55,4.8,45430.0
2018-06-18,9.59,9.3,9.55,9.5,4.775,146630.0
2018-06-19,9.44,8.95,9.31,9.13,4.589,596040.0
2018-06-20,9.35,9.11,9.13,9.2,4.624,450490.0
2018-06-21,9.31,9.12,9.22,9.31,4.679,180890.0
2018-06-22,9.45,9.3,9.31,9.45,4.75,230630.0
2018-06-25,9.45,9.33,9.4,9.39,4.72,131080.0
2018-06-26,9.49,9.18,9.2,9.32,4.684,207410.0
2018-06-27,9.48,9.25,9.25,9.4,4.725,198580.0
2018-06-28,9.4,9.2,9.28,9.39,4.72,114100.0
2018-06-29,9.4,9.15,9.4,9.18,4.614,70350.0
2018-07-02,9.2,9.07,9.18,9.15,4.599,204440.0
2018-07-03,9.28,8.88,9.28,8.88,4.463,570150.0
2018-07-04,9.03,8.85,8.88,9.03,4.539,280110.0
2018-07-05,9.2,9.0,9.1,9.0,4.523,454840.0
2018-07-06,9.27,8.95,8.95,9.27,4.659,239060.0
2018-07-09,9.3,9.09,9.3,9.1,4.574,191610.0
2018-07-10,9.38,9.2,9.3,9.2,4.624,279720.0
2018-07-11,9.2,8.8,8.8,9.11,4.579,202020.0
2018-07-12,9.16,9.03,9.1,9.11,4.579,31980.0
2018-07-13,9.22,9.14,9.14,9.22,4.634,73490.0
2018-07-16,9.33,9.23,9.25,9.23,4.639,149340.0
2018-07-17,9.35,9.23,9.29,9.35,4.699,178210.0
2018-07-18,9.85,9.25,9.37,9.62,4.835,1129210.0
2018-07-19,8.75,8.52,8.52,8.7,4.88,210180.0
2018-07-20,8.7,8.6,8.7,8.68,4.868,91760.0
2018-07-23,8.95,8.55,8.67,8.63,4.84,401900.0
2018-07-24,8.6,8.5,8.6,8.59,4.818,346100.0
2018-07-25,8.7,8.45,8.59,8.46,4.745,240830.0
2018-07-26,8.6,8.47,8.57,8.55,4.796,130210.0
2018-07-27,8.69,8.5,8.53,8.69,4.874,130160.0
2018-07-30,8.9,8.65,8.69,8.78,4.925,738230.0
2018-07-31,8.85,8.52,8.72,8.67,4.863,495490.0
2018-08-01,8.69,8.48,8.66,8.58,4.812,154720.0
2018-08-02,8.5,8.27,8.5,8.4,4.711,448340.0
2018-08-03,8.4,8.2,8.28,8.3,4.655,317220.0
2018-08-06,8.37,8.22,8.37,8.3,4.655,58890.0
2018-08-07,8.36,8.25,8.36,8.36,4.689,120880.0
2018-08-08,8.37,8.3,8.37,8.34,4.678,122890.0
2018-08-09,8.38,8.25,8.26,8.3,4.655,94090.0
2018-08-10,8.37,8.28,8.35,8.34,4.678,108030.0
2018-08-13,8.34,8.23,8.34,8.28,4.644,92310.0
2018-08-14,8.35,8.16,8.24,8.16,4.577,237910.0
2018-08-15,8.34,8.16,8.16,8.19,4.594,376080.0
2018-08-16,8.26,8.05,8.19,8.17,4.582,169870.0
2018-08-17,8.25,8.17,8.22,8.22,4.61,78800.0
2018-08-20,8.27,7.9,8.1,8.2,4.599,112920.0
2018-08-21,8.23,8.16,8.2,8.19,4.594,141610.0
2018-08-22,8.4,8.17,8.25,8.36,4.689,251850.0
2018-08-23,8.39,8.25,8.39,8.29,4.65,140040.0
2018-08-24,8.37,8.22,8.37,8.32,4.667,98470.0
2018-08-27,8.35,8.26,8.27,8.3,4.655,97740.0
2018-08-28,8.33,8.23,8.3,8.3,4.655,137990.0
2018-08-29,8.35,8.23,8.24,8.31,4.661,78310.0
2018-08-30,8.31,8.23,8.31,8.31,4.661,215510.0
2018-08-31,8.32,8.2,8.3,8.28,4.644,84590.0
2018-09-04,8.31,8.2,8.31,8.26,4.633,50160.0
2018-09-05,8.26,7.75,8.23,8.2,4.599,186950.0
2018-09-06,8.2,8.1,8.2,8.19,4.594,63380.0
2018-09-07,8.2,8.0,8.19,8.11,4.549,83040.0
2018-09-10,8.23,8.0,8.02,8.23,4.616,241730.0
2018-09-11,8.28,8.17,8.28,8.24,4.622,154940.0
2018-09-12,8.28,8.2,8.27,8.26,4.633,204220.0
2018-09-13,8.28,8.18,8.18,8.26,4.633,334330.0
2018-09-14,8.28,8.19,8.21,8.26,4.633,226980.0
2018-09-17,8.28,8.19,8.2,8.25,4.627,106100.0
2018-09-18,8.25,8.2,8.24,8.2,4.599,201320.0
2018-09-19,8.39,8.2,8.2,8.32,4.667,313690.0
2018-09-20,8.36,8.27,8.35,8.34,4.678,92130.0
2018-09-21,8.36,8.3,8.35,8.3,4.655,180170.0
2018-09-24,8.47,8.32,8.32,8.43,4.728,240510.0
2018-09-25,8.49,8.35,8.45,8.45,4.739,156130.0
2018-09-26,8.54,8.43,8.49,8.49,4.762,157770.0
2018-09-27,8.5,8.45,8.5,8.49,4.762,125980.0
2018-09-28,8.55,8.42,8.5,8.49,4.762,270220.0
2018-10-01,8.6,8.46,8.55,8.46,4.745,115100.0
2018-10-02,8.49,8.43,8.46,8.47,4.751,308420.0
