Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-03,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-04,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-05,13.4,13.4,13.4,13.4,7.477,18000.0
2018-01-08,13.5,13.4,13.4,13.5,7.533,41100.0
2018-01-09,13.4,13.4,13.4,13.4,7.477,9000.0
2018-01-10,13.5,13.4,13.4,13.5,7.533,29000.0
2018-01-11,13.4,13.4,13.4,13.4,7.477,21400.0
2018-01-12,13.4,13.4,13.4,13.4,7.477,3000.0
2018-01-15,13.4,13.4,13.4,13.4,7.477,5000.0
2018-01-16,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-17,13.4,13.4,13.4,13.4,7.477,1000.0
2018-01-18,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-19,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-22,13.4,13.4,13.4,13.4,7.477,1100.0
2018-01-23,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-24,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-25,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-26,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-29,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-30,13.4,13.4,13.4,13.4,7.477,0.0
2018-01-31,13.4,13.4,13.4,13.4,7.477,0.0
2018-02-01,13.4,13.4,13.4,13.4,7.477,0.0
2018-02-02,13.4,13.4,13.4,13.4,7.477,0.0
2018-02-05,13.4,13.4,13.4,13.4,7.477,0.0
2018-02-06,12.9,12.5,12.8,12.9,7.198,44500.0
2018-02-07,13.0,13.0,13.0,13.0,7.254,2300.0
2018-02-08,13.0,13.0,13.0,13.0,7.254,0.0
2018-02-09,13.0,13.0,13.0,13.0,7.254,3800.0
2018-02-12,13.0,13.0,13.0,13.0,7.254,19000.0
2018-02-13,14.0,14.0,14.0,14.0,7.812,15900.0
2018-02-21,14.0,14.0,14.0,14.0,7.812,0.0
2018-02-22,12.7,12.7,12.7,12.7,7.086,100.0
2018-02-23,14.2,14.0,14.2,14.2,7.923,11900.0
2018-02-26,16.3,16.3,16.3,16.3,9.095,100.0
2018-02-27,16.3,16.3,16.3,16.3,9.095,0.0
