Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.3,3.26,3.28,3.28,3.28,1932240.0
2018-01-03,3.31,3.27,3.31,3.29,3.29,2185770.0
2018-01-04,3.52,3.3,3.31,3.52,3.52,8855020.0
2018-01-05,3.68,3.45,3.61,3.45,3.45,7614230.0
2018-01-08,3.56,3.43,3.43,3.49,3.49,3306890.0
2018-01-09,3.49,3.4,3.49,3.45,3.45,4514090.0
2018-01-10,3.64,3.5,3.51,3.55,3.55,6186120.0
2018-01-11,3.56,3.49,3.56,3.5,3.5,3858490.0
2018-01-12,3.57,3.46,3.53,3.46,3.46,3940150.0
2018-01-15,3.49,3.44,3.45,3.45,3.45,2257190.0
2018-01-16,3.44,3.36,3.42,3.39,3.39,3928410.0
2018-01-17,3.48,3.37,3.39,3.38,3.38,3934980.0
2018-01-18,3.41,3.34,3.38,3.39,3.39,2267840.0
2018-01-19,3.53,3.45,3.45,3.47,3.47,5171470.0
2018-01-22,3.5,3.41,3.48,3.42,3.42,2026950.0
2018-01-25,3.46,3.36,3.45,3.36,3.36,4996230.0
2018-01-26,3.41,3.36,3.36,3.39,3.39,1877740.0
2018-01-29,3.41,3.36,3.38,3.38,3.38,1319090.0
2018-01-30,3.45,3.36,3.38,3.45,3.45,2663670.0
2018-01-31,3.45,3.37,3.45,3.39,3.39,2666610.0
2018-02-01,3.39,3.25,3.39,3.25,3.25,4695500.0
2018-02-02,3.31,3.27,3.27,3.28,3.28,1516070.0
2018-02-05,3.29,3.06,3.28,3.06,3.06,4395200.0
2018-02-06,2.95,2.85,2.9,2.87,2.87,9295100.0
2018-02-07,3.03,2.97,2.99,3.02,3.02,2994130.0
2018-02-08,3.03,2.91,3.02,2.96,2.96,1367910.0
2018-02-09,2.93,2.82,2.86,2.9,2.9,2061150.0
2018-02-12,3.1,2.91,2.95,3.1,3.1,1542540.0
2018-02-13,3.18,3.11,3.15,3.17,3.17,1583990.0
2018-02-21,3.25,3.18,3.18,3.22,3.22,1348340.0
2018-02-22,3.21,3.14,3.2,3.14,3.14,1528430.0
2018-02-23,3.2,3.14,3.14,3.14,3.14,1203060.0
2018-02-26,3.19,3.13,3.18,3.14,3.14,1238440.0
2018-02-27,3.16,3.11,3.14,3.13,3.13,806610.0
2018-02-28,3.12,3.08,3.12,3.08,3.08,1054190.0
2018-03-01,3.08,3.02,3.08,3.03,3.03,1371460.0
2018-03-02,3.06,3.01,3.02,3.06,3.06,1006770.0
2018-03-05,3.09,3.03,3.08,3.03,3.03,1743370.0
2018-03-06,3.06,3.01,3.06,3.03,3.03,746210.0
2018-03-07,3.24,3.03,3.03,3.12,3.12,3426800.0
2018-03-08,3.17,3.09,3.16,3.11,3.11,1517660.0
2018-03-09,3.2,3.1,3.13,3.14,3.14,1059930.0
2018-03-12,3.14,3.08,3.14,3.09,3.09,1960090.0
2018-03-13,3.12,3.05,3.09,3.09,3.09,1471080.0
2018-03-14,3.14,3.08,3.12,3.09,3.09,1509590.0
2018-03-15,3.13,3.09,3.13,3.09,3.09,1529630.0
2018-03-16,3.13,3.1,3.1,3.12,3.12,1300270.0
2018-03-19,3.15,3.1,3.12,3.1,3.1,2208970.0
2018-03-20,3.11,3.08,3.09,3.08,3.08,1654230.0
2018-03-21,3.13,3.06,3.06,3.1,3.1,2278150.0
2018-03-22,3.12,3.06,3.1,3.06,3.06,1630600.0
2018-03-23,3.04,2.98,3.04,3.02,3.02,2934500.0
2018-03-26,3.02,2.96,3.0,2.98,2.98,2844520.0
2018-03-27,3.12,2.97,3.0,3.03,3.03,2685320.0
2018-03-28,3.02,2.99,3.0,2.99,2.99,942980.0
2018-03-29,3.01,2.98,3.0,2.99,2.99,1143120.0
2018-03-30,3.0,2.97,2.99,3.0,3.0,505840.0
2018-04-02,3.04,2.98,3.02,3.0,3.0,1055100.0
2018-04-03,3.0,2.97,2.99,2.98,2.98,785940.0
2018-04-04,3.0,2.97,2.98,2.99,2.99,1203730.0
2018-04-05,3.0,2.96,3.0,2.97,2.97,885920.0
2018-04-06,3.0,2.97,3.0,2.97,2.97,1138280.0
2018-04-09,3.0,2.95,2.99,2.96,2.96,1826340.0
2018-04-10,2.99,2.86,2.99,2.86,2.86,3414140.0
2018-04-11,2.85,2.76,2.85,2.78,2.78,3307720.0
2018-04-12,2.78,2.7,2.78,2.74,2.74,1383190.0
2018-04-13,2.79,2.72,2.73,2.73,2.73,876260.0
2018-04-16,2.76,2.69,2.73,2.71,2.71,1571020.0
2018-04-17,2.74,2.7,2.71,2.7,2.7,1557890.0
2018-04-18,2.78,2.71,2.71,2.76,2.76,1399340.0
