Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.2,14.2,14.2,14.2,8.829,13080.0
2018-01-03,14.2,13.9,14.2,14.2,8.829,62460.0
2018-01-04,14.2,13.9,14.1,13.9,8.643,11000.0
2018-01-05,14.85,14.0,14.0,14.75,9.171,1020.0
2018-01-08,14.5,14.0,14.1,14.5,9.016,3510.0
2018-01-09,14.5,14.0,14.0,14.05,8.736,2670.0
2018-01-10,14.6,14.0,14.0,14.3,8.892,37100.0
2018-01-11,14.5,14.2,14.3,14.5,9.016,116850.0
2018-01-12,14.9,14.4,14.9,14.5,9.016,50980.0
2018-01-15,14.5,14.4,14.5,14.5,9.016,41470.0
2018-01-16,14.6,14.2,14.6,14.5,9.016,51460.0
2018-01-17,14.5,14.3,14.3,14.3,8.892,40270.0
2018-01-18,14.5,14.3,14.5,14.5,9.016,29020.0
2018-01-19,14.5,14.5,14.5,14.5,9.016,85100.0
2018-01-22,14.5,14.0,14.5,14.5,9.016,5210.0
2018-01-25,14.5,14.5,14.5,14.5,9.016,0.0
2018-01-26,14.2,14.1,14.2,14.2,8.829,4020.0
2018-01-29,14.6,14.2,14.2,14.6,9.078,3050.0
2018-01-30,14.5,14.1,14.5,14.4,8.954,2760.0
2018-01-31,14.4,14.1,14.1,14.4,8.954,720.0
2018-02-01,14.5,14.15,14.5,14.2,8.829,281140.0
2018-02-02,14.3,14.2,14.3,14.2,8.829,498170.0
2018-02-05,14.2,14.0,14.2,14.1,8.767,225610.0
2018-02-06,14.1,13.4,14.1,13.5,8.394,388920.0
2018-02-07,14.4,13.5,14.0,14.35,8.923,202770.0
2018-02-08,14.2,14.2,14.2,14.2,8.829,100000.0
2018-02-09,14.4,14.2,14.2,14.4,8.954,267980.0
2018-02-12,14.4,14.4,14.4,14.4,8.954,0.0
2018-02-13,14.2,14.2,14.2,14.2,8.829,360.0
2018-02-21,14.2,14.2,14.2,14.2,8.829,30.0
2018-02-22,14.2,14.2,14.2,14.2,8.829,8470.0
2018-02-23,14.7,14.0,14.0,14.5,9.016,67000.0
2018-02-26,14.8,14.2,14.5,14.8,9.202,127350.0
2018-02-27,14.7,14.45,14.5,14.5,9.016,242110.0
2018-02-28,14.6,14.5,14.5,14.5,9.016,327960.0
2018-03-01,14.6,14.5,14.5,14.5,9.016,56270.0
2018-03-02,14.9,14.5,14.8,14.5,9.016,30500.0
2018-03-05,14.5,14.5,14.5,14.5,9.016,0.0
2018-03-06,14.3,14.3,14.3,14.3,8.892,10.0
2018-03-07,14.5,14.2,14.2,14.5,9.016,660.0
2018-03-08,14.3,14.3,14.3,14.3,8.892,700.0
2018-03-09,14.3,14.0,14.0,14.3,8.892,16820.0
2018-03-12,14.5,14.3,14.3,14.3,8.892,14560.0
2018-03-13,15.0,14.3,14.5,14.6,9.078,26020.0
2018-03-14,14.6,14.0,14.6,14.5,9.016,57460.0
2018-03-15,14.7,14.2,14.2,14.5,9.016,50000.0
2018-03-16,14.5,14.5,14.5,14.5,9.016,6180.0
2018-03-19,14.8,14.8,14.8,14.8,9.202,10.0
2018-03-20,14.8,14.5,14.8,14.5,9.016,18930.0
2018-03-21,14.9,14.2,14.2,14.9,9.265,135240.0
2018-03-22,15.0,14.9,15.0,14.9,9.265,180.0
2018-03-23,15.0,14.3,14.3,15.0,9.327,1990.0
2018-03-26,15.0,15.0,15.0,15.0,9.327,60.0
2018-03-27,15.0,14.95,15.0,15.0,9.327,55100.0
2018-03-28,15.0,14.9,15.0,15.0,9.327,230780.0
2018-03-29,15.0,14.6,15.0,15.0,9.327,33940.0
2018-03-30,15.1,14.65,14.65,15.0,9.549,31650.0
2018-04-02,15.0,14.7,14.7,15.0,9.549,99090.0
2018-04-03,16.0,14.8,14.8,15.5,9.868,32960.0
2018-04-04,16.55,15.1,15.1,16.55,10.536,261140.0
2018-04-05,17.0,16.5,16.5,17.0,10.823,28350.0
2018-04-06,16.6,16.0,16.6,16.0,10.186,26390.0
2018-04-09,16.4,16.0,16.4,16.4,10.441,37220.0
2018-04-10,17.5,16.0,16.45,17.5,11.141,190930.0
2018-04-11,17.8,16.7,17.5,16.7,10.632,89070.0
2018-04-12,17.8,16.25,17.8,17.5,11.141,50010.0
2018-04-13,17.5,16.5,17.5,16.5,10.504,54300.0
2018-04-16,16.6,16.3,16.5,16.5,10.504,124770.0
2018-04-17,16.5,16.1,16.5,16.1,10.25,80920.0
2018-04-18,16.6,15.9,15.9,16.2,10.313,129170.0
2018-04-19,16.5,15.2,15.2,16.1,10.25,46340.0
2018-04-20,17.2,16.5,16.5,17.2,10.95,62260.0
2018-04-23,18.1,17.2,17.2,17.7,11.268,180890.0
2018-04-24,18.0,17.2,17.2,18.0,11.459,12410.0
2018-04-26,18.0,16.75,18.0,16.75,10.663,87690.0
2018-04-27,17.0,16.0,16.1,17.0,10.823,1050.0
2018-05-02,17.0,16.6,16.6,17.0,10.823,2110.0
2018-05-03,16.8,16.1,16.5,16.8,10.695,18580.0
2018-05-04,16.2,16.0,16.2,16.0,10.186,367280.0
2018-05-07,16.0,16.0,16.0,16.0,10.186,71300.0
2018-05-08,16.0,15.6,16.0,16.0,10.186,63690.0
2018-05-09,16.0,15.55,15.55,16.0,10.186,12180.0
2018-05-10,16.0,15.6,15.6,15.6,9.931,46100.0
2018-05-11,16.0,15.0,15.0,16.0,10.186,510.0
2018-05-14,16.0,15.95,15.95,16.0,10.186,270.0
2018-05-15,16.2,16.0,16.0,16.2,10.313,13470.0
2018-05-16,16.3,16.2,16.2,16.2,10.313,29100.0
2018-05-17,16.2,16.2,16.2,16.2,10.313,100.0
2018-05-18,16.1,15.4,16.0,16.1,10.25,30500.0
2018-05-21,16.5,15.5,16.1,16.5,10.504,14130.0
2018-05-22,16.0,16.0,16.0,16.0,10.186,29070.0
2018-05-23,16.0,15.8,16.0,15.8,10.059,30440.0
2018-05-24,16.0,15.8,16.0,15.8,10.059,400.0
2018-05-25,16.0,14.7,14.7,16.0,10.186,20.0
2018-05-28,16.0,15.0,15.0,16.0,10.186,310.0
2018-05-29,16.0,15.5,15.8,15.9,10.122,10810.0
2018-05-30,16.9,15.2,16.9,16.0,10.186,28960.0
2018-05-31,16.0,15.0,15.1,15.1,9.613,440.0
2018-06-01,15.8,15.1,15.1,15.8,10.059,1210.0
2018-06-04,15.8,15.0,15.0,15.8,10.059,540.0
2018-06-05,15.8,15.8,15.8,15.8,10.059,0.0
2018-06-06,15.0,15.0,15.0,15.0,9.549,89920.0
2018-06-07,15.0,14.9,15.0,14.9,9.486,21580.0
2018-06-08,14.9,14.9,14.9,14.9,9.486,0.0
2018-06-11,15.0,14.7,14.7,15.0,9.549,20060.0
2018-06-12,15.0,15.0,15.0,15.0,9.549,0.0
2018-06-13,15.0,14.5,14.5,15.0,9.549,10300.0
2018-06-14,15.0,15.0,15.0,15.0,9.549,0.0
2018-06-15,15.0,15.0,15.0,15.0,9.549,0.0
2018-06-18,15.0,15.0,15.0,15.0,9.549,0.0
2018-06-19,14.1,14.0,14.1,14.0,8.913,8010.0
2018-06-20,14.0,14.0,14.0,14.0,8.913,0.0
2018-06-21,14.7,13.2,13.2,14.7,9.358,20.0
2018-06-22,14.7,14.7,14.7,14.7,9.358,0.0
2018-06-25,13.8,13.8,13.8,13.8,8.785,2170.0
2018-06-26,14.3,14.2,14.3,14.2,9.04,4110.0
2018-06-27,14.2,14.2,14.2,14.2,9.04,0.0
2018-06-28,14.2,14.2,14.2,14.2,9.04,0.0
2018-06-29,14.5,14.2,14.5,14.2,9.04,38030.0
2018-07-02,14.2,13.25,13.25,14.2,9.04,69010.0
2018-07-03,14.0,13.9,14.0,13.9,8.849,42000.0
2018-07-04,14.0,13.0,13.0,13.9,8.849,1470.0
2018-07-05,13.8,13.8,13.8,13.8,8.785,32700.0
2018-07-06,13.7,13.0,13.7,13.0,8.276,132920.0
2018-07-09,13.6,13.0,13.5,13.6,8.658,88680.0
2018-07-10,13.7,13.6,13.7,13.7,8.722,79860.0
2018-07-11,13.7,13.5,13.6,13.5,8.594,194320.0
2018-07-12,13.5,13.5,13.5,13.5,8.594,55690.0
2018-07-13,13.5,13.5,13.5,13.5,8.594,40220.0
2018-07-16,13.5,13.5,13.5,13.5,8.594,69100.0
2018-07-17,13.5,13.2,13.5,13.3,8.467,118000.0
2018-07-18,13.3,13.1,13.3,13.1,8.34,106050.0
2018-07-19,13.5,13.2,13.5,13.2,8.403,57000.0
2018-07-20,13.3,13.2,13.2,13.2,8.403,101500.0
2018-07-23,13.2,13.2,13.2,13.2,8.403,0.0
2018-07-24,13.4,13.0,13.4,13.3,8.467,21100.0
2018-07-25,13.3,13.3,13.3,13.3,8.467,0.0
2018-07-26,13.3,13.3,13.3,13.3,8.467,110050.0
2018-07-27,13.3,13.3,13.3,13.3,8.467,10000.0
2018-07-30,13.3,13.3,13.3,13.3,8.467,28200.0
2018-07-31,13.5,13.3,13.5,13.3,8.467,30000.0
2018-08-01,13.3,13.3,13.3,13.3,8.467,3800.0
2018-08-02,13.3,13.25,13.25,13.3,8.467,10000.0
2018-08-03,13.4,13.4,13.4,13.4,8.531,2000.0
2018-08-06,14.3,13.0,14.3,13.3,8.467,28390.0
2018-08-07,13.3,13.2,13.3,13.2,8.403,1320.0
2018-08-08,14.1,13.0,14.1,13.3,8.467,6190.0
2018-08-09,13.3,13.2,13.3,13.2,8.403,13300.0
2018-08-10,13.3,12.3,12.3,13.3,8.467,6350.0
2018-08-13,13.3,13.0,13.0,13.3,8.467,18800.0
2018-08-14,13.3,13.3,13.3,13.3,8.467,0.0
2018-08-15,13.25,12.9,12.9,13.25,8.435,410.0
2018-08-16,13.3,12.9,13.25,13.3,8.467,6180.0
2018-08-17,13.3,13.0,13.3,13.0,8.276,12940.0
2018-08-20,13.3,12.9,12.9,13.3,8.467,22000.0
2018-08-21,13.3,12.9,13.2,13.3,8.467,55240.0
2018-08-22,12.9,12.7,12.9,12.7,8.085,10000.0
2018-08-23,13.1,12.7,12.7,13.1,8.34,210.0
2018-08-24,13.3,13.3,13.3,13.3,8.467,8400.0
2018-08-27,13.5,13.2,13.2,13.4,8.531,35110.0
2018-08-28,13.3,12.9,12.9,13.3,8.467,2300.0
2018-08-29,13.3,12.5,13.3,13.3,8.467,67360.0
2018-08-30,13.3,13.3,13.3,13.3,8.467,50000.0
2018-08-31,13.3,13.2,13.3,13.2,8.403,46720.0
2018-09-04,13.3,13.2,13.3,13.3,8.467,175500.0
2018-09-05,13.3,13.3,13.3,13.3,8.467,201010.0
2018-09-06,13.3,13.3,13.3,13.3,8.467,370390.0
2018-09-07,13.3,13.2,13.3,13.3,8.467,98190.0
2018-09-10,13.3,13.3,13.3,13.3,8.467,292660.0
2018-09-11,13.3,13.0,13.3,13.3,8.467,124510.0
2018-09-12,13.3,13.3,13.3,13.3,8.467,130000.0
2018-09-13,13.3,13.0,13.3,13.2,8.403,67400.0
2018-09-14,13.3,13.2,13.3,13.2,8.403,34630.0
2018-09-17,13.5,13.1,13.5,13.3,8.467,22090.0
2018-09-18,13.95,12.9,13.5,13.3,8.467,64170.0
2018-09-19,13.4,13.2,13.2,13.4,8.531,60250.0
2018-09-20,13.4,13.2,13.4,13.3,8.467,188560.0
2018-09-21,13.3,13.3,13.3,13.3,8.467,150900.0
2018-09-24,13.2,13.1,13.2,13.2,8.403,30600.0
2018-09-25,13.2,13.2,13.2,13.2,8.403,85000.0
2018-09-26,13.3,13.3,13.3,13.3,8.467,1300.0
2018-09-27,13.3,13.3,13.3,13.3,8.467,13000.0
2018-09-28,13.3,13.3,13.3,13.3,8.467,5000.0
2018-10-01,13.3,13.1,13.3,13.1,8.34,15640.0
2018-10-02,13.3,13.3,13.3,13.3,8.467,20.0
2018-10-03,13.3,12.5,13.3,13.0,8.276,7780.0
