Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.0,2.9,3.0,2.9,2.755,116200.0
2018-01-03,3.0,2.9,3.0,2.9,2.755,21200.0
2018-01-04,3.1,3.0,3.0,3.0,2.85,226700.0
2018-01-05,3.1,2.9,3.0,3.0,2.85,50300.0
2018-01-08,3.1,3.0,3.0,3.0,2.85,91100.0
2018-01-09,3.1,3.0,3.0,3.1,2.945,71833.0
2018-01-10,3.3,3.0,3.1,3.1,2.945,140949.0
2018-01-11,3.2,3.0,3.2,3.2,3.04,52000.0
2018-01-12,3.3,3.1,3.2,3.3,3.135,292290.0
2018-01-15,3.3,3.2,3.3,3.3,3.135,69500.0
2018-01-16,3.4,3.2,3.3,3.2,3.04,117200.0
2018-01-17,3.4,3.2,3.2,3.4,3.23,123810.0
2018-01-18,3.4,3.2,3.4,3.3,3.135,48680.0
2018-01-19,3.3,3.2,3.3,3.3,3.135,49402.0
2018-01-22,3.3,3.1,3.2,3.3,3.135,160300.0
2018-01-23,3.3,3.2,3.3,3.2,3.04,12300.0
2018-01-24,3.3,3.2,3.2,3.2,3.04,59800.0
2018-01-25,3.3,3.2,3.2,3.2,3.04,16700.0
2018-01-26,3.2,3.1,3.2,3.1,2.945,5840.0
2018-01-29,3.2,3.1,3.1,3.1,2.945,58800.0
2018-01-30,3.1,3.0,3.1,3.0,2.85,62800.0
2018-01-31,3.1,2.9,3.0,3.0,2.85,14500.0
2018-02-01,3.0,2.7,3.0,2.7,2.565,40630.0
2018-02-02,2.9,2.8,2.8,2.9,2.755,35960.0
2018-02-05,2.9,2.7,2.9,2.7,2.565,98200.0
2018-02-06,2.7,2.5,2.7,2.5,2.375,66700.0
2018-02-07,2.7,2.6,2.6,2.7,2.565,96500.0
2018-02-08,2.8,2.7,2.7,2.7,2.565,6100.0
2018-02-09,2.8,2.6,2.6,2.8,2.66,48120.0
2018-02-12,2.9,2.8,2.8,2.8,2.66,15500.0
2018-02-13,2.9,2.6,2.8,2.9,2.755,55400.0
