Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,13.65,13.4,13.45,13.65,9.585,2206410.0
2018-01-03,14.25,13.7,13.75,14.2,9.971,5370970.0
2018-01-04,14.75,14.15,14.2,14.45,10.146,4473290.0
2018-01-05,14.9,14.3,14.45,14.5,10.182,3011970.0
2018-01-08,14.9,14.5,14.5,14.85,10.428,3473970.0
2018-01-09,15.1,14.55,14.95,15.1,10.603,5317770.0
2018-01-10,15.55,15.1,15.2,15.35,10.779,6967320.0
2018-01-11,15.4,15.0,15.4,15.3,10.744,3160500.0
2018-01-12,15.35,14.9,15.3,15.0,10.533,4563560.0
2018-01-15,15.05,14.7,14.9,14.8,10.393,4491970.0
2018-01-16,14.7,14.2,14.6,14.2,9.971,5327610.0
2018-01-17,14.55,14.0,14.2,14.0,9.831,4227600.0
2018-01-18,14.1,13.75,13.9,14.1,9.901,4289180.0
2018-01-19,14.3,13.8,14.3,13.8,9.69,4890640.0
2018-01-22,14.5,13.9,13.9,14.45,10.146,3417610.0
2018-01-25,15.15,14.5,14.6,15.05,10.568,7990280.0
2018-01-26,15.3,14.65,15.15,14.65,10.287,3388050.0
2018-01-29,15.2,14.6,14.8,14.9,10.462,3639670.0
2018-01-30,15.3,14.5,14.8,15.1,10.603,4193410.0
2018-01-31,15.0,14.05,15.0,14.05,9.866,7827240.0
2018-02-01,14.0,13.1,13.85,13.1,9.198,6555310.0
2018-02-02,13.3,12.8,12.95,13.05,9.164,2991490.0
2018-02-05,13.2,12.6,13.0,12.6,8.848,5150920.0
2018-02-06,12.9,11.75,11.8,12.9,9.059,6895620.0
2018-02-07,13.15,12.8,13.05,13.0,9.128,2456660.0
2018-02-08,13.0,12.7,12.8,12.7,8.918,1425320.0
2018-02-09,12.5,12.0,12.0,12.5,8.777,2564890.0
2018-02-12,12.7,12.3,12.5,12.5,8.777,1799110.0
2018-02-13,12.9,12.55,12.65,12.75,8.953,1830710.0
2018-02-21,13.5,12.75,12.8,13.5,9.48,2475630.0
2018-02-22,13.45,12.95,13.3,13.0,9.128,2626710.0
2018-02-23,13.3,13.0,13.2,13.25,9.305,2288100.0
2018-02-26,13.5,13.05,13.4,13.25,9.305,2713030.0
2018-02-27,13.25,12.95,13.2,12.95,9.093,2000990.0
2018-02-28,13.2,12.8,12.8,12.95,9.093,2865680.0
