Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.1,2.1,2.1,2.1,1.99,4000.0
2018-01-03,2.1,2.1,2.1,2.1,1.99,4000.0
2018-01-04,2.1,2.1,2.1,2.1,1.99,0.0
2018-01-05,2.4,2.4,2.4,2.4,2.274,10800.0
2018-01-08,2.3,2.3,2.3,2.3,2.179,1200.0
2018-01-09,2.3,2.3,2.3,2.3,2.179,0.0
2018-01-10,2.3,2.3,2.3,2.3,2.179,0.0
2018-01-11,2.3,2.3,2.3,2.3,2.179,2000.0
2018-01-12,2.5,2.4,2.4,2.5,2.369,3800.0
2018-01-15,2.5,2.4,2.5,2.4,2.274,3700.0
2018-01-16,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-17,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-18,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-19,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-22,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-23,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-24,2.5,2.5,2.5,2.5,2.369,1000.0
2018-01-25,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-26,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-29,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-30,2.5,2.5,2.5,2.5,2.369,0.0
2018-01-31,2.5,2.5,2.5,2.5,2.369,0.0
2018-02-01,2.5,2.5,2.5,2.5,2.369,1000.0
2018-02-02,2.5,2.5,2.5,2.5,2.369,0.0
2018-02-05,2.5,2.5,2.5,2.5,2.369,0.0
2018-02-06,2.5,2.5,2.5,2.5,2.369,0.0
2018-02-07,2.8,2.8,2.8,2.8,2.653,2000.0
2018-02-08,2.8,2.8,2.8,2.8,2.653,0.0
2018-02-09,2.8,2.8,2.8,2.8,2.653,0.0
2018-02-12,3.2,3.2,3.2,3.2,3.032,2100.0
2018-02-13,3.2,3.2,3.2,3.2,3.032,0.0
2018-02-21,3.2,3.2,3.2,3.2,3.032,0.0
2018-02-22,3.2,3.2,3.2,3.2,3.032,0.0
2018-02-23,3.2,3.2,3.2,3.2,3.032,0.0
2018-02-26,3.5,2.8,3.5,3.2,3.032,1900.0
2018-02-27,3.3,3.3,3.3,3.3,3.126,900.0
2018-02-28,3.3,3.3,3.3,3.3,3.126,0.0
2018-03-01,3.3,2.9,3.3,2.9,2.747,1200.0
2018-03-02,2.9,2.8,2.9,2.8,2.653,2500.0
2018-03-05,2.8,2.8,2.8,2.8,2.653,0.0
2018-03-06,3.1,3.1,3.1,3.1,2.937,1500.0
2018-03-07,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-08,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-09,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-12,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-13,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-14,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-15,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-16,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-19,3.1,3.1,3.1,3.1,2.937,300.0
2018-03-20,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-21,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-22,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-23,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-26,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-27,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-28,3.1,3.1,3.1,3.1,2.937,0.0
2018-03-29,2.8,2.8,2.8,2.8,2.653,200.0
2018-03-30,2.8,2.8,2.8,2.8,2.653,0.0
2018-04-02,3.1,3.1,3.1,3.1,2.937,3000.0
2018-04-03,3.1,3.1,3.1,3.1,2.937,0.0
2018-04-04,3.1,3.1,3.1,3.1,2.937,0.0
2018-04-05,2.7,2.7,2.7,2.7,2.558,100.0
2018-04-06,2.7,2.3,2.3,2.7,2.558,1200.0
2018-04-09,2.7,2.7,2.7,2.7,2.558,1000.0
2018-04-10,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-11,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-12,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-13,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-16,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-17,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-18,2.7,2.7,2.7,2.7,2.558,0.0
2018-04-19,2.3,2.3,2.3,2.3,2.179,2400.0
2018-04-20,2.1,2.0,2.0,2.1,1.99,4700.0
2018-04-23,2.0,2.0,2.0,2.0,1.895,100.0
2018-04-24,2.0,2.0,2.0,2.0,1.895,0.0
2018-04-26,1.7,1.7,1.7,1.7,1.611,1200.0
