Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,27.65,27.35,27.4,27.4,13.644,125060.0
2018-01-03,28.0,27.5,27.5,28.0,13.942,204230.0
2018-01-04,29.4,28.0,28.2,29.4,14.639,733900.0
2018-01-05,29.5,28.9,29.5,29.15,14.515,203500.0
2018-01-08,29.1,28.8,29.0,28.85,14.366,106940.0
2018-01-09,29.1,28.0,28.3,29.0,14.44,344060.0
2018-01-10,29.1,28.9,29.1,28.9,14.391,248670.0
2018-01-11,29.05,28.8,28.8,28.9,14.391,220050.0
2018-01-12,29.4,29.0,29.35,29.0,14.44,289000.0
2018-01-15,29.05,28.6,29.0,29.0,14.44,411910.0
2018-01-16,29.15,28.5,29.15,28.5,14.191,156580.0
2018-01-17,29.6,28.1,28.5,28.6,14.241,403230.0
2018-01-18,29.2,28.4,28.4,29.2,14.54,387580.0
2018-01-19,30.6,29.3,29.6,30.6,15.237,1293300.0
2018-01-22,32.7,31.0,31.9,32.7,16.283,1427480.0
2018-01-25,34.95,32.7,33.5,34.95,17.403,1048080.0
2018-01-26,36.45,33.1,36.45,34.9,17.378,683150.0
2018-01-29,35.1,33.3,34.4,34.1,16.98,229490.0
2018-01-30,34.8,33.2,33.7,34.5,17.179,219800.0
2018-01-31,35.1,34.4,35.1,34.5,17.179,215340.0
2018-02-01,34.7,34.35,34.35,34.5,17.179,203540.0
2018-02-02,34.9,32.95,34.9,34.3,17.079,193060.0
2018-02-05,34.0,32.4,33.3,32.5,16.183,371750.0
2018-02-06,32.0,30.25,32.0,31.0,15.436,516400.0
2018-02-07,32.9,31.3,31.3,31.7,15.785,202190.0
2018-02-08,32.15,31.6,32.0,31.7,15.785,159330.0
2018-02-09,31.7,30.3,30.3,31.4,15.635,277940.0
2018-02-12,31.6,31.1,31.4,31.4,15.635,329630.0
2018-02-13,31.5,31.2,31.4,31.4,15.635,98880.0
2018-02-21,32.45,31.5,31.6,31.7,15.785,127810.0
2018-02-22,32.2,31.7,31.7,31.9,15.884,78310.0
2018-02-23,33.0,31.8,31.9,32.9,16.382,128760.0
2018-02-26,33.5,32.55,32.9,33.1,16.482,150210.0
2018-02-27,33.1,32.1,33.1,32.9,16.382,298690.0
2018-02-28,34.9,32.25,32.9,34.5,17.179,269890.0
2018-03-01,35.4,34.15,34.15,35.0,17.428,269340.0
2018-03-02,36.6,34.25,34.25,36.6,18.225,479070.0
2018-03-05,38.0,36.75,36.8,37.45,18.648,708870.0
2018-03-06,37.0,36.2,36.2,36.8,18.324,149770.0
2018-03-07,36.3,35.6,35.6,36.0,17.926,347290.0
2018-03-08,36.3,35.7,36.0,35.8,17.826,415190.0
2018-03-09,35.8,34.7,35.8,34.8,17.328,334400.0
2018-03-12,35.8,34.85,35.3,35.8,17.826,307670.0
2018-03-13,36.2,35.2,35.2,36.0,17.926,240040.0
2018-03-14,35.6,35.3,35.3,35.4,17.627,143920.0
2018-03-15,35.8,35.3,35.8,35.4,17.627,272990.0
2018-03-16,35.9,35.4,35.9,35.85,17.851,355080.0
2018-03-19,35.9,35.4,35.9,35.6,17.727,272980.0
2018-03-20,37.0,35.65,36.0,36.4,18.125,220520.0
2018-03-21,37.1,36.6,36.95,36.85,18.349,252250.0
2018-03-22,37.4,36.85,37.0,36.95,18.399,303270.0
2018-03-23,36.5,35.3,35.35,35.8,17.826,102640.0
2018-03-26,35.95,35.3,35.3,35.8,17.826,136110.0
2018-03-27,36.8,35.5,36.8,35.9,17.876,187180.0
2018-03-28,36.7,35.55,35.9,36.7,18.274,198570.0
2018-03-29,36.95,36.1,36.95,36.3,18.075,108350.0
2018-03-30,36.5,35.6,36.5,36.25,18.05,159510.0
2018-04-02,37.4,36.25,36.45,37.0,18.424,477660.0
2018-04-03,37.1,36.3,37.0,36.95,18.399,398060.0
2018-04-04,39.5,36.65,36.95,39.1,19.47,998640.0
2018-04-05,39.6,38.65,39.5,38.9,19.37,263790.0
2018-04-06,39.6,38.8,39.5,39.15,19.494,356770.0
2018-04-09,39.8,38.8,39.2,39.8,19.818,526630.0
2018-04-10,40.05,39.3,40.0,40.05,19.943,582440.0
2018-04-11,42.0,39.8,40.0,41.3,20.565,529290.0
2018-04-12,43.0,40.1,41.25,42.0,20.914,538090.0
2018-04-13,42.75,40.0,42.0,42.0,20.914,669410.0
2018-04-16,42.1,40.5,42.0,42.0,20.914,566180.0
2018-04-17,42.1,41.7,42.0,42.0,20.914,400270.0
2018-04-18,42.3,41.6,42.0,41.6,20.714,859170.0
2018-04-19,41.95,41.0,41.35,41.3,20.565,154560.0
2018-04-20,41.8,40.1,40.5,40.9,20.366,306360.0
2018-04-23,41.75,38.15,41.75,38.15,18.996,754100.0
2018-04-24,38.15,36.5,38.15,37.0,18.424,302360.0
2018-04-26,39.0,36.0,37.0,36.5,18.175,375350.0
2018-04-27,36.95,36.4,36.5,36.5,18.175,267480.0
2018-05-02,36.5,34.55,36.5,34.55,17.204,478580.0
2018-05-03,34.55,33.0,34.55,33.95,16.905,340220.0
2018-05-04,34.5,33.7,33.95,33.75,16.806,229020.0
2018-05-07,34.15,32.8,34.1,34.15,17.005,256880.0
2018-05-08,34.1,33.6,34.1,33.7,16.781,338320.0
2018-05-09,35.3,33.6,33.75,35.3,17.577,297290.0
2018-05-10,35.3,34.1,35.3,34.7,17.279,181140.0
2018-05-11,34.7,33.9,34.15,34.7,17.279,179570.0
2018-05-14,34.9,34.0,34.7,34.9,17.378,204310.0
2018-05-15,35.35,34.55,35.0,35.35,17.602,208630.0
2018-05-16,35.9,35.0,35.35,35.7,17.777,228420.0
2018-05-17,35.7,35.3,35.7,35.5,17.677,98240.0
2018-05-18,35.8,35.1,35.5,35.45,17.652,317550.0
2018-05-21,35.45,35.1,35.45,35.4,17.627,105470.0
2018-05-22,35.2,32.95,35.2,33.85,16.855,298750.0
2018-05-23,34.0,33.35,33.9,34.0,16.93,68760.0
2018-05-24,34.0,33.6,34.0,33.6,16.731,52800.0
2018-05-25,33.9,33.1,33.1,33.6,16.731,110770.0
2018-05-28,33.9,31.25,33.6,31.25,15.561,131110.0
2018-05-29,32.95,30.0,31.6,32.8,16.332,195320.0
2018-05-30,32.95,31.9,32.95,32.5,16.183,30620.0
2018-05-31,33.15,32.5,32.5,33.15,16.507,68030.0
2018-06-01,33.3,32.6,33.15,33.3,16.581,55170.0
2018-06-04,33.5,32.9,33.3,33.1,16.482,157940.0
2018-06-05,33.45,33.0,33.45,33.05,16.457,85500.0
2018-06-06,34.0,33.15,33.15,33.65,16.756,106830.0
2018-06-07,34.0,33.5,33.8,33.65,16.756,149320.0
2018-06-08,33.8,33.5,33.65,33.65,16.756,40990.0
2018-06-11,33.65,32.9,33.4,33.25,16.557,91800.0
2018-06-12,33.25,32.3,33.25,32.5,16.183,72510.0
2018-06-13,33.0,32.4,33.0,32.5,16.183,133320.0
2018-06-14,32.75,32.15,32.5,32.5,16.183,126930.0
2018-06-15,32.5,32.1,32.5,32.4,16.133,97760.0
2018-06-18,32.6,31.5,32.5,32.0,15.934,80240.0
2018-06-19,31.9,30.0,31.1,30.9,15.386,115560.0
2018-06-20,31.4,30.9,31.0,31.25,15.561,61420.0
2018-06-21,31.5,30.9,31.4,31.35,15.61,96270.0
2018-06-22,31.4,31.0,31.35,31.35,15.61,75360.0
2018-06-25,31.35,31.0,31.35,31.15,15.511,51230.0
2018-06-26,31.3,31.0,31.15,31.2,15.536,47300.0
