Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.8,9.4,9.8,9.69,4.878,1140.0
2018-01-03,9.9,9.3,9.34,9.69,4.878,22230.0
2018-01-04,9.85,9.5,9.85,9.69,4.878,25920.0
2018-01-05,9.77,9.4,9.6,9.76,4.914,28680.0
2018-01-08,9.7,9.5,9.7,9.7,4.883,11140.0
2018-01-09,10.0,9.6,9.69,9.8,4.934,22860.0
2018-01-10,9.9,9.6,9.8,9.8,4.934,10800.0
2018-01-11,10.0,9.7,9.9,10.0,5.035,29120.0
2018-01-12,10.0,9.7,9.9,9.79,4.929,17770.0
2018-01-15,10.0,9.66,10.0,9.85,4.959,12550.0
2018-01-16,9.85,9.7,9.85,9.82,4.944,26040.0
2018-01-17,9.82,9.63,9.65,9.7,4.883,40570.0
2018-01-18,9.98,9.61,9.62,9.77,4.919,15280.0
2018-01-19,10.1,9.7,9.75,9.75,4.909,87980.0
2018-01-22,10.2,9.75,10.1,10.05,5.06,25120.0
2018-01-25,10.2,9.8,10.05,10.0,5.035,83600.0
2018-01-26,10.2,9.8,10.2,10.0,5.035,21030.0
2018-01-29,10.2,9.9,10.2,10.0,5.035,5820.0
2018-01-30,10.0,9.3,10.0,9.95,5.009,2650.0
2018-01-31,9.95,9.95,9.95,9.95,5.009,100.0
2018-02-01,9.95,9.41,9.41,9.95,5.009,1620.0
2018-02-02,10.2,9.9,9.9,10.2,5.135,8480.0
2018-02-05,10.1,9.9,10.1,10.0,5.035,13630.0
2018-02-06,9.9,9.8,9.9,9.8,4.934,7210.0
2018-02-07,10.0,9.6,9.6,9.98,5.024,10040.0
2018-02-08,9.95,9.95,9.95,9.95,5.009,140.0
2018-02-09,10.0,9.7,10.0,10.0,5.035,8730.0
2018-02-12,10.0,9.95,10.0,9.95,5.009,20.0
2018-02-13,10.2,9.95,9.95,10.15,5.11,9080.0
2018-02-21,10.2,10.0,10.15,10.0,5.035,13930.0
2018-02-22,10.0,9.6,10.0,10.0,5.035,240.0
2018-02-23,10.2,10.0,10.2,10.0,5.035,1050.0
2018-02-26,10.2,9.8,10.0,9.9,4.984,6190.0
2018-02-27,10.2,10.0,10.2,10.0,5.035,5060.0
2018-02-28,10.1,9.9,9.9,10.1,5.085,6130.0
2018-03-01,10.15,10.0,10.15,10.0,5.035,20.0
2018-03-02,10.2,9.86,10.15,10.0,5.035,200.0
2018-03-05,9.98,9.8,9.98,9.98,5.024,3470.0
2018-03-06,10.2,9.62,10.2,9.9,4.984,6980.0
2018-03-07,9.9,9.65,9.8,9.9,4.984,13020.0
2018-03-08,9.98,9.5,9.98,9.9,4.984,1420.0
2018-03-09,9.9,9.8,9.9,9.88,4.974,1950.0
2018-03-12,10.0,9.25,9.25,10.0,5.035,7260.0
2018-03-13,10.2,9.6,9.6,10.05,5.06,2500.0
2018-03-14,10.05,9.85,10.05,10.05,5.06,7330.0
2018-03-15,10.2,9.9,10.2,10.15,5.11,2670.0
2018-03-16,10.05,9.9,9.9,10.0,5.035,3360.0
2018-03-19,10.15,10.0,10.15,10.1,5.085,1020.0
2018-03-20,10.15,9.9,10.15,10.0,5.035,24210.0
2018-03-21,10.2,9.8,10.2,10.0,5.035,7040.0
2018-03-22,10.1,9.71,9.71,10.1,5.085,230.0
2018-03-23,9.66,9.4,9.66,9.5,4.783,119810.0
2018-03-26,9.6,9.4,9.5,9.6,4.833,40260.0
2018-03-27,9.59,9.4,9.4,9.59,4.828,210.0
2018-03-28,9.5,9.45,9.5,9.5,4.783,1270.0
2018-03-29,9.58,9.5,9.5,9.58,4.823,3010.0
2018-03-30,9.58,9.3,9.58,9.57,4.818,2020.0
2018-04-02,10.2,9.57,9.57,9.6,4.833,4780.0
2018-04-03,9.64,9.6,9.64,9.6,4.833,2090.0
2018-04-04,9.78,9.6,9.78,9.6,4.833,1270.0
2018-04-05,9.64,9.5,9.6,9.55,4.808,1360.0
2018-04-06,9.8,9.52,9.8,9.6,4.833,480.0
2018-04-09,9.65,9.6,9.64,9.63,4.848,10340.0
2018-04-10,9.68,9.6,9.68,9.63,4.848,9690.0
2018-04-11,9.98,9.3,9.98,9.8,4.934,7130.0
2018-04-12,9.79,9.6,9.6,9.79,4.929,840.0
2018-04-13,9.73,9.6,9.6,9.6,4.833,4120.0
2018-04-16,9.6,9.4,9.6,9.4,4.732,5510.0
2018-04-17,9.9,9.32,9.32,9.5,4.783,2870.0
2018-04-18,9.8,9.4,9.8,9.5,4.783,2420.0
2018-04-19,9.75,9.75,9.75,9.75,4.909,60.0
2018-04-20,9.58,9.58,9.58,9.58,4.823,90.0
2018-04-23,10.0,9.8,9.8,9.96,5.014,450.0
2018-04-24,10.0,9.5,9.5,10.0,5.035,8620.0
2018-04-26,10.0,9.53,9.8,9.8,4.934,11180.0
2018-04-27,10.45,9.5,9.5,10.3,5.186,44130.0
2018-05-02,10.2,9.8,9.8,10.0,5.035,60.0
2018-05-03,10.0,9.7,10.0,9.7,4.883,5570.0
2018-05-04,10.1,10.1,10.1,10.1,5.085,20.0
2018-05-07,10.15,9.59,10.0,10.0,5.035,2180.0
2018-05-08,9.99,9.6,9.6,9.99,5.029,60.0
2018-05-09,9.9,9.9,9.9,9.9,4.984,20.0
2018-05-10,9.65,9.6,9.65,9.65,4.858,4030.0
2018-05-11,9.99,9.6,9.65,9.99,5.029,1510.0
2018-05-14,9.95,9.5,9.51,9.95,5.009,440.0
2018-05-15,9.9,9.9,9.9,9.9,4.984,20960.0
2018-05-16,9.9,9.9,9.9,9.9,4.984,0.0
2018-05-17,9.9,9.89,9.89,9.9,4.984,3100.0
2018-05-18,10.0,9.55,9.55,9.9,4.984,3780.0
2018-05-21,9.9,9.9,9.9,9.9,4.984,0.0
2018-05-22,9.9,9.5,9.5,9.6,4.833,7720.0
2018-05-23,9.6,9.3,9.57,9.6,4.833,23770.0
2018-05-24,9.5,9.5,9.5,9.5,4.783,200.0
2018-05-25,9.5,9.3,9.42,9.5,4.783,1220.0
2018-05-28,9.5,9.0,9.4,9.5,4.783,6200.0
2018-05-29,9.4,8.86,9.4,9.4,4.732,9720.0
2018-05-30,9.4,9.0,9.4,9.4,4.732,19300.0
2018-05-31,9.4,9.4,9.4,9.4,4.732,2050.0
2018-06-01,9.4,9.0,9.39,9.4,4.732,5580.0
2018-06-04,9.4,9.4,9.4,9.4,4.732,5530.0
2018-06-05,9.4,9.4,9.4,9.4,4.732,0.0
2018-06-06,9.4,9.3,9.39,9.4,4.732,2020.0
2018-06-07,9.6,9.6,9.6,9.6,4.833,10.0
2018-06-08,9.4,9.3,9.4,9.4,4.732,5180.0
2018-06-11,9.4,9.3,9.3,9.3,4.682,5160.0
2018-06-12,9.5,9.3,9.3,9.5,4.783,2500.0
