Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-03,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-04,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-08,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-10,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-11,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-15,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-16,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-17,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-18,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-19,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-22,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-23,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-24,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-25,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-26,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-29,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-30,12.4,12.4,12.4,12.4,7.613,0.0
2018-01-31,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-01,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-06,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-07,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-08,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-13,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-21,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-22,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-23,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-26,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-27,12.4,12.4,12.4,12.4,7.613,0.0
2018-02-28,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-01,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-06,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-07,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-08,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-13,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-14,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-15,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-16,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-19,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-20,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-21,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-22,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-23,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-26,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-27,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-28,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-29,12.4,12.4,12.4,12.4,7.613,0.0
2018-03-30,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-03,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-04,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-06,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-10,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-11,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-13,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-16,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-17,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-18,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-19,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-20,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-23,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-24,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-26,12.4,12.4,12.4,12.4,7.613,0.0
2018-04-27,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-03,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-04,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-07,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-08,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-10,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-11,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-14,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-15,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-16,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-17,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-18,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-21,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-22,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-23,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-24,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-25,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-28,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-29,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-30,12.4,12.4,12.4,12.4,7.613,0.0
2018-05-31,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-01,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-04,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-06,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-07,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-08,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-11,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-13,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-14,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-15,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-18,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-19,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-20,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-21,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-22,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-25,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-26,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-27,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-28,12.4,12.4,12.4,12.4,7.613,0.0
2018-06-29,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-02,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-03,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-04,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-05,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-06,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-09,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-10,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-11,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-12,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-13,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-16,12.4,12.4,12.4,12.4,7.613,0.0
2018-07-17,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-18,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-19,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-20,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-23,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-24,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-25,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-26,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-27,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-30,11.7,11.7,11.7,11.7,7.614,0.0
2018-07-31,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-01,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-02,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-03,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-06,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-07,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-08,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-09,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-10,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-13,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-14,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-15,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-16,11.7,11.7,11.7,11.7,7.614,0.0
2018-08-17,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-20,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-21,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-22,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-23,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-24,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-27,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-28,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-29,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-30,11.5,11.5,11.5,11.5,7.614,0.0
2018-08-31,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-04,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-05,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-06,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-07,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-10,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-11,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-12,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-13,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-14,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-17,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-18,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-19,11.5,11.5,11.5,11.5,7.614,0.0
2018-09-20,11.5,11.5,11.5,11.5,7.614,0.0
