Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.1,13.7,14.0,14.0,10.883,13100.0
2018-01-03,13.8,13.7,13.8,13.7,10.651,18700.0
2018-01-04,13.9,13.5,13.5,13.9,10.806,9400.0
2018-01-05,13.9,13.6,13.6,13.9,10.806,18000.0
2018-01-08,14.0,13.6,13.6,14.0,10.883,1320.0
2018-01-09,14.0,13.8,14.0,13.9,10.806,3500.0
2018-01-10,14.1,14.0,14.0,14.0,10.883,20200.0
2018-01-11,14.1,14.0,14.0,14.1,10.962,3600.0
2018-01-12,14.2,14.1,14.1,14.2,11.039,14000.0
2018-01-15,14.2,14.2,14.2,14.2,11.039,1000.0
2018-01-16,14.3,14.2,14.3,14.2,11.039,4100.0
2018-01-17,14.2,14.0,14.1,14.2,11.039,22100.0
2018-01-18,14.3,13.8,14.1,14.3,11.116,2400.0
2018-01-19,14.4,14.2,14.4,14.2,11.039,3900.0
2018-01-22,14.3,14.2,14.3,14.3,11.116,6500.0
2018-01-23,14.3,14.2,14.2,14.3,11.116,16300.0
2018-01-24,14.5,14.3,14.3,14.3,11.116,7000.0
2018-01-25,14.3,13.6,14.3,13.8,10.728,1600.0
2018-01-26,14.2,13.9,14.0,14.2,11.039,6200.0
2018-01-29,14.2,14.0,14.0,14.2,11.039,6600.0
2018-01-30,14.3,14.2,14.2,14.2,11.039,12200.0
2018-01-31,14.3,14.1,14.2,14.2,11.039,7000.0
2018-02-01,14.1,14.1,14.1,14.1,10.962,4000.0
2018-02-02,14.2,14.1,14.1,14.2,11.039,3600.0
2018-02-05,14.2,13.7,13.7,14.2,11.039,600.0
2018-02-06,14.2,13.0,14.2,13.8,10.728,11000.0
2018-02-07,13.8,13.8,13.8,13.8,10.728,2420.0
2018-02-08,13.9,13.5,13.5,13.9,10.806,20100.0
2018-02-09,13.8,13.7,13.7,13.7,10.651,4000.0
2018-02-12,13.9,13.5,13.6,13.9,10.806,19000.0
2018-02-13,14.3,13.9,14.3,13.9,10.806,3500.0
2018-02-21,14.0,13.9,14.0,14.0,10.883,10222.0
2018-02-22,14.1,13.9,14.1,14.0,10.883,6600.0
2018-02-23,14.0,13.8,13.9,13.9,10.806,6200.0
2018-02-26,13.9,13.8,13.9,13.9,10.806,6500.0
2018-02-27,14.0,13.9,13.9,14.0,10.883,9400.0
2018-02-28,14.2,14.0,14.0,14.0,10.883,4300.0
2018-03-01,14.6,14.1,14.1,14.3,11.116,32800.0
2018-03-02,14.3,14.3,14.3,14.3,11.116,4000.0
2018-03-05,14.3,14.3,14.3,14.3,11.116,1900.0
2018-03-06,14.2,12.9,14.0,14.0,10.883,13300.0
2018-03-07,14.3,14.2,14.2,14.2,11.039,15000.0
2018-03-08,14.2,14.2,14.2,14.2,11.039,100.0
2018-03-09,14.2,13.9,14.2,14.2,11.039,6800.0
2018-03-12,15.0,14.3,14.3,14.6,11.351,40300.0
2018-03-13,15.1,14.8,14.9,15.1,11.739,65400.0
2018-03-14,15.5,15.1,15.2,15.2,11.817,12500.0
2018-03-15,15.3,15.0,15.3,15.2,11.817,18100.0
2018-03-16,15.2,14.8,15.2,14.8,11.506,31000.0
2018-03-19,15.0,14.8,14.8,14.9,11.584,8320.0
2018-03-20,15.0,14.9,15.0,15.0,11.661,19300.0
2018-03-21,15.1,15.0,15.0,15.0,11.661,13700.0
2018-03-22,15.0,14.8,15.0,14.8,11.506,10300.0
2018-03-23,14.9,14.6,14.8,14.8,11.506,25210.0
2018-03-26,14.9,14.7,14.9,14.8,11.506,17100.0
2018-03-27,14.8,14.7,14.8,14.8,11.506,10650.0
2018-03-28,14.8,14.5,14.8,14.8,11.506,23200.0
2018-03-29,14.8,14.7,14.8,14.7,11.428,13600.0
2018-03-30,13.4,12.7,13.3,12.9,11.608,30920.0
2018-04-02,12.9,12.5,12.9,12.6,11.338,4540.0
2018-04-03,12.6,12.0,12.6,12.0,10.798,39310.0
2018-04-04,12.0,11.8,12.0,11.8,10.618,39840.0
2018-04-05,12.3,11.8,11.8,11.9,10.708,43000.0
2018-04-06,11.9,11.8,11.9,11.9,10.708,7700.0
2018-04-09,12.0,11.9,11.9,12.0,10.798,11800.0
2018-04-10,12.2,12.0,12.0,12.2,10.978,1000.0
2018-04-11,12.1,11.9,12.1,11.9,10.708,11000.0
2018-04-12,12.0,11.9,12.0,11.9,10.708,16200.0
2018-04-13,12.1,11.9,11.9,11.9,10.708,17910.0
2018-04-16,12.1,11.8,12.0,11.8,10.618,30700.0
2018-04-17,11.9,11.8,11.9,11.8,10.618,17100.0
2018-04-18,11.9,11.7,11.8,11.8,10.618,13700.0
2018-04-19,11.9,11.8,11.9,11.9,10.708,10900.0
2018-04-20,11.9,11.8,11.9,11.9,10.708,7600.0
