Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.0,9.5,9.5,10.5,8.569,31300.0
2018-01-03,11.0,9.8,10.6,10.5,8.569,33812.0
2018-01-04,11.0,10.0,11.0,10.6,8.651,7600.0
2018-01-05,10.8,10.2,10.7,10.7,8.733,47009.0
2018-01-08,11.0,10.2,11.0,10.9,8.896,48000.0
2018-01-09,10.8,10.2,10.4,10.8,8.814,16700.0
2018-01-10,10.6,10.0,10.2,10.6,8.651,3200.0
2018-01-11,11.0,10.2,10.6,10.5,8.569,23400.0
2018-01-12,10.7,10.4,10.7,10.5,8.569,13905.0
2018-01-15,10.5,10.1,10.5,10.4,8.488,9310.0
2018-01-16,10.4,10.2,10.4,10.4,8.488,28200.0
2018-01-17,10.2,10.2,10.2,10.2,8.325,4000.0
2018-01-18,10.3,10.0,10.2,10.2,8.325,23100.0
2018-01-19,10.2,9.6,10.1,10.2,8.325,19000.0
2018-01-22,10.2,10.0,10.2,10.0,8.161,200.0
2018-01-23,10.1,9.8,9.8,10.1,8.243,11500.0
2018-01-24,10.1,9.8,10.0,10.1,8.243,7010.0
2018-01-25,10.1,9.8,10.1,10.0,8.161,10400.0
2018-01-26,10.0,9.9,9.9,9.9,8.08,21500.0
2018-01-29,10.0,9.9,10.0,10.0,8.161,6200.0
2018-01-30,10.0,9.9,10.0,10.0,8.161,10520.0
2018-01-31,10.0,9.5,10.0,10.0,8.161,14100.0
2018-02-01,10.0,9.8,10.0,9.9,8.08,13200.0
2018-02-02,9.9,9.7,9.8,9.9,8.08,13000.0
2018-02-05,10.0,10.0,10.0,10.0,8.161,900.0
2018-02-06,9.8,9.5,9.8,9.5,7.753,1200.0
2018-02-07,9.8,9.6,9.6,9.8,7.998,600.0
2018-02-08,9.8,9.8,9.8,9.8,7.998,122.0
2018-02-09,9.2,9.2,9.2,9.2,7.508,2000.0
2018-02-12,9.8,9.8,9.8,9.8,7.998,1000.0
2018-02-13,10.0,9.2,10.0,9.9,8.08,3756.0
2018-02-21,10.0,9.8,10.0,10.0,8.161,7700.0
2018-02-22,10.0,9.8,10.0,9.9,8.08,3302.0
2018-02-23,9.9,9.9,9.9,9.9,8.08,0.0
2018-02-26,10.0,9.9,10.0,9.9,8.08,8800.0
2018-02-27,10.0,8.5,10.0,10.0,8.161,6979.0
2018-02-28,10.0,9.0,9.3,9.8,7.998,7906.0
2018-03-01,10.0,9.5,10.0,10.0,8.161,11014.0
2018-03-02,10.0,9.8,9.8,10.0,8.161,1760.0
2018-03-05,10.0,10.0,10.0,10.0,8.161,831.0
2018-03-06,10.0,9.8,10.0,10.0,8.161,3614.0
2018-03-07,10.0,10.0,10.0,10.0,8.161,100.0
2018-03-08,10.0,9.9,10.0,10.0,8.161,1760.0
2018-03-09,10.0,9.8,9.8,10.0,8.161,15400.0
2018-03-12,10.0,9.8,10.0,9.9,8.08,13220.0
2018-03-13,10.0,10.0,10.0,10.0,8.161,10140.0
2018-03-14,9.9,9.9,9.9,9.9,8.08,200.0
2018-03-15,9.9,9.8,9.9,9.9,8.08,500.0
2018-03-16,10.0,9.8,9.9,10.0,8.161,4300.0
2018-03-19,9.9,9.8,9.9,9.9,8.08,5220.0
2018-03-20,10.0,9.9,9.9,10.0,8.161,510.0
2018-03-21,9.9,9.8,9.9,9.8,7.998,9610.0
2018-03-22,10.0,9.0,9.9,10.0,8.161,14000.0
2018-03-23,10.0,10.0,10.0,10.0,8.161,520.0
2018-03-26,10.0,9.2,9.2,10.0,8.161,6817.0
2018-03-27,9.9,9.9,9.9,9.9,8.08,2300.0
2018-03-28,9.8,9.5,9.5,9.6,7.835,7810.0
2018-03-29,10.0,9.6,9.9,9.9,8.08,21148.0
2018-03-30,10.2,9.9,9.9,10.1,8.243,108300.0
2018-04-02,10.2,9.9,10.0,10.0,8.161,15618.0
2018-04-03,10.2,10.1,10.2,10.2,8.325,58520.0
2018-04-04,10.3,10.0,10.0,10.3,8.406,31842.0
2018-04-05,10.4,10.0,10.2,10.2,8.325,31200.0
2018-04-06,10.4,10.0,10.2,10.0,8.161,24895.0
2018-04-09,10.4,10.2,10.4,10.2,8.325,20500.0
2018-04-10,10.4,10.1,10.3,10.2,8.325,22542.0
2018-04-11,11.5,10.2,10.2,11.4,9.304,82100.0
2018-04-12,11.3,10.9,11.3,11.2,9.141,19330.0
2018-04-13,12.7,11.1,11.1,11.5,9.385,59330.0
2018-04-16,13.0,11.0,11.7,12.1,9.875,62467.0
2018-04-17,13.0,11.6,13.0,12.0,9.794,3660.0
2018-04-18,13.0,11.8,13.0,11.9,9.712,102800.0
2018-04-19,12.7,12.1,12.2,12.1,9.875,56000.0
2018-04-20,12.2,10.8,10.8,12.2,9.957,25015.0
2018-04-23,12.6,11.1,12.0,11.1,9.059,65522.0
2018-04-24,13.0,12.4,12.4,13.0,10.61,31400.0
2018-04-26,14.0,11.1,12.3,12.2,9.957,63621.0
2018-04-27,13.5,11.1,12.3,12.4,10.12,70590.0
2018-05-02,12.1,11.3,11.5,12.1,9.875,11100.0
2018-05-03,13.5,11.4,12.0,11.4,9.304,29043.0
2018-05-04,11.6,11.6,11.6,11.6,9.467,2100.0
2018-05-07,12.1,11.1,12.0,11.5,9.385,7600.0
2018-05-08,12.9,11.0,11.5,11.7,9.549,35390.0
2018-05-09,13.4,11.2,13.2,11.6,9.467,45340.0
2018-05-10,11.7,11.5,11.5,11.5,9.385,15400.0
2018-05-11,11.9,11.0,11.8,11.8,9.63,8600.0
2018-05-14,11.7,11.0,11.4,11.5,9.385,12100.0
2018-05-15,11.6,11.3,11.3,11.6,9.467,17100.0
2018-05-16,11.5,11.0,11.5,11.5,9.385,3200.0
2018-05-17,12.0,10.8,11.6,11.9,9.712,35450.0
2018-05-18,11.1,11.0,11.1,11.0,8.977,6410.0
2018-05-21,12.2,11.7,12.0,12.2,9.957,3600.0
2018-05-22,11.5,10.8,11.1,11.5,9.385,8850.0
2018-05-23,11.8,10.9,11.6,11.5,9.385,71201.0
2018-05-24,12.2,11.3,11.5,11.9,9.712,47430.0
2018-05-25,11.9,11.4,11.7,11.4,9.304,10862.0
2018-05-28,11.3,10.9,11.3,10.9,8.896,9200.0
2018-05-29,11.5,11.4,11.4,11.5,9.385,9210.0
2018-05-30,11.0,10.9,11.0,10.9,8.896,1300.0
2018-05-31,11.5,10.2,10.3,11.5,9.385,34150.0
2018-06-01,10.8,10.8,10.8,10.8,8.814,1000.0
2018-06-04,11.4,11.2,11.4,11.2,9.141,400.0
2018-06-05,11.3,11.3,11.3,11.3,9.222,15.0
2018-06-06,11.3,11.3,11.3,11.3,9.222,0.0
2018-06-07,11.4,11.0,11.0,11.4,9.304,7500.0
2018-06-08,11.6,11.4,11.5,11.6,9.467,13050.0
2018-06-11,11.5,11.0,11.0,11.5,9.385,1500.0
2018-06-12,11.0,9.9,11.0,9.9,8.08,1300.0
2018-06-13,11.1,10.9,10.9,11.1,9.059,5100.0
2018-06-14,11.3,10.9,10.9,11.3,9.222,8500.0
2018-06-15,11.4,11.0,11.0,11.4,9.304,13310.0
2018-06-18,11.0,11.0,11.0,11.0,8.977,250.0
2018-06-19,11.5,10.0,11.0,10.5,8.569,30200.0
2018-06-20,11.2,11.2,11.2,11.2,9.141,0.0
2018-06-21,11.2,11.2,11.2,11.2,9.141,0.0
2018-06-22,11.2,11.2,11.2,11.2,9.141,0.0
2018-06-25,11.4,10.0,10.0,11.4,9.304,9700.0
2018-06-26,11.4,11.2,11.2,11.4,9.304,2600.0
2018-06-27,11.4,10.9,11.3,11.3,9.222,1500.0
2018-06-28,11.0,10.5,10.5,11.0,8.977,301.0
2018-06-29,11.0,11.0,11.0,11.0,8.977,10000.0
2018-07-02,11.0,11.0,11.0,11.0,8.977,110.0
2018-07-03,11.0,10.5,11.0,11.0,8.977,19100.0
2018-07-04,11.4,11.4,11.4,11.4,9.304,100.0
2018-07-05,11.4,11.4,11.4,11.4,9.304,0.0
2018-07-06,11.4,11.4,11.4,11.4,9.304,0.0
2018-07-09,10.5,10.5,10.5,10.5,8.569,300.0
2018-07-10,10.5,10.5,10.5,10.5,8.569,0.0
2018-07-11,11.0,11.0,11.0,11.0,8.977,100.0
2018-07-12,11.0,11.0,11.0,11.0,8.977,1.0
2018-07-13,11.0,11.0,11.0,11.0,8.977,0.0
2018-07-16,10.5,10.2,10.5,10.2,8.325,200.0
2018-07-17,10.4,10.4,10.4,10.4,8.488,0.0
