Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,8.8,8.8,8.8,8.8,5.05,100.0
2018-01-03,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-04,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-05,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-08,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-09,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-10,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-11,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-12,8.8,8.8,8.8,8.8,5.05,1800.0
2018-01-15,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-16,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-17,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-18,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-19,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-22,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-23,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-24,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-25,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-26,8.8,8.8,8.8,8.8,5.05,70.0
2018-01-29,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-30,8.8,8.8,8.8,8.8,5.05,0.0
2018-01-31,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-01,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-02,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-05,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-06,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-07,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-08,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-09,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-12,8.8,8.8,8.8,8.8,5.05,0.0
2018-02-13,8.8,8.8,8.8,8.8,5.05,0.0
