Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,43.0,42.2,42.9,42.7,24.282,214410.0
2018-01-03,43.5,42.3,42.5,42.95,24.424,200680.0
2018-01-04,45.2,42.5,42.95,45.0,25.59,512940.0
2018-01-05,46.1,44.7,45.1,45.3,25.761,468100.0
2018-01-08,47.5,44.9,45.9,47.5,27.012,861250.0
2018-01-09,48.25,46.9,47.7,46.9,26.671,651800.0
2018-01-10,47.0,46.0,46.8,46.5,26.443,705660.0
2018-01-11,47.6,45.4,46.5,47.6,27.069,634370.0
2018-01-12,48.4,46.5,47.6,47.7,27.125,455150.0
2018-01-15,48.0,46.7,47.0,48.0,27.296,323170.0
2018-01-16,47.9,46.7,47.8,46.7,26.557,250370.0
2018-01-17,46.7,44.8,46.7,44.8,25.476,457640.0
2018-01-18,44.7,42.6,44.2,43.3,24.623,342550.0
2018-01-19,43.9,43.15,43.3,43.2,24.566,431650.0
2018-01-22,44.5,43.0,44.2,44.1,25.078,301930.0
2018-01-25,44.9,42.8,44.5,42.8,24.339,492210.0
2018-01-26,43.6,42.2,42.8,42.9,24.396,287170.0
2018-01-29,43.3,41.95,43.3,42.4,24.112,222270.0
2018-01-30,42.3,41.55,42.0,42.0,23.884,382490.0
2018-01-31,42.5,41.8,42.0,41.9,23.827,234360.0
2018-02-01,41.9,40.4,41.8,40.65,23.116,247750.0
2018-02-02,41.0,40.2,40.65,40.7,23.145,145350.0
2018-02-05,40.5,38.1,40.4,39.8,22.633,208350.0
2018-02-06,39.8,37.05,37.1,39.5,22.462,746580.0
2018-02-07,40.1,39.1,39.5,39.6,22.519,203530.0
2018-02-08,39.7,38.6,39.5,38.6,21.951,107690.0
2018-02-09,38.6,36.2,37.0,38.6,21.951,233410.0
2018-02-12,39.0,38.0,38.0,38.65,21.979,75340.0
2018-02-13,39.7,38.65,38.65,39.7,22.576,88400.0
2018-02-21,40.8,39.3,39.5,40.5,23.031,132090.0
2018-02-22,40.3,38.6,40.1,38.6,21.951,170180.0
2018-02-23,39.5,38.6,38.6,39.0,22.178,94440.0
2018-02-26,40.0,39.0,39.0,40.0,22.747,192070.0
2018-02-27,42.0,40.0,40.0,42.0,23.884,434700.0
2018-02-28,43.6,42.0,42.0,42.9,24.396,492220.0
2018-03-01,43.1,42.3,42.9,42.6,24.225,192270.0
2018-03-02,43.95,41.7,42.2,43.95,24.993,572680.0
2018-03-05,44.35,42.0,44.3,42.0,23.884,508960.0
2018-03-06,43.5,41.8,42.0,43.5,24.737,687520.0
2018-03-07,43.9,42.6,43.35,42.6,24.225,309950.0
2018-03-08,43.0,42.2,42.3,42.6,24.225,119450.0
2018-03-09,42.7,42.05,42.7,42.1,23.941,178490.0
2018-03-12,42.4,40.9,42.1,41.8,23.77,437890.0
2018-03-13,41.7,41.1,41.1,41.1,23.372,157540.0
2018-03-14,41.8,40.4,41.1,40.5,23.031,270490.0
2018-03-15,40.9,39.9,40.3,40.9,23.259,319560.0
2018-03-16,41.7,40.9,40.9,41.5,23.6,297760.0
