Date,High,Low,Open,Close,Adj Close,Volume
2021-10-06,46.8,46.8,46.8,46.8,46.8,74100.0
2021-10-07,51.4,51.4,51.4,51.4,51.4,3900.0
2021-10-08,56.5,56.5,56.5,56.5,56.5,16800.0
2021-10-11,62.1,62.1,62.1,62.1,62.1,2000.0
2021-10-12,68.3,68.3,68.3,68.3,68.3,13000.0
2021-10-13,75.1,75.1,75.1,75.1,75.1,91000.0
2021-10-14,82.6,70.0,82.6,76.4,76.4,652100.0
2021-10-15,82.0,71.1,82.0,73.3,73.3,288200.0
2021-10-18,73.3,66.2,73.3,66.2,66.2,403700.0
2021-10-19,72.8,66.2,66.2,71.9,71.9,266500.0
2021-10-20,79.0,72.0,73.0,79.0,79.0,174100.0
2021-10-21,84.6,73.4,84.6,75.1,75.1,266700.0
2021-10-22,80.0,73.9,75.1,75.8,75.8,231760.0
2021-10-25,80.0,76.1,77.5,77.1,77.1,371200.0
2021-10-26,80.0,75.1,79.8,76.8,76.8,275500.0
2021-10-27,80.0,76.9,77.0,78.9,78.9,288564.0
2021-10-28,80.0,78.0,78.0,80.0,80.0,214006.0
2021-10-29,80.7,74.5,80.0,74.5,74.5,194730.0
2021-11-01,77.0,71.0,75.5,71.0,71.0,255801.0
2021-11-02,73.6,71.0,71.0,72.2,72.2,257100.0
2021-11-03,73.8,71.3,73.8,71.8,71.8,335305.0
2021-11-04,74.3,71.1,71.8,72.1,72.1,315200.0
2021-11-05,75.8,72.1,73.6,72.1,72.1,192500.0
2021-11-08,74.0,67.8,73.8,67.8,67.8,295600.0
2021-11-09,72.2,68.6,70.0,68.8,68.8,174600.0
2021-11-10,71.0,68.9,70.0,69.7,69.7,241100.0
2021-11-11,71.5,69.0,69.0,69.9,69.9,255800.0
2021-11-12,71.4,69.5,70.0,70.7,70.7,244260.0
2021-11-15,76.8,70.8,72.0,76.8,76.8,275700.0
2021-11-16,76.0,71.3,76.0,72.2,72.2,300200.0
2021-11-17,79.0,72.4,72.8,79.0,79.0,349200.0
2021-11-18,78.0,75.0,75.8,77.9,77.9,228200.0
2021-11-19,77.0,73.0,77.0,73.0,73.0,257200.0
2021-11-22,74.5,72.0,73.5,72.0,72.0,216550.0
2021-11-23,73.3,71.6,73.3,71.6,71.6,237700.0
2021-11-24,72.8,70.8,72.8,71.9,71.9,230800.0
2021-11-25,72.2,70.5,72.2,71.0,71.0,337300.0
2021-11-26,72.5,70.9,72.5,71.0,71.0,256210.0
2021-11-29,72.5,70.5,72.5,71.2,71.2,258000.0
2021-11-30,71.5,70.8,71.1,70.9,70.9,208500.0
2021-12-01,72.5,70.9,72.5,71.2,71.2,240900.0
2021-12-02,72.0,70.8,71.2,71.3,71.3,222003.0
2021-12-03,72.6,71.5,71.6,72.0,72.0,273100.0
2021-12-06,71.9,70.3,71.9,71.5,71.5,371200.0
2021-12-07,72.0,70.6,71.4,71.3,71.3,323300.0
2021-12-08,72.5,71.2,72.5,71.5,71.5,386000.0
2021-12-09,72.0,69.1,71.6,69.1,69.1,371800.0
2021-12-10,71.3,69.1,69.5,71.0,71.0,400600.0
2021-12-13,72.3,70.7,70.7,72.3,72.3,343200.0
2021-12-14,72.0,70.8,72.0,71.7,71.7,341400.0
2021-12-15,71.3,70.6,71.2,71.3,71.3,440800.0
2021-12-16,71.3,71.0,71.0,71.3,71.3,284700.0
2021-12-17,72.8,70.0,71.0,72.8,72.8,364900.0
2021-12-20,71.5,70.5,71.5,70.5,70.5,300800.0
2021-12-21,70.8,70.0,70.8,70.1,70.1,273500.0
2021-12-22,70.6,69.9,70.0,70.2,70.2,314900.0
2021-12-23,70.8,68.0,70.2,68.0,68.0,392400.0
2021-12-24,69.8,67.9,68.0,69.0,69.0,401600.0
2021-12-27,70.0,68.8,70.0,69.6,69.6,338800.0
2021-12-28,72.8,69.1,69.1,72.8,72.8,309200.0
2021-12-29,76.0,72.6,72.7,76.0,76.0,349900.0
2021-12-30,77.8,75.8,76.3,77.5,77.5,289700.0
2021-12-31,78.3,76.8,77.6,76.8,76.8,398116.0
2022-01-04,77.2,76.3,77.0,77.0,77.0,224400.0
2022-01-05,79.6,76.7,76.8,79.6,79.6,381600.0
2022-01-06,87.5,79.6,79.6,87.5,87.5,13102.0
2022-01-07,90.0,87.5,87.5,90.0,90.0,3400.0
2022-01-10,90.0,81.2,90.0,81.2,81.2,194507.0
2022-01-11,81.3,77.5,80.0,79.5,79.5,294100.0
2022-01-12,79.3,76.8,79.3,77.8,77.8,174100.0
2022-01-13,85.5,77.7,77.8,85.5,85.5,142500.0
2022-01-14,94.0,83.3,85.5,93.0,93.0,84700.0
2022-01-17,102.2,95.5,95.5,100.0,100.0,24612.0
2022-01-18,101.0,96.7,97.5,100.0,100.0,196900.0
2022-01-19,109.0,97.3,109.0,97.5,97.5,9708.0
2022-01-20,97.6,97.0,97.0,97.6,97.6,9812.0
2022-01-21,102.6,97.4,97.6,97.6,97.6,2700.0
2022-01-24,98.0,97.2,97.3,98.0,98.0,1900.0
2022-01-25,107.8,95.8,95.8,101.5,101.5,165400.0
2022-01-26,110.0,101.5,101.5,103.5,103.5,31700.0
2022-01-27,113.0,98.7,98.7,113.0,113.0,4300.0
2022-01-28,124.0,105.5,105.5,124.0,124.0,10300.0
2022-02-07,124.5,116.8,116.8,124.5,124.5,11800.0
2022-02-08,122.6,122.0,122.3,122.3,122.3,14200.0
2022-02-09,124.5,122.2,122.4,124.5,124.5,7009.0
2022-02-10,122.5,121.5,122.5,121.5,121.5,13500.0
2022-02-11,119.5,117.8,119.5,117.8,117.8,21600.0
2022-02-14,117.8,112.4,117.8,112.4,112.4,22800.0
2022-02-15,123.6,112.0,123.6,112.0,112.0,700.0
2022-02-16,110.9,110.5,110.8,110.9,110.9,20700.0
2022-02-17,111.0,110.8,111.0,110.8,110.8,3000.0
2022-02-18,111.4,110.7,110.7,111.4,111.4,26700.0
2022-02-21,110.9,110.0,110.8,110.0,110.0,43200.0
2022-02-22,110.6,108.0,110.6,108.0,108.0,26400.0
2022-02-23,118.8,108.0,118.8,108.4,108.4,12600.0
2022-02-24,108.4,107.9,108.2,107.9,107.9,36907.0
2022-02-25,109.2,107.9,107.9,109.1,109.1,24400.0
2022-02-28,109.2,108.5,108.5,109.1,109.1,31200.0
2022-03-01,108.9,108.5,108.9,108.7,108.7,32800.0
2022-03-02,109.0,108.7,108.8,108.8,108.8,24600.0
2022-03-03,108.8,108.3,108.6,108.3,108.3,41300.0
2022-03-04,119.1,108.0,108.3,108.3,108.3,32900.0
2022-03-07,108.3,107.5,108.3,107.5,107.5,18500.0
2022-03-08,108.0,107.2,107.5,107.2,107.2,48000.0
2022-03-09,108.0,106.8,107.2,106.8,106.8,24100.0
2022-03-10,107.0,106.8,107.0,106.8,106.8,35400.0
2022-03-11,111.0,106.8,107.0,108.1,108.1,45200.0
2022-03-14,111.0,107.0,107.8,107.0,107.0,32300.0
2022-03-15,107.0,106.8,107.0,106.9,106.9,39900.0
2022-03-16,107.0,106.9,106.9,107.0,107.0,29037.0
2022-03-17,110.0,107.2,109.0,107.5,107.5,55500.0
2022-03-18,107.7,107.4,107.4,107.7,107.7,26700.0
2022-03-21,108.2,107.7,107.7,108.2,108.2,36200.0
2022-03-22,108.5,108.1,108.1,108.5,108.5,49700.0
2022-03-23,108.5,108.0,108.2,108.4,108.4,27500.0
2022-03-24,119.2,108.3,108.3,119.2,119.2,51800.0
2022-03-25,109.4,108.6,108.6,109.4,109.4,20501.0
2022-03-28,119.5,108.5,109.5,108.5,108.5,25500.0
2022-03-29,118.5,108.5,108.5,108.5,108.5,17400.0
2022-03-30,108.4,107.3,108.4,107.3,107.3,34600.0
2022-03-31,107.3,106.8,107.3,106.8,106.8,21900.0
2022-04-01,107.2,106.9,107.0,107.1,107.1,30309.0
2022-04-04,107.4,106.5,107.0,107.4,107.4,23400.0
2022-04-05,108.1,107.7,107.7,108.0,108.0,16400.0
2022-04-06,107.9,107.9,107.9,107.9,107.9,20038.0
2022-04-07,113.9,107.2,107.3,113.5,113.5,128177.0
2022-04-08,113.3,109.3,113.0,110.0,110.0,133300.0
2022-04-12,110.5,108.9,109.1,110.2,110.2,50101.0
2022-04-13,110.2,109.0,110.2,109.5,109.5,65100.0
2022-04-14,109.5,108.2,109.5,108.4,108.4,35500.0
2022-04-15,108.5,107.5,108.5,108.2,108.2,28800.0
2022-04-18,108.6,108.4,108.4,108.4,108.4,40000.0
2022-04-19,108.6,108.0,108.3,108.1,108.1,25400.0
2022-04-20,108.0,107.4,108.0,107.5,107.5,33700.0
2022-04-21,108.5,107.0,108.5,108.0,108.0,48900.0
2022-04-22,109.2,108.0,108.0,108.1,108.1,29900.0
2022-04-25,108.0,107.0,108.0,107.5,107.5,50900.0
2022-04-26,107.8,107.4,107.5,107.8,107.8,37600.0
2022-04-27,111.0,107.3,107.5,109.5,109.5,70800.0
2022-04-28,111.0,109.0,109.0,110.7,110.7,28700.0
2022-04-29,110.2,109.8,110.0,109.9,109.9,48500.0
2022-05-04,109.9,109.1,109.9,109.1,109.1,56600.0
2022-05-05,109.5,108.0,109.1,108.0,108.0,65000.0
2022-05-06,107.9,106.2,107.9,107.5,107.5,48400.0
2022-05-09,107.5,105.5,107.0,107.5,107.5,75800.0
2022-05-10,107.6,105.6,107.0,107.6,107.6,84200.0
2022-05-11,107.5,106.1,107.0,107.5,107.5,51800.0
2022-05-12,107.5,106.7,107.0,107.5,107.5,44200.0
2022-05-13,107.5,106.0,107.0,107.5,107.5,70600.0
2022-05-16,107.0,105.6,107.0,106.0,106.0,50300.0
2022-05-17,110.0,98.9,106.0,99.1,99.1,98000.0
2022-05-18,98.6,91.8,98.6,91.8,91.8,85400.0
2022-05-19,91.4,88.0,91.4,88.0,88.0,79000.0
2022-05-20,87.5,86.9,87.5,86.9,86.9,105600.0
2022-05-23,87.5,83.9,86.5,83.9,83.9,125400.0
2022-05-24,85.0,82.9,83.0,84.2,84.2,80700.0
2022-05-25,88.0,84.0,84.0,87.0,87.0,142300.0
2022-05-26,87.0,85.0,87.0,86.0,86.0,72700.0
2022-05-27,86.5,85.0,86.5,85.0,85.0,94600.0
2022-05-30,85.5,83.9,84.5,85.5,85.5,122000.0
2022-05-31,86.3,85.3,85.5,86.3,86.3,88800.0
2022-06-01,86.8,85.0,86.0,86.8,86.8,82300.0
2022-06-02,86.5,83.9,86.5,84.5,84.5,101600.0
2022-06-03,86.0,83.5,84.0,86.0,86.0,120300.0
2022-06-06,86.0,84.1,86.0,85.5,85.5,92300.0
2022-06-07,85.5,84.0,85.5,84.0,84.0,80300.0
2022-06-08,86.6,84.4,84.5,86.6,86.6,132000.0
2022-06-09,88.1,86.8,86.9,87.6,87.6,110901.0
2022-06-10,87.5,86.0,87.5,87.0,87.0,94500.0
