Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.23,2.15,2.21,2.21,2.21,106350.0
2018-01-03,2.21,2.15,2.16,2.19,2.19,101300.0
2018-01-04,2.19,2.15,2.19,2.16,2.16,91190.0
2018-01-05,2.2,2.15,2.19,2.18,2.18,38500.0
2018-01-08,2.19,2.15,2.17,2.15,2.15,76110.0
2018-01-09,2.19,2.1,2.18,2.19,2.19,115690.0
2018-01-10,2.34,2.21,2.21,2.34,2.34,545970.0
2018-01-11,2.34,2.25,2.34,2.3,2.3,165600.0
2018-01-12,2.32,2.25,2.3,2.25,2.25,110250.0
2018-01-15,2.3,2.2,2.24,2.28,2.28,143390.0
2018-01-16,2.28,2.2,2.28,2.24,2.24,83730.0
2018-01-17,2.25,2.09,2.24,2.19,2.19,350370.0
2018-01-18,2.18,2.14,2.15,2.17,2.17,53670.0
2018-01-19,2.22,2.11,2.18,2.18,2.18,111880.0
2018-01-22,2.18,2.1,2.18,2.14,2.14,86440.0
2018-01-25,2.14,2.0,2.1,2.0,2.0,121090.0
2018-01-26,2.14,1.88,1.88,2.13,2.13,163930.0
2018-01-29,2.13,2.08,2.13,2.1,2.1,38100.0
2018-01-30,2.1,2.02,2.08,2.05,2.05,83130.0
2018-01-31,2.07,2.0,2.05,2.04,2.04,118770.0
2018-02-01,2.04,2.0,2.01,2.04,2.04,70180.0
2018-02-02,2.02,1.99,2.0,2.0,2.0,82620.0
2018-02-05,1.99,1.87,1.99,1.96,1.96,54750.0
2018-02-06,1.96,1.83,1.96,1.83,1.83,188150.0
2018-02-07,1.95,1.85,1.85,1.95,1.95,145810.0
2018-02-08,2.05,1.92,1.99,1.95,1.95,85320.0
2018-02-09,1.96,1.85,1.85,1.95,1.95,109210.0
2018-02-12,2.04,1.94,1.94,1.99,1.99,47000.0
2018-02-13,1.96,1.93,1.96,1.94,1.94,259710.0
2018-02-21,2.03,1.94,2.0,1.94,1.94,92910.0
2018-02-22,1.94,1.92,1.92,1.94,1.94,25820.0
2018-02-23,1.96,1.9,1.93,1.94,1.94,133720.0
2018-02-26,1.94,1.9,1.94,1.93,1.93,40610.0
2018-02-27,1.9,1.8,1.9,1.8,1.8,192550.0
2018-02-28,1.88,1.8,1.88,1.81,1.81,116020.0
2018-03-01,1.85,1.8,1.85,1.85,1.85,30630.0
2018-03-02,1.85,1.81,1.85,1.85,1.85,12090.0
2018-03-05,1.86,1.8,1.85,1.85,1.85,53990.0
2018-03-06,1.84,1.82,1.84,1.83,1.83,37090.0
2018-03-07,1.92,1.82,1.84,1.89,1.89,18710.0
2018-03-08,1.88,1.83,1.88,1.87,1.87,109710.0
2018-03-09,1.88,1.85,1.87,1.88,1.88,59710.0
2018-03-12,1.89,1.86,1.89,1.89,1.89,45730.0
2018-03-13,1.89,1.8,1.89,1.88,1.88,69990.0
2018-03-14,1.9,1.8,1.89,1.88,1.88,58520.0
2018-03-15,1.87,1.82,1.87,1.87,1.87,30770.0
2018-03-16,1.9,1.82,1.9,1.84,1.84,95590.0
2018-03-19,1.85,1.8,1.85,1.84,1.84,51900.0
2018-03-20,1.84,1.78,1.81,1.84,1.84,33960.0
2018-03-21,1.82,1.8,1.8,1.8,1.8,58790.0
2018-03-22,1.84,1.76,1.84,1.79,1.79,51790.0
2018-03-23,1.79,1.72,1.79,1.73,1.73,92420.0
2018-03-26,1.8,1.68,1.8,1.7,1.7,96700.0
2018-03-27,1.78,1.67,1.78,1.7,1.7,57550.0
2018-03-28,1.77,1.67,1.77,1.71,1.71,17880.0
2018-03-29,1.72,1.67,1.7,1.7,1.7,46540.0
2018-03-30,1.74,1.68,1.7,1.72,1.72,80300.0
2018-04-02,1.84,1.7,1.72,1.84,1.84,164000.0
2018-04-03,1.96,1.9,1.96,1.96,1.96,789790.0
2018-04-04,2.09,2.09,2.09,2.09,2.09,142360.0
2018-04-05,2.23,2.23,2.23,2.23,2.23,135380.0
2018-04-06,2.38,2.3,2.38,2.38,2.38,1059840.0
2018-04-09,2.54,2.3,2.54,2.3,2.3,1495430.0
2018-04-10,2.44,2.2,2.3,2.35,2.35,442640.0
2018-04-11,2.32,2.19,2.31,2.19,2.19,413160.0
2018-04-12,2.19,2.04,2.08,2.04,2.04,382420.0
2018-04-13,2.18,2.0,2.0,2.06,2.06,490380.0
2018-04-16,2.1,2.0,2.1,2.06,2.06,289820.0
2018-04-17,2.17,2.01,2.06,2.09,2.09,60950.0
2018-04-18,2.09,1.95,2.06,1.95,1.95,291290.0
2018-04-19,2.0,1.9,2.0,1.95,1.95,98070.0
2018-04-20,1.95,1.89,1.95,1.9,1.9,119020.0
2018-04-23,2.03,1.9,1.9,2.03,2.03,366930.0
2018-04-24,2.17,2.02,2.03,2.15,2.15,613240.0
2018-04-26,2.21,2.0,2.15,2.05,2.05,474660.0
2018-04-27,2.02,1.91,1.92,1.99,1.99,310850.0
2018-05-02,2.02,1.89,2.02,1.89,1.89,171550.0
2018-05-03,1.99,1.83,1.83,1.85,1.85,71140.0
2018-05-04,1.97,1.85,1.9,1.92,1.92,153400.0
2018-05-07,2.02,1.92,1.96,2.02,2.02,147870.0
2018-05-08,2.03,1.92,2.0,2.0,2.0,153390.0
2018-05-09,2.1,1.91,2.0,2.01,2.01,158120.0
2018-05-10,2.09,1.96,2.01,1.96,1.96,262480.0
2018-05-11,2.05,1.96,1.96,2.0,2.0,28870.0
2018-05-14,2.04,1.99,2.0,2.0,2.0,57730.0
2018-05-15,2.09,2.0,2.01,2.03,2.03,55640.0
2018-05-16,2.05,2.01,2.03,2.02,2.02,100360.0
2018-05-17,2.16,2.03,2.08,2.15,2.15,567880.0
2018-05-18,2.15,2.05,2.15,2.1,2.1,49400.0
2018-05-21,2.1,2.05,2.08,2.05,2.05,43940.0
2018-05-22,2.1,2.0,2.1,2.03,2.03,104740.0
2018-05-23,2.08,2.0,2.0,2.02,2.02,69450.0
2018-05-24,2.1,2.02,2.03,2.06,2.06,2450.0
2018-05-25,2.05,2.01,2.02,2.04,2.04,22620.0
2018-05-28,2.04,1.98,2.01,2.03,2.03,96490.0
2018-05-29,2.06,1.99,2.0,2.06,2.06,27190.0
2018-05-30,2.18,2.0,2.03,2.16,2.16,493480.0
2018-05-31,2.31,2.17,2.17,2.31,2.31,1275460.0
2018-06-01,2.46,2.36,2.46,2.36,2.36,672350.0
2018-06-04,2.28,2.2,2.2,2.21,2.21,307250.0
2018-06-05,2.2,2.09,2.13,2.14,2.14,327540.0
2018-06-06,2.24,2.12,2.14,2.2,2.2,187440.0
2018-06-07,2.27,2.19,2.2,2.2,2.2,172980.0
2018-06-08,2.24,2.18,2.24,2.23,2.23,59730.0
2018-06-11,2.25,2.15,2.22,2.2,2.2,85620.0
2018-06-12,2.24,2.05,2.24,2.15,2.15,194190.0
2018-06-13,2.15,2.07,2.15,2.14,2.14,16010.0
2018-06-14,2.15,2.01,2.15,2.04,2.04,100310.0
2018-06-15,2.1,2.01,2.1,2.08,2.08,52280.0
2018-06-18,2.08,2.02,2.02,2.05,2.05,150940.0
2018-06-19,2.06,1.95,2.06,1.96,1.96,166460.0
2018-06-20,2.05,1.91,2.05,2.03,2.03,31560.0
2018-06-21,2.07,1.95,2.07,1.95,1.95,85490.0
2018-06-22,2.04,1.93,1.99,1.93,1.93,26220.0
2018-06-25,2.01,1.93,1.93,1.99,1.99,64060.0
2018-06-26,2.0,1.96,1.99,1.99,1.99,3980.0
2018-06-27,2.03,1.99,2.02,2.0,2.0,9970.0
2018-06-28,2.0,1.95,1.99,1.99,1.99,39960.0
2018-06-29,2.03,1.99,1.99,2.0,2.0,75950.0
2018-07-02,2.11,1.99,2.11,1.99,1.99,73570.0
2018-07-03,2.04,1.91,2.0,1.91,1.91,49930.0
2018-07-04,2.0,1.91,2.0,1.99,1.99,11420.0
2018-07-05,1.99,1.9,1.99,1.91,1.91,27940.0
2018-07-06,1.99,1.91,1.99,1.98,1.98,14690.0
2018-07-09,2.07,1.9,2.07,1.96,1.96,39470.0
2018-07-10,1.98,1.91,1.98,1.96,1.96,13880.0
2018-07-11,1.95,1.9,1.91,1.95,1.95,18720.0
2018-07-12,2.02,1.91,2.02,1.98,1.98,11000.0
2018-07-13,2.04,1.91,2.0,1.99,1.99,7640.0
2018-07-16,2.03,1.91,1.99,1.98,1.98,25110.0
2018-07-17,2.0,1.96,1.98,1.99,1.99,85230.0
2018-07-18,2.02,1.95,1.99,1.99,1.99,66610.0
2018-07-19,2.12,1.98,1.98,2.09,2.09,316450.0
2018-07-20,2.14,2.09,2.14,2.11,2.11,46800.0
2018-07-23,2.15,2.08,2.15,2.1,2.1,46050.0
2018-07-24,2.09,2.0,2.07,2.0,2.0,98100.0
2018-07-25,2.08,1.95,2.08,2.01,2.01,84070.0
2018-07-26,2.07,2.01,2.07,2.01,2.01,15790.0
2018-07-27,2.07,1.99,2.0,2.05,2.05,305850.0
2018-07-30,2.07,2.01,2.06,2.04,2.04,39590.0
2018-07-31,2.04,1.97,2.04,2.0,2.0,38850.0
2018-08-01,2.01,1.97,2.0,1.98,1.98,82920.0
2018-08-02,2.0,1.85,1.9,1.88,1.88,316930.0
2018-08-03,1.88,1.81,1.81,1.86,1.86,132440.0
2018-08-06,1.87,1.81,1.81,1.83,1.83,115330.0
2018-08-07,1.84,1.79,1.84,1.81,1.81,83660.0
2018-08-08,1.89,1.79,1.79,1.85,1.85,70730.0
2018-08-09,1.85,1.8,1.85,1.82,1.82,55500.0
2018-08-10,1.82,1.8,1.82,1.8,1.8,55200.0
2018-08-13,1.92,1.8,1.8,1.86,1.86,115060.0
2018-08-14,1.85,1.78,1.85,1.83,1.83,55030.0
2018-08-15,1.84,1.8,1.8,1.8,1.8,56570.0
2018-08-16,1.83,1.78,1.8,1.8,1.8,20190.0
2018-08-17,1.8,1.7,1.8,1.75,1.75,83350.0
2018-08-20,1.79,1.74,1.75,1.78,1.78,22960.0
2018-08-21,1.78,1.7,1.78,1.71,1.71,113790.0
2018-08-22,1.75,1.73,1.73,1.75,1.75,46000.0
2018-08-23,1.78,1.7,1.76,1.73,1.73,48710.0
2018-08-24,1.74,1.69,1.74,1.7,1.7,226960.0
2018-08-27,1.81,1.69,1.7,1.73,1.73,160030.0
2018-08-28,1.75,1.7,1.73,1.74,1.74,134780.0
2018-08-29,1.74,1.69,1.72,1.7,1.7,71500.0
2018-08-30,1.72,1.64,1.7,1.68,1.68,113630.0
2018-08-31,1.7,1.66,1.67,1.68,1.68,37720.0
2018-09-04,1.69,1.66,1.69,1.68,1.68,23430.0
2018-09-05,1.69,1.65,1.68,1.65,1.65,87180.0
2018-09-06,1.76,1.76,1.76,1.76,1.76,54990.0
2018-09-07,1.88,1.88,1.88,1.88,1.88,42150.0
2018-09-10,2.01,2.01,2.01,2.01,2.01,54470.0
2018-09-11,2.15,2.13,2.15,2.15,2.15,1121900.0
2018-09-12,2.3,2.12,2.3,2.13,2.13,1605780.0
2018-09-13,2.14,2.0,2.06,2.01,2.01,1445400.0
2018-09-14,2.15,2.0,2.0,2.15,2.15,2024190.0
2018-09-17,2.3,2.15,2.15,2.3,2.3,693150.0
2018-09-18,2.39,2.15,2.15,2.16,2.16,1931630.0
2018-09-19,2.24,2.01,2.16,2.1,2.1,1902340.0
2018-09-20,2.12,2.0,2.08,2.05,2.05,640680.0
2018-09-21,2.05,1.91,2.05,1.92,1.92,1721600.0
2018-09-24,1.95,1.8,1.95,1.88,1.88,1376850.0
2018-09-25,2.0,1.87,1.87,1.91,1.91,516290.0
2018-09-26,1.98,1.9,1.98,1.9,1.9,554150.0
2018-09-27,1.92,1.85,1.9,1.88,1.88,557380.0
2018-09-28,1.9,1.83,1.9,1.87,1.87,533380.0
2018-10-01,1.87,1.83,1.87,1.83,1.83,590320.0
