Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.9,2.7,2.9,2.7,2.7,335640.0
2018-01-03,2.8,2.7,2.8,2.8,2.8,141500.0
2018-01-04,2.9,2.7,2.8,2.8,2.8,203300.0
2018-01-05,2.9,2.7,2.8,2.8,2.8,136522.0
2018-01-08,2.9,2.7,2.7,2.9,2.9,240100.0
2018-01-09,2.9,2.7,2.9,2.8,2.8,236000.0
2018-01-10,2.9,2.7,2.8,2.8,2.8,359960.0
2018-01-11,2.9,2.8,2.9,2.9,2.9,525100.0
2018-01-12,2.9,2.8,2.9,2.9,2.9,257408.0
2018-01-15,2.9,2.8,2.8,2.9,2.9,362429.0
2018-01-16,2.9,2.7,2.9,2.9,2.9,125126.0
2018-01-17,2.9,2.7,2.8,2.7,2.7,85016.0
2018-01-18,2.8,2.7,2.8,2.7,2.7,119170.0
2018-01-19,2.8,2.7,2.8,2.8,2.8,104310.0
2018-01-22,2.9,2.8,2.8,2.8,2.8,477710.0
2018-01-23,3.0,2.8,2.8,3.0,3.0,635893.0
2018-01-24,3.1,2.9,3.0,3.0,3.0,447500.0
2018-01-25,3.0,2.8,3.0,2.9,2.9,454650.0
2018-01-26,2.9,2.7,2.9,2.9,2.9,776700.0
2018-01-29,2.9,2.7,2.8,2.8,2.8,286703.0
2018-01-30,2.9,2.7,2.7,2.8,2.8,302432.0
2018-01-31,2.9,2.7,2.8,2.8,2.8,277700.0
2018-02-01,2.8,2.7,2.8,2.7,2.7,435000.0
2018-02-02,2.8,2.6,2.7,2.7,2.7,75410.0
2018-02-05,2.8,2.6,2.7,2.7,2.7,268000.0
2018-02-06,2.7,2.5,2.6,2.5,2.5,865030.0
2018-02-07,2.7,2.5,2.5,2.6,2.6,299700.0
2018-02-08,2.7,2.5,2.7,2.6,2.6,35100.0
2018-02-09,2.6,2.4,2.6,2.6,2.6,383750.0
2018-02-12,2.7,2.5,2.6,2.7,2.7,48790.0
2018-02-13,2.7,2.6,2.6,2.7,2.7,83800.0
2018-02-21,2.8,2.6,2.7,2.7,2.7,111500.0
2018-02-22,2.8,2.7,2.7,2.7,2.7,181500.0
2018-02-23,2.8,2.7,2.7,2.7,2.7,165700.0
2018-02-26,2.8,2.6,2.7,2.7,2.7,100500.0
2018-02-27,2.7,2.6,2.7,2.7,2.7,98620.0
2018-02-28,2.7,2.6,2.6,2.6,2.6,26310.0
2018-03-01,2.8,2.6,2.6,2.7,2.7,287000.0
2018-03-02,2.8,2.6,2.7,2.7,2.7,137810.0
