Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,20.8,19.9,20.1,20.8,13.181,1339160.0
2018-01-03,20.9,20.0,20.9,20.4,12.927,1837530.0
2018-01-04,20.85,20.4,20.6,20.55,13.022,1452300.0
2018-01-05,20.8,19.6,20.7,19.6,12.42,2659220.0
2018-01-08,20.2,19.6,19.6,20.2,12.8,1084460.0
2018-01-09,20.5,19.9,20.15,19.9,12.61,2016050.0
2018-01-10,20.3,19.7,19.9,19.7,12.484,1430700.0
2018-01-11,20.8,19.75,19.9,20.8,13.181,1799950.0
2018-01-12,21.1,20.0,20.9,20.5,12.99,1449090.0
2018-01-15,21.6,20.1,20.35,21.55,13.656,2192480.0
2018-01-16,21.9,21.0,21.5,21.35,13.529,1522080.0
2018-01-17,21.45,20.5,21.4,21.0,13.307,1857780.0
2018-01-18,20.9,20.05,20.8,20.8,13.181,1989200.0
2018-01-19,22.0,20.7,20.9,22.0,13.941,2298110.0
2018-01-22,22.9,22.0,22.4,22.85,14.479,1731590.0
2018-01-25,23.5,22.5,22.8,23.0,14.575,2170950.0
2018-01-26,23.05,22.35,23.0,22.4,14.194,1562310.0
2018-01-29,23.7,22.2,22.45,23.7,15.018,1349520.0
2018-01-30,25.0,22.5,23.7,25.0,15.842,2592190.0
2018-01-31,25.6,23.8,25.1,23.8,15.081,2521420.0
2018-02-01,23.8,22.55,23.4,23.4,14.828,1144180.0
2018-02-02,23.7,22.95,23.7,23.4,14.828,614820.0
2018-02-05,23.2,21.8,22.8,21.8,13.814,1755310.0
2018-02-06,21.3,20.3,20.3,20.3,12.863,1207200.0
2018-02-07,21.5,20.7,21.5,21.15,13.403,975830.0
2018-02-08,21.3,20.4,21.0,21.2,13.434,695420.0
2018-02-09,21.5,19.75,19.75,21.5,13.624,2071120.0
2018-02-12,22.8,21.5,22.1,22.8,14.449,725890.0
2018-02-13,23.3,22.65,23.3,23.2,14.702,717200.0
2018-02-21,23.8,23.1,23.2,23.2,14.702,688140.0
2018-02-22,24.0,22.8,23.0,23.4,14.828,1767760.0
2018-02-23,24.5,23.5,23.8,24.5,15.525,1974940.0
2018-02-26,25.4,23.5,25.4,25.0,15.842,1714990.0
2018-02-27,24.95,24.2,24.4,24.5,15.525,1826010.0
2018-02-28,24.5,23.7,24.0,24.0,15.209,1156650.0
2018-03-01,24.7,23.7,24.0,24.5,15.525,1455350.0
2018-03-02,25.95,24.0,24.5,25.95,16.444,1565740.0
2018-03-05,26.5,25.0,26.1,25.0,15.842,1720710.0
2018-03-06,25.6,24.25,25.0,25.6,16.223,1768650.0
2018-03-07,26.0,24.6,26.0,25.15,15.937,1209100.0
2018-03-08,25.9,24.8,25.5,25.9,16.412,1063800.0
2018-03-09,26.7,25.8,26.3,26.0,16.476,1901210.0
2018-03-12,26.5,25.2,26.5,25.3,16.032,1041470.0
2018-03-13,25.5,24.8,25.3,25.5,16.159,867340.0
2018-03-14,25.8,24.9,25.2,25.0,15.842,1078720.0
2018-03-15,25.0,24.6,25.0,24.75,15.683,765240.0
2018-03-16,25.0,24.6,25.0,24.75,15.683,474170.0
2018-03-19,26.1,25.4,25.5,26.05,16.508,1581950.0
2018-03-20,26.1,25.1,26.0,26.1,16.539,1052570.0
2018-03-21,26.1,25.25,26.1,25.5,16.159,1097740.0
2018-03-22,25.5,23.75,25.3,24.8,15.716,1996760.0
2018-03-23,24.3,23.25,23.8,23.5,14.892,1531000.0
2018-03-26,24.2,23.25,23.9,24.1,15.271,668680.0
2018-03-27,24.4,23.5,24.1,23.5,14.892,820420.0
2018-03-28,23.4,22.8,23.1,22.8,14.449,891400.0
2018-03-29,23.4,22.7,23.0,23.1,14.638,553240.0
2018-03-30,24.2,23.1,23.4,24.2,15.335,998080.0
2018-04-02,24.5,23.85,24.1,23.9,15.145,867920.0
2018-04-03,24.5,23.7,24.0,24.4,15.462,1173820.0
2018-04-04,25.15,24.35,24.35,24.85,15.747,1265450.0
2018-04-05,25.2,24.55,25.2,24.9,15.779,536530.0
2018-04-06,25.8,24.9,24.9,25.65,16.254,1776640.0
2018-04-09,26.15,25.65,25.8,25.95,16.444,1166010.0
2018-04-10,26.0,24.75,26.0,25.0,15.842,1393200.0
2018-04-11,25.0,23.5,25.0,23.6,14.955,1656590.0
2018-04-12,24.5,23.1,23.1,24.5,15.525,667050.0
2018-04-13,25.4,24.0,24.65,25.0,15.842,1861200.0
2018-04-16,25.4,24.2,24.2,25.4,16.096,1270800.0
2018-04-17,26.3,25.45,25.8,26.3,16.666,2108190.0
2018-04-18,26.5,25.1,26.5,25.1,15.906,1431800.0
2018-04-19,25.5,24.5,25.3,24.8,15.716,1098230.0
2018-04-20,26.0,24.6,25.35,26.0,16.476,907630.0
2018-04-23,26.2,24.2,26.2,24.2,15.335,974980.0
2018-04-24,24.4,23.3,23.9,24.1,15.271,866680.0
2018-04-26,24.0,22.45,24.0,22.45,14.226,1047510.0
2018-04-27,23.8,21.5,21.9,23.7,15.018,729870.0
2018-05-02,23.7,22.05,23.2,23.0,14.575,976190.0
2018-05-03,23.2,22.0,22.2,23.2,14.702,552240.0
2018-05-04,23.2,22.7,23.0,23.0,14.575,428680.0
2018-05-07,24.0,22.65,23.0,24.0,15.209,591250.0
2018-05-08,23.8,23.3,23.8,23.4,14.828,567760.0
2018-05-09,24.3,23.4,23.7,24.1,15.271,757990.0
2018-05-10,24.2,23.2,23.8,23.8,15.081,419230.0
2018-05-11,23.75,23.0,23.3,23.05,14.607,897830.0
2018-05-14,23.8,22.9,22.9,23.5,14.892,624590.0
2018-05-15,24.5,23.4,23.8,24.5,15.525,795230.0
2018-05-16,24.5,23.75,24.0,24.0,15.209,601520.0
2018-05-17,24.4,23.7,24.0,23.8,15.081,372630.0
2018-05-18,24.3,23.0,23.7,23.95,15.177,969820.0
2018-05-21,24.15,23.1,24.0,23.3,14.765,332270.0
2018-05-22,23.2,21.7,23.1,21.7,13.751,1291860.0
2018-05-23,21.7,20.2,20.7,21.7,13.751,1294070.0
2018-05-24,21.7,20.6,21.0,20.95,13.276,609010.0
