Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,20.0,19.5,20.0,20.0,20.0,1640.0
2018-01-03,20.0,19.4,20.0,19.9,19.9,1900.0
2018-01-04,19.5,19.45,19.45,19.45,19.45,300.0
2018-01-05,19.5,19.35,19.5,19.5,19.5,4160.0
2018-01-08,19.5,19.3,19.35,19.3,19.3,1100.0
2018-01-09,19.75,19.25,19.75,19.25,19.25,2780.0
2018-01-10,19.7,19.5,19.65,19.7,19.7,1220.0
2018-01-11,19.7,19.3,19.3,19.7,19.7,1300.0
2018-01-12,19.3,19.3,19.3,19.3,19.3,1360.0
2018-01-15,19.4,19.2,19.3,19.2,19.2,2700.0
2018-01-16,19.4,19.1,19.2,19.1,19.1,1190.0
2018-01-17,19.1,18.5,19.1,19.1,19.1,2120.0
2018-01-18,19.2,18.5,18.5,19.2,19.2,2100.0
2018-01-19,19.3,18.9,19.0,19.3,19.3,1660.0
2018-01-22,19.3,19.0,19.0,19.3,19.3,1690.0
2018-01-25,19.0,17.95,19.0,19.0,19.0,1300.0
2018-01-26,19.0,18.45,18.5,19.0,19.0,2140.0
2018-01-29,19.0,18.6,18.8,19.0,19.0,1400.0
2018-01-30,19.0,17.95,18.5,19.0,19.0,5180.0
2018-01-31,18.95,18.1,18.45,18.95,18.95,510.0
2018-02-01,19.2,18.5,18.7,19.2,19.2,1070.0
2018-02-02,19.3,19.0,19.0,19.3,19.3,1200.0
2018-02-05,19.5,19.0,19.3,19.5,19.5,1270.0
2018-02-06,19.5,18.2,18.2,19.5,19.5,1370.0
2018-02-07,19.4,18.2,18.9,19.4,19.4,3100.0
2018-02-08,18.9,18.05,18.25,18.9,18.9,2530.0
2018-02-09,19.5,18.0,18.15,19.5,19.5,1820.0
2018-02-12,19.5,18.2,19.5,19.3,19.3,3900.0
2018-02-13,19.5,18.3,19.2,19.5,19.5,2640.0
2018-02-21,19.6,19.6,19.6,19.6,19.6,1000.0
2018-02-22,19.85,19.6,19.6,19.8,19.8,830.0
2018-02-23,19.75,18.6,18.6,19.75,19.75,550.0
2018-02-26,19.5,18.5,18.65,19.5,19.5,1390.0
2018-02-27,19.5,19.5,19.5,19.5,19.5,1500.0
2018-02-28,20.0,19.9,19.9,19.9,19.9,1200.0
2018-03-01,19.4,18.8,18.8,19.4,19.4,1480.0
