Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,26.55,25.35,25.5,26.55,8.77,7863840.0
2018-01-03,26.85,26.2,26.6,26.3,8.688,7574260.0
2018-01-04,26.55,26.15,26.45,26.35,8.704,6492090.0
2018-01-05,26.45,25.95,26.4,26.15,8.638,9788120.0
2018-01-08,27.45,26.05,26.1,27.45,9.068,9182660.0
2018-01-09,28.0,26.6,27.6,27.7,9.15,8889960.0
2018-01-10,28.1,27.3,27.5,27.75,9.167,6605410.0
2018-01-11,28.4,27.5,27.75,28.15,9.299,9781190.0
2018-01-12,28.8,27.4,28.4,27.5,9.084,10971780.0
2018-01-15,28.45,27.45,27.8,28.3,9.348,6344120.0
2018-01-16,28.55,27.8,27.9,28.55,9.431,6076720.0
2018-01-17,28.55,27.4,28.05,27.4,9.245,9349180.0
2018-01-18,28.0,26.9,27.2,28.0,9.448,5475130.0
2018-01-19,28.3,27.75,28.3,27.8,9.38,6430290.0
2018-01-22,28.15,27.85,28.1,28.0,9.448,5134220.0
2018-01-25,29.95,28.35,28.5,29.7,10.021,17433490.0
2018-01-26,31.7,29.7,30.0,31.5,10.629,8715830.0
2018-01-29,33.55,31.9,31.9,33.1,11.169,8185590.0
2018-01-30,33.15,31.8,32.1,32.8,11.067,7215080.0
2018-01-31,32.7,31.85,32.0,31.9,10.764,8488990.0
2018-02-01,31.9,30.6,31.9,30.7,10.359,5756850.0
2018-02-02,31.6,30.6,30.7,31.0,10.46,5404660.0
2018-02-05,30.5,28.9,30.3,29.0,9.785,6608550.0
2018-02-06,29.0,27.0,27.0,27.8,9.38,10584350.0
2018-02-07,29.5,28.8,29.4,29.2,9.853,4905570.0
2018-02-08,29.15,28.3,29.0,28.3,9.549,1965110.0
2018-02-09,29.0,27.2,27.3,28.9,9.751,4283380.0
2018-02-12,30.9,29.5,30.0,30.9,10.426,4292020.0
2018-02-13,31.9,31.2,31.2,31.5,10.629,5007700.0
2018-02-21,32.4,31.4,31.7,31.7,10.696,4516560.0
2018-02-22,32.2,31.0,31.0,31.55,10.646,5999410.0
2018-02-23,33.0,31.45,31.6,33.0,11.135,8690160.0
2018-02-26,33.55,32.5,33.4,32.55,10.983,8537260.0
2018-02-27,32.9,32.15,32.7,32.8,11.067,4861880.0
2018-02-28,34.4,32.3,32.35,34.4,11.607,11967370.0
2018-03-01,34.9,33.35,34.0,33.9,11.438,7906380.0
2018-03-02,34.2,33.2,33.3,34.2,11.54,4677470.0
2018-03-05,34.95,32.5,34.5,32.5,10.966,5883620.0
2018-03-06,34.4,32.55,33.0,34.0,11.472,6902530.0
2018-03-07,34.35,32.5,34.1,33.0,11.135,8143710.0
