Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.5,14.2,14.4,14.2,5.432,357018.0
2018-01-03,14.5,14.2,14.3,14.3,5.471,167812.0
2018-01-04,14.3,14.2,14.3,14.3,5.471,131500.0
2018-01-05,14.3,14.1,14.3,14.1,5.394,60700.0
2018-01-08,14.2,14.0,14.2,14.2,5.432,115340.0
2018-01-09,15.6,14.1,14.2,15.5,5.93,1076371.0
2018-01-10,16.3,15.4,15.4,15.6,5.968,566943.0
2018-01-11,16.1,15.6,15.6,15.7,6.006,261170.0
2018-01-12,15.8,14.9,15.7,15.5,5.93,514328.0
2018-01-15,15.6,15.1,15.2,15.6,5.968,204400.0
2018-01-16,15.6,15.2,15.6,15.5,5.93,237250.0
2018-01-17,15.8,15.3,15.4,15.3,5.853,429110.0
2018-01-18,15.3,14.9,15.3,15.2,5.815,267112.0
2018-01-19,15.4,15.1,15.2,15.2,5.815,200900.0
2018-01-22,15.7,15.1,15.1,15.5,5.93,267090.0
2018-01-23,16.4,15.5,15.6,16.2,6.197,897522.0
2018-01-24,16.4,15.9,16.3,15.9,6.083,192557.0
2018-01-25,16.3,15.9,15.9,15.9,6.083,345111.0
2018-01-26,16.0,15.5,16.0,15.9,6.083,268420.0
2018-01-29,16.2,15.5,15.5,16.0,6.121,151940.0
2018-01-30,16.2,15.6,15.7,16.2,6.197,166941.0
2018-01-31,16.4,15.7,16.2,16.0,6.121,489941.0
2018-02-01,16.0,15.6,16.0,15.6,5.968,298210.0
2018-02-02,16.0,15.3,15.6,15.6,5.968,201499.0
2018-02-05,15.5,14.1,15.4,14.1,5.394,342324.0
2018-02-06,14.5,12.7,13.7,13.5,5.164,427670.0
2018-02-07,14.8,13.9,13.9,14.8,5.662,104618.0
2018-02-08,14.8,14.2,14.8,14.8,5.662,72604.0
2018-02-09,15.5,13.4,14.2,15.5,5.93,59549.0
2018-02-12,15.4,14.7,15.3,15.3,5.853,60050.0
2018-02-13,15.3,14.8,15.1,15.3,5.853,186860.0
2018-02-21,15.3,14.9,15.3,15.1,5.777,39752.0
2018-02-22,14.9,14.5,14.9,14.7,5.624,40920.0
2018-02-23,15.8,14.5,14.8,15.1,5.777,312812.0
2018-02-26,15.5,15.1,15.2,15.1,5.777,192310.0
2018-02-27,16.0,15.1,15.3,15.4,5.891,253300.0
