Date,High,Low,Open,Close,Adj Close,Volume
2019-04-16,36.8,26.0,35.0,26.0,17.058,341000.0
2019-04-17,27.4,25.0,26.3,26.0,17.058,180150.0
2019-04-18,25.5,23.5,25.0,23.5,15.418,81360.0
2019-04-19,27.7,22.7,23.5,27.7,18.173,165290.0
2019-04-22,30.1,28.0,28.0,29.8,19.551,113910.0
2019-04-23,30.0,27.6,29.2,28.0,18.37,36760.0
2019-04-24,28.4,27.0,27.0,27.7,18.173,74364.0
2019-04-25,27.6,26.5,27.1,26.6,17.452,61356.0
2019-04-26,28.1,26.4,27.2,27.9,18.305,68816.0
2019-05-02,28.2,26.9,28.2,27.4,17.977,39850.0
2019-05-03,28.6,27.0,27.4,28.5,18.698,122966.0
2019-05-06,30.9,28.0,28.0,29.2,19.158,128350.0
2019-05-07,30.5,29.6,29.6,29.9,19.617,53489.0
2019-05-08,30.0,28.6,29.9,29.2,19.158,54568.0
2019-05-09,31.0,29.0,29.0,30.5,20.011,81350.0
2019-05-10,30.8,29.3,30.8,29.5,19.354,74629.0
2019-05-13,31.8,29.6,29.6,31.0,20.339,109032.0
2019-05-14,34.0,30.0,30.5,30.6,20.076,113160.0
2019-05-15,31.5,30.3,31.0,31.0,20.339,153558.0
2019-05-16,31.0,29.7,30.7,30.5,20.011,105700.0
2019-05-17,31.0,28.9,30.0,30.1,19.748,85944.0
2019-05-20,30.5,29.2,30.4,30.0,19.682,62756.0
2019-05-21,30.0,29.6,30.0,29.9,19.617,31000.0
2019-05-22,30.9,29.8,29.8,30.0,19.682,87035.0
2019-05-23,30.1,29.7,29.9,29.8,19.551,38568.0
2019-05-24,29.9,28.8,29.3,28.8,18.895,66451.0
2019-05-27,29.8,27.7,29.8,28.4,18.633,100110.0
2019-05-28,29.2,28.1,28.1,28.8,18.895,54900.0
2019-05-29,30.1,28.5,29.0,29.7,19.486,71543.0
2019-05-30,29.9,28.8,29.3,29.4,19.289,62160.0
2019-05-31,29.5,28.6,29.5,28.7,18.83,40554.0
2019-06-03,29.2,27.7,28.7,28.1,18.436,11067.0
2019-06-04,28.2,27.6,27.6,28.1,18.436,17700.0
2019-06-05,29.1,28.2,28.2,28.4,18.633,27500.0
2019-06-06,29.5,28.2,28.3,28.7,18.83,130701.0
2019-06-07,33.0,28.9,29.0,31.1,20.404,286635.0
2019-06-10,33.8,31.5,32.0,32.9,21.585,141824.0
2019-06-11,34.5,32.0,32.5,33.9,22.241,140410.0
2019-06-12,34.0,32.5,33.4,33.0,21.651,179163.0
2019-06-13,33.7,32.8,32.9,33.0,21.651,51374.0
2019-06-14,33.0,31.8,32.6,31.9,20.929,112120.0
2019-06-17,32.2,31.1,31.5,31.8,20.863,117592.0
2019-06-18,32.5,31.7,32.5,32.1,21.06,91850.0
2019-06-19,34.0,31.4,32.0,33.6,22.044,348665.0
2019-06-20,34.5,33.0,33.1,33.3,21.848,117796.0
2019-06-21,34.0,32.9,33.3,33.4,21.913,79510.0
2019-06-24,35.6,33.5,33.5,35.1,23.028,238389.0
2019-06-25,35.8,34.0,34.8,34.0,22.307,135080.0
2019-06-26,34.6,33.5,34.1,33.9,22.241,73241.0
2019-06-27,34.3,32.1,34.3,33.0,21.651,244215.0
2019-06-28,32.9,32.4,32.5,32.7,21.454,80480.0
2019-07-01,33.5,32.5,33.0,32.7,21.454,113394.0
2019-07-02,32.9,32.4,32.8,32.5,21.323,75324.0
2019-07-03,33.0,32.2,33.0,32.6,21.388,44970.0
2019-07-04,32.6,31.3,32.5,31.9,20.929,219118.0
2019-07-05,32.9,31.3,31.4,32.4,21.257,55293.0
2019-07-08,32.4,31.9,32.2,32.1,21.06,9200.0
2019-07-09,32.3,31.3,32.1,31.6,20.732,132470.0
2019-07-10,32.0,31.0,31.0,31.5,20.667,57185.0
2019-07-11,32.9,31.5,31.9,32.8,21.52,122000.0
2019-07-12,33.0,32.3,32.5,32.3,21.191,89890.0
2019-07-15,32.5,31.8,32.3,32.4,21.257,60200.0
2019-07-16,33.3,32.3,32.4,32.8,21.52,216802.0
2019-07-17,33.0,32.3,32.8,32.5,21.323,96564.0
2019-07-18,32.9,31.9,32.9,32.5,21.323,85553.0
2019-07-19,34.7,32.7,32.9,33.9,22.241,425615.0
2019-07-22,34.5,33.2,33.8,33.8,22.176,116525.0
2019-07-23,34.4,33.0,33.0,33.9,22.241,140330.0
2019-07-24,34.6,33.4,33.6,34.4,22.569,203470.0
2019-07-25,34.1,32.5,34.0,32.5,22.334,159187.0
2019-07-26,32.9,32.0,32.1,32.4,22.266,76625.0
2019-07-29,32.6,31.3,32.3,31.5,21.647,91970.0
2019-07-30,31.4,29.7,31.4,29.7,20.41,134320.0
2019-07-31,32.0,29.6,29.7,32.0,21.991,119045.0
2019-08-01,31.7,31.0,31.5,31.7,21.785,30400.0
2019-08-02,32.4,30.5,31.3,32.1,22.06,85621.0
2019-08-05,32.7,31.4,32.1,31.8,21.853,147858.0
2019-08-06,31.7,30.5,31.0,30.8,21.166,84700.0
2019-08-07,33.3,30.7,31.2,31.6,21.716,81500.0
2019-08-08,32.9,31.2,32.9,31.9,21.922,34330.0
2019-08-09,31.6,31.0,31.6,31.2,21.441,29382.0
2019-08-12,31.7,31.0,31.6,31.3,21.51,70218.0
2019-08-13,31.4,30.3,31.4,30.3,20.823,56040.0
2019-08-14,31.0,30.5,31.0,30.5,20.96,13580.0
2019-08-15,30.6,29.1,30.5,30.2,20.754,104770.0
2019-08-16,31.1,30.5,31.0,30.9,21.235,60128.0
2019-08-19,31.8,31.0,31.2,31.2,21.441,70310.0
2019-08-20,31.5,30.7,31.4,31.0,21.304,27122.0
2019-08-21,31.0,30.2,30.6,30.3,20.823,112670.0
2019-08-22,31.0,29.8,31.0,30.0,20.616,67398.0
2019-08-23,30.0,28.9,30.0,29.0,19.929,110864.0
2019-08-26,29.4,28.4,29.0,28.7,19.723,153798.0
2019-08-27,28.5,26.5,28.5,27.4,18.83,203665.0
2019-08-28,31.0,26.8,27.0,27.5,18.898,92860.0
2019-08-29,27.7,26.6,27.5,27.0,18.555,37490.0
2019-08-30,27.9,26.6,27.0,27.0,18.555,60611.0
2019-09-03,27.2,24.2,27.2,24.7,16.974,133892.0
2019-09-04,24.8,21.7,24.7,22.9,15.737,212883.0
2019-09-05,24.0,22.8,22.8,23.8,16.356,69500.0
2019-09-06,25.0,23.8,24.0,24.0,16.493,76801.0
2019-09-09,24.8,23.0,24.8,24.0,16.493,92592.0
2019-09-10,23.5,22.7,23.0,23.5,16.15,91202.0
2019-09-11,23.7,22.4,23.7,22.9,15.737,34677.0
2019-09-12,24.5,22.4,22.8,23.7,16.287,62220.0
2019-09-13,24.0,23.0,23.7,23.5,16.15,45271.0
2019-09-16,23.8,23.0,23.7,23.6,16.218,34710.0
2019-09-17,23.7,23.2,23.4,23.5,16.15,31900.0
2019-09-18,24.1,23.5,23.5,23.8,16.356,26481.0
2019-09-19,24.2,23.8,24.1,23.9,16.424,34710.0
2019-09-20,24.0,23.5,23.9,23.8,16.356,171430.0
2019-09-23,23.8,22.4,23.8,23.1,15.875,27510.0
2019-09-24,23.5,22.8,23.0,23.0,15.806,26725.0
2019-09-25,23.3,22.5,23.0,23.3,16.012,51500.0
2019-09-26,23.5,22.8,23.5,22.9,15.737,20960.0
2019-09-27,22.9,22.8,22.9,22.9,15.737,38311.0
2019-09-30,23.4,22.8,23.4,22.8,15.668,47691.0
2019-10-01,22.9,22.6,22.8,22.8,15.668,42544.0
2019-10-02,22.8,22.5,22.7,22.7,15.6,35202.0
2019-10-03,22.8,22.5,22.6,22.7,15.6,42759.0
2019-10-04,22.8,22.0,22.0,22.6,15.531,25710.0
2019-10-07,22.7,22.4,22.4,22.6,15.531,41360.0
2019-10-08,22.7,22.6,22.6,22.6,15.531,28730.0
2019-10-09,22.6,22.2,22.5,22.4,15.394,13392.0
2019-10-10,22.9,22.4,22.9,22.4,15.394,21110.0
2019-10-11,22.5,22.0,22.5,22.4,15.394,20420.0
2019-10-14,22.4,22.2,22.2,22.4,15.394,18200.0
2019-10-15,23.2,22.3,23.2,22.6,15.531,14162.0
2019-10-16,23.2,22.4,22.4,22.6,15.531,41255.0
2019-10-17,22.6,22.3,22.5,22.6,15.531,6014.0
2019-10-18,22.6,22.2,22.2,22.4,15.394,18000.0
2019-10-21,22.5,22.2,22.5,22.3,15.325,12710.0
2019-10-22,22.6,22.2,22.3,22.3,15.325,23600.0
2019-10-23,22.5,22.3,22.3,22.3,15.325,10800.0
2019-10-24,22.4,22.2,22.2,22.2,15.256,22600.0
2019-10-25,23.4,22.3,22.3,22.9,15.737,58450.0
2019-10-28,23.4,23.0,23.0,23.1,15.875,13950.0
2019-10-29,23.1,22.9,23.0,23.0,15.806,12100.0
2019-10-30,23.1,22.9,23.0,23.1,15.875,11700.0
2019-10-31,23.3,22.9,23.0,23.0,15.806,15101.0
2019-11-01,23.1,22.9,23.1,23.0,15.806,32300.0
2019-11-04,23.6,23.0,23.3,23.0,15.806,17100.0
2019-11-05,23.1,22.7,23.0,22.7,15.6,27040.0
2019-11-06,23.0,22.5,23.0,22.7,15.6,7320.0
2019-11-07,22.6,22.5,22.5,22.6,15.531,10740.0
2019-11-08,22.9,22.4,22.4,22.6,15.531,1800.0
2019-11-11,22.6,22.4,22.6,22.4,15.394,4300.0
2019-11-12,22.5,22.2,22.3,22.3,15.325,15100.0
2019-11-13,22.8,22.2,22.8,22.3,15.325,11580.0
2019-11-14,22.5,22.0,22.1,22.4,15.394,14350.0
2019-11-15,22.5,22.1,22.3,22.1,15.187,6500.0
2019-11-18,22.2,22.0,22.0,22.0,15.119,19050.0
2019-11-19,22.1,21.9,22.0,22.0,15.119,11565.0
2019-11-20,22.0,21.8,21.9,22.0,15.119,5630.0
2019-11-21,22.2,21.9,22.0,21.9,15.05,2930.0
2019-11-22,21.9,21.5,21.8,21.6,14.844,8600.0
2019-11-25,21.7,21.7,21.7,21.7,14.913,5300.0
2019-11-26,22.4,21.7,21.7,22.3,15.325,8800.0
2019-11-27,22.0,21.7,21.8,21.7,14.913,6116.0
2019-11-28,21.9,21.7,21.7,21.9,15.05,5700.0
2019-11-29,21.8,21.7,21.7,21.8,14.981,2500.0
2019-12-02,21.5,20.8,20.9,21.2,14.569,9760.0
2019-12-03,21.1,21.0,21.0,21.1,14.5,3770.0
2019-12-04,21.2,21.0,21.2,21.0,14.431,20880.0
2019-12-05,21.1,20.6,20.7,21.1,14.5,7848.0
2019-12-06,21.5,21.0,21.0,21.5,14.775,21000.0
2019-12-09,22.0,21.5,21.8,21.8,14.981,38260.0
2019-12-10,22.0,21.8,21.8,22.0,15.119,220.0
2019-12-11,22.2,21.2,21.2,22.2,15.256,5212.0
2019-12-12,22.7,21.7,21.7,22.6,15.531,31538.0
2019-12-13,22.6,22.5,22.6,22.6,15.531,16100.0
2019-12-16,22.8,22.5,22.6,22.7,15.6,14300.0
2019-12-17,23.0,22.6,22.6,22.8,15.668,31100.0
2019-12-18,22.7,22.7,22.7,22.7,15.6,16300.0
2019-12-19,22.8,22.7,22.7,22.8,15.668,2960.0
2019-12-20,23.3,22.3,22.3,23.3,16.012,9750.0
2019-12-23,24.3,23.3,23.3,24.3,16.699,59610.0
2019-12-24,24.9,24.1,24.1,24.5,16.837,42848.0
2019-12-25,24.7,22.6,24.7,24.2,16.631,39947.0
2019-12-26,24.4,24.1,24.2,24.1,16.562,7210.0
2019-12-27,24.0,23.6,23.6,24.0,16.493,10320.0
2019-12-30,24.0,23.2,23.9,24.0,16.493,11100.0
2019-12-31,24.5,24.0,24.0,24.5,16.837,15800.0
2020-01-02,24.4,24.2,24.4,24.2,16.631,4300.0
2020-01-03,24.6,24.0,24.2,24.0,16.493,22960.0
2020-01-06,24.1,24.0,24.0,24.1,16.562,2400.0
2020-01-07,24.2,24.0,24.0,24.1,16.562,28562.0
2020-01-08,24.2,24.0,24.0,24.1,16.562,27300.0
2020-01-09,24.5,24.1,24.1,24.1,16.562,13100.0
2020-01-10,24.2,23.5,24.1,24.1,16.562,26600.0
2020-01-13,24.2,24.0,24.0,24.1,16.562,6365.0
2020-01-14,24.5,24.1,24.1,24.1,16.562,3843.0
2020-01-15,24.5,24.1,24.2,24.5,16.837,17058.0
2020-01-16,24.5,24.4,24.5,24.5,16.837,7601.0
2020-01-17,25.0,24.1,24.5,24.1,16.562,5440.0
2020-01-20,24.3,23.8,24.3,23.8,16.356,3400.0
2020-01-21,24.1,23.6,24.0,24.0,16.493,21000.0
2020-01-22,24.1,23.6,23.8,24.1,16.562,2800.0
2020-01-30,24.2,23.6,23.6,23.6,16.218,17700.0
2020-01-31,23.6,23.1,23.1,23.3,16.012,31700.0
2020-02-03,24.0,21.1,23.0,24.0,16.493,83750.0
2020-02-04,23.5,23.0,23.1,23.5,16.15,11559.0
2020-02-05,23.4,22.7,23.2,23.4,16.081,1600.0
2020-02-06,23.0,22.9,23.0,23.0,15.806,4900.0
2020-02-07,23.4,22.5,23.0,23.4,16.081,13035.0
2020-02-10,23.1,22.2,23.0,23.0,15.806,16230.0
2020-02-11,23.4,23.2,23.3,23.4,16.081,4420.0
2020-02-12,23.7,23.3,23.7,23.5,16.15,7300.0
2020-02-13,23.5,23.5,23.5,23.5,16.15,1000.0
2020-02-14,23.8,23.0,23.0,23.8,16.356,2400.0
2020-02-17,23.5,23.0,23.0,23.5,16.15,6600.0
2020-02-18,23.4,23.4,23.4,23.4,16.081,700.0
2020-02-19,23.1,22.9,23.0,23.0,15.806,2200.0
2020-02-20,23.1,22.7,23.0,23.0,15.806,8200.0
2020-02-21,23.7,23.0,23.2,23.5,16.15,31400.0
2020-02-24,23.0,22.8,23.0,23.0,15.806,8900.0
2020-02-25,22.9,22.7,22.9,22.7,15.6,3150.0
2020-02-26,23.5,22.8,22.8,22.8,15.668,2200.0
2020-02-27,23.0,23.0,23.0,23.0,15.806,2600.0
2020-02-28,22.9,22.5,22.9,22.9,15.737,4100.0
2020-03-02,23.0,22.0,22.0,23.0,15.806,2700.0
2020-03-03,23.5,23.0,23.0,23.5,16.15,1400.0
2020-03-04,23.3,21.0,21.0,23.2,15.943,32700.0
2020-03-05,23.5,23.1,23.5,23.1,15.875,3972.0
2020-03-06,22.9,22.7,22.7,22.9,15.737,2100.0
2020-03-09,22.7,21.3,21.3,22.3,15.325,7700.0
2020-03-10,22.3,21.0,21.0,21.9,15.05,9800.0
2020-03-11,22.4,21.0,21.6,21.6,14.844,29923.0
2020-03-12,21.2,20.4,20.6,20.9,14.363,13230.0
2020-03-13,20.2,19.0,20.1,19.6,13.469,77375.0
2020-03-16,22.8,20.0,20.0,20.2,13.882,20830.0
2020-03-17,21.5,20.0,20.0,21.5,14.775,9900.0
2020-03-18,20.6,20.2,20.6,20.2,13.882,5600.0
2020-03-19,20.8,18.3,19.5,20.8,14.294,3901.0
2020-03-20,20.8,20.2,20.8,20.2,13.882,19900.0
2020-03-23,20.2,20.0,20.2,20.0,13.744,1644.0
2020-03-24,20.1,19.0,20.0,20.1,13.813,33800.0
2020-03-25,20.1,20.0,20.0,20.0,13.744,38320.0
2020-03-26,20.0,19.3,19.3,20.0,13.744,4500.0
2020-03-27,22.4,19.2,19.2,22.4,15.394,21100.0
2020-03-30,20.8,19.0,19.0,20.8,14.294,6500.0
2020-03-31,20.0,19.0,19.3,20.0,13.744,3600.0
2020-04-01,20.4,19.5,20.2,20.0,13.744,5720.0
2020-04-03,20.9,20.0,20.0,20.7,14.225,2050.0
2020-04-06,21.4,20.7,20.7,21.3,14.638,19510.0
2020-04-07,21.0,20.7,21.0,20.9,14.363,8000.0
2020-04-08,21.0,20.5,21.0,20.8,14.294,3700.0
2020-04-09,21.4,21.0,21.4,21.0,14.431,800.0
2020-04-10,21.0,20.0,21.0,20.0,13.744,15100.0
