Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.0,22.5,23.0,22.5,9.0,200.0
2018-01-03,22.8,22.8,22.8,22.8,9.12,0.0
2018-01-04,22.8,22.8,22.8,22.8,9.12,0.0
2018-01-05,22.8,22.8,22.8,22.8,9.12,0.0
2018-01-08,21.0,20.3,21.0,20.3,8.12,2200.0
2018-01-09,20.7,20.7,20.7,20.7,8.28,0.0
2018-01-10,20.7,20.7,20.7,20.7,8.28,0.0
2018-01-11,20.7,20.7,20.7,20.7,8.28,0.0
2018-01-12,20.7,20.7,20.7,20.7,8.28,700.0
2018-01-15,21.0,21.0,21.0,21.0,8.4,18100.0
2018-01-16,21.0,21.0,21.0,21.0,8.4,6000.0
2018-01-17,21.5,21.0,21.0,21.0,8.4,1545.0
2018-01-18,21.1,21.1,21.1,21.1,8.44,0.0
2018-01-19,21.7,21.4,21.4,21.7,8.68,2280.0
2018-01-22,21.5,21.5,21.5,21.5,8.6,0.0
2018-01-23,22.2,21.5,22.0,21.5,8.6,2400.0
2018-01-24,21.9,21.9,21.9,21.9,8.76,200.0
2018-01-25,22.0,22.0,22.0,22.0,8.8,1000.0
2018-01-26,22.5,22.1,22.1,22.5,9.0,1660.0
2018-01-29,22.4,22.4,22.4,22.4,8.96,0.0
2018-01-30,23.0,23.0,23.0,23.0,9.2,2500.0
2018-01-31,23.0,23.0,23.0,23.0,9.2,700.0
2018-02-01,22.6,22.2,22.2,22.6,9.04,2400.0
2018-02-02,21.7,21.7,21.7,21.7,8.68,100.0
2018-02-05,22.0,22.0,22.0,22.0,8.8,500.0
2018-02-06,22.0,22.0,22.0,22.0,8.8,500.0
2018-02-07,22.5,22.5,22.5,22.5,9.0,100.0
2018-02-08,23.0,22.5,22.5,23.0,9.2,600.0
2018-02-09,21.2,21.2,21.2,21.2,8.48,100.0
2018-02-12,23.0,19.7,19.7,23.0,9.2,300.0
2018-02-13,23.9,21.1,21.1,23.9,9.56,2000.0
2018-02-21,23.5,23.5,23.5,23.5,9.4,10.0
2018-02-22,25.1,23.9,23.9,25.0,10.0,5200.0
2018-02-23,27.0,24.8,25.4,24.8,9.92,2520.0
2018-02-26,25.7,25.7,25.7,25.7,10.28,1000.0
2018-02-27,25.7,25.7,25.7,25.7,10.28,0.0
2018-02-28,25.7,25.7,25.7,25.7,10.28,0.0
2018-03-01,25.7,25.7,25.7,25.7,10.28,0.0
2018-03-02,25.7,25.7,25.7,25.7,10.28,10.0
2018-03-05,25.0,23.2,25.0,23.2,9.28,1400.0
2018-03-06,23.8,21.0,23.8,21.0,8.4,10195.0
2018-03-07,23.0,23.0,23.0,23.0,9.2,1100.0
2018-03-08,23.0,23.0,23.0,23.0,9.2,2900.0
2018-03-09,23.0,23.0,23.0,23.0,9.2,105.0
2018-03-12,23.0,23.0,23.0,23.0,9.2,3030.0
2018-03-13,23.0,23.0,23.0,23.0,9.2,0.0
2018-03-14,23.0,23.0,23.0,23.0,9.2,1400.0
2018-03-15,23.9,23.0,23.0,23.1,9.24,300.0
2018-03-16,23.3,23.3,23.3,23.3,9.32,3500.0
2018-03-19,23.3,23.3,23.3,23.3,9.32,600.0
2018-03-20,24.4,24.0,24.4,24.0,9.6,1100.0
2018-03-21,26.0,24.2,24.2,24.2,9.68,1400.0
