Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,132.5,131.0,131.0,132.0,30.703,566400.0
2018-01-03,135.2,132.0,132.2,134.6,31.308,1132510.0
2018-01-04,135.4,134.0,134.1,134.9,31.378,678710.0
2018-01-05,135.0,132.8,135.0,133.4,31.029,733030.0
2018-01-08,133.0,131.0,132.5,131.3,30.54,752020.0
2018-01-09,132.0,129.9,131.3,131.5,30.587,854350.0
2018-01-10,133.0,131.0,131.5,132.7,30.866,726350.0
2018-01-11,132.5,131.5,131.5,131.9,30.68,432890.0
2018-01-12,131.9,130.1,131.9,130.2,30.284,761010.0
2018-01-15,130.6,130.0,130.2,130.5,30.354,426390.0
2018-01-16,131.5,130.0,130.6,130.9,30.447,502050.0
2018-01-17,130.9,128.0,130.6,128.0,29.773,699560.0
2018-01-18,129.5,126.0,127.5,129.5,30.122,472240.0
2018-01-19,129.5,126.9,129.5,127.5,29.656,374620.0
2018-01-22,131.5,127.3,127.6,128.5,29.889,328910.0
2018-01-25,130.5,127.1,129.0,129.0,30.005,735390.0
2018-01-26,129.8,127.2,129.5,127.2,29.587,282470.0
2018-01-29,127.2,121.3,127.2,123.8,28.796,1019580.0
2018-01-30,126.9,123.7,125.0,125.9,29.284,429120.0
2018-01-31,125.9,124.0,125.9,125.5,29.191,418280.0
2018-02-01,134.2,123.7,125.0,134.2,31.215,467000.0
2018-02-02,130.0,126.6,129.5,126.6,29.447,852600.0
2018-02-05,126.0,122.0,126.0,123.5,28.726,695700.0
2018-02-06,120.5,115.5,120.0,119.0,27.679,1006780.0
2018-02-07,122.9,120.5,121.9,120.5,28.028,458750.0
2018-02-08,121.5,117.5,121.5,118.7,27.61,331600.0
2018-02-09,115.0,111.0,115.0,112.0,26.051,895800.0
2018-02-12,115.0,111.5,115.0,113.9,26.493,570900.0
2018-02-13,120.5,114.0,114.0,120.0,27.912,192920.0
2018-02-21,123.3,121.0,121.0,123.0,28.61,200190.0
2018-02-22,122.9,119.0,122.0,119.0,27.679,303130.0
2018-02-23,120.1,119.1,119.5,119.8,27.865,207380.0
2018-02-26,122.5,119.8,120.0,121.0,28.145,478400.0
2018-02-27,126.0,120.0,122.0,126.0,29.308,746580.0
2018-02-28,125.5,123.5,125.0,124.0,28.842,351460.0
2018-03-01,124.0,121.5,123.0,122.5,28.493,277590.0
2018-03-02,121.8,119.7,121.0,121.5,28.261,690310.0
2018-03-05,122.4,119.3,122.0,119.5,27.796,768540.0
2018-03-06,119.6,115.0,119.5,117.0,27.214,609300.0
2018-03-07,116.0,113.7,116.0,114.1,26.54,619200.0
2018-03-08,116.0,114.2,114.2,115.1,26.772,243880.0
2018-03-09,116.5,115.0,116.0,116.1,27.005,244020.0
2018-03-12,117.8,116.1,116.1,117.0,27.214,192120.0
2018-03-13,117.1,115.5,117.0,116.0,26.982,219390.0
2018-03-14,117.7,115.0,117.0,115.0,26.749,250220.0
2018-03-15,115.0,113.5,115.0,113.5,26.4,349720.0
2018-03-16,116.0,111.0,116.0,113.4,26.377,481790.0
2018-03-19,118.0,116.0,116.5,117.0,27.214,527170.0
2018-03-20,121.0,117.1,117.7,120.0,27.912,673160.0
2018-03-21,122.7,120.0,122.0,120.0,27.912,433980.0
2018-03-22,121.6,118.0,120.0,118.1,27.47,293790.0
2018-03-23,118.0,114.1,115.0,116.2,27.028,278400.0
2018-03-26,118.4,115.0,115.0,115.0,26.749,224100.0
2018-03-27,116.4,114.0,115.0,114.0,26.516,341730.0
2018-03-28,114.9,113.2,114.0,113.2,26.33,314920.0
2018-03-29,114.5,111.8,114.0,113.1,26.307,351580.0
2018-03-30,113.9,112.8,113.0,112.8,26.237,183280.0
2018-04-02,113.1,110.0,112.8,110.1,25.609,767210.0
2018-04-03,110.1,103.0,110.1,103.0,23.958,1076000.0
2018-04-04,106.7,103.0,103.0,104.9,24.4,511510.0
2018-04-05,107.8,105.4,105.5,105.4,24.516,215460.0
2018-04-06,107.5,104.8,105.4,105.3,24.493,265350.0
2018-04-09,106.0,103.3,105.8,103.4,24.051,306530.0
2018-04-10,103.5,101.0,103.4,101.0,23.493,506380.0
2018-04-11,102.5,99.8,101.0,99.8,23.213,525250.0
2018-04-12,103.5,99.8,100.0,103.5,24.074,495810.0
2018-04-13,105.4,104.0,105.0,105.4,24.516,542420.0
2018-04-16,106.5,105.0,106.0,106.0,24.656,343280.0
2018-04-17,106.5,105.0,106.2,105.2,24.469,244320.0
2018-04-18,105.2,103.0,105.0,103.0,23.958,206100.0
2018-04-19,103.4,98.0,103.4,98.0,22.795,314620.0
2018-04-20,102.1,99.0,100.0,102.1,23.748,338220.0
2018-04-23,108.8,104.9,105.0,107.0,24.888,685820.0
2018-04-24,106.9,105.0,105.5,105.7,24.935,220980.0
2018-04-26,106.0,100.6,105.5,100.8,23.779,338620.0
2018-04-27,103.0,99.0,101.0,102.0,24.062,330400.0
2018-05-02,106.0,101.5,102.0,101.5,23.944,254610.0
2018-05-03,102.0,100.2,102.0,101.6,23.968,258960.0
2018-05-04,103.0,101.3,102.0,101.5,23.944,184450.0
2018-05-07,108.1,101.5,101.5,108.0,25.477,597020.0
2018-05-08,108.8,105.2,108.8,105.6,24.911,297750.0
2018-05-09,107.0,104.8,105.0,105.9,24.982,262950.0
2018-05-10,105.9,100.0,105.5,100.0,23.59,530300.0
2018-05-11,103.0,99.9,99.9,103.0,24.298,310160.0
2018-05-14,105.5,102.6,104.0,105.0,24.77,273900.0
2018-05-15,107.5,104.5,105.0,106.8,25.194,474040.0
2018-05-16,106.8,104.6,106.0,105.0,24.77,201990.0
2018-05-17,105.4,103.2,104.5,103.2,24.345,309370.0
2018-05-18,106.0,102.1,103.0,106.0,25.006,301160.0
2018-05-21,112.0,108.0,109.0,110.3,26.02,1188460.0
2018-05-22,110.4,106.7,110.1,109.0,25.713,423890.0
2018-05-23,113.0,107.7,109.0,113.0,26.657,872610.0
2018-05-24,114.8,112.2,113.9,113.7,26.822,681070.0
2018-05-25,114.0,110.0,113.6,110.0,25.949,611380.0
2018-05-28,109.0,102.3,108.0,102.3,24.133,1155930.0
2018-05-29,107.0,101.0,102.3,105.0,24.77,551780.0
2018-05-30,106.0,102.3,105.0,103.0,24.298,440950.0
2018-05-31,106.2,102.3,103.0,106.2,25.053,340200.0
2018-06-01,109.0,104.6,106.0,109.0,25.713,607160.0
2018-06-04,111.5,108.0,109.0,109.0,25.713,528750.0
2018-06-05,111.2,108.5,109.0,110.9,26.162,550980.0
2018-06-06,118.5,110.9,111.0,118.5,27.954,1622250.0
2018-06-07,118.8,116.1,118.4,116.4,27.459,586210.0
2018-06-08,121.9,115.5,116.0,121.0,28.544,1050630.0
2018-06-11,124.0,118.8,119.5,122.7,28.945,863640.0
2018-06-12,121.5,116.6,120.3,120.1,28.332,1008440.0
2018-06-13,122.8,120.1,121.0,122.6,28.922,697380.0
2018-06-14,126.0,122.0,122.0,123.0,29.016,790730.0
2018-06-15,124.7,121.2,123.0,123.8,29.205,481440.0
2018-06-18,125.5,118.0,123.9,118.0,27.836,1070590.0
2018-06-19,117.4,109.8,115.5,115.0,27.129,1911210.0
2018-06-20,116.9,114.0,115.1,115.8,27.317,411110.0
2018-06-21,117.5,114.0,116.7,114.0,26.893,516060.0
2018-06-22,116.9,112.3,114.0,116.9,27.577,476580.0
2018-06-25,122.9,120.0,120.0,120.9,28.521,705100.0
2018-06-26,120.8,117.8,119.3,120.0,28.308,441230.0
2018-06-27,122.2,118.0,120.0,118.0,27.836,817170.0
2018-06-28,117.9,114.1,116.6,114.7,27.058,638030.0
2018-06-29,116.5,114.0,115.0,114.0,26.893,491140.0
2018-07-02,113.0,107.0,113.0,107.0,25.242,1026590.0
2018-07-03,108.5,100.1,107.1,100.1,23.614,1075280.0
2018-07-04,104.5,99.6,101.8,104.5,24.652,779570.0
2018-07-05,105.0,100.0,104.5,101.7,23.991,558520.0
2018-07-06,108.0,100.3,102.0,106.5,25.124,567910.0
2018-07-09,108.5,104.0,107.0,105.0,24.77,328540.0
2018-07-10,106.5,104.0,104.6,104.9,24.746,301970.0
2018-07-11,104.0,100.0,102.0,101.0,23.826,488530.0
2018-07-12,105.0,100.2,100.2,102.0,24.062,286890.0
2018-07-13,105.9,103.1,104.4,105.0,24.77,325760.0
2018-07-16,108.8,106.0,106.4,107.2,25.289,401950.0
2018-07-17,112.0,105.7,107.0,112.0,26.421,824160.0
2018-07-18,113.8,111.4,112.0,113.0,26.657,460950.0
2018-07-19,116.0,112.0,113.8,115.3,27.2,862370.0
2018-07-20,114.0,111.1,114.0,113.5,26.775,928360.0
2018-07-23,116.5,112.9,113.0,113.9,26.869,763720.0
2018-07-24,114.7,111.1,113.3,112.4,26.515,511920.0
2018-07-25,113.6,110.5,112.4,110.5,26.067,499320.0
2018-07-26,111.9,108.0,110.5,110.0,25.949,435230.0
2018-07-27,114.0,110.0,110.0,113.8,26.846,701950.0
2018-07-30,116.0,113.9,113.9,116.0,27.365,596030.0
2018-07-31,117.5,115.5,116.5,116.8,27.553,568610.0
2018-08-01,117.6,113.5,117.5,113.6,26.798,627780.0
2018-08-02,113.8,111.6,112.9,113.8,26.846,613430.0
2018-08-03,115.2,112.5,114.0,112.5,26.539,447190.0
2018-08-06,113.0,111.0,112.5,111.0,26.185,363260.0
2018-08-07,112.1,110.0,111.0,111.0,26.185,435930.0
2018-08-08,114.4,111.0,111.0,113.9,26.869,340650.0
2018-08-09,115.2,113.6,114.0,114.4,26.987,431240.0
2018-08-10,115.9,113.9,114.4,115.4,27.223,684860.0
