Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,21.4,19.45,20.0,20.5,17.008,512530.0
2018-01-03,21.3,20.1,20.1,20.5,17.008,120230.0
2018-01-04,20.9,20.5,20.8,20.8,17.256,36690.0
2018-01-05,20.9,20.35,20.8,20.5,17.008,85790.0
2018-01-08,20.9,20.35,20.9,20.35,16.883,19390.0
2018-01-09,21.75,20.2,20.3,21.75,18.045,692640.0
2018-01-10,23.2,21.75,21.75,22.95,19.041,337360.0
2018-01-11,23.1,22.2,22.8,22.6,18.751,60270.0
2018-01-12,23.0,22.0,22.6,22.0,18.252,167740.0
2018-01-15,23.0,21.05,21.05,23.0,19.082,367760.0
2018-01-16,24.5,22.0,22.95,24.5,20.327,71690.0
2018-01-17,24.5,22.95,24.5,22.95,19.041,31420.0
2018-01-18,22.85,21.5,21.5,22.75,18.874,73400.0
2018-01-19,24.0,22.5,22.5,23.0,19.082,76910.0
2018-01-22,23.7,22.5,22.5,23.7,19.663,134360.0
2018-01-25,24.9,23.7,23.8,24.9,20.659,661590.0
2018-01-26,25.0,24.0,24.0,25.0,20.741,297970.0
2018-01-29,25.0,24.0,25.0,24.5,20.327,72460.0
2018-01-30,25.0,24.0,24.0,25.0,20.741,52120.0
2018-01-31,24.5,24.5,24.5,24.5,20.327,12360.0
2018-02-01,25.0,24.3,24.3,24.8,20.576,43210.0
2018-02-02,24.8,23.5,24.8,24.65,20.451,2420.0
2018-02-05,24.5,23.0,24.4,24.5,20.327,25740.0
2018-02-06,24.3,22.8,23.0,24.3,20.161,27970.0
2018-02-07,26.0,23.6,23.6,25.0,20.741,6510.0
2018-02-08,26.0,23.3,23.3,26.0,21.571,7510.0
2018-02-09,25.0,24.2,24.2,25.0,20.741,3790.0
2018-02-12,25.9,25.0,25.9,25.0,20.741,4020.0
2018-02-13,25.4,24.0,24.95,25.4,21.074,34180.0
2018-02-21,26.4,25.4,26.0,26.0,21.571,24530.0
2018-02-22,26.0,24.6,26.0,25.9,21.488,5660.0
2018-02-23,26.7,24.5,26.7,24.5,20.327,1200.0
2018-02-26,26.2,26.0,26.0,26.2,21.737,300.0
2018-02-27,26.2,25.0,26.2,25.0,20.741,2230.0
2018-02-28,25.7,25.0,25.7,25.6,21.239,770.0
2018-03-01,26.5,24.0,24.1,24.3,20.161,36050.0
2018-03-02,26.0,25.3,25.5,26.0,21.571,55040.0
2018-03-05,27.0,25.0,25.8,26.7,22.152,3310.0
2018-03-06,26.9,25.0,26.9,26.0,21.571,355880.0
2018-03-07,25.9,25.0,25.05,25.9,21.488,58630.0
2018-03-08,25.85,24.5,25.0,25.85,21.447,21460.0
2018-03-09,25.5,25.5,25.5,25.5,21.156,960.0
2018-03-12,25.8,24.4,25.8,25.5,21.156,204640.0
2018-03-13,25.5,24.5,25.5,25.4,21.074,403180.0
2018-03-14,25.4,25.0,25.4,25.0,20.741,2040.0
2018-03-15,25.9,25.9,25.9,25.9,21.488,1500.0
2018-03-16,25.8,24.25,24.25,25.8,21.405,15040.0
2018-03-19,25.9,24.45,24.55,25.6,21.239,4090.0
2018-03-20,25.9,24.45,24.45,25.0,20.741,540.0
2018-03-21,25.5,24.5,24.5,25.5,21.156,180.0
2018-03-22,25.5,24.25,24.25,25.5,21.156,1160.0
2018-03-23,25.0,23.75,23.85,23.75,19.704,25670.0
2018-03-26,22.1,22.1,22.1,22.1,18.336,2060.0
2018-03-27,20.6,20.6,20.6,20.6,17.091,2890.0
2018-03-28,22.0,19.2,19.2,19.2,15.929,1232230.0
2018-03-29,20.4,18.5,18.5,19.0,15.763,349390.0
2018-03-30,19.0,18.0,19.0,18.5,15.348,151510.0
2018-04-02,18.7,17.25,18.7,17.8,14.768,107100.0
2018-04-03,17.65,16.6,17.4,17.2,14.27,267300.0
2018-04-04,18.4,16.8,16.8,18.3,15.183,264150.0
2018-04-05,19.55,19.3,19.5,19.55,16.22,591460.0
2018-04-06,20.9,19.9,20.9,20.7,17.174,318740.0
2018-04-09,21.5,19.6,20.7,21.1,17.506,234930.0
2018-04-10,20.4,19.7,20.2,20.0,16.593,453630.0
2018-04-11,20.0,18.9,20.0,19.4,16.095,88590.0
2018-04-12,20.0,18.5,19.0,19.95,16.551,100110.0
2018-04-13,20.0,18.8,19.6,19.4,16.095,40850.0
2018-04-16,19.0,18.1,19.0,18.5,15.348,22800.0
2018-04-17,18.6,18.2,18.6,18.2,15.1,35830.0
2018-04-18,19.0,18.1,18.1,18.9,15.681,48310.0
2018-04-19,19.0,18.2,18.5,18.8,15.598,85250.0
2018-04-20,18.8,18.2,18.2,18.8,15.598,22430.0
2018-04-23,18.5,18.2,18.2,18.5,15.348,39850.0
2018-04-24,18.55,17.95,18.4,18.5,15.348,105170.0
2018-04-26,19.0,17.25,17.6,19.0,15.763,106620.0
2018-04-27,20.0,18.0,18.0,19.4,16.095,58030.0
2018-05-02,19.4,18.5,18.5,19.4,16.095,11540.0
2018-05-03,19.4,19.0,19.0,19.4,16.095,206980.0
2018-05-04,19.4,18.6,19.4,19.3,16.013,95400.0
2018-05-07,19.3,18.45,18.5,19.25,15.971,28520.0
2018-05-08,19.0,18.5,18.6,18.5,15.348,39540.0
2018-05-09,18.95,18.95,18.95,18.95,15.722,2250.0
2018-05-10,18.85,18.3,18.85,18.3,15.183,38060.0
2018-05-11,18.95,18.0,18.7,18.95,15.722,10120.0
2018-05-14,19.0,18.35,18.35,18.9,15.681,6300.0
2018-05-15,18.9,18.45,18.45,18.9,15.681,5240.0
2018-05-16,18.8,18.8,18.8,18.8,15.598,10020.0
2018-05-17,18.5,18.45,18.5,18.45,15.307,13340.0
2018-05-18,18.9,18.1,18.4,18.85,15.639,10500.0
2018-05-21,18.85,18.3,18.3,18.8,15.598,6160.0
2018-05-22,19.0,18.2,18.2,19.0,15.763,51100.0
2018-05-23,19.1,17.8,18.9,17.8,14.768,15080.0
2018-05-24,19.0,18.0,18.75,18.9,15.681,97110.0
2018-05-25,19.2,18.35,18.9,19.0,15.763,14350.0
2018-05-28,18.5,18.0,18.0,18.5,15.348,8400.0
2018-05-29,19.75,18.0,18.0,19.7,16.344,75670.0
2018-05-30,19.9,18.4,19.9,19.6,16.261,4210.0
2018-05-31,19.6,19.4,19.5,19.6,16.261,6330.0
2018-06-01,19.6,18.5,19.6,19.5,16.178,20030.0
2018-06-04,19.75,18.5,19.75,18.95,15.722,11830.0
2018-06-05,19.5,18.2,18.5,19.4,16.095,12440.0
2018-06-06,19.3,18.7,18.9,19.3,16.013,5120.0
2018-06-07,19.1,18.65,19.1,19.1,15.846,7780.0
2018-06-08,19.25,19.25,19.25,19.25,15.971,1010.0
2018-06-11,19.15,18.5,19.1,19.15,15.888,4480.0
2018-06-12,19.2,18.4,19.2,19.1,15.846,5380.0
2018-06-13,20.4,19.1,19.1,20.4,16.925,9130.0
2018-06-14,20.4,19.0,19.5,20.4,16.925,12790.0
2018-06-15,20.6,19.3,20.0,19.8,16.428,6160.0
2018-06-18,20.35,19.2,19.8,20.35,16.883,115200.0
2018-06-19,20.0,19.5,20.0,19.9,16.51,5350.0
2018-06-20,19.5,18.7,19.5,19.5,16.178,1850.0
2018-06-21,19.5,18.5,18.55,19.5,16.178,1680.0
2018-06-22,19.8,19.8,19.8,19.8,16.428,1030.0
2018-06-25,19.8,18.65,19.8,19.8,16.428,505420.0
2018-06-26,20.0,19.0,20.0,19.8,16.428,2520.0
2018-06-27,19.7,19.0,19.0,19.7,16.344,3710.0
2018-06-28,19.8,18.9,19.8,19.8,16.428,13120.0
2018-06-29,19.5,19.0,19.2,19.5,16.178,1650.0
2018-07-02,19.6,18.6,19.0,19.6,16.261,12500.0
2018-07-03,19.6,19.0,19.45,19.55,16.22,10240.0
2018-07-04,19.6,19.55,19.55,19.6,16.261,2000.0
2018-07-05,19.5,19.0,19.0,19.5,16.178,10990.0
2018-07-06,19.5,19.5,19.5,19.5,16.178,5000.0
2018-07-09,19.5,19.0,19.0,19.4,16.095,15760.0
2018-07-10,19.6,19.6,19.6,19.6,16.261,18120.0
2018-07-11,19.6,19.6,19.6,19.6,16.261,1000.0
2018-07-12,19.6,18.6,19.6,19.4,16.095,16390.0
2018-07-13,19.4,19.4,19.4,19.4,16.095,5000.0
2018-07-16,19.6,18.9,19.4,19.4,16.095,6310.0
2018-07-17,19.6,18.9,18.9,19.3,16.013,12480.0
2018-07-18,19.3,18.95,18.95,19.3,16.013,6180.0
2018-07-19,19.5,19.0,19.5,19.0,15.763,6500.0
2018-07-20,20.0,19.0,19.4,19.9,16.51,38700.0
2018-07-23,19.9,19.1,19.5,19.7,16.344,4070.0
2018-07-24,19.9,19.0,19.0,19.0,15.763,23740.0
2018-07-25,19.6,18.8,19.6,19.4,16.095,13510.0
2018-07-26,20.0,19.0,19.0,20.0,16.593,11140.0
2018-07-27,19.65,19.65,19.65,19.65,16.303,2060.0
2018-07-30,19.65,19.5,19.5,19.65,16.303,1090.0
2018-07-31,19.6,19.1,19.1,19.6,16.261,3500.0
2018-08-01,20.0,20.0,20.0,20.0,16.593,5010.0
2018-08-02,19.7,19.65,19.65,19.7,16.344,13000.0
2018-08-03,20.0,19.0,19.9,19.7,16.344,15680.0
2018-08-06,19.7,19.0,19.5,19.7,16.344,8000.0
2018-08-07,19.7,19.7,19.7,19.7,16.344,2000.0
2018-08-08,19.0,19.0,19.0,19.0,15.763,2350.0
