Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-03,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-04,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-05,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-08,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-09,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-10,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-11,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-12,14.8,14.8,14.8,14.8,7.75,0.0
2018-01-15,13.5,13.5,13.5,13.5,7.069,4600.0
2018-01-16,13.7,12.2,12.3,13.7,7.174,8200.0
2018-01-17,14.4,14.4,14.4,14.4,7.541,100.0
2018-01-18,13.0,13.0,13.0,13.0,6.808,4100.0
2018-01-19,13.9,11.8,13.0,13.9,7.279,5600.0
2018-01-22,13.8,12.6,12.6,13.8,7.226,300.0
2018-01-23,14.4,14.4,14.4,14.4,7.541,100.0
2018-01-24,13.9,13.5,13.6,13.9,7.279,3900.0
2018-01-25,13.9,13.9,13.9,13.9,7.279,0.0
2018-01-26,13.9,13.9,13.9,13.9,7.279,600.0
2018-01-29,13.9,13.9,13.9,13.9,7.279,0.0
2018-01-30,13.9,13.9,13.9,13.9,7.279,1500.0
2018-01-31,13.9,13.9,13.9,13.9,7.279,1000.0
2018-02-01,14.1,14.1,14.1,14.1,7.384,500.0
2018-02-02,14.1,14.1,14.1,14.1,7.384,0.0
2018-02-05,14.1,14.1,14.1,14.1,7.384,0.0
2018-02-06,14.1,14.1,14.1,14.1,7.384,0.0
2018-02-07,14.1,14.1,14.1,14.1,7.384,0.0
2018-02-08,13.9,13.0,13.0,13.9,7.279,200.0
2018-02-09,13.9,12.6,12.6,13.9,7.279,200.0
2018-02-12,14.9,13.9,13.9,14.9,7.803,300.0
2018-02-13,14.9,14.9,14.9,14.9,7.803,0.0
2018-02-21,15.2,15.2,15.2,15.2,7.96,100.0
2018-02-22,15.0,13.7,13.7,15.0,7.855,200.0
2018-02-23,15.9,15.9,15.9,15.9,8.326,100.0
2018-02-26,15.8,14.4,14.4,15.8,8.274,300.0
2018-02-27,15.8,14.3,14.3,15.8,8.274,200.0
2018-02-28,15.8,14.3,14.3,15.8,8.274,200.0
2018-03-01,15.8,14.3,14.3,15.8,8.274,200.0
2018-03-02,15.8,14.3,14.3,15.8,8.274,200.0
2018-03-05,15.5,14.3,14.3,15.5,8.117,200.0
2018-03-06,15.4,14.0,14.1,15.4,8.064,1900.0
2018-03-07,14.1,14.1,14.1,14.1,7.384,100.0
2018-03-08,14.0,14.0,14.0,14.0,7.331,5000.0
2018-03-09,15.2,14.1,14.1,15.2,7.96,5100.0
2018-03-12,15.2,15.2,15.2,15.2,7.96,100.0
2018-03-13,15.0,15.0,15.0,15.0,7.855,1200.0
2018-03-14,15.0,15.0,15.0,15.0,7.855,600.0
2018-03-15,14.5,14.5,14.5,14.5,7.593,500.0
2018-03-16,14.5,14.5,14.5,14.5,7.593,3000.0
2018-03-19,14.6,14.5,14.6,14.5,7.593,1400.0
2018-03-20,15.0,15.0,15.0,15.0,7.855,5400.0
2018-03-21,15.2,15.0,15.0,15.2,7.96,1200.0
2018-03-22,15.8,15.8,15.8,15.8,8.274,200.0
2018-03-23,14.3,14.3,14.3,14.3,7.488,100.0
2018-03-26,14.7,14.3,14.3,14.7,7.698,3700.0
2018-03-27,14.7,14.7,14.7,14.7,7.698,0.0
2018-03-28,14.7,14.7,14.7,14.7,7.698,0.0
2018-03-29,14.7,14.7,14.7,14.7,7.698,0.0
2018-03-30,14.9,14.8,14.8,14.9,7.803,1100.0
2018-04-02,15.0,15.0,15.0,15.0,7.855,3000.0
2018-04-03,15.0,15.0,15.0,15.0,7.855,0.0
2018-04-04,15.0,15.0,15.0,15.0,7.855,0.0
2018-04-05,15.0,15.0,15.0,15.0,7.855,0.0
2018-04-06,15.5,15.5,15.5,15.5,8.117,2000.0
2018-04-09,16.0,16.0,16.0,16.0,8.379,3200.0
2018-04-10,15.8,15.8,15.8,15.8,8.274,2000.0
2018-04-11,15.8,15.8,15.8,15.8,8.274,0.0
2018-04-12,15.8,15.8,15.8,15.8,8.274,0.0
2018-04-13,15.5,15.5,15.5,15.5,8.117,1900.0
2018-04-16,15.5,15.5,15.5,15.5,8.117,0.0
2018-04-17,14.2,14.1,14.1,14.2,7.436,2400.0
2018-04-18,15.2,15.2,15.2,15.2,7.96,100.0
