Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.3,15.3,15.3,15.3,10.945,0.0
2018-01-03,15.3,15.3,15.3,15.3,10.945,0.0
2018-01-04,15.3,15.3,15.3,15.3,10.945,0.0
2018-01-05,15.3,15.3,15.3,15.3,10.945,0.0
2018-01-08,16.8,14.0,16.8,14.0,10.015,1000.0
2018-01-09,14.0,14.0,14.0,14.0,10.015,0.0
2018-01-10,14.0,14.0,14.0,14.0,10.015,0.0
2018-01-11,15.4,15.4,15.4,15.4,11.017,100.0
2018-01-12,16.9,16.9,16.9,16.9,12.09,100.0
2018-01-15,16.9,16.9,16.9,16.9,12.09,0.0
2018-01-16,18.5,15.5,15.5,18.5,13.234,200.0
2018-01-17,16.7,16.7,16.7,16.7,11.947,100.0
2018-01-18,16.7,16.7,16.7,16.7,11.947,0.0
2018-01-19,16.7,16.7,16.7,16.7,11.947,0.0
2018-01-22,16.7,16.7,16.7,16.7,11.947,0.0
2018-01-23,15.2,15.2,15.2,15.2,10.874,100.0
2018-01-24,15.2,15.2,15.2,15.2,10.874,0.0
2018-01-25,15.2,15.2,15.2,15.2,10.874,0.0
2018-01-26,16.7,14.0,14.0,16.7,11.947,200.0
2018-01-29,15.2,15.2,15.2,15.2,10.874,100.0
2018-01-30,16.7,16.7,16.7,16.7,11.947,100.0
2018-01-31,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-01,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-02,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-05,15.2,15.2,15.2,15.2,10.874,100.0
2018-02-06,16.7,16.7,16.7,16.7,11.947,100.0
2018-02-07,15.2,15.2,15.2,15.2,10.874,100.0
2018-02-08,15.2,15.2,15.2,15.2,10.874,0.0
2018-02-09,16.7,16.7,16.7,16.7,11.947,100.0
2018-02-12,15.2,15.2,15.2,15.2,10.874,100.0
2018-02-13,15.2,15.2,15.2,15.2,10.874,0.0
2018-02-21,16.7,16.7,16.7,16.7,11.947,100.0
2018-02-22,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-23,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-26,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-27,16.7,16.7,16.7,16.7,11.947,0.0
2018-02-28,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-01,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-02,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-05,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-06,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-07,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-08,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-09,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-12,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-13,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-14,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-15,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-16,16.7,16.7,16.7,16.7,11.947,200.0
2018-03-19,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-20,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-21,16.7,16.7,16.7,16.7,11.947,1.0
2018-03-22,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-23,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-26,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-27,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-28,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-29,16.7,16.7,16.7,16.7,11.947,0.0
2018-03-30,18.3,18.3,18.3,18.3,13.091,200.0
2018-04-02,18.3,18.3,18.3,18.3,13.091,0.0
2018-04-03,16.6,16.6,16.6,16.6,11.875,110.0
2018-04-04,16.6,16.6,16.6,16.6,11.875,0.0
2018-04-05,16.6,16.6,16.6,16.6,11.875,0.0
2018-04-06,17.2,15.2,15.2,17.2,12.304,302.0
2018-04-09,15.6,15.6,15.6,15.6,11.16,100.0
2018-04-10,17.0,17.0,17.0,17.0,12.161,100.0
2018-04-11,17.0,15.4,15.4,17.0,12.161,200.0
2018-04-12,15.4,15.4,15.4,15.4,11.017,101.0
2018-04-13,16.9,16.9,16.9,16.9,12.09,100.0
2018-04-16,15.4,15.3,15.4,15.3,10.945,3802.0
2018-04-17,15.3,15.3,15.3,15.3,10.945,0.0
2018-04-18,16.7,16.7,16.7,16.7,11.947,100.0
2018-04-19,15.2,15.2,15.2,15.2,10.874,100.0
2018-04-20,16.7,15.0,15.0,16.7,11.947,4400.0
2018-04-23,18.0,18.0,18.0,18.0,12.877,100.0
2018-04-24,19.4,19.0,19.0,19.4,13.878,500.0
2018-04-26,21.3,21.3,21.3,21.3,15.237,600.0
2018-04-27,19.3,19.2,19.3,19.2,13.735,1200.0
2018-05-02,19.2,19.2,19.2,19.2,13.735,0.0
2018-05-03,17.4,17.4,17.4,17.4,12.447,108.0
2018-05-04,17.4,17.4,17.4,17.4,12.447,0.0
2018-05-07,17.4,17.4,17.4,17.4,12.447,0.0
2018-05-08,17.4,17.4,17.4,17.4,12.447,0.0
2018-05-09,17.4,17.4,17.4,17.4,12.447,0.0
2018-05-10,17.4,17.4,17.4,17.4,12.447,0.0
2018-05-11,18.4,18.4,18.4,18.4,13.163,602.0
2018-05-14,18.4,18.4,18.4,18.4,13.163,0.0
2018-05-15,18.4,18.4,18.4,18.4,13.163,900.0
2018-05-16,18.5,18.5,18.5,18.5,13.234,400.0
2018-05-17,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-18,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-21,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-22,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-23,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-24,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-25,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-28,18.5,18.5,18.5,18.5,13.234,0.0
2018-05-29,17.7,17.7,17.7,17.7,13.234,0.0
2018-05-30,17.7,17.7,17.7,17.7,13.234,0.0
2018-05-31,17.7,17.7,17.7,17.7,13.234,0.0
2018-06-01,17.7,17.7,17.7,17.7,13.234,0.0
2018-06-04,17.7,17.7,17.7,17.7,13.234,0.0
2018-06-05,16.1,16.1,16.1,16.1,12.038,100.0
2018-06-06,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-07,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-08,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-11,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-12,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-13,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-14,17.7,17.7,17.7,17.7,13.234,800.0
2018-06-15,16.1,16.1,16.1,16.1,12.038,100.0
2018-06-18,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-19,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-20,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-21,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-22,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-25,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-26,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-27,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-28,16.1,16.1,16.1,16.1,12.038,0.0
2018-06-29,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-02,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-03,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-04,17.7,17.7,17.7,17.7,13.234,200.0
2018-07-05,17.7,17.7,17.7,17.7,13.234,0.0
2018-07-06,16.1,16.1,16.1,16.1,12.038,100.0
2018-07-09,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-10,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-11,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-12,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-13,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-16,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-17,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-18,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-19,16.1,16.1,16.1,16.1,12.038,0.0
2018-07-20,15.2,15.1,15.2,15.1,11.29,3500.0
2018-07-23,15.1,15.1,15.1,15.1,11.29,0.0
2018-07-24,15.1,15.1,15.1,15.1,11.29,0.0
2018-07-25,15.1,15.1,15.1,15.1,11.29,0.0
2018-07-26,15.1,15.1,15.1,15.1,11.29,0.0
2018-07-27,16.6,16.6,16.6,16.6,12.411,500.0
2018-07-30,16.6,16.6,16.6,16.6,12.411,0.0
2018-07-31,18.2,18.2,18.2,18.2,13.608,100.0
2018-08-01,16.5,16.5,16.5,16.5,12.337,100.0
2018-08-02,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-03,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-06,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-07,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-08,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-09,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-10,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-13,16.5,16.5,16.5,16.5,12.337,0.0
2018-08-14,16.5,16.5,16.5,16.5,12.337,5.0
2018-08-15,16.5,16.5,16.5,16.5,12.337,0.0
