Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.3,14.2,14.2,14.3,8.201,1300.0
2018-01-03,14.3,14.2,14.3,14.2,8.144,1500.0
2018-01-04,14.3,14.2,14.3,14.3,8.201,1800.0
2018-01-05,14.3,14.2,14.2,14.3,8.201,1400.0
2018-01-08,14.2,14.2,14.2,14.2,8.144,1200.0
2018-01-09,14.3,14.2,14.3,14.2,8.144,800.0
2018-01-10,14.2,14.2,14.2,14.2,8.144,1200.0
2018-01-11,14.3,14.2,14.2,14.3,8.201,900.0
2018-01-12,14.3,14.1,14.3,14.1,8.086,1400.0
2018-01-15,14.2,14.2,14.2,14.2,8.144,1500.0
2018-01-16,14.3,14.2,14.2,14.3,8.201,1300.0
2018-01-17,14.2,14.2,14.2,14.2,8.144,800.0
2018-01-18,14.3,14.2,14.2,14.3,8.201,1100.0
2018-01-19,14.2,14.2,14.2,14.2,8.144,1500.0
2018-01-22,14.3,14.3,14.3,14.3,8.201,900.0
2018-01-23,14.3,14.2,14.3,14.2,8.144,1100.0
2018-01-24,14.3,14.2,14.3,14.3,8.201,1700.0
2018-01-25,14.4,14.3,14.3,14.4,8.258,1100.0
2018-01-26,14.2,14.2,14.2,14.2,8.144,1200.0
2018-01-29,14.2,14.2,14.2,14.2,8.144,1000.0
2018-01-30,14.3,14.3,14.3,14.3,8.201,1700.0
2018-01-31,14.3,14.2,14.2,14.3,8.201,900.0
2018-02-01,14.3,14.3,14.3,14.3,8.201,1200.0
2018-02-02,14.2,14.2,14.2,14.2,8.144,1000.0
2018-02-05,14.3,14.2,14.3,14.2,8.144,1300.0
2018-02-06,14.2,14.1,14.2,14.1,8.086,1500.0
2018-02-07,14.1,14.1,14.1,14.1,8.086,900.0
2018-02-08,14.2,14.2,14.2,14.2,8.144,1600.0
2018-02-09,14.3,14.3,14.3,14.3,8.201,800.0
2018-02-12,14.2,14.2,14.2,14.2,8.144,1300.0
2018-02-13,14.3,14.3,14.3,14.3,8.201,500.0
2018-02-21,14.2,14.2,14.2,14.2,8.144,1100.0
2018-02-22,14.3,14.3,14.3,14.3,8.201,1100.0
2018-02-23,14.3,14.3,14.3,14.3,8.201,700.0
2018-02-26,14.4,14.3,14.3,14.4,8.258,1800.0
2018-02-27,14.3,14.3,14.3,14.3,8.201,800.0
2018-02-28,14.3,14.3,14.3,14.3,8.201,1300.0
2018-03-01,14.3,14.3,14.3,14.3,8.201,900.0
2018-03-02,14.3,14.3,14.3,14.3,8.201,700.0
2018-03-05,14.4,14.3,14.3,14.4,8.258,1300.0
2018-03-06,14.3,14.2,14.3,14.2,8.144,800.0
2018-03-07,14.3,14.3,14.3,14.3,8.201,700.0
2018-03-08,14.3,14.3,14.3,14.3,8.201,800.0
2018-03-09,14.3,14.2,14.3,14.2,8.144,1300.0
2018-03-12,14.3,14.3,14.3,14.3,8.201,600.0
2018-03-13,14.4,14.3,14.4,14.3,8.201,1200.0
2018-03-14,14.5,14.4,14.5,14.4,8.258,800.0
2018-03-15,14.3,14.3,14.3,14.3,8.201,800.0
2018-03-16,14.4,14.3,14.3,14.4,8.258,1700.0
2018-03-19,14.4,14.3,14.4,14.3,8.201,1500.0
2018-03-20,14.3,14.3,14.3,14.3,8.201,700.0
2018-03-21,14.2,14.2,14.2,14.2,8.144,1100.0
2018-03-22,14.3,14.3,14.3,14.3,8.201,1100.0
2018-03-23,14.2,14.2,14.2,14.2,8.144,900.0
2018-03-26,14.3,14.3,14.3,14.3,8.201,1400.0
2018-03-27,14.2,14.2,14.2,14.2,8.144,1200.0
2018-03-28,14.3,14.3,14.3,14.3,8.201,1100.0
2018-03-29,14.3,14.3,14.3,14.3,8.201,1410.0
2018-03-30,14.2,14.2,14.2,14.2,8.144,1459.0
2018-04-02,14.2,14.2,14.2,14.2,8.144,1200.0
2018-04-03,14.3,14.3,14.3,14.3,8.201,1500.0
2018-04-04,14.3,14.3,14.3,14.3,8.201,1203.0
2018-04-05,14.2,14.2,14.2,14.2,8.144,1400.0
2018-04-06,14.3,14.3,14.3,14.3,8.201,500.0
2018-04-09,14.4,14.3,14.4,14.3,8.201,1600.0
2018-04-10,14.3,14.3,14.3,14.3,8.201,1050.0
2018-04-11,14.3,14.3,14.3,14.3,8.201,1400.0
2018-04-12,14.4,14.4,14.4,14.4,8.258,800.0
2018-04-13,14.3,14.3,14.3,14.3,8.201,1041.0
2018-04-16,14.3,14.3,14.3,14.3,8.201,1300.0
2018-04-17,14.3,14.3,14.3,14.3,8.201,1500.0
2018-04-18,14.3,14.3,14.3,14.3,8.201,1600.0
2018-04-19,14.4,14.4,14.4,14.4,8.258,800.0
2018-04-20,14.3,14.3,14.3,14.3,8.201,900.0
2018-04-23,14.2,14.2,14.2,14.2,8.144,1100.0
2018-04-24,14.2,14.2,14.2,14.2,8.144,900.0
2018-04-26,14.3,14.3,14.3,14.3,8.201,1200.0
2018-04-27,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-02,14.3,14.3,14.3,14.3,8.201,2.0
2018-05-03,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-04,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-07,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-08,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-09,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-10,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-11,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-14,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-15,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-16,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-17,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-18,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-21,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-22,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-23,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-24,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-25,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-28,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-29,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-30,14.3,14.3,14.3,14.3,8.201,0.0
2018-05-31,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-01,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-04,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-05,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-06,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-07,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-08,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-11,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-12,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-13,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-14,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-15,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-18,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-19,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-20,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-21,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-22,14.3,14.3,14.3,14.3,8.201,0.0
2018-06-25,13.9,13.9,13.9,13.9,7.972,300.0
2018-06-26,14.0,14.0,14.0,14.0,8.029,209.0
2018-06-27,14.0,14.0,14.0,14.0,8.029,500.0
2018-06-28,14.1,14.1,14.1,14.1,8.086,400.0
2018-06-29,14.1,14.1,14.1,14.1,8.086,0.0
2018-07-02,14.0,14.0,14.0,14.0,8.029,600.0
2018-07-03,14.0,14.0,14.0,14.0,8.029,200.0
2018-07-04,14.0,14.0,14.0,14.0,8.029,300.0
2018-07-05,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-06,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-09,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-10,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-11,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-12,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-13,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-16,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-17,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-18,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-19,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-20,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-23,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-24,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-25,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-26,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-27,14.0,14.0,14.0,14.0,8.029,0.0
2018-07-30,12.0,12.0,12.0,12.0,6.882,100.0
2018-07-31,12.0,12.0,12.0,12.0,6.882,0.0
2018-08-01,12.0,12.0,12.0,12.0,6.882,0.0
2018-08-02,12.0,12.0,12.0,12.0,6.882,200.0
2018-08-03,12.1,12.1,12.1,12.1,6.939,21700.0
2018-08-06,12.3,12.3,12.3,12.3,7.054,1500.0
2018-08-07,12.5,12.5,12.5,12.5,7.169,1100.0
2018-08-08,12.6,12.5,12.6,12.5,7.169,1209400.0
2018-08-09,12.7,12.7,12.7,12.7,7.283,2000.0
2018-08-10,12.8,12.8,12.8,12.8,7.341,2000.0
2018-08-13,14.5,12.5,12.5,12.6,7.226,3400.0
2018-08-14,12.2,12.0,12.0,12.2,6.997,140000.0
2018-08-15,12.0,11.0,12.0,11.9,6.825,469500.0
2018-08-16,11.7,11.7,11.7,11.7,6.71,0.0
2018-08-17,11.7,11.7,11.7,11.7,6.71,0.0
2018-08-20,13.3,10.0,10.0,13.3,7.628,597500.0
2018-08-21,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-22,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-23,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-24,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-27,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-28,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-29,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-30,10.1,10.1,10.1,10.1,5.792,0.0
2018-08-31,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-04,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-05,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-06,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-07,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-10,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-11,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-12,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-13,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-14,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-17,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-18,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-19,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-20,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-21,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-24,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-25,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-26,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-27,10.1,10.1,10.1,10.1,5.792,0.0
2018-09-28,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-01,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-02,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-03,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-04,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-05,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-08,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-09,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-10,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-11,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-12,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-15,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-16,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-17,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-18,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-19,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-22,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-23,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-24,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-25,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-26,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-29,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-30,10.1,10.1,10.1,10.1,5.792,0.0
2018-10-31,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-01,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-02,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-05,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-06,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-07,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-08,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-09,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-12,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-13,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-14,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-15,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-16,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-19,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-20,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-21,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-22,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-23,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-26,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-27,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-28,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-29,10.1,10.1,10.1,10.1,5.792,0.0
2018-11-30,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-03,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-04,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-05,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-06,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-07,10.1,10.1,10.1,10.1,5.792,0.0
2018-12-10,13.9,10.1,10.1,13.9,7.972,1000.0
2018-12-11,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-12,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-13,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-14,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-17,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-18,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-19,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-20,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-21,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-24,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-25,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-26,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-27,12.0,12.0,12.0,12.0,6.882,0.0
2018-12-28,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-02,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-03,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-04,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-07,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-08,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-09,12.0,12.0,12.0,12.0,6.882,0.0
2019-01-10,12.0,12.0,12.0,12.0,6.882,0.0
