Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,41.0,38.55,38.8,41.0,19.242,1653510.0
2018-01-03,41.5,40.3,41.4,41.4,19.43,1296300.0
2018-01-04,41.5,41.15,41.4,41.2,19.336,689820.0
2018-01-05,42.8,40.4,41.0,42.8,20.087,1459870.0
2018-01-08,43.5,42.0,42.5,43.25,20.298,907850.0
2018-01-09,44.05,42.9,43.65,43.95,20.626,1127150.0
2018-01-10,45.2,43.5,43.95,44.3,20.791,1458900.0
2018-01-11,44.3,43.2,44.0,43.2,20.276,585860.0
2018-01-12,43.9,42.75,43.0,42.75,20.063,930910.0
2018-01-15,42.7,42.1,42.5,42.7,20.04,429180.0
2018-01-16,43.8,42.6,43.2,43.0,20.182,273290.0
2018-01-17,43.3,41.0,43.0,41.0,19.242,335990.0
2018-01-18,41.5,39.5,40.5,41.0,19.242,709080.0
2018-01-19,43.2,40.8,41.0,42.5,19.947,1027610.0
2018-01-22,43.7,42.0,42.9,42.8,20.087,1146670.0
2018-01-25,42.8,40.7,42.8,40.9,19.195,1110050.0
2018-01-26,40.9,39.5,40.2,40.4,18.961,1102290.0
2018-01-29,40.5,39.55,40.0,39.9,18.726,436800.0
2018-01-30,40.0,39.2,39.9,39.7,18.632,719460.0
2018-01-31,41.4,39.7,39.7,41.4,19.43,834710.0
2018-02-01,41.4,39.7,41.3,39.7,18.632,282580.0
2018-02-02,39.75,38.0,39.6,39.7,18.632,295310.0
2018-02-05,39.7,37.2,39.3,37.2,17.46,329680.0
2018-02-06,37.0,34.6,34.6,34.7,16.286,841400.0
2018-02-07,36.8,36.0,36.5,36.3,17.037,263650.0
2018-02-08,36.3,34.9,36.3,35.0,16.427,262210.0
2018-02-09,35.0,32.6,32.6,35.0,16.427,201470.0
2018-02-12,36.0,35.0,35.0,35.8,16.802,113990.0
2018-02-13,36.0,35.5,35.9,35.8,16.802,316590.0
2018-02-21,36.9,35.7,36.9,35.9,16.849,269550.0
2018-02-22,35.8,35.25,35.7,35.4,16.614,161770.0
2018-02-23,35.7,34.9,35.4,35.4,16.614,338800.0
2018-02-26,35.7,34.5,35.5,34.7,16.286,700810.0
2018-02-27,34.8,33.5,34.8,33.7,15.816,545720.0
2018-02-28,34.0,33.5,33.7,33.6,15.769,979650.0
2018-03-01,34.9,33.35,33.35,34.6,16.239,796310.0
2018-03-02,34.4,33.7,34.0,34.4,16.145,499220.0
2018-03-05,34.3,32.5,33.8,32.5,15.253,914740.0
2018-03-06,33.5,31.8,33.5,32.5,15.253,891900.0
2018-03-07,32.7,32.1,32.1,32.45,15.23,374860.0
2018-03-08,33.3,32.45,32.45,33.0,15.488,356760.0
2018-03-09,33.5,32.6,33.0,32.6,15.3,295400.0
2018-03-12,33.0,32.0,32.8,32.0,15.019,263850.0
2018-03-13,32.0,31.1,32.0,31.4,14.737,446200.0
2018-03-14,32.5,31.45,31.45,32.4,15.206,490680.0
2018-03-15,32.45,31.9,32.4,32.0,15.019,180080.0
2018-03-16,31.9,31.3,31.6,31.4,14.737,298960.0
2018-03-19,31.7,30.8,31.25,30.85,14.479,454400.0
2018-03-20,31.8,30.8,30.85,31.0,14.549,322320.0
2018-03-21,31.4,30.7,31.4,31.0,14.549,139980.0
2018-03-22,31.35,30.7,31.3,30.9,14.503,100870.0
2018-03-23,30.1,29.55,29.85,30.1,14.126,362130.0
2018-03-26,30.1,29.2,30.1,29.3,13.752,187150.0
2018-03-27,29.8,28.9,29.1,28.9,13.563,253030.0
2018-03-28,28.9,28.0,28.55,28.9,13.563,383380.0
2018-03-29,29.85,28.65,28.9,29.65,13.916,338090.0
2018-03-30,31.7,29.7,30.0,31.7,14.878,696030.0
2018-04-02,32.8,31.85,32.5,32.65,15.324,943510.0
2018-04-03,32.65,31.7,32.65,32.1,15.066,410230.0
2018-04-04,32.0,30.8,32.0,30.8,14.455,424130.0
2018-04-05,30.7,29.7,30.45,29.75,13.962,365740.0
2018-04-06,31.0,29.2,29.2,30.1,14.126,256090.0
2018-04-09,29.9,28.4,29.5,28.5,13.376,728070.0
2018-04-10,28.8,27.9,28.8,27.95,13.118,521200.0
2018-04-11,28.1,27.3,28.1,27.3,12.812,318890.0
2018-04-12,27.95,26.4,27.2,27.15,12.743,192410.0
2018-04-13,27.8,26.5,27.5,26.65,12.508,214160.0
2018-04-16,26.5,24.8,26.4,25.2,11.827,947480.0
2018-04-17,25.6,25.0,25.0,25.6,12.015,343570.0
2018-04-18,25.6,24.5,25.6,24.5,11.498,275980.0
2018-04-19,24.4,23.2,24.2,23.4,10.982,568230.0
2018-04-20,24.9,23.15,23.15,24.55,11.522,413550.0
2018-04-23,24.85,23.1,24.5,23.1,10.841,179340.0
2018-04-24,23.15,22.4,23.1,22.7,10.654,440540.0
2018-04-26,23.0,21.7,22.7,21.7,10.185,309970.0
2018-04-27,23.0,21.2,21.7,23.0,10.795,472070.0
2018-05-02,23.0,21.4,23.0,21.4,10.044,256070.0
2018-05-03,21.4,19.95,21.4,20.6,9.669,311480.0
2018-05-04,20.6,19.8,20.6,20.2,9.481,248350.0
2018-05-07,20.2,20.0,20.2,20.2,9.481,309320.0
2018-05-08,21.4,20.2,20.4,21.3,9.997,344810.0
2018-05-09,22.75,20.6,21.3,22.7,10.654,916200.0
2018-05-10,22.9,22.0,22.9,22.4,10.513,397540.0
2018-05-11,22.4,21.5,22.0,22.0,10.326,282260.0
2018-05-14,22.25,21.4,22.0,21.7,10.185,341440.0
2018-05-15,21.75,21.45,21.7,21.6,10.137,325540.0
2018-05-16,22.2,21.35,21.4,22.0,10.326,216520.0
2018-05-17,23.0,22.0,22.0,22.1,10.372,250890.0
2018-05-18,22.5,21.3,22.5,21.3,9.997,158560.0
2018-05-21,21.9,21.2,21.9,21.2,9.95,239510.0
2018-05-22,22.4,21.0,21.4,21.35,10.02,536200.0
2018-05-23,21.5,21.2,21.3,21.35,10.02,207130.0
2018-05-24,21.6,21.2,21.6,21.35,10.02,100100.0
2018-05-25,21.3,20.3,21.3,20.3,9.527,188520.0
2018-05-28,20.5,18.9,20.5,18.9,8.87,516760.0
2018-05-29,20.0,19.0,19.6,19.75,9.269,181210.0
2018-05-30,19.9,19.5,19.9,19.9,9.341,129820.0
2018-05-31,20.6,19.9,19.9,20.4,9.574,167800.0
2018-06-01,21.0,20.5,20.55,20.8,9.762,245920.0
2018-06-04,22.25,21.2,21.4,22.25,10.443,390340.0
2018-06-05,23.8,23.6,23.8,23.8,11.17,1220600.0
2018-06-06,25.3,24.3,24.5,24.9,11.686,870140.0
2018-06-07,25.15,24.5,25.0,24.8,11.64,373960.0
2018-06-08,24.65,23.6,24.4,24.55,11.522,845790.0
2018-06-11,18.75,18.0,18.75,18.0,11.827,920110.0
2018-06-12,18.4,16.8,18.3,18.2,11.959,378200.0
2018-06-13,18.15,17.5,18.0,18.0,11.827,188470.0
2018-06-14,18.1,17.45,17.6,17.9,11.762,327190.0
2018-06-15,17.8,17.45,17.8,17.5,11.498,139540.0
2018-06-18,17.95,16.7,17.5,16.7,10.973,314810.0
2018-06-19,16.4,15.85,16.3,15.9,10.447,407460.0
2018-06-20,17.0,15.85,15.9,17.0,11.17,154730.0
2018-06-21,17.5,16.65,17.5,16.95,11.137,66670.0
2018-06-22,17.0,16.6,16.65,17.0,11.17,62310.0
2018-06-25,17.4,16.5,17.4,16.8,11.038,104900.0
2018-06-26,16.8,16.45,16.5,16.6,10.907,47030.0
2018-06-27,16.95,16.3,16.5,16.3,10.71,68740.0
2018-06-28,16.45,15.9,16.25,16.0,10.513,219290.0
2018-06-29,16.3,15.6,16.05,15.6,10.25,182090.0
2018-07-02,15.8,14.65,15.8,15.05,9.888,174650.0
2018-07-03,15.15,14.3,14.75,14.3,9.396,84730.0
2018-07-04,14.9,14.2,14.9,14.4,9.461,69140.0
2018-07-05,14.45,13.4,14.0,13.4,8.805,86430.0
2018-07-06,13.95,13.4,13.85,13.8,9.067,87150.0
2018-07-09,14.15,13.8,14.0,13.9,9.133,138200.0
2018-07-10,14.05,13.7,14.05,13.7,9.002,42390.0
2018-07-11,13.9,13.1,13.7,13.15,8.641,177760.0
2018-07-12,13.4,13.1,13.2,13.25,8.706,113860.0
