Date,High,Low,Open,Close,Adj Close,Volume
2018-06-15,13.7,13.7,13.7,13.7,10.541,0.0
2018-06-18,13.7,13.7,13.7,13.7,10.541,0.0
2018-06-19,13.7,13.7,13.7,13.7,10.541,0.0
2018-06-20,13.7,13.7,13.7,13.7,10.541,0.0
2018-06-21,19.1,19.1,19.1,19.1,14.695,500.0
2018-06-22,21.9,21.9,21.9,21.9,16.85,400.0
2018-06-25,21.9,21.9,21.9,21.9,16.85,0.0
2018-06-26,25.1,25.1,25.1,25.1,19.312,100.0
2018-06-27,21.4,21.4,21.4,21.4,16.465,200.0
2018-06-28,18.2,18.2,18.2,18.2,14.003,100.0
2018-06-29,18.2,18.2,18.2,18.2,14.003,0.0
2018-07-02,20.8,15.5,20.8,15.5,11.926,400.0
2018-07-03,14.3,14.3,14.3,14.3,11.002,100.0
2018-07-04,12.2,12.2,12.2,12.2,9.387,100.0
2018-07-05,10.4,10.4,10.4,10.4,8.002,200.0
2018-07-06,8.9,8.9,8.9,8.9,6.848,600.0
2018-07-09,10.2,7.6,7.6,10.2,7.848,300.0
2018-07-10,10.6,10.6,10.6,10.6,8.156,100.0
2018-07-11,9.1,9.1,9.1,9.1,7.001,10000.0
2018-07-12,10.4,7.8,7.8,9.5,7.309,1300.0
2018-07-13,10.6,8.2,10.6,8.2,6.309,9800.0
2018-07-16,8.3,8.3,8.3,8.3,6.386,0.0
2018-07-17,8.3,8.3,8.3,8.3,6.386,0.0
2018-07-18,8.3,8.3,8.3,8.3,6.386,0.0
2018-07-19,7.5,7.5,7.5,7.5,5.77,100.0
2018-07-20,7.5,7.5,7.5,7.5,5.77,0.0
2018-07-23,7.5,7.5,7.5,7.5,5.77,0.0
2018-07-24,8.6,8.6,8.6,8.6,6.617,100.0
2018-07-25,8.6,8.6,8.6,8.6,6.617,0.0
2018-07-26,8.6,8.6,8.6,8.6,6.617,0.0
2018-07-27,8.6,8.6,8.6,8.6,6.617,0.0
2018-07-30,8.6,8.6,8.6,8.6,6.617,0.0
2018-07-31,7.6,7.6,7.6,7.6,5.847,200.0
2018-08-01,7.6,7.6,7.6,7.6,5.847,0.0
2018-08-02,7.6,7.6,7.6,7.6,5.847,0.0
2018-08-03,7.6,7.6,7.6,7.6,5.847,0.0
2018-08-06,7.6,7.6,7.6,7.6,5.847,0.0
2018-08-07,8.7,8.7,8.7,8.7,6.694,500.0
2018-08-08,10.0,7.4,8.7,10.0,7.694,5300.0
2018-08-09,8.9,8.9,8.9,8.9,6.848,100.0
2018-08-10,8.9,8.9,8.9,8.9,6.848,0.0
2018-08-13,10.2,7.6,7.6,10.2,7.848,400.0
2018-08-14,7.6,7.6,7.6,7.6,5.847,500.0
2018-08-15,8.7,6.5,6.5,8.7,6.694,600.0
2018-08-16,6.2,6.2,6.2,6.2,4.77,200.0
2018-08-17,6.2,6.2,6.2,6.2,4.77,0.0
2018-08-20,7.1,7.1,7.1,7.1,5.463,100.0
2018-08-21,8.1,8.1,8.1,8.1,6.232,100.0
2018-08-22,9.3,9.3,9.3,9.3,7.155,100.0
2018-08-23,10.6,10.6,10.6,10.6,8.156,900.0
2018-08-24,12.1,9.1,9.1,12.1,9.31,1200.0
2018-08-27,13.6,10.2,10.2,13.6,10.464,2300.0
2018-08-28,13.1,10.1,13.1,13.1,10.079,4500.0
2018-08-29,13.5,10.6,13.5,13.5,10.387,8100.0
2018-08-30,13.4,13.4,13.4,13.4,10.31,300.0
2018-08-31,15.4,11.4,11.4,15.4,11.849,5200.0
2018-09-04,14.0,10.7,10.7,14.0,10.771,2700.0
2018-09-05,11.9,11.9,11.9,11.9,9.156,0.0
2018-09-06,11.9,11.9,11.9,11.9,9.156,0.0
2018-09-07,10.7,10.7,10.7,10.7,8.232,1000.0
2018-09-10,10.7,10.7,10.7,10.7,8.232,0.0
2018-09-11,10.7,10.7,10.7,10.7,8.232,0.0
2018-09-12,10.7,10.7,10.7,10.7,8.232,0.0
2018-09-13,9.2,9.2,9.2,9.2,7.078,100.0
2018-09-14,8.0,8.0,8.0,8.0,6.155,100.0
