Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-03,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-04,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-05,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-08,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-09,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-10,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-11,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-12,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-15,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-16,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-17,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-18,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-19,19.5,19.5,19.5,19.5,18.326,700.0
2018-01-22,19.5,19.5,19.5,19.5,18.326,0.0
2018-01-23,17.0,17.0,17.0,17.0,15.976,600.0
2018-01-24,17.0,17.0,17.0,17.0,15.976,0.0
2018-01-25,19.0,19.0,19.0,19.0,17.856,900.0
2018-01-26,19.0,19.0,19.0,19.0,17.856,0.0
2018-01-29,19.0,19.0,19.0,19.0,17.856,10.0
2018-01-30,19.0,19.0,19.0,19.0,17.856,0.0
2018-01-31,19.0,19.0,19.0,19.0,17.856,400.0
2018-02-01,19.0,19.0,19.0,19.0,17.856,0.0
2018-02-02,20.0,20.0,20.0,20.0,18.796,600.0
2018-02-05,19.0,19.0,19.0,19.0,17.856,1600.0
2018-02-06,20.0,20.0,20.0,20.0,18.796,1000.0
2018-02-07,20.0,20.0,20.0,20.0,18.796,90.0
2018-02-08,20.0,20.0,20.0,20.0,18.796,0.0
2018-02-09,20.0,20.0,20.0,20.0,18.796,300.0
2018-02-12,20.0,20.0,20.0,20.0,18.796,100.0
2018-02-13,20.0,20.0,20.0,20.0,18.796,0.0
2018-02-21,20.0,20.0,20.0,20.0,18.796,0.0
