Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.9,9.8,9.8,9.9,9.9,212300.0
2018-01-03,10.0,9.7,9.8,9.9,9.9,221210.0
2018-01-04,9.9,9.8,9.8,9.9,9.9,141000.0
2018-01-05,10.0,9.8,9.8,9.9,9.9,120000.0
2018-01-08,9.9,9.8,9.8,9.9,9.9,179900.0
2018-01-09,9.9,9.7,9.9,9.9,9.9,130929.0
2018-01-10,9.9,9.8,9.8,9.9,9.9,120000.0
2018-01-11,9.9,9.8,9.8,9.9,9.9,44300.0
2018-01-12,9.9,9.8,9.8,9.9,9.9,50500.0
2018-01-15,9.9,9.7,9.8,9.9,9.9,128210.0
2018-01-16,9.9,9.8,9.8,9.9,9.9,130400.0
2018-01-17,9.9,9.8,9.8,9.8,9.8,42900.0
2018-01-18,9.8,9.7,9.8,9.8,9.8,124500.0
2018-01-19,9.9,9.7,9.8,9.7,9.7,134200.0
2018-01-22,9.8,9.6,9.7,9.7,9.7,133000.0
2018-01-23,9.7,9.0,9.7,9.7,9.7,200500.0
2018-01-24,9.7,9.6,9.7,9.7,9.7,112600.0
2018-01-25,9.7,9.0,9.7,9.7,9.7,95600.0
2018-01-26,9.7,9.6,9.6,9.7,9.7,101600.0
2018-01-29,9.7,9.0,9.7,9.5,9.5,95100.0
2018-01-30,9.5,9.0,9.4,9.5,9.5,26500.0
2018-01-31,9.5,8.8,9.4,9.4,9.4,31700.0
2018-02-01,10.3,9.1,9.3,10.3,10.3,233100.0
2018-02-02,10.3,9.4,10.3,9.4,9.4,156700.0
2018-02-05,10.1,9.0,9.4,10.1,10.1,155400.0
2018-02-06,10.2,9.1,10.1,10.2,10.2,127100.0
2018-02-07,10.0,9.3,10.0,9.4,9.4,160500.0
2018-02-08,9.8,8.9,9.4,9.7,9.7,194900.0
2018-02-09,9.6,8.8,9.6,9.5,9.5,126100.0
2018-02-12,9.9,9.5,9.5,9.9,9.9,61800.0
2018-02-13,10.0,9.5,9.9,9.5,9.5,60200.0
2018-02-21,9.9,8.8,9.5,9.9,9.9,70400.0
2018-02-22,9.7,9.3,9.7,9.5,9.5,72700.0
2018-02-23,9.6,9.5,9.5,9.5,9.5,70200.0
2018-02-26,9.6,9.0,9.5,9.3,9.3,73000.0
2018-02-27,9.4,9.3,9.3,9.3,9.3,60900.0
2018-02-28,9.4,9.2,9.3,9.4,9.4,60700.0
2018-03-01,9.3,9.2,9.3,9.3,9.3,61500.0
2018-03-02,9.3,9.3,9.3,9.3,9.3,3100.0
2018-03-05,9.3,9.2,9.2,9.3,9.3,400.0
2018-03-06,9.2,9.0,9.2,9.2,9.2,192200.0
2018-03-07,9.5,9.0,9.2,9.4,9.4,257400.0
2018-03-08,9.4,9.1,9.2,9.4,9.4,259100.0
2018-03-09,9.4,9.1,9.2,9.4,9.4,117500.0
2018-03-12,9.4,9.2,9.4,9.4,9.4,353900.0
2018-03-13,9.4,9.2,9.3,9.4,9.4,375900.0
2018-03-14,9.9,9.3,9.4,9.5,9.5,384700.0
2018-03-15,10.4,9.4,9.4,10.4,10.4,350900.0
2018-03-16,11.4,10.6,10.6,11.4,11.4,413300.0
2018-03-19,12.5,11.3,12.5,11.3,11.3,508610.0
2018-03-20,11.9,11.0,11.0,11.6,11.6,310600.0
2018-03-21,11.6,11.0,11.6,11.5,11.5,251500.0
2018-03-22,11.5,10.4,11.5,10.4,10.4,51200.0
2018-03-23,10.3,9.7,10.0,10.2,10.2,266200.0
2018-03-26,10.4,9.7,9.8,10.4,10.4,288600.0
2018-03-27,10.4,9.7,10.4,10.4,10.4,282500.0
2018-03-28,10.6,9.7,9.7,10.6,10.6,280100.0
2018-03-29,10.6,9.8,10.0,10.5,10.5,275310.0
2018-03-30,10.5,9.7,9.8,10.5,10.5,273100.0
2018-04-02,10.6,9.9,9.9,10.6,10.6,335700.0
2018-04-03,10.7,9.8,10.2,10.6,10.6,270300.0
2018-04-04,10.7,9.9,10.5,10.6,10.6,283900.0
2018-04-05,10.8,10.1,10.6,10.7,10.7,321739.0
2018-04-06,11.3,10.3,10.7,11.0,11.0,279400.0
2018-04-09,11.2,10.2,11.2,11.0,11.0,608900.0
2018-04-10,11.3,10.4,10.5,11.3,11.3,374200.0
2018-04-11,11.3,10.7,11.3,11.1,11.1,524619.0
2018-04-12,11.3,10.8,11.0,11.1,11.1,621000.0
2018-04-13,11.3,10.3,10.4,11.0,11.0,519300.0
2018-04-16,11.2,10.2,10.2,11.2,11.2,282800.0
2018-04-17,11.4,10.6,10.9,11.4,11.4,572700.0
2018-04-18,12.5,11.3,11.3,12.5,12.5,562510.0
2018-04-19,12.7,11.8,12.6,12.3,12.3,394100.0
2018-04-20,12.3,11.8,12.0,12.3,12.3,552900.0
2018-04-23,12.3,11.7,12.0,12.2,12.2,616900.0
2018-04-24,12.2,11.6,12.2,12.2,12.2,571500.0
2018-04-26,12.4,11.3,12.0,12.1,12.1,1012700.0
2018-04-27,12.8,11.6,12.1,12.1,12.1,990400.0
2018-05-02,12.3,11.3,11.8,12.3,12.3,944200.0
2018-05-03,13.0,11.4,12.2,12.4,12.4,1000700.0
2018-05-04,12.2,11.7,12.2,12.0,12.0,988600.0
2018-05-07,12.5,11.9,12.0,12.5,12.5,1025200.0
2018-05-08,13.4,11.9,12.6,12.3,12.3,1025200.0
2018-05-09,12.3,11.8,12.3,11.8,11.8,1076600.0
2018-05-10,11.9,11.0,11.7,11.9,11.9,1034800.0
2018-05-11,12.1,11.5,11.8,12.1,12.1,961960.0
2018-05-14,12.4,11.1,12.3,12.1,12.1,1076000.0
2018-05-15,12.1,11.8,12.1,12.0,12.0,984400.0
2018-05-16,12.0,11.5,11.8,11.9,11.9,952800.0
2018-05-17,11.9,11.1,11.9,11.7,11.7,1027310.0
2018-05-18,11.6,11.2,11.6,11.2,11.2,1081500.0
2018-05-21,11.5,10.4,10.4,11.5,11.5,1044200.0
2018-05-22,11.1,10.5,11.1,10.5,10.5,1197900.0
2018-05-23,11.1,9.8,10.5,11.1,11.1,1247712.0
2018-05-24,11.2,10.5,11.0,11.1,11.1,1206200.0
2018-05-25,11.5,10.7,11.1,11.5,11.5,1152900.0
2018-05-28,11.6,10.7,11.6,10.9,10.9,1194408.0
