Date,High,Low,Open,Close,Adj Close,Volume
2019-07-22,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-23,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-24,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-25,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-26,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-29,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-30,14.7,14.7,14.7,14.7,5.131,0.0
2019-07-31,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-01,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-02,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-05,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-06,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-07,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-08,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-09,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-12,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-13,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-14,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-15,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-16,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-19,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-20,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-21,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-22,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-23,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-26,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-27,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-28,14.7,14.7,14.7,14.7,5.131,0.0
2019-08-29,9.0,9.0,9.0,9.0,3.141,4100.0
2019-08-30,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-03,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-04,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-05,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-06,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-09,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-10,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-11,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-12,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-13,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-16,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-17,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-18,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-19,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-20,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-23,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-24,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-25,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-26,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-27,9.0,9.0,9.0,9.0,3.141,0.0
2019-09-30,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-01,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-02,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-03,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-04,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-07,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-08,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-09,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-10,9.0,9.0,9.0,9.0,3.141,0.0
2019-10-11,9.0,9.0,9.0,9.0,3.141,0.0
