Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,34.2,33.3,33.9,34.2,17.942,287820.0
2018-01-03,35.0,34.2,34.2,34.95,18.335,278380.0
2018-01-04,35.0,33.7,33.7,34.7,18.204,156840.0
2018-01-05,35.0,34.0,35.0,34.1,17.889,238420.0
2018-01-08,34.0,33.1,33.8,34.0,17.837,122220.0
2018-01-09,34.1,33.6,33.6,34.0,17.837,158460.0
2018-01-10,34.7,34.2,34.3,34.6,18.151,282100.0
2018-01-11,34.9,34.3,34.6,34.9,18.309,189410.0
2018-01-12,36.45,34.95,34.95,36.2,18.991,859620.0
2018-01-15,36.7,36.0,36.5,36.55,19.174,1472590.0
2018-01-16,36.55,35.8,36.55,36.2,18.991,166570.0
2018-01-17,36.2,34.9,36.2,35.6,18.676,822660.0
2018-01-18,35.8,34.85,35.6,35.8,18.781,300280.0
2018-01-19,36.2,35.3,35.8,35.8,18.781,324960.0
2018-01-22,35.8,34.1,35.8,34.95,18.335,138890.0
2018-01-25,34.8,32.8,34.55,32.8,17.207,504340.0
2018-01-26,35.0,32.3,32.3,34.5,18.099,140810.0
2018-01-29,35.2,32.5,33.6,32.5,17.05,383020.0
2018-01-30,34.0,32.5,32.5,34.0,17.837,241160.0
2018-01-31,33.8,33.0,33.0,33.1,17.364,193630.0
2018-02-01,33.55,33.0,33.0,33.0,17.312,339560.0
2018-02-02,33.7,33.1,33.5,33.45,17.548,242400.0
2018-02-05,33.6,32.9,33.45,33.3,17.469,292720.0
2018-02-06,33.3,31.1,33.3,33.0,17.312,222270.0
2018-02-07,33.5,32.85,33.5,33.0,17.312,144820.0
2018-02-08,33.45,31.7,32.9,32.0,16.787,153730.0
2018-02-09,32.0,30.0,31.1,31.0,16.263,263780.0
2018-02-12,32.5,31.0,31.0,31.0,16.263,206140.0
2018-02-13,32.5,31.0,31.9,32.0,16.787,111540.0
2018-02-21,32.2,31.7,32.2,31.8,16.683,105190.0
2018-02-22,33.9,31.05,31.05,33.0,17.312,402440.0
2018-02-23,34.1,33.3,33.3,33.9,17.784,247580.0
2018-02-26,34.9,33.5,34.9,33.5,17.574,182690.0
2018-02-27,33.5,31.8,33.0,32.0,16.787,325190.0
2018-02-28,32.5,31.5,31.5,31.7,16.63,184180.0
2018-03-01,32.0,31.1,31.6,31.5,16.525,390670.0
2018-03-02,32.0,31.1,32.0,31.5,16.525,149850.0
2018-03-05,31.9,31.0,31.9,31.5,16.525,194840.0
2018-03-06,31.65,30.5,31.65,31.0,16.263,196910.0
2018-03-07,31.5,30.9,30.9,31.1,16.315,289340.0
2018-03-08,31.6,30.3,31.6,30.3,15.896,551380.0
2018-03-09,30.3,29.6,30.3,29.6,15.528,582400.0
2018-03-12,29.7,29.15,29.6,29.3,15.371,669800.0
2018-03-13,31.0,29.2,29.3,31.0,16.263,138520.0
