Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,93.7,91.5,93.7,92.3,37.802,39109.0
2018-01-03,92.2,91.0,91.2,92.2,37.761,70985.0
2018-01-04,92.0,91.0,91.0,91.9,37.638,16996.0
2018-01-05,92.0,91.1,92.0,91.5,37.474,30310.0
2018-01-08,91.8,89.0,91.5,91.5,37.474,123410.0
2018-01-09,93.9,91.2,91.5,93.0,38.088,130200.0
2018-01-10,93.8,91.6,93.0,92.0,37.679,44900.0
2018-01-11,92.5,89.0,92.5,89.5,36.655,49201.0
2018-01-12,89.8,86.3,88.2,87.4,35.795,81000.0
2018-01-15,88.2,86.5,87.0,87.2,35.713,32500.0
2018-01-16,95.0,89.0,90.0,90.4,37.023,36510.0
2018-01-17,90.0,89.0,90.0,89.0,36.45,33400.0
2018-01-18,89.6,85.7,89.5,88.6,36.286,15100.0
2018-01-19,91.0,88.0,90.9,90.0,36.86,104240.0
2018-01-22,91.4,88.5,91.4,88.5,36.245,35922.0
2018-01-23,88.9,85.3,88.9,86.6,35.467,61800.0
2018-01-24,89.9,85.3,89.9,85.3,34.935,74379.0
2018-01-25,86.5,82.0,86.5,83.0,33.993,150000.0
2018-01-26,83.8,82.7,83.0,83.0,33.993,97000.0
2018-01-29,92.9,83.0,92.9,84.5,34.607,24000.0
2018-01-30,84.7,83.0,83.5,83.6,34.238,57100.0
2018-01-31,87.5,83.0,83.0,87.5,35.836,38230.0
2018-02-01,87.0,84.5,87.0,86.9,35.59,18000.0
2018-02-02,87.1,83.5,87.1,85.0,34.812,37700.0
2018-02-05,87.5,81.9,87.5,81.9,33.542,119250.0
2018-02-06,80.0,74.0,80.0,79.2,32.436,57900.0
2018-02-07,82.0,78.5,82.0,81.9,33.542,19300.0
2018-02-08,84.5,81.0,81.0,81.0,33.174,17100.0
2018-02-09,81.9,78.0,78.0,81.9,33.542,9000.0
2018-02-12,83.7,81.8,81.8,81.8,33.501,3100.0
2018-02-13,89.9,83.0,89.9,86.5,35.426,12700.0
2018-02-21,87.5,84.2,87.5,84.2,34.484,15745.0
2018-02-22,86.5,84.0,86.5,84.0,34.402,8100.0
2018-02-23,86.9,84.1,86.9,86.8,35.549,6220.0
