Date,High,Low,Open,Close,Adj Close,Volume
2019-06-19,23.4,23.4,23.4,23.4,15.374,100.0
2019-06-20,25.7,25.7,25.7,25.7,16.885,100.0
2019-06-21,28.2,28.2,28.2,28.2,18.527,100.0
2019-06-24,31.0,31.0,31.0,31.0,20.367,1100.0
2019-06-25,34.1,34.1,34.1,34.1,22.403,1100.0
2019-06-26,37.5,37.5,37.5,37.5,24.637,400.0
2019-06-27,41.2,39.0,41.2,39.0,25.623,4600.0
2019-06-28,42.9,36.9,42.9,36.9,24.243,700.0
2019-07-01,36.0,35.1,36.0,35.1,23.06,2500.0
2019-07-02,34.5,33.0,33.0,34.5,22.666,2200.0
2019-07-03,33.0,32.9,33.0,32.9,21.615,500.0
2019-07-04,33.9,33.0,33.0,33.9,22.272,5727.0
2019-07-05,34.0,33.0,34.0,34.0,22.338,2500.0
2019-07-08,33.2,33.0,33.0,33.2,21.812,1200.0
2019-07-09,32.1,32.0,32.1,32.0,21.024,1100.0
2019-07-10,32.0,31.5,32.0,32.0,21.024,1400.0
2019-07-11,32.0,31.0,32.0,31.0,20.367,5300.0
2019-07-12,30.5,30.0,30.5,30.0,19.71,4500.0
2019-07-15,29.6,28.5,29.6,28.5,18.724,14000.0
2019-07-16,29.5,28.7,29.5,28.7,18.856,2000.0
2019-07-17,29.5,28.6,28.6,29.5,19.381,2700.0
2019-07-18,29.5,29.5,29.5,29.5,19.381,1000.0
2019-07-19,30.5,29.5,29.5,30.5,20.038,2500.0
2019-07-22,31.5,30.1,31.5,30.1,19.775,2700.0
2019-07-23,31.0,30.6,30.7,30.6,20.104,6500.0
2019-07-24,30.0,29.7,30.0,29.7,19.513,20000.0
2019-07-25,30.0,30.0,30.0,30.0,19.71,1000.0
2019-07-26,31.0,30.0,30.0,31.0,20.367,1500.0
2019-07-29,31.1,31.1,31.1,31.1,20.432,500.0
2019-07-30,30.8,30.0,30.0,30.8,20.235,10800.0
2019-07-31,30.5,30.0,30.0,30.5,20.038,4300.0
2019-08-01,30.5,30.0,30.0,30.5,20.038,2200.0
2019-08-02,30.5,30.0,30.5,30.0,19.71,9700.0
2019-08-05,30.0,30.0,30.0,30.0,19.71,4300.0
2019-08-06,30.0,30.0,30.0,30.0,19.71,0.0
2019-08-07,30.5,30.0,30.5,30.0,19.71,8000.0
2019-08-08,29.5,29.5,29.5,29.5,19.381,200.0
2019-08-09,30.5,30.0,30.5,30.0,19.71,3000.0
2019-08-12,30.0,29.6,30.0,30.0,19.71,6000.0
2019-08-13,30.0,29.5,30.0,29.5,19.381,6000.0
2019-08-14,30.0,29.5,29.5,29.7,19.513,9900.0
2019-08-15,29.7,29.7,29.7,29.7,19.513,0.0
2019-08-16,30.5,30.0,30.0,30.5,20.038,19100.0
2019-08-19,30.1,30.0,30.0,30.1,19.775,3500.0
2019-08-20,30.3,30.0,30.0,30.3,19.907,36500.0
2019-08-21,30.2,30.0,30.1,30.2,19.841,10300.0
2019-08-22,30.2,30.1,30.2,30.2,19.841,15000.0
2019-08-23,30.2,29.6,30.2,29.6,19.447,3100.0
2019-08-26,30.2,29.7,29.7,29.8,19.578,6100.0
2019-08-27,30.5,30.0,30.0,30.1,19.775,12500.0
2019-08-28,30.2,30.0,30.1,30.0,19.71,12100.0
2019-08-29,30.1,29.9,30.0,29.9,19.644,26900.0
2019-08-30,30.1,29.9,30.0,29.9,19.644,7000.0
2019-09-03,30.1,30.0,30.1,30.0,19.71,33400.0
2019-09-04,30.5,29.9,30.0,30.0,19.71,3900.0
2019-09-05,31.0,30.0,31.0,30.0,19.71,3200.0
2019-09-06,30.1,29.5,30.0,29.5,19.381,9700.0
2019-09-09,29.9,29.6,29.7,29.6,19.447,4500.0
2019-09-10,30.0,29.8,30.0,30.0,19.71,4600.0
2019-09-11,30.0,30.0,30.0,30.0,19.71,0.0
2019-09-12,30.1,30.1,30.1,30.1,19.775,500.0
2019-09-13,30.1,30.1,30.1,30.1,19.775,0.0
2019-09-16,30.0,29.8,29.8,29.9,19.644,3900.0
2019-09-17,30.0,29.8,30.0,29.8,19.578,5700.0
2019-09-18,29.8,29.8,29.8,29.8,19.578,0.0
2019-09-19,30.0,30.0,30.0,30.0,19.71,47000.0
2019-09-20,30.0,30.0,30.0,30.0,19.71,4200.0
2019-09-23,30.0,27.0,30.0,27.0,17.739,9200.0
2019-09-24,29.7,29.7,29.7,29.7,19.513,3200.0
2019-09-25,30.1,30.0,30.0,30.0,19.71,4900.0
2019-09-26,30.0,27.0,30.0,27.0,17.739,6600.0
2019-09-27,29.7,28.0,29.7,28.0,18.396,1500.0
2019-09-30,30.5,30.0,30.0,30.0,19.71,57700.0
2019-10-01,30.0,29.0,30.0,30.0,19.71,1500.0
2019-10-02,30.0,30.0,30.0,30.0,19.71,5500.0
2019-10-03,30.0,30.0,30.0,30.0,19.71,6000.0
2019-10-04,30.0,30.0,30.0,30.0,19.71,3000.0
2019-10-07,30.0,30.0,30.0,30.0,19.71,100.0
2019-10-08,30.0,30.0,30.0,30.0,19.71,1500.0
2019-10-09,29.9,29.9,29.9,29.9,19.644,4000.0
2019-10-10,29.8,29.5,29.8,29.7,19.513,8600.0
2019-10-11,29.9,29.5,29.9,29.8,19.578,7200.0
2019-10-14,29.9,29.5,29.6,29.9,19.644,4900.0
2019-10-15,29.8,29.5,29.7,29.5,19.381,4100.0
