Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,18.9,18.7,18.9,18.7,12.309,1021.0
2018-01-03,18.8,18.8,18.8,18.8,12.374,0.0
2018-01-04,18.8,18.8,18.8,18.8,12.374,32.0
2018-01-05,18.9,18.9,18.9,18.9,12.44,1220.0
2018-01-08,18.9,18.5,18.5,18.9,12.44,600.0
2018-01-09,21.0,20.9,20.9,21.0,13.822,3000.0
2018-01-10,21.0,21.0,21.0,21.0,13.822,1100.0
2018-01-11,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-12,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-15,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-16,20.0,20.0,20.0,20.0,13.164,300.0
2018-01-17,21.0,21.0,21.0,21.0,13.822,100.0
2018-01-18,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-19,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-22,21.0,21.0,21.0,21.0,13.822,0.0
2018-01-23,20.0,19.9,20.0,19.9,13.098,700.0
2018-01-24,20.0,20.0,20.0,20.0,13.164,10.0
2018-01-25,20.0,20.0,20.0,20.0,13.164,0.0
2018-01-26,21.0,20.5,21.0,20.5,13.493,1100.0
2018-01-29,21.0,20.5,21.0,20.5,13.493,2800.0
2018-01-30,20.6,20.6,20.6,20.6,13.559,0.0
2018-01-31,21.0,21.0,21.0,21.0,13.822,1000.0
2018-02-01,21.0,20.6,21.0,20.6,13.559,2200.0
2018-02-02,20.9,20.9,20.9,20.9,13.757,0.0
2018-02-05,20.9,20.9,20.9,20.9,13.757,50.0
2018-02-06,20.9,20.5,20.5,20.9,13.757,1100.0
2018-02-07,23.4,23.4,23.4,23.4,15.402,100.0
2018-02-08,24.0,19.9,19.9,24.0,15.797,250.0
2018-02-09,20.5,20.3,20.5,20.5,13.493,5900.0
2018-02-12,20.3,20.3,20.3,20.3,13.362,3700.0
2018-02-13,20.3,20.3,20.3,20.3,13.362,800.0
2018-02-21,20.5,20.5,20.5,20.5,13.493,1400.0
2018-02-22,20.5,20.5,20.5,20.5,13.493,2611.0
2018-02-23,21.0,19.0,19.0,21.0,13.822,300.0
2018-02-26,20.3,20.3,20.3,20.3,13.362,0.0
2018-02-27,20.3,20.3,20.3,20.3,13.362,0.0
2018-02-28,20.3,20.3,20.3,20.3,13.362,0.0
2018-03-01,20.3,20.3,20.3,20.3,13.362,10.0
2018-03-02,20.3,20.3,20.3,20.3,13.362,9.0
2018-03-05,20.3,20.3,20.3,20.3,13.362,0.0
2018-03-06,20.2,20.0,20.0,20.0,13.164,2400.0
2018-03-07,20.0,20.0,20.0,20.0,13.164,400.0
2018-03-08,20.2,20.2,20.2,20.2,13.296,106.0
2018-03-09,22.0,20.2,20.2,22.0,14.481,5200.0
2018-03-12,24.1,22.0,22.0,24.1,15.863,15190.0
2018-03-13,25.4,24.0,24.9,24.0,15.797,1500.0
2018-03-14,28.0,27.0,27.0,27.5,18.101,21100.0
2018-03-15,31.4,28.0,28.0,31.4,20.668,4034.0
2018-03-16,28.0,26.2,28.0,26.3,17.311,18912.0
2018-03-19,26.5,26.5,26.5,26.5,17.443,3500.0
2018-03-20,26.5,26.5,26.5,26.5,17.443,15000.0
2018-03-21,25.5,25.5,25.5,25.5,16.784,200.0
2018-03-22,26.5,26.5,26.5,26.5,17.443,100.0
2018-03-23,26.5,24.5,26.5,24.5,16.126,17000.0
2018-03-26,26.4,26.4,26.4,26.4,17.377,138.0
2018-03-27,27.2,27.2,27.2,27.2,17.903,100.0
2018-03-28,26.9,26.9,26.9,26.9,17.706,100.0
2018-03-29,26.9,26.9,26.9,26.9,17.706,0.0
2018-03-30,25.0,25.0,25.0,25.0,16.455,100.0
2018-04-02,25.0,25.0,25.0,25.0,16.455,0.0
2018-04-03,23.9,21.5,23.9,21.5,14.152,5200.0
2018-04-04,23.0,23.0,23.0,23.0,15.139,0.0
2018-04-05,21.5,21.0,21.5,21.0,13.822,3400.0
2018-04-06,24.6,24.3,24.3,24.6,16.192,1700.0
2018-04-09,24.5,24.5,24.5,24.5,16.126,8000.0
2018-04-10,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-11,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-12,24.5,24.5,24.5,24.5,16.126,2100.0
2018-04-13,24.5,24.5,24.5,24.5,16.126,60.0
2018-04-16,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-17,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-18,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-19,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-20,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-23,24.5,24.5,24.5,24.5,16.126,0.0
2018-04-24,24.5,24.5,24.5,24.5,16.126,18.0
2018-04-26,26.0,26.0,26.0,26.0,17.113,1000.0
2018-04-27,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-02,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-03,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-04,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-07,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-08,26.0,26.0,26.0,26.0,17.113,1.0
2018-05-09,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-10,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-11,26.0,26.0,26.0,26.0,17.113,0.0
2018-05-14,26.0,26.0,26.0,26.0,17.113,16.0
2018-05-15,26.8,26.8,26.8,26.8,17.64,170.0
2018-05-16,26.8,26.8,26.8,26.8,17.64,0.0
