Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.45,3.35,3.45,3.43,3.43,122130.0
2018-01-03,3.43,3.23,3.43,3.3,3.3,330310.0
2018-01-04,3.53,3.21,3.3,3.3,3.3,2034320.0
2018-01-05,3.53,3.53,3.53,3.53,3.53,536280.0
2018-01-08,3.77,3.75,3.77,3.77,3.77,626910.0
2018-01-09,4.03,4.0,4.03,4.03,4.03,1184700.0
2018-01-10,4.31,4.03,4.3,4.03,4.03,3416130.0
2018-01-11,4.31,4.0,4.03,4.3,4.3,1500220.0
2018-01-12,4.6,4.0,4.48,4.31,4.31,1963900.0
2018-01-15,4.4,4.11,4.3,4.2,4.2,526240.0
2018-01-16,4.2,3.94,4.0,3.94,3.94,710550.0
2018-01-17,4.15,3.94,3.94,4.05,4.05,213860.0
2018-01-18,4.2,4.01,4.05,4.16,4.16,246100.0
2018-01-19,4.27,4.06,4.25,4.06,4.06,373370.0
2018-01-22,4.34,4.12,4.3,4.3,4.3,745100.0
2018-01-25,4.6,4.32,4.32,4.5,4.5,2004780.0
2018-01-26,4.79,4.4,4.79,4.4,4.4,1259320.0
2018-01-29,4.61,4.1,4.6,4.1,4.1,277580.0
2018-01-30,4.25,4.03,4.2,4.03,4.03,109080.0
2018-01-31,4.3,3.85,4.0,3.86,3.86,5348250.0
2018-02-01,4.09,3.8,4.09,3.81,3.81,1110510.0
2018-02-02,3.97,3.55,3.76,3.55,3.55,935880.0
2018-02-05,3.56,3.31,3.31,3.31,3.31,442210.0
2018-02-06,3.21,3.08,3.08,3.08,3.08,1549890.0
2018-02-07,3.29,3.0,3.07,3.03,3.03,112020.0
2018-02-08,3.17,2.98,3.0,3.17,3.17,83050.0
2018-02-09,3.39,3.02,3.23,3.39,3.39,132310.0
2018-02-12,3.5,3.22,3.39,3.5,3.5,52020.0
2018-02-13,3.74,3.4,3.5,3.74,3.74,56200.0
2018-02-21,4.0,3.74,3.74,4.0,4.0,734550.0
2018-02-22,4.28,3.8,4.0,3.8,3.8,2089640.0
2018-02-23,4.06,3.82,4.04,3.82,3.82,200960.0
2018-02-26,4.08,3.86,4.05,4.08,4.08,458230.0
2018-02-27,4.36,4.3,4.3,4.36,4.36,565240.0
2018-02-28,4.66,4.13,4.63,4.13,4.13,956370.0
2018-03-01,4.41,4.13,4.15,4.41,4.41,685300.0
2018-03-02,4.71,4.65,4.71,4.71,4.71,1098410.0
2018-03-05,5.03,5.03,5.03,5.03,5.03,1259750.0
2018-03-06,5.1,4.75,5.0,4.85,4.85,627390.0
2018-03-07,5.17,4.71,4.85,4.72,4.72,390810.0
2018-03-08,4.9,4.5,4.9,4.53,4.53,188170.0
2018-03-09,4.83,4.3,4.83,4.35,4.35,282400.0
