Date,High,Low,Open,Close,Adj Close,Volume
2021-01-28,20.9,18.35,18.35,18.35,9.787,7273800.0
2021-01-29,19.6,18.6,19.6,19.6,10.454,6203000.0
2021-02-01,20.8,19.6,20.8,19.7,10.507,6397000.0
2021-02-02,20.35,19.6,20.0,20.35,10.854,4126000.0
2021-02-03,21.4,20.4,20.6,21.4,11.414,5828400.0
2021-02-04,21.5,20.85,21.5,21.0,11.201,4028300.0
2021-02-05,21.4,20.85,21.1,20.85,11.121,3432700.0
2021-02-08,21.0,19.7,21.0,20.0,10.667,3452100.0
2021-02-09,20.9,19.9,20.05,20.9,11.147,2879100.0
2021-02-17,21.45,21.0,21.4,21.1,11.254,2533500.0
2021-02-18,21.25,21.0,21.2,21.0,11.201,2655700.0
2021-02-19,21.25,20.85,21.0,21.05,11.227,2430800.0
2021-02-22,21.8,21.1,21.1,21.35,11.387,5151400.0
2021-02-23,21.55,21.25,21.4,21.45,11.441,2263100.0
2021-02-24,21.5,20.7,21.45,20.9,11.147,3060000.0
2021-02-25,21.1,20.8,21.0,20.9,11.147,2291600.0
2021-02-26,20.9,20.45,20.45,20.9,11.147,2371800.0
2021-03-01,21.5,20.9,21.05,21.3,11.361,3508600.0
2021-03-02,21.45,21.0,21.45,21.1,11.254,3241400.0
2021-03-03,21.15,20.9,21.15,21.0,11.201,2344300.0
2021-03-04,21.05,20.6,21.0,20.65,11.014,2509400.0
2021-03-05,21.15,20.5,20.5,21.15,11.281,3108500.0
2021-03-08,21.5,21.25,21.4,21.45,11.441,4842400.0
2021-03-09,22.95,21.2,21.45,22.95,12.241,15494500.0
2021-03-10,24.3,23.4,23.5,24.15,12.881,8341400.0
2021-03-11,24.4,23.8,24.15,24.3,12.961,6384900.0
2021-03-12,24.7,23.9,24.1,24.7,13.174,7448700.0
2021-03-15,25.05,24.5,24.9,24.8,13.227,6493900.0
2021-03-16,24.75,24.2,24.75,24.7,13.174,3542700.0
2021-03-17,24.7,24.25,24.65,24.7,13.174,5211500.0
2021-03-18,25.25,24.7,25.0,24.8,13.227,4715700.0
2021-03-19,25.1,24.7,24.85,24.9,13.281,3745800.0
2021-03-22,25.4,24.9,25.0,25.2,13.441,4116600.0
2021-03-23,25.2,24.25,25.0,24.6,13.121,4736400.0
2021-03-24,24.6,23.75,24.2,23.85,12.721,3882000.0
2021-03-25,24.2,23.55,24.2,23.55,12.561,3602200.0
2021-03-26,23.7,22.5,23.5,23.55,12.561,6985600.0
2021-03-29,24.1,23.55,23.55,23.95,12.774,3597100.0
2021-03-30,24.15,23.85,24.05,24.1,12.854,3200900.0
2021-03-31,24.3,24.05,24.2,24.15,12.881,2303700.0
2021-04-01,24.55,24.15,24.15,24.5,13.067,4940400.0
2021-04-02,24.95,24.6,24.6,24.7,13.174,3447300.0
2021-04-05,25.0,24.45,24.9,24.6,13.121,3062000.0
2021-04-06,24.85,24.45,24.5,24.5,13.067,3630600.0
2021-04-07,24.65,24.3,24.5,24.55,13.094,2848300.0
2021-04-08,25.0,24.5,25.0,24.75,13.201,3409600.0
2021-04-09,24.9,24.65,24.8,24.7,13.174,2413600.0
2021-04-12,24.85,24.55,24.7,24.75,13.201,4041300.0
2021-04-13,25.8,24.85,24.85,25.05,13.361,9139600.0
2021-04-14,25.45,25.0,25.05,25.35,13.521,3874400.0
2021-04-15,25.65,24.9,25.5,24.9,13.281,4195500.0
2021-04-16,24.75,23.8,24.7,24.0,12.801,5066100.0
2021-04-19,24.3,23.8,24.0,24.3,12.961,3059800.0
2021-04-20,24.3,23.6,24.2,23.7,12.641,5138300.0
2021-04-22,23.6,22.05,23.55,22.05,11.761,3721500.0
2021-04-23,23.0,22.1,22.2,23.0,12.267,3546200.0
2021-04-26,23.0,22.5,23.0,22.5,12.001,1941000.0
2021-04-27,22.95,22.3,22.6,22.8,12.161,1635700.0
2021-04-28,23.75,22.7,22.8,23.35,12.454,2861500.0
2021-04-29,23.75,23.45,23.75,23.5,12.534,2112700.0
2021-05-04,23.45,22.75,22.9,23.25,12.401,2745200.0
2021-05-05,24.15,23.3,23.3,23.85,12.721,3138700.0
2021-05-06,24.05,23.6,23.9,23.65,12.614,2905700.0
2021-05-07,23.9,23.2,23.5,23.4,12.481,4145900.0
2021-05-10,24.3,23.05,23.4,24.15,12.881,5194900.0
2021-05-11,24.4,23.9,24.35,23.9,12.747,3290000.0
2021-05-12,24.1,23.75,23.85,24.1,12.854,2419400.0
2021-05-13,24.35,23.9,24.0,24.0,12.801,3822000.0
2021-05-14,24.3,24.0,24.0,24.15,12.881,3001800.0
2021-05-17,25.0,24.15,24.15,24.8,13.227,5978700.0
2021-05-18,24.95,24.35,24.9,24.55,13.094,3424600.0
2021-05-19,24.7,24.2,24.55,24.6,13.121,3057200.0
2021-05-20,26.2,24.35,24.7,25.9,13.814,11601200.0
2021-05-21,27.0,26.0,26.0,26.25,14.001,8395800.0
2021-05-24,26.45,26.05,26.35,26.2,13.974,4084100.0
2021-05-25,26.75,25.85,26.1,26.5,14.134,6739100.0
2021-05-26,27.2,26.6,26.6,27.0,14.401,8073500.0
2021-05-27,28.0,27.0,27.0,27.2,14.507,8960900.0
2021-05-28,28.3,27.15,27.5,28.2,15.041,7134000.0
2021-05-31,28.85,27.2,28.45,28.85,15.387,7093000.0
2021-06-01,29.4,28.9,29.1,29.0,15.467,4759200.0
2021-06-02,29.0,28.3,28.4,28.8,15.361,6563700.0
2021-06-03,30.8,29.0,29.0,30.8,16.427,12317900.0
2021-06-04,32.85,30.85,30.9,32.3,17.228,9274600.0
2021-06-07,32.8,30.5,32.0,31.75,16.934,9794300.0
2021-06-08,32.0,29.6,31.0,29.6,15.787,9945500.0
2021-06-09,31.1,29.0,29.5,30.65,16.347,9249700.0
2021-06-10,31.0,29.75,30.0,29.85,15.921,4065400.0
2021-06-11,31.9,29.75,30.2,31.55,16.828,9748200.0
2021-06-14,31.95,30.6,31.95,30.85,16.454,6209800.0
2021-06-15,30.95,30.1,30.85,30.1,16.054,4939000.0
2021-06-16,30.1,29.1,30.1,29.35,15.654,5633500.0
2021-06-17,30.0,28.8,28.8,29.95,15.974,3905100.0
2021-06-18,30.7,29.9,30.7,29.95,15.974,3327100.0
2021-06-21,29.9,29.3,29.5,29.35,15.654,3511100.0
2021-06-22,29.9,29.05,29.5,29.8,15.894,4261300.0
2021-06-23,30.2,29.55,29.9,29.75,15.867,2543700.0
2021-06-24,30.4,29.8,30.2,30.0,16.001,3796200.0
2021-06-25,30.1,29.8,30.0,30.1,16.054,1903100.0
2021-06-28,31.3,30.5,30.5,31.2,16.641,5852600.0
2021-06-29,31.9,30.8,31.9,31.05,16.561,4436000.0
2021-06-30,31.15,30.6,31.1,30.7,16.374,3046000.0
2021-07-01,31.0,30.2,30.8,30.9,16.481,3842500.0
2021-07-02,31.5,30.9,31.2,31.3,16.694,5499900.0
2021-07-05,31.8,31.05,31.2,31.75,16.934,6928400.0
2021-07-06,32.8,29.55,32.2,29.55,15.761,7493000.0
2021-07-07,30.65,29.0,30.2,30.6,16.321,4632000.0
2021-07-08,30.85,30.0,30.6,30.2,16.107,2507300.0
2021-07-09,30.3,29.2,29.8,29.45,15.707,3757400.0
2021-07-12,29.25,27.4,29.1,27.4,14.614,6316200.0
2021-07-13,28.0,26.95,27.9,27.5,14.667,2611200.0
2021-07-14,27.5,25.85,27.5,26.2,13.974,4938200.0
2021-07-15,27.4,26.0,26.1,27.4,14.614,2072500.0
2021-07-16,28.1,27.4,27.8,27.45,14.641,2194500.0
2021-07-19,26.9,26.0,26.65,26.45,14.107,4166200.0
2021-07-20,27.5,26.3,26.35,27.5,14.667,2475200.0
2021-07-21,28.0,27.4,28.0,27.8,14.827,3386000.0
2021-07-22,28.55,28.0,28.45,28.55,15.227,4288900.0
2021-07-23,28.6,28.0,28.35,28.3,15.094,3123800.0
2021-07-26,28.4,27.7,28.25,28.35,15.121,2455300.0
2021-07-27,28.75,28.45,28.65,28.6,15.254,2409400.0
2021-07-28,29.5,28.7,28.9,29.5,15.734,3836400.0
2021-07-29,31.55,30.2,31.35,30.4,16.214,8426200.0
2021-07-30,30.5,29.9,30.2,30.0,16.001,5599900.0
2021-08-02,24.8,24.0,24.0,24.3,16.201,4012100.0
2021-08-03,25.0,24.35,24.5,24.65,16.434,2730700.0
2021-08-04,24.9,24.5,24.7,24.65,16.434,2935900.0
2021-08-05,24.75,24.45,24.7,24.7,16.467,2547900.0
2021-08-06,24.8,24.5,24.8,24.5,16.334,2196800.0
2021-08-09,24.75,24.1,24.5,24.7,16.467,3790400.0
2021-08-10,25.3,24.85,25.0,25.2,16.801,6016800.0
2021-08-11,25.45,25.15,25.4,25.2,16.801,4103400.0
2021-08-12,25.25,24.7,25.0,24.7,16.467,2596600.0
2021-08-13,24.75,24.1,24.7,24.6,16.401,2642800.0
2021-08-16,25.2,24.4,24.7,25.1,16.734,3775100.0
2021-08-17,25.5,24.9,25.5,25.0,16.668,3520900.0
2021-08-18,25.1,24.85,24.95,25.0,16.668,2030800.0
2021-08-19,24.95,24.7,24.9,24.8,16.534,2207700.0
2021-08-20,24.75,23.15,24.7,23.8,15.867,4972300.0
2021-08-23,23.5,22.6,23.25,22.6,15.067,4397700.0
2021-08-24,22.9,22.25,22.6,22.9,15.267,1872200.0
2021-08-25,23.1,22.75,23.0,23.1,15.401,858000.0
2021-08-26,23.2,22.7,23.1,22.7,15.134,1099300.0
2021-08-27,22.5,22.2,22.5,22.5,15.001,1492000.0
2021-08-30,23.2,22.25,22.6,22.9,15.267,2528000.0
2021-08-31,23.2,22.5,23.2,22.65,15.101,1163400.0
2021-09-01,22.7,22.5,22.6,22.6,15.067,1050900.0
2021-09-06,23.0,22.45,23.0,22.6,15.067,2012600.0
2021-09-07,23.4,22.75,22.8,23.3,15.534,2934500.0
2021-09-08,23.5,22.95,23.5,22.95,15.301,1091300.0
2021-09-09,23.0,22.65,22.95,22.95,15.301,1344600.0
2021-09-10,23.3,22.8,23.0,22.8,15.201,1138700.0
2021-09-13,22.8,22.55,22.75,22.55,15.034,1223700.0
2021-09-14,22.6,22.35,22.45,22.35,14.901,1467500.0
2021-09-15,22.45,22.2,22.2,22.25,14.834,1062900.0
2021-09-16,22.8,22.3,22.4,22.4,14.934,661100.0
2021-09-17,22.9,22.5,22.5,22.85,15.234,1396400.0
2021-09-20,24.0,23.0,23.0,23.75,15.834,5161000.0
2021-09-21,24.45,23.25,23.5,24.35,16.234,5205000.0
2021-09-22,24.45,23.95,24.25,24.05,16.034,1981200.0
2021-09-23,24.8,23.5,23.95,24.3,16.201,3260700.0
2021-09-24,24.9,24.4,24.4,24.65,16.434,5176600.0
2021-09-27,24.8,23.75,24.65,23.75,15.834,2144500.0
2021-09-28,23.9,23.05,23.5,23.9,15.934,1686700.0
2021-09-29,24.0,23.45,23.9,23.8,15.867,1773300.0
2021-09-30,24.5,23.6,24.0,23.9,15.934,2307100.0
2021-10-01,24.1,23.0,24.0,23.15,15.434,2180900.0
2021-10-04,23.45,22.55,22.8,23.1,15.401,2716000.0
2021-10-05,23.75,22.85,22.9,23.5,15.667,1822900.0
2021-10-06,23.7,23.35,23.7,23.5,15.667,1574200.0
2021-10-07,23.7,23.35,23.55,23.6,15.734,1814000.0
2021-10-08,24.2,23.55,23.55,24.15,16.101,2863400.0
2021-10-11,24.75,24.15,24.15,24.7,16.467,4551400.0
2021-10-12,25.2,24.75,24.95,24.8,16.534,4289000.0
2021-10-13,25.0,24.6,25.0,24.6,16.401,2381100.0
2021-10-14,24.7,24.0,24.6,24.55,16.367,2762200.0
2021-10-15,25.95,24.55,24.8,25.7,17.134,9337500.0
2021-10-18,26.2,25.65,26.0,25.75,17.168,3167600.0
2021-10-19,25.9,25.3,25.5,25.5,17.001,3972000.0
2021-10-20,26.6,25.2,25.45,26.6,17.734,8304100.0
2021-10-21,27.7,26.9,27.0,27.35,18.234,7914700.0
2021-10-22,27.3,26.85,27.0,27.05,18.034,3852500.0
2021-10-25,27.4,26.8,26.8,27.0,18.001,5752000.0
2021-10-26,26.9,25.8,26.65,26.85,17.901,5886200.0
2021-10-27,27.4,26.0,26.85,27.1,18.068,5259600.0
2021-10-28,27.6,26.9,27.4,26.9,17.934,5167400.0
2021-10-29,27.1,26.5,27.0,26.6,17.734,4241100.0
2021-11-01,27.0,26.0,26.65,26.85,17.901,4271400.0
2021-11-02,27.0,26.55,27.0,26.95,17.968,4239200.0
2021-11-03,28.8,27.1,27.1,28.8,19.201,18373400.0
2021-11-04,28.95,28.4,28.8,28.5,19.001,5050900.0
2021-11-05,29.45,28.3,28.5,28.5,19.001,6450700.0
2021-11-08,28.75,27.7,28.15,28.5,19.001,7541000.0
2021-11-09,28.65,27.95,28.6,28.0,18.668,6199700.0
2021-11-10,28.1,27.3,28.0,27.3,18.201,8869600.0
2021-11-11,27.3,26.05,27.0,26.35,17.568,11191500.0
2021-11-12,27.05,26.3,26.35,26.9,17.934,4813400.0
2021-11-15,27.3,26.5,27.3,26.6,17.734,5516600.0
2021-11-16,27.2,26.35,26.65,26.65,17.768,3422300.0
2021-11-17,26.7,26.3,26.65,26.45,17.634,3322900.0
2021-11-18,26.8,26.15,26.35,26.3,17.534,4970000.0
2021-11-19,27.3,26.0,26.35,26.6,17.734,7826700.0
2021-11-22,28.15,26.7,26.7,27.35,18.234,9321400.0
2021-11-23,28.35,27.25,27.8,28.0,18.668,8487000.0
2021-11-24,29.95,28.0,28.0,29.95,19.968,17815100.0
2021-11-25,31.7,30.15,30.6,30.5,20.334,9738900.0
2021-11-26,31.3,29.85,30.3,30.4,20.268,8216900.0
2021-11-29,30.05,28.8,29.8,29.5,19.668,6668800.0
2021-11-30,30.0,27.5,30.0,27.9,18.601,13930900.0
2021-12-01,28.5,27.0,27.8,28.45,18.968,6571300.0
2021-12-02,29.2,28.4,28.45,28.5,19.001,3353200.0
2021-12-03,28.6,27.5,28.5,27.5,18.334,4676000.0
2021-12-06,27.55,25.6,27.1,26.0,17.334,8211500.0
2021-12-07,27.0,25.9,26.5,26.8,17.868,3406100.0
2021-12-08,27.75,26.45,26.9,27.2,18.134,4965600.0
2021-12-09,27.35,26.7,26.9,27.35,18.234,1865100.0
2021-12-10,27.75,27.0,27.3,27.05,18.034,2640600.0
2021-12-13,27.2,26.85,27.1,26.95,17.968,3762500.0
2021-12-14,27.25,26.5,26.9,26.6,17.734,3712800.0
2021-12-15,27.35,26.65,26.7,26.95,17.968,2785800.0
2021-12-16,27.2,26.55,27.1,27.0,18.001,2155400.0
2021-12-17,27.0,26.7,26.95,26.8,17.868,2553200.0
2021-12-20,26.9,26.3,26.8,26.6,17.734,3388000.0
2021-12-21,26.65,26.15,26.6,26.25,17.501,3648400.0
2021-12-22,26.6,25.65,26.25,25.65,17.101,4836800.0
2021-12-23,25.7,24.5,25.65,24.7,16.467,6443100.0
2021-12-24,26.0,24.7,24.7,25.9,17.268,3162900.0
2021-12-27,26.2,25.6,26.1,25.85,17.234,1342700.0
2021-12-28,26.4,25.5,26.0,26.3,17.534,3195300.0
2021-12-29,27.0,26.3,26.5,26.5,17.668,2737600.0
2021-12-30,26.75,26.25,26.75,26.6,17.734,1709600.0
2021-12-31,28.0,26.8,26.8,27.3,18.201,6445800.0
2022-01-04,28.7,27.3,27.55,27.95,18.634,4753300.0
2022-01-05,27.95,27.45,27.95,27.5,18.334,3331700.0
2022-01-06,27.5,26.9,27.1,27.0,18.001,3919800.0
2022-01-07,27.4,26.8,27.0,26.9,17.934,2941100.0
2022-01-10,27.0,26.1,27.0,26.1,17.401,3700200.0
2022-01-11,26.75,25.9,26.1,26.0,17.334,1957600.0
2022-01-12,27.1,25.6,26.2,27.0,18.001,3592800.0
2022-01-13,28.0,26.8,27.4,26.9,17.934,4722900.0
2022-01-14,27.0,26.4,26.65,26.65,17.768,1791800.0
