Date,High,Low,Open,Close,Adj Close,Volume
2020-09-21,16.8,12.0,16.8,16.8,14.335,320400.0
2020-09-22,17.3,16.9,17.3,17.3,14.762,250200.0
2020-09-23,17.9,15.9,17.4,16.5,14.079,776600.0
2020-09-24,15.0,14.7,15.0,14.9,12.714,608700.0
2020-09-25,14.1,12.9,14.1,12.9,11.007,615040.0
2020-09-28,13.7,12.5,12.7,13.5,11.519,524850.0
2020-09-29,13.5,12.9,13.3,13.1,11.178,554250.0
2020-09-30,13.4,12.9,13.0,13.4,11.434,629943.0
2020-10-01,13.1,12.6,13.0,12.9,11.007,589608.0
2020-10-02,14.2,13.1,13.1,13.7,11.69,778950.0
2020-10-05,14.2,13.7,13.9,13.9,11.86,828224.0
2020-10-06,14.1,13.4,14.0,13.7,11.69,686800.0
2020-10-07,13.4,12.8,13.4,13.2,11.264,628055.0
2020-10-08,13.1,12.5,12.7,12.9,11.007,521000.0
2020-10-09,13.3,12.7,12.7,13.3,11.349,399000.0
2020-10-12,13.2,12.7,12.9,12.8,10.922,619600.0
2020-10-13,13.3,12.5,13.0,12.6,10.751,712310.0
2020-10-14,13.0,12.4,12.6,12.7,10.837,740217.0
2020-10-15,13.0,12.5,12.6,12.7,10.837,716223.0
2020-10-16,12.7,12.3,12.6,12.4,10.581,848101.0
2020-10-19,12.7,12.0,12.5,12.4,10.581,705210.0
2020-10-20,12.5,12.0,12.5,12.3,10.495,693700.0
2020-10-21,12.7,12.3,12.3,12.3,10.495,702100.0
2020-10-22,12.3,11.7,12.1,12.0,10.239,403100.0
2020-10-23,12.1,11.5,12.1,11.6,9.898,428600.0
2020-10-26,11.9,11.5,11.6,11.7,9.984,557613.0
2020-10-27,12.0,11.5,11.6,11.6,9.898,393407.0
2020-10-28,11.7,10.9,11.6,11.3,9.642,228400.0
2020-10-29,11.9,11.1,11.2,11.5,9.812,412400.0
2020-10-30,12.1,11.6,11.6,12.1,10.324,422100.0
2020-11-02,12.3,11.9,11.9,12.1,10.324,487820.0
2020-11-03,12.5,12.1,12.1,12.3,10.495,501900.0
