Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.2,11.2,11.2,11.2,11.2,3800.0
2018-01-03,11.1,10.1,10.1,11.1,11.1,1860.0
2018-01-04,11.1,11.1,11.1,11.1,11.1,60.0
2018-01-05,11.1,10.3,10.3,11.1,11.1,3000.0
2018-01-08,11.1,11.1,11.1,11.1,11.1,0.0
2018-01-09,11.1,10.1,10.1,11.1,11.1,460.0
2018-01-10,11.1,11.1,11.1,11.1,11.1,0.0
2018-01-11,11.1,11.1,11.1,11.1,11.1,100.0
2018-01-12,12.2,10.0,12.0,11.9,11.9,24900.0
2018-01-15,11.9,11.9,11.9,11.9,11.9,700.0
2018-01-16,10.9,10.8,10.9,10.8,10.8,6080.0
2018-01-17,11.8,11.8,11.8,11.8,11.8,3800.0
2018-01-18,12.5,10.7,11.8,12.5,12.5,10603.0
2018-01-19,12.5,12.5,12.5,12.5,12.5,0.0
2018-01-22,12.5,12.0,12.0,12.5,12.5,3100.0
2018-01-23,12.5,12.5,12.5,12.5,12.5,3300.0
2018-01-24,12.5,12.5,12.5,12.5,12.5,0.0
2018-01-25,12.5,12.4,12.4,12.5,12.5,3800.0
2018-01-26,12.5,12.5,12.5,12.5,12.5,1019.0
2018-01-29,12.5,12.5,12.5,12.5,12.5,0.0
2018-01-30,12.5,12.5,12.5,12.5,12.5,0.0
2018-01-31,12.5,12.5,12.5,12.5,12.5,0.0
2018-02-01,12.5,11.3,11.3,12.5,12.5,3500.0
2018-02-02,12.5,12.5,12.5,12.5,12.5,0.0
2018-02-05,11.3,11.3,11.3,11.3,11.3,7200.0
2018-02-06,11.3,11.3,11.3,11.3,11.3,0.0
2018-02-07,11.3,11.3,11.3,11.3,11.3,0.0
2018-02-08,11.3,11.3,11.3,11.3,11.3,0.0
2018-02-09,11.3,11.3,11.3,11.3,11.3,0.0
2018-02-12,11.3,11.3,11.3,11.3,11.3,0.0
2018-02-13,11.5,11.5,11.5,11.5,11.5,2500.0
2018-02-21,11.5,11.5,11.5,11.5,11.5,0.0
