Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,36.2,35.7,35.7,36.2,10.468,1369080.0
2018-01-03,36.85,36.2,36.2,36.5,10.555,1701600.0
2018-01-04,36.6,36.3,36.5,36.5,10.555,1317750.0
2018-01-05,37.5,36.5,36.5,37.3,10.787,1729650.0
2018-01-08,37.3,36.85,37.25,37.1,10.729,1285990.0
2018-01-09,37.2,36.9,37.1,37.0,10.7,898400.0
2018-01-10,38.5,37.0,37.0,38.5,11.134,2061120.0
2018-01-11,38.9,38.45,38.5,38.7,11.191,1238590.0
2018-01-12,38.9,38.05,38.7,38.7,11.191,1883870.0
2018-01-15,39.1,38.3,38.65,38.7,11.191,1446000.0
2018-01-16,38.7,37.8,38.65,37.8,10.931,1755320.0
2018-01-17,38.2,37.7,37.8,37.8,10.931,1244610.0
2018-01-18,37.85,36.6,37.8,37.3,10.787,1257180.0
2018-01-19,37.5,36.85,37.3,37.4,10.815,1118600.0
2018-01-22,37.7,37.15,37.35,37.35,10.801,886340.0
2018-01-25,38.55,37.3,37.35,38.2,11.047,2359010.0
2018-01-26,38.8,38.15,38.2,38.75,11.206,1807090.0
2018-01-29,38.85,38.5,38.8,38.75,11.206,1336790.0
2018-01-30,39.0,38.25,38.7,39.0,11.278,1644720.0
2018-01-31,40.2,38.9,39.0,39.45,11.408,2349170.0
2018-02-01,39.7,38.65,39.45,38.7,11.191,1970540.0
2018-02-02,38.8,38.2,38.65,38.7,11.191,1077930.0
2018-02-05,38.5,36.7,38.5,36.7,10.613,1394110.0
2018-02-06,34.5,34.15,34.15,34.15,9.876,885590.0
2018-02-07,36.3,34.45,34.45,35.0,10.121,1392890.0
2018-02-08,35.6,34.7,34.95,34.9,10.092,870400.0
2018-02-09,34.95,33.9,34.45,34.6,10.006,1958280.0
2018-02-12,36.9,34.75,34.75,36.9,10.671,2010800.0
2018-02-13,37.0,36.6,36.7,37.0,10.7,1140610.0
2018-02-21,37.0,36.45,37.0,36.9,10.671,941510.0
2018-02-22,36.95,36.45,36.8,36.5,10.555,1085630.0
2018-02-23,36.75,36.45,36.5,36.65,10.599,1027620.0
2018-02-26,36.8,36.3,36.6,36.45,10.541,829640.0
2018-02-27,36.7,36.3,36.45,36.4,10.526,982470.0
2018-02-28,36.5,35.5,36.5,35.5,10.266,1176060.0
2018-03-01,36.8,35.1,35.3,36.4,10.526,2544410.0
2018-03-02,37.55,36.25,36.4,37.35,10.801,1361600.0
2018-03-05,38.9,38.2,38.3,38.2,11.047,1985710.0
2018-03-06,39.2,38.2,38.2,39.0,11.278,1484180.0
2018-03-07,39.35,38.45,39.05,38.45,11.119,1267340.0
2018-03-08,40.0,38.45,38.55,39.5,11.423,2831470.0
2018-03-09,40.2,39.5,39.7,39.5,11.423,1502250.0
2018-03-12,41.5,39.5,39.5,41.0,11.857,2479570.0
2018-03-13,41.2,40.3,41.0,40.9,11.828,1622970.0
2018-03-14,40.95,40.5,40.9,40.5,11.712,902860.0
2018-03-15,40.8,39.95,40.5,40.0,11.567,1005680.0
2018-03-16,40.2,39.3,40.0,39.3,11.365,959640.0
2018-03-19,39.5,38.7,39.35,39.4,11.394,1467420.0
2018-03-20,39.7,39.25,39.3,39.6,11.452,1377890.0
2018-03-21,39.9,39.45,39.6,39.45,11.408,932740.0
2018-03-22,39.7,39.35,39.6,39.4,11.394,1279020.0
2018-03-23,39.15,38.4,39.15,38.6,11.162,614410.0
2018-03-26,39.3,38.55,38.6,39.2,11.336,1318040.0
2018-03-27,39.6,39.15,39.2,39.55,11.437,1172850.0
2018-03-28,39.9,39.5,39.55,39.75,11.495,1591140.0
2018-03-29,40.5,39.65,39.75,40.5,11.712,1957600.0
2018-03-30,41.0,40.4,40.5,40.8,11.799,1247790.0
2018-04-02,40.9,40.2,40.75,40.3,11.654,892650.0
2018-04-03,40.7,40.1,40.4,40.35,11.669,1020060.0
2018-04-04,40.6,40.15,40.35,40.35,11.669,1357920.0
2018-04-05,40.6,40.25,40.35,40.6,11.741,1393790.0
2018-04-06,43.4,40.7,40.7,43.4,12.551,3173110.0
2018-04-09,43.8,43.1,43.7,43.3,12.522,1341980.0
2018-04-10,43.4,41.7,43.3,42.0,12.146,1232880.0
2018-04-11,41.9,40.8,41.9,40.8,11.799,1033050.0
2018-04-12,40.8,39.85,40.5,40.6,11.741,945890.0
2018-04-13,40.85,39.2,40.6,39.3,11.365,886380.0
2018-04-16,40.0,38.6,39.25,40.0,11.567,1228890.0
2018-04-17,41.5,39.8,40.2,41.5,12.001,1342150.0
2018-04-18,41.55,40.75,41.45,41.0,11.857,1015240.0
2018-04-19,41.0,39.95,40.95,40.25,11.64,1109120.0
2018-04-20,41.5,40.0,40.25,41.5,12.001,2075510.0
2018-04-23,41.9,39.7,41.7,39.9,11.538,1606770.0
2018-04-24,40.3,39.3,39.9,39.9,11.538,926810.0
2018-04-26,40.1,38.95,39.9,38.95,11.264,834820.0
2018-04-27,33.25,32.5,32.5,33.2,11.522,870290.0
2018-05-02,33.35,31.8,33.2,31.8,11.036,520530.0
2018-05-03,31.8,30.1,31.8,31.7,11.001,754440.0
2018-05-04,32.1,31.35,31.8,32.0,11.105,524940.0
2018-05-07,32.6,31.7,32.0,32.6,11.313,724570.0
2018-05-08,32.7,32.1,32.6,32.6,11.313,792250.0
2018-05-09,32.4,31.8,32.3,31.9,11.07,713940.0
2018-05-10,32.25,31.5,31.8,31.5,10.932,550540.0
2018-05-11,31.7,30.65,31.5,31.4,10.897,841010.0
2018-05-14,31.7,31.3,31.55,31.5,10.932,608360.0
2018-05-15,31.6,31.15,31.5,31.3,10.862,622860.0
2018-05-16,31.3,31.05,31.3,31.2,10.827,430160.0
2018-05-17,31.35,31.0,31.2,31.0,10.758,495570.0
2018-05-18,31.3,30.5,31.0,30.95,10.741,559630.0
2018-05-21,31.0,30.55,30.95,30.95,10.741,789630.0
2018-05-22,30.7,29.1,30.7,30.0,10.411,1598090.0
2018-05-23,30.0,29.15,29.9,29.95,10.394,589470.0
2018-05-24,30.05,29.8,29.95,30.0,10.411,445310.0
2018-05-25,30.0,29.7,30.0,30.0,10.411,465550.0
2018-05-28,29.85,28.8,29.85,29.85,10.359,665880.0
2018-05-29,30.25,29.65,29.7,30.0,10.411,718800.0
2018-05-30,30.05,29.6,29.9,29.95,10.394,450770.0
2018-05-31,30.25,29.8,29.8,30.1,10.446,1448660.0
2018-06-01,30.5,29.95,30.1,30.3,10.515,807590.0
2018-06-04,30.7,29.9,30.3,30.7,10.654,865960.0
2018-06-05,30.95,30.6,30.7,30.75,10.671,568110.0
2018-06-06,32.5,30.4,30.75,32.3,11.209,2172790.0
2018-06-07,32.2,31.5,32.2,32.1,11.14,517980.0
2018-06-08,32.25,31.45,32.0,31.8,11.036,512690.0
2018-06-11,31.85,31.4,31.75,31.4,10.897,598440.0
2018-06-12,31.45,30.6,31.4,31.4,10.897,710460.0
2018-06-13,31.65,31.05,31.3,31.3,10.862,576580.0
2018-06-14,31.5,31.15,31.3,31.2,10.827,777310.0
2018-06-15,31.9,30.95,31.15,31.9,11.07,1037730.0
2018-06-18,32.0,31.4,31.9,31.75,11.018,952620.0
2018-06-19,31.6,29.9,31.6,31.0,10.758,646810.0
2018-06-20,32.0,30.85,31.0,32.0,11.105,1965720.0
2018-06-21,31.85,31.0,31.85,31.0,10.758,2486600.0
2018-06-22,31.3,30.9,30.95,31.3,10.862,639460.0
2018-06-25,31.5,31.2,31.3,31.3,10.862,3412800.0
2018-06-26,31.35,30.95,31.3,31.2,10.827,596790.0
2018-06-27,31.35,30.8,31.2,30.8,10.689,856270.0
2018-06-28,30.95,30.3,30.7,30.6,10.619,613870.0
2018-06-29,30.85,30.4,30.6,30.7,10.654,632370.0
2018-07-02,30.8,30.05,30.7,30.5,10.585,534030.0
2018-07-03,30.6,28.4,30.55,28.4,9.856,637890.0
2018-07-04,28.65,27.4,28.0,28.0,9.717,582630.0
2018-07-05,28.0,26.05,28.0,26.05,9.04,287550.0
2018-07-06,26.0,24.25,24.25,24.6,8.537,1172270.0
2018-07-09,25.8,24.9,24.9,25.5,8.849,1255870.0
2018-07-10,25.6,25.2,25.5,25.5,8.849,718130.0
2018-07-11,25.35,24.2,25.2,24.95,8.658,852870.0
2018-07-12,25.45,24.95,24.95,25.2,8.745,824060.0
2018-07-13,25.45,25.1,25.2,25.4,8.815,814960.0
2018-07-16,25.45,25.0,25.4,25.4,8.815,672340.0
2018-07-17,25.35,24.95,25.35,25.25,8.763,1695900.0
2018-07-18,26.0,25.25,25.25,26.0,9.023,1101550.0
2018-07-19,26.15,25.65,26.1,25.95,9.006,696330.0
2018-07-20,25.95,25.5,25.95,25.95,9.006,851630.0
2018-07-23,25.95,25.45,25.9,25.9,8.988,855440.0
2018-07-24,25.7,25.1,25.7,25.15,8.728,600520.0
2018-07-25,25.3,24.9,25.15,25.15,8.728,735530.0
2018-07-26,25.15,25.0,25.15,25.15,8.728,578910.0
2018-07-27,26.2,24.95,25.1,26.2,9.092,1920590.0
2018-07-30,26.45,26.1,26.3,26.3,9.127,823720.0
2018-07-31,26.6,26.0,26.15,26.4,9.162,951820.0
2018-08-01,26.4,25.85,26.4,26.1,9.058,610750.0
2018-08-02,26.1,25.1,26.1,25.1,8.711,732370.0
2018-08-03,25.4,24.3,25.3,25.0,8.676,1046930.0
2018-08-06,25.3,24.8,25.0,25.2,8.745,1080320.0
2018-08-07,25.4,25.0,25.2,25.4,8.815,1002980.0
