Date,High,Low,Open,Close,Adj Close,Volume
2020-12-24,21.7,15.9,21.7,16.0,11.451,511100.0
2020-12-25,16.5,16.2,16.3,16.2,11.594,104688.0
2020-12-28,18.1,16.2,16.3,17.7,12.668,339170.0
2020-12-29,18.3,17.4,17.7,17.4,12.453,240024.0
2020-12-30,17.9,17.1,17.7,17.7,12.668,117980.0
2020-12-31,18.7,17.4,18.0,17.8,12.739,107911.0
2021-01-04,17.9,17.5,17.8,17.8,12.739,122150.0
2021-01-05,17.4,16.9,17.4,17.1,12.238,61390.0
2021-01-06,17.1,16.4,17.1,16.5,11.809,120139.0
2021-01-07,16.9,16.3,16.5,16.8,12.024,124791.0
2021-01-08,16.7,16.5,16.7,16.6,11.881,86385.0
2021-01-11,16.7,16.5,16.6,16.5,11.809,68941.0
2021-01-12,16.5,16.0,16.5,16.4,11.737,50216.0
2021-01-13,16.5,16.0,16.3,16.3,11.666,52050.0
2021-01-14,16.3,15.8,16.0,16.3,11.666,29677.0
2021-01-15,16.3,16.0,16.2,16.3,11.666,112317.0
2021-01-18,16.2,15.9,16.2,16.2,11.594,71180.0
2021-01-19,16.2,15.3,16.0,16.0,11.451,95763.0
2021-01-20,16.0,15.3,16.0,15.5,11.093,30969.0
2021-01-21,16.0,15.6,15.8,15.8,11.308,16045.0
2021-01-22,16.0,15.5,16.0,15.6,11.165,34547.0
2021-01-25,15.6,15.3,15.4,15.5,11.093,20493.0
2021-01-26,15.5,14.8,15.4,14.8,10.592,29963.0
2021-01-27,15.1,14.0,15.0,14.5,10.378,30950.0
2021-01-28,14.5,12.4,14.0,12.4,8.875,201992.0
2021-01-29,13.5,10.6,10.6,12.0,8.588,395943.0
2021-02-01,12.6,11.0,12.2,12.6,9.018,41826.0
2021-02-02,13.8,12.0,12.6,13.8,9.877,79320.0
2021-02-03,14.7,13.5,13.5,14.0,10.02,61742.0
2021-02-04,14.5,13.5,14.3,13.8,9.877,29711.0
2021-02-05,14.5,13.8,13.8,13.8,9.877,63003.0
2021-02-08,14.8,13.0,14.0,13.6,9.734,20147.0
2021-02-09,14.0,13.0,13.6,13.6,9.734,47039.0
2021-02-17,13.6,13.3,13.4,13.5,9.662,37045.0
2021-02-18,13.8,13.5,13.5,13.7,9.805,29325.0
2021-02-19,14.0,13.5,14.0,13.8,9.877,35861.0
2021-02-22,14.0,13.8,13.9,13.8,9.877,28923.0
2021-02-23,13.9,13.8,13.9,13.9,9.948,28113.0
2021-02-24,13.9,13.7,13.9,13.8,9.877,61020.0
2021-02-25,13.9,13.2,13.9,13.7,9.805,36899.0
2021-02-26,13.8,13.3,13.3,13.7,9.805,36908.0
2021-03-01,14.0,13.6,13.9,13.8,9.877,52417.0
2021-03-02,14.1,13.8,13.8,14.1,10.091,138200.0
2021-03-03,15.9,14.1,14.1,15.4,11.022,395726.0
2021-03-04,15.9,14.8,15.4,14.8,10.592,148315.0
2021-03-05,15.5,14.4,14.5,15.3,10.95,166682.0
2021-03-08,15.8,14.6,15.3,14.9,10.664,119146.0
2021-03-09,15.3,14.7,14.9,14.9,10.664,75122.0
2021-03-10,15.2,14.7,14.8,14.9,10.664,55343.0
2021-03-11,15.5,14.8,15.2,15.4,11.022,606299.0
2021-03-12,16.5,15.5,15.5,16.0,11.451,1347951.0
2021-03-15,18.0,16.3,16.5,18.0,12.883,1343148.0
2021-03-16,19.7,15.1,18.0,16.3,11.666,1401961.0
2021-03-17,18.0,16.3,16.7,17.0,12.167,483611.0
2021-03-18,17.6,16.9,16.9,17.0,12.167,461729.0
2021-03-19,17.0,15.9,17.0,16.0,11.451,3375499.0
2021-03-22,16.2,15.4,16.2,15.4,11.022,938859.0
2021-03-23,16.3,15.6,15.6,16.3,11.666,114618.0
2021-03-24,16.6,15.6,16.6,16.0,11.451,136029.0
2021-03-25,15.9,15.5,15.5,15.6,11.165,222807.0
2021-03-26,15.6,14.9,15.6,15.1,10.807,214850.0
2021-03-29,15.7,15.3,15.3,15.7,11.236,151716.0
2021-03-30,16.0,15.2,15.3,15.9,11.38,213480.0
2021-03-31,16.3,15.9,16.0,16.0,11.451,155946.0
2021-04-01,16.2,15.6,16.1,16.1,11.523,279808.0
2021-04-02,16.6,16.1,16.1,16.4,11.737,522428.0
2021-04-05,16.7,16.4,16.6,16.5,11.809,284370.0
2021-04-06,16.6,16.3,16.6,16.4,11.737,226931.0
2021-04-07,16.4,15.5,16.4,16.3,11.666,125798.0
2021-04-08,16.5,16.2,16.2,16.3,11.666,236839.0
2021-04-09,16.6,16.3,16.6,16.5,11.809,221165.0
2021-04-12,16.5,16.1,16.4,16.2,11.594,181798.0
2021-04-13,17.5,16.1,16.2,17.1,12.238,971836.0
2021-04-14,17.2,16.5,17.1,16.9,12.095,348920.0
2021-04-15,16.9,16.3,16.9,16.4,11.737,102391.0
2021-04-16,16.6,16.1,16.3,16.3,11.666,193293.0
2021-04-19,16.4,16.0,16.3,16.2,11.594,107968.0
2021-04-20,16.3,15.8,16.1,15.8,11.308,185387.0
2021-04-22,16.0,15.0,16.0,15.0,10.736,192543.0
2021-04-23,15.4,14.5,15.2,15.2,10.879,107800.0
2021-04-26,15.2,14.9,15.2,14.9,10.664,84826.0
2021-04-27,14.9,14.3,14.9,14.7,10.521,74369.0
2021-04-28,14.8,14.5,14.6,14.7,10.521,25455.0
2021-04-29,15.0,14.6,14.7,14.8,10.592,135303.0
2021-05-04,14.8,14.3,14.5,14.8,10.592,108042.0
2021-05-05,15.1,14.6,14.6,14.8,10.592,130766.0
2021-05-06,15.0,14.6,14.8,14.9,10.664,66304.0
2021-05-07,14.9,14.5,14.9,14.8,10.592,132242.0
2021-05-10,15.1,14.6,14.7,14.9,10.664,151954.0
2021-05-11,15.2,14.7,14.8,15.2,10.879,138751.0
2021-05-12,15.4,14.9,15.4,15.1,10.807,90556.0
2021-05-13,15.3,14.9,15.0,15.0,10.736,61633.0
2021-05-14,15.2,14.7,15.1,15.2,10.879,370257.0
2021-05-17,15.5,15.1,15.2,15.2,10.879,86119.0
2021-05-18,15.3,15.1,15.2,15.1,10.807,87080.0
2021-05-19,15.3,15.0,15.1,15.0,10.736,107632.0
2021-05-20,15.2,14.7,15.1,15.2,10.879,238447.0
2021-05-21,17.2,15.2,15.3,17.2,12.31,1192264.0
2021-05-24,18.9,17.1,17.2,17.8,12.739,464699.0
2021-05-25,17.8,16.0,17.6,16.3,11.666,428077.0
2021-05-26,18.0,15.9,16.9,17.5,12.525,366413.0
2021-05-27,18.5,17.4,17.5,18.4,13.169,819679.0
2021-05-28,20.8,18.2,18.4,20.8,14.887,2626994.0
2021-05-31,23.2,20.5,20.5,23.2,16.604,351070.0
2021-06-01,26.6,24.5,26.5,26.6,19.038,1219274.0
2021-06-02,30.5,26.6,26.6,30.0,21.471,2989682.0
2021-06-03,33.0,27.0,29.5,29.7,21.256,439103.0
2021-06-04,29.0,27.5,29.0,27.9,19.968,490722.0
2021-06-07,27.8,24.5,27.6,25.5,18.25,361132.0
2021-06-08,25.1,22.0,25.0,22.8,16.318,324484.0
2021-06-09,25.8,20.0,20.0,25.0,17.893,490173.0
2021-06-10,25.6,24.3,25.0,24.9,17.821,73982.0
2021-06-11,25.0,23.9,24.8,24.7,17.678,120767.0
2021-06-14,24.6,23.5,24.6,23.9,17.105,146466.0
2021-06-15,23.9,22.8,23.9,23.0,16.461,162787.0
2021-06-16,23.2,22.5,23.0,22.8,16.318,126383.0
2021-06-17,22.9,22.4,22.7,22.6,16.175,161902.0
2021-06-18,22.8,22.4,22.6,22.6,16.175,178035.0
2021-06-21,22.8,22.5,22.6,22.7,16.246,270185.0
2021-06-22,22.8,22.6,22.8,22.6,16.175,143628.0
2021-06-23,23.7,22.6,22.7,23.2,16.604,304066.0
2021-06-24,23.3,22.6,23.3,22.7,16.246,80818.0
2021-06-25,22.9,22.2,22.9,22.4,16.032,116868.0
2021-06-28,22.5,21.9,22.5,22.0,15.745,402714.0
2021-06-29,22.8,22.1,22.1,22.5,16.103,365637.0
2021-06-30,23.0,22.0,22.6,22.0,15.745,166478.0
2021-07-01,22.4,22.0,22.0,22.3,15.96,161850.0
2021-07-02,22.6,22.1,22.3,22.3,15.96,163094.0
2021-07-05,22.6,22.1,22.2,22.4,16.032,163464.0
2021-07-06,24.5,22.2,22.4,22.2,15.889,529597.0
2021-07-07,23.0,22.5,22.5,22.8,16.318,200759.0
2021-07-08,23.8,22.9,23.0,22.9,16.39,150289.0
2021-07-09,22.7,21.1,21.1,22.2,15.889,427323.0
2021-07-12,22.2,18.8,21.1,19.0,13.598,465517.0
2021-07-13,19.7,17.1,19.0,18.8,13.455,762765.0
2021-07-14,19.9,17.9,19.9,19.5,13.956,255932.0
2021-07-15,19.9,19.1,19.6,19.7,14.099,128662.0
2021-07-16,20.4,19.4,19.4,19.5,13.956,148190.0
2021-07-19,19.5,18.0,19.5,18.1,12.954,223576.0
2021-07-20,18.7,17.8,18.3,18.7,13.384,156731.0
2021-07-21,19.0,18.5,18.9,18.6,13.312,69849.0
2021-07-22,19.0,18.1,18.2,18.8,13.455,73828.0
2021-07-23,18.8,18.4,18.8,18.7,13.384,87084.0
2021-07-26,18.8,18.2,18.6,18.6,13.312,49176.0
2021-07-27,19.0,18.7,18.7,18.7,13.384,39884.0
2021-07-28,18.9,18.4,18.7,18.6,13.312,36689.0
2021-07-29,19.3,18.6,18.6,19.3,13.813,176040.0
2021-07-30,21.0,19.3,19.3,20.2,14.457,129043.0
2021-08-02,20.3,19.8,20.3,19.9,14.242,160655.0
2021-08-03,20.6,19.8,19.9,20.3,14.529,133078.0
2021-08-04,20.3,20.1,20.2,20.3,14.529,200774.0
2021-08-05,20.5,19.2,20.2,20.4,14.6,179164.0
2021-08-06,23.0,20.3,20.3,23.0,16.461,609129.0
2021-08-09,25.5,23.0,23.0,25.1,17.964,734883.0
2021-08-10,26.5,25.1,25.1,25.8,18.465,385817.0
2021-08-11,27.0,25.0,25.8,25.9,18.537,622599.0
2021-08-12,25.7,23.0,25.2,24.5,17.535,367499.0
2021-08-13,24.7,23.0,24.0,24.1,17.248,400179.0
2021-08-16,25.0,23.7,23.8,25.0,17.893,146898.0
2021-08-17,25.5,24.2,25.1,24.5,17.535,119944.0
2021-08-18,24.5,23.8,24.5,24.0,17.177,191879.0
2021-08-19,24.0,23.5,24.0,23.9,17.105,183940.0
2021-08-20,24.0,20.4,23.7,22.5,16.103,353367.0
2021-08-23,22.8,21.5,22.5,21.8,15.602,194810.0
2021-08-24,22.0,21.3,21.8,21.8,15.602,83861.0
2021-08-25,22.0,21.6,21.6,21.7,15.531,59154.0
2021-08-26,22.8,21.9,22.8,21.9,15.674,84836.0
2021-08-27,22.0,20.6,20.6,22.0,15.745,72400.0
2021-08-30,21.9,21.5,21.7,21.8,15.602,215410.0
2021-08-31,22.3,21.6,21.7,21.8,15.602,98948.0
2021-09-01,21.8,21.5,21.8,21.5,15.388,117995.0
2021-09-06,22.3,21.3,21.6,22.3,15.96,242604.0
2021-09-07,23.5,22.2,22.3,22.9,16.39,258043.0
2021-09-08,24.5,22.9,23.2,22.9,16.39,217613.0
2021-09-09,23.4,22.5,23.0,23.2,16.604,150586.0
2021-09-10,23.5,23.0,23.2,23.1,16.533,257699.0
2021-09-13,23.1,22.6,23.1,22.9,16.39,284016.0
2021-09-14,22.9,22.3,22.7,22.5,16.103,136957.0
2021-09-15,23.0,21.9,22.0,23.0,16.461,174527.0
2021-09-16,25.5,22.8,23.0,25.2,18.036,967846.0
2021-09-17,26.0,24.9,25.3,24.9,17.821,337463.0
2021-09-20,25.1,24.4,25.1,24.5,17.535,141770.0
2021-09-21,24.5,23.0,24.5,24.1,17.248,197393.0
2021-09-22,24.1,23.2,24.1,23.7,16.962,134406.0
2021-09-23,26.0,23.4,23.6,24.3,17.392,218798.0
2021-09-24,25.0,24.0,24.2,24.1,17.248,82740.0
2021-09-27,24.1,23.0,24.1,23.0,16.461,96136.0
2021-09-28,23.2,22.7,23.0,23.2,16.604,116287.0
2021-09-29,23.4,23.0,23.2,23.3,16.676,66775.0
2021-09-30,23.4,23.0,23.4,23.1,16.533,82700.0
