Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.7,15.3,15.7,15.5,8.389,10440.0
2018-01-03,15.6,15.3,15.4,15.5,8.389,96960.0
2018-01-04,16.35,15.5,15.5,16.35,8.849,77720.0
2018-01-05,16.6,16.3,16.5,16.5,8.93,15010.0
2018-01-08,16.8,16.1,16.1,16.8,9.092,41200.0
2018-01-09,17.4,16.8,16.9,17.0,9.2,68230.0
2018-01-10,17.4,16.8,17.0,16.8,9.092,26110.0
2018-01-11,17.2,16.6,16.8,17.05,9.228,31960.0
2018-01-12,17.5,17.1,17.1,17.2,9.309,34700.0
2018-01-15,17.2,17.0,17.2,17.2,9.309,36500.0
2018-01-16,17.4,16.7,17.4,16.8,9.092,33400.0
2018-01-17,16.9,16.7,16.7,16.85,9.119,31110.0
2018-01-18,17.0,16.1,16.8,16.3,8.822,28730.0
2018-01-19,17.0,16.5,16.5,16.9,9.146,43430.0
2018-01-22,17.2,16.6,17.2,16.8,9.092,6730.0
2018-01-25,17.2,16.5,16.5,17.2,9.309,68820.0
2018-01-26,18.0,17.2,17.4,17.8,9.633,90740.0
2018-01-29,17.9,16.7,17.2,17.4,9.417,8770.0
2018-01-30,17.5,17.0,17.4,17.5,9.471,46960.0
2018-01-31,17.8,17.2,17.7,17.2,9.309,38600.0
2018-02-01,17.5,16.8,17.3,17.2,9.309,28350.0
2018-02-02,17.5,17.0,17.0,17.2,9.309,13260.0
2018-02-05,17.6,16.8,17.0,17.2,9.309,22060.0
2018-02-06,16.9,16.0,16.9,16.2,8.767,94770.0
2018-02-07,16.8,16.2,16.2,16.6,8.984,27710.0
2018-02-08,16.6,16.2,16.3,16.2,8.767,2340.0
2018-02-09,16.6,16.0,16.2,16.2,8.767,5750.0
2018-02-12,17.2,16.0,16.6,16.8,9.092,30070.0
2018-02-13,17.0,16.5,17.0,16.9,9.146,1490.0
2018-02-21,17.3,16.5,17.0,17.0,9.2,30220.0
2018-02-22,17.0,16.0,17.0,16.8,9.092,25970.0
2018-02-23,17.0,16.1,17.0,16.9,9.146,4660.0
2018-02-26,16.9,16.0,16.9,16.8,9.092,32130.0
2018-02-27,17.0,16.2,16.2,16.8,9.092,35210.0
