Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,25.1,25.0,25.0,25.0,17.054,58250.0
2018-01-03,25.2,25.0,25.0,25.2,17.19,15347.0
2018-01-04,25.4,24.6,25.0,25.4,17.327,27260.0
2018-01-05,25.0,24.6,24.6,25.0,17.054,663.0
2018-01-08,27.5,24.5,25.1,27.5,18.759,109150.0
2018-01-09,28.0,26.2,27.0,28.0,19.1,55231.0
2018-01-10,27.5,27.0,27.0,27.5,18.759,26683.0
2018-01-11,27.8,27.4,27.5,27.5,18.759,354801.0
2018-01-12,28.5,27.5,27.5,28.0,19.1,80531.0
2018-01-15,28.0,26.5,26.5,28.0,19.1,11100.0
2018-01-16,28.5,28.1,28.2,28.5,19.441,23467.0
2018-01-17,28.5,27.5,28.5,27.5,18.759,107580.0
2018-01-18,27.9,26.0,26.0,27.8,18.964,3138.0
2018-01-19,28.5,27.7,27.7,27.7,18.895,21319.0
2018-01-22,30.4,28.0,28.0,30.4,20.737,183608.0
2018-01-23,33.4,30.0,30.0,33.4,22.784,264496.0
2018-01-24,36.7,33.5,36.6,33.5,22.852,71914.0
2018-01-25,35.0,33.5,33.5,34.7,23.67,108326.0
2018-01-26,34.8,34.0,34.5,34.8,23.739,40837.0
2018-01-29,34.4,31.5,32.0,34.0,23.193,30677.0
2018-01-30,35.6,31.9,32.6,35.6,24.284,246130.0
2018-01-31,37.0,35.4,35.5,37.0,25.239,223022.0
2018-02-01,37.0,36.0,37.0,36.7,25.035,15919.0
2018-02-02,36.0,34.0,36.0,34.0,23.193,13810.0
2018-02-05,35.5,33.0,34.0,35.5,24.216,47758.0
2018-02-06,35.5,32.0,33.5,34.8,23.739,210625.0
2018-02-07,36.0,34.2,35.0,34.2,23.329,84697.0
2018-02-08,34.9,32.0,32.0,34.5,23.534,47610.0
2018-02-09,34.6,32.0,32.0,32.0,21.829,1202579.0
2018-02-12,32.2,30.0,32.2,30.0,20.464,31628.0
