Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,26.0,25.9,25.9,26.0,11.686,6400.0
2018-01-03,29.5,26.5,27.1,26.5,11.91,1900.0
2018-01-04,27.4,26.5,27.4,26.5,11.91,10700.0
2018-01-05,29.0,26.9,29.0,26.9,12.09,500.0
2018-01-08,29.0,27.4,29.0,27.4,12.315,700.0
2018-01-09,29.0,27.6,27.6,27.6,12.405,4300.0
2018-01-10,28.0,27.0,28.0,27.5,12.36,13601.0
2018-01-11,27.6,27.6,27.6,27.6,12.405,0.0
2018-01-12,27.6,27.6,27.6,27.6,12.405,0.0
2018-01-15,29.0,27.6,27.6,29.0,13.034,2700.0
2018-01-16,28.9,28.9,28.9,28.9,12.989,600.0
2018-01-17,28.9,28.9,28.9,28.9,12.989,1000.0
2018-01-18,28.0,26.3,27.8,27.7,12.45,5700.0
2018-01-19,29.0,28.9,29.0,28.9,12.989,1100.0
2018-01-22,28.0,28.0,28.0,28.0,12.584,13200.0
2018-01-23,28.4,28.0,28.0,28.0,12.584,10000.0
2018-01-24,28.0,27.5,28.0,27.5,12.36,14400.0
2018-01-25,28.0,27.6,28.0,28.0,12.584,10000.0
2018-01-26,29.0,28.2,28.2,28.9,12.989,10100.0
2018-01-29,29.5,28.0,29.5,29.3,13.169,16000.0
2018-01-30,29.8,28.2,29.7,29.5,13.259,19700.0
2018-01-31,29.7,29.6,29.7,29.6,13.304,17100.0
2018-02-01,29.8,29.8,29.8,29.8,13.393,2500.0
2018-02-02,29.2,28.7,29.2,29.0,13.034,18900.0
2018-02-05,28.9,28.0,28.9,28.0,12.584,10600.0
2018-02-06,28.2,25.0,25.0,28.2,12.674,5080.0
2018-02-07,28.7,27.1,28.7,28.0,12.584,7400.0
2018-02-08,28.4,28.0,28.2,28.2,12.674,11001.0
2018-02-09,28.1,28.0,28.0,28.1,12.629,6600.0
2018-02-12,29.0,28.1,29.0,28.5,12.809,11400.0
2018-02-13,28.9,28.7,28.9,28.7,12.899,4500.0
2018-02-21,28.3,28.2,28.2,28.2,12.674,4300.0
2018-02-22,29.0,28.3,29.0,28.3,12.719,509.0
2018-02-23,28.9,28.2,28.7,28.9,12.989,5800.0
2018-02-26,29.5,28.5,29.5,28.9,12.989,6300.0
2018-02-27,29.8,28.5,29.8,28.5,12.809,1800.0
2018-02-28,28.9,28.6,28.9,28.6,12.854,3600.0
2018-03-01,28.7,28.7,28.7,28.7,12.899,0.0
2018-03-02,28.5,28.0,28.5,28.0,12.584,10200.0
2018-03-05,30.0,28.2,30.0,28.5,12.809,13600.0
2018-03-06,29.0,28.3,29.0,28.3,12.719,3000.0
2018-03-07,29.4,28.5,29.4,28.6,12.854,800.0
2018-03-08,29.4,28.6,29.4,28.6,12.854,800.0
2018-03-09,29.3,28.8,28.8,29.3,13.169,300.0
2018-03-12,29.7,29.1,29.7,29.5,13.259,2350.0
2018-03-13,29.8,29.8,29.8,29.8,13.393,200.0
