Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.6,7.0,7.0,7.1,7.1,90300.0
2018-01-03,7.2,7.1,7.1,7.2,7.2,61400.0
2018-01-04,7.3,7.1,7.2,7.2,7.2,318060.0
2018-01-05,7.3,7.1,7.1,7.1,7.1,140010.0
2018-01-08,7.1,7.0,7.1,7.1,7.1,113300.0
2018-01-09,7.2,7.0,7.1,7.0,7.0,191800.0
2018-01-10,7.7,6.9,7.0,7.7,7.7,1304300.0
2018-01-11,8.4,7.8,8.4,8.4,8.4,1344520.0
2018-01-12,9.2,7.6,9.1,7.9,7.9,1386600.0
2018-01-15,7.6,7.2,7.6,7.2,7.2,445500.0
2018-01-16,7.4,6.6,6.6,7.3,7.3,1052321.0
2018-01-17,7.5,7.0,7.4,7.2,7.2,456620.0
2018-01-18,7.1,6.8,6.9,7.0,7.0,457450.0
2018-01-19,7.2,6.3,7.0,6.3,6.3,474350.0
2018-01-22,6.9,5.9,6.4,6.7,6.7,1711108.0
2018-01-23,7.0,6.1,7.0,6.8,6.8,73400.0
2018-01-24,6.6,6.2,6.4,6.6,6.6,218100.0
2018-01-25,6.4,6.0,6.4,6.3,6.3,188410.0
2018-01-26,6.4,5.7,6.3,5.7,5.7,228924.0
2018-01-29,6.2,5.3,5.8,6.2,6.2,1127090.0
2018-01-30,6.5,5.8,6.5,6.3,6.3,314300.0
2018-01-31,6.3,6.0,6.3,6.2,6.2,28510.0
2018-02-01,6.1,5.9,6.1,6.0,6.0,60600.0
2018-02-02,6.6,6.0,6.0,6.6,6.6,1805790.0
2018-02-05,7.0,6.0,7.0,6.4,6.4,1004780.0
2018-02-06,7.0,5.8,6.0,7.0,7.0,460200.0
2018-02-07,7.2,6.5,7.0,6.9,6.9,46600.0
2018-02-08,7.0,6.3,6.5,7.0,7.0,277900.0
2018-02-09,6.7,6.3,6.7,6.6,6.6,401900.0
2018-02-12,6.5,6.0,6.5,6.3,6.3,245400.0
2018-02-13,6.4,6.0,6.0,6.3,6.3,813500.0
2018-02-21,6.3,6.1,6.2,6.3,6.3,9000.0
2018-02-22,6.2,5.8,6.0,6.2,6.2,53500.0
2018-02-23,6.2,5.7,6.1,6.1,6.1,22500.0
2018-02-26,6.2,6.0,6.1,6.1,6.1,85800.0
2018-02-27,6.4,6.1,6.1,6.2,6.2,360300.0
2018-02-28,6.2,6.0,6.1,6.1,6.1,49567.0
2018-03-01,6.4,6.0,6.1,6.0,6.0,422800.0
2018-03-02,6.1,5.9,6.0,6.1,6.1,405215.0
2018-03-05,6.1,5.5,6.0,5.6,5.6,786595.0
2018-03-06,6.0,5.6,5.7,5.8,5.8,580610.0
2018-03-07,5.9,5.7,5.8,5.9,5.9,66745.0
2018-03-08,5.8,5.4,5.8,5.7,5.7,544155.0
2018-03-09,5.7,5.2,5.7,5.4,5.4,996275.0
2018-03-12,5.9,4.9,5.5,5.6,5.6,3258060.0
2018-03-13,5.5,5.1,5.5,5.1,5.1,354560.0
2018-03-14,5.6,5.1,5.1,5.4,5.4,357050.0
2018-03-15,5.4,4.9,5.4,5.1,5.1,938630.0
2018-03-16,5.2,5.1,5.1,5.2,5.2,125920.0
2018-03-19,5.3,4.8,5.1,5.1,5.1,930000.0
2018-03-20,5.0,4.8,5.0,4.9,4.9,660625.0
2018-03-21,5.0,4.9,4.9,4.9,4.9,251225.0
2018-03-22,4.9,4.9,4.9,4.9,4.9,0.0
2018-03-23,4.5,4.5,4.5,4.5,4.5,14197.0
2018-03-26,4.5,4.5,4.5,4.5,4.5,0.0
2018-03-27,4.5,4.5,4.5,4.5,4.5,0.0
2018-03-28,4.5,4.5,4.5,4.5,4.5,0.0
2018-03-29,4.5,4.5,4.5,4.5,4.5,0.0
2018-03-30,4.1,4.1,4.1,4.1,4.1,25650.0
2018-04-02,4.1,4.1,4.1,4.1,4.1,0.0
2018-04-03,4.1,4.1,4.1,4.1,4.1,0.0
2018-04-04,4.1,4.1,4.1,4.1,4.1,0.0
2018-04-05,4.1,4.1,4.1,4.1,4.1,0.0
2018-04-06,3.7,3.7,3.7,3.7,3.7,6010.0
2018-04-09,3.7,3.7,3.7,3.7,3.7,0.0
2018-04-10,3.7,3.7,3.7,3.7,3.7,0.0
2018-04-11,3.7,3.7,3.7,3.7,3.7,0.0
2018-04-12,3.7,3.7,3.7,3.7,3.7,0.0
2018-04-13,3.4,3.4,3.4,3.4,3.4,11150.0
2018-04-16,3.4,3.4,3.4,3.4,3.4,0.0
2018-04-17,3.4,3.4,3.4,3.4,3.4,0.0
2018-04-18,3.4,3.4,3.4,3.4,3.4,0.0
2018-04-19,3.4,3.4,3.4,3.4,3.4,0.0
2018-04-20,3.1,3.1,3.1,3.1,3.1,9703.0
2018-04-23,3.1,3.1,3.1,3.1,3.1,0.0
2018-04-24,3.1,3.1,3.1,3.1,3.1,0.0
2018-04-26,3.1,3.1,3.1,3.1,3.1,0.0
2018-04-27,2.8,2.8,2.8,2.8,2.8,64710.0
2018-05-02,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-03,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-04,3.0,2.6,2.6,2.6,2.6,423810.0
2018-05-07,2.6,2.6,2.6,2.6,2.6,0.0
2018-05-08,2.6,2.6,2.6,2.6,2.6,0.0
2018-05-09,2.6,2.6,2.6,2.6,2.6,0.0
2018-05-10,2.6,2.6,2.6,2.6,2.6,0.0
2018-05-11,2.8,2.7,2.8,2.8,2.8,481230.0
2018-05-14,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-15,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-16,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-17,2.8,2.8,2.8,2.8,2.8,0.0
2018-05-18,2.8,2.6,2.8,2.7,2.7,606550.0
2018-05-21,2.7,2.7,2.7,2.7,2.7,0.0
2018-05-22,2.7,2.7,2.7,2.7,2.7,0.0
2018-05-23,2.7,2.7,2.7,2.7,2.7,0.0
2018-05-24,2.7,2.7,2.7,2.7,2.7,0.0
2018-05-25,2.6,2.5,2.5,2.5,2.5,473947.0
2018-05-28,2.5,2.5,2.5,2.5,2.5,0.0
2018-05-29,2.5,2.5,2.5,2.5,2.5,0.0
2018-05-30,2.5,2.5,2.5,2.5,2.5,0.0
2018-05-31,2.5,2.5,2.5,2.5,2.5,0.0
2018-06-01,2.4,2.3,2.4,2.3,2.3,193000.0
2018-06-04,2.3,2.3,2.3,2.3,2.3,0.0
2018-06-05,2.3,2.3,2.3,2.3,2.3,0.0
2018-06-06,2.3,2.3,2.3,2.3,2.3,0.0
2018-06-07,2.3,2.3,2.3,2.3,2.3,0.0
2018-06-08,2.5,2.1,2.4,2.2,2.2,1091827.0
2018-06-11,2.2,2.2,2.2,2.2,2.2,0.0
2018-06-12,2.2,2.2,2.2,2.2,2.2,0.0
2018-06-13,2.2,2.2,2.2,2.2,2.2,0.0
2018-06-14,2.2,2.2,2.2,2.2,2.2,0.0
2018-06-15,2.2,2.0,2.2,2.0,2.0,513520.0
2018-06-18,2.0,2.0,2.0,2.0,2.0,0.0
2018-06-19,2.0,2.0,2.0,2.0,2.0,0.0
2018-06-20,2.0,2.0,2.0,2.0,2.0,0.0
2018-06-21,2.0,2.0,2.0,2.0,2.0,0.0
2018-06-22,1.9,1.8,1.8,1.8,1.8,304800.0
2018-06-25,1.8,1.8,1.8,1.8,1.8,0.0
2018-06-26,1.8,1.8,1.8,1.8,1.8,0.0
2018-06-27,1.8,1.8,1.8,1.8,1.8,0.0
2018-06-28,1.8,1.8,1.8,1.8,1.8,0.0
2018-06-29,1.9,1.7,1.7,1.7,1.7,371100.0
2018-07-02,1.7,1.7,1.7,1.7,1.7,0.0
2018-07-03,1.7,1.7,1.7,1.7,1.7,0.0
2018-07-04,1.7,1.7,1.7,1.7,1.7,0.0
2018-07-05,1.7,1.7,1.7,1.7,1.7,0.0
2018-07-06,1.7,1.6,1.6,1.6,1.6,209900.0
2018-07-09,1.6,1.6,1.6,1.6,1.6,0.0
2018-07-10,1.6,1.6,1.6,1.6,1.6,0.0
2018-07-11,1.6,1.6,1.6,1.6,1.6,0.0
