Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.5,14.5,14.5,14.5,10.976,400.0
2018-01-03,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-04,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-05,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-08,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-09,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-10,14.5,14.5,14.5,14.5,10.976,400.0
2018-01-11,14.5,14.5,14.5,14.5,10.976,200.0
2018-01-12,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-15,14.5,14.5,14.5,14.5,10.976,100.0
2018-01-16,14.5,14.5,14.5,14.5,10.976,100.0
2018-01-17,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-18,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-19,14.5,14.4,14.4,14.5,10.976,200.0
2018-01-22,14.5,14.5,14.5,14.5,10.976,0.0
2018-01-23,13.5,13.5,13.5,13.5,10.219,500.0
2018-01-24,13.5,13.5,13.5,13.5,10.219,0.0
2018-01-25,13.5,13.5,13.5,13.5,10.219,0.0
2018-01-26,14.4,14.4,14.4,14.4,10.9,200.0
2018-01-29,14.4,14.4,14.4,14.4,10.9,0.0
2018-01-30,14.5,14.5,14.5,14.5,10.976,200.0
2018-01-31,14.5,14.5,14.5,14.5,10.976,2100.0
2018-02-01,14.0,14.0,14.0,14.0,10.597,1500.0
2018-02-02,14.0,14.0,14.0,14.0,10.597,200.0
2018-02-05,14.1,14.1,14.1,14.1,10.673,100.0
2018-02-06,13.7,13.7,13.7,13.7,10.37,100.0
2018-02-07,14.1,14.1,14.1,14.1,10.673,100.0
2018-02-08,14.1,14.1,14.1,14.1,10.673,18.0
2018-02-09,14.1,14.1,14.1,14.1,10.673,0.0
2018-02-12,15.0,14.3,14.3,15.0,11.354,201.0
2018-02-13,14.7,14.7,14.7,14.7,11.127,0.0
2018-02-21,14.7,14.7,14.7,14.7,11.127,0.0
2018-02-22,14.7,14.7,14.7,14.7,11.127,4.0
2018-02-23,15.0,15.0,15.0,15.0,11.354,302.0
2018-02-26,15.1,15.1,15.1,15.1,11.43,800.0
2018-02-27,15.1,15.1,15.1,15.1,11.43,204.0
2018-02-28,15.1,15.1,15.1,15.1,11.43,0.0
2018-03-01,13.3,13.3,13.3,13.3,10.067,100.0
2018-03-02,13.3,13.3,13.3,13.3,10.067,0.0
2018-03-05,13.9,13.3,13.8,13.4,10.143,414.0
2018-03-06,13.6,13.6,13.6,13.6,10.294,0.0
2018-03-07,13.6,13.6,13.6,13.6,10.294,0.0
2018-03-08,11.6,11.6,11.6,11.6,8.78,100.0
2018-03-09,11.6,11.6,11.6,11.6,8.78,8.0
2018-03-12,11.6,11.6,11.6,11.6,8.78,0.0
2018-03-13,13.3,13.3,13.3,13.3,10.067,200.0
2018-03-14,13.3,13.3,13.3,13.3,10.067,0.0
2018-03-15,13.3,13.3,13.3,13.3,10.067,0.0
2018-03-16,13.3,13.3,13.3,13.3,10.067,0.0
2018-03-19,13.3,13.3,13.3,13.3,10.067,0.0
